city_name,province_name,value,date
徐州市,江苏省,20.08,20200101
淮安市,江苏省,14.54,20200101
南京市,江苏省,10.33,20200101
连云港市,江苏省,8.07,20200101
苏州市,江苏省,6.39,20200101
上海市,上海市,4.05,20200101
无锡市,江苏省,3.36,20200101
宿州市,安徽省,3.07,20200101
常州市,江苏省,2.42,20200101
扬州市,江苏省,2.2,20200101
临沂市,山东省,2.14,20200101
盐城市,江苏省,1.98,20200101
镇江市,江苏省,1.51,20200101
南通市,江苏省,1.47,20200101
杭州市,浙江省,1.1,20200101
滁州市,安徽省,0.99,20200101
泰州市,江苏省,0.97,20200101
蚌埠市,安徽省,0.96,20200101
枣庄市,山东省,0.58,20200101
合肥市,安徽省,0.57,20200101
北京市,北京市,0.55,20200101
宁波市,浙江省,0.46,20200101
青岛市,山东省,0.45,20200101
嘉兴市,浙江省,0.44,20200101
湖州市,浙江省,0.42,20200101
商丘市,河南省,0.36,20200101
济宁市,山东省,0.34,20200101
郑州市,河南省,0.31,20200101
日照市,山东省,0.28,20200101
济南市,山东省,0.27,20200101
潍坊市,山东省,0.27,20200101
绍兴市,浙江省,0.27,20200101
菏泽市,山东省,0.26,20200101
金华市,浙江省,0.25,20200101
阜阳市,安徽省,0.25,20200101
马鞍山市,安徽省,0.21,20200101
天津市,天津市,0.21,20200101
淮北市,安徽省,0.2,20200101
亳州市,安徽省,0.2,20200101
芜湖市,安徽省,0.2,20200101
温州市,浙江省,0.19,20200101
石家庄市,河北省,0.18,20200101
泰安市,山东省,0.17,20200101
六安市,安徽省,0.17,20200101
台州市,浙江省,0.15,20200101
烟台市,山东省,0.14,20200101
邯郸市,河北省,0.14,20200101
淄博市,山东省,0.14,20200101
滨州市,山东省,0.14,20200101
西安市,陕西省,0.13,20200101
徐州市,江苏省,15.58,20200102
南京市,江苏省,11.99,20200102
淮安市,江苏省,9.62,20200102
苏州市,江苏省,8.7,20200102
连云港市,江苏省,5.22,20200102
上海市,上海市,5.15,20200102
无锡市,江苏省,4.19,20200102
常州市,江苏省,2.78,20200102
临沂市,山东省,2.52,20200102
扬州市,江苏省,2.39,20200102
宿州市,安徽省,2.34,20200102
盐城市,江苏省,2.17,20200102
南通市,江苏省,1.83,20200102
镇江市,江苏省,1.52,20200102
杭州市,浙江省,1.39,20200102
泰州市,江苏省,1.22,20200102
北京市,北京市,0.99,20200102
滁州市,安徽省,0.92,20200102
合肥市,安徽省,0.67,20200102
湖州市,浙江省,0.67,20200102
宁波市,浙江省,0.64,20200102
嘉兴市,浙江省,0.62,20200102
青岛市,山东省,0.6,20200102
蚌埠市,安徽省,0.59,20200102
枣庄市,山东省,0.57,20200102
济宁市,山东省,0.53,20200102
潍坊市,山东省,0.45,20200102
济南市,山东省,0.43,20200102
郑州市,河南省,0.38,20200102
商丘市,河南省,0.36,20200102
石家庄市,河北省,0.34,20200102
天津市,天津市,0.33,20200102
金华市,浙江省,0.33,20200102
菏泽市,山东省,0.31,20200102
绍兴市,浙江省,0.31,20200102
温州市,浙江省,0.28,20200102
阜阳市,安徽省,0.28,20200102
日照市,山东省,0.27,20200102
马鞍山市,安徽省,0.26,20200102
烟台市,山东省,0.26,20200102
武汉市,湖北省,0.24,20200102
深圳市,广东省,0.23,20200102
西安市,陕西省,0.23,20200102
德州市,山东省,0.22,20200102
台州市,浙江省,0.2,20200102
亳州市,安徽省,0.2,20200102
保定市,河北省,0.2,20200102
六安市,安徽省,0.19,20200102
泰安市,山东省,0.18,20200102
安阳市,河南省,0.18,20200102
徐州市,江苏省,15.76,20200103
南京市,江苏省,13.52,20200103
淮安市,江苏省,11.99,20200103
苏州市,江苏省,7.7,20200103
连云港市,江苏省,6.53,20200103
上海市,上海市,4.84,20200103
无锡市,江苏省,3.61,20200103
常州市,江苏省,2.91,20200103
宿州市,安徽省,2.43,20200103
扬州市,江苏省,2.4,20200103
盐城市,江苏省,2.3,20200103
临沂市,山东省,1.98,20200103
南通市,江苏省,1.73,20200103
镇江市,江苏省,1.44,20200103
杭州市,浙江省,1.39,20200103
泰州市,江苏省,1.33,20200103
滁州市,安徽省,0.98,20200103
北京市,北京市,0.76,20200103
蚌埠市,安徽省,0.74,20200103
合肥市,安徽省,0.54,20200103
嘉兴市,浙江省,0.53,20200103
枣庄市,山东省,0.53,20200103
宁波市,浙江省,0.48,20200103
青岛市,山东省,0.47,20200103
湖州市,浙江省,0.45,20200103
济宁市,山东省,0.44,20200103
阜阳市,安徽省,0.39,20200103
济南市,山东省,0.36,20200103
郑州市,河南省,0.35,20200103
日照市,山东省,0.31,20200103
天津市,天津市,0.3,20200103
菏泽市,山东省,0.27,20200103
潍坊市,山东省,0.27,20200103
台州市,浙江省,0.26,20200103
商丘市,河南省,0.26,20200103
马鞍山市,安徽省,0.25,20200103
金华市,浙江省,0.25,20200103
温州市,浙江省,0.25,20200103
西安市,陕西省,0.24,20200103
石家庄市,河北省,0.23,20200103
烟台市,山东省,0.22,20200103
芜湖市,安徽省,0.21,20200103
保定市,河北省,0.2,20200103
武汉市,湖北省,0.19,20200103
绍兴市,浙江省,0.19,20200103
亳州市,安徽省,0.18,20200103
成都市,四川省,0.16,20200103
安阳市,河南省,0.16,20200103
淄博市,山东省,0.16,20200103
泰安市,山东省,0.15,20200103
徐州市,江苏省,17.34,20200104
淮安市,江苏省,13.9,20200104
南京市,江苏省,10.88,20200104
连云港市,江苏省,7.79,20200104
苏州市,江苏省,6.88,20200104
上海市,上海市,3.76,20200104
无锡市,江苏省,3.45,20200104
宿州市,安徽省,2.84,20200104
常州市,江苏省,2.81,20200104
扬州市,江苏省,2.51,20200104
盐城市,江苏省,2.32,20200104
临沂市,山东省,2.31,20200104
南通市,江苏省,1.61,20200104
镇江市,江苏省,1.34,20200104
泰州市,江苏省,1.31,20200104
杭州市,浙江省,1.05,20200104
滁州市,安徽省,1.02,20200104
蚌埠市,安徽省,0.91,20200104
北京市,北京市,0.67,20200104
合肥市,安徽省,0.59,20200104
青岛市,山东省,0.54,20200104
湖州市,浙江省,0.43,20200104
枣庄市,山东省,0.4,20200104
宁波市,浙江省,0.4,20200104
日照市,山东省,0.4,20200104
嘉兴市,浙江省,0.39,20200104
济南市,山东省,0.38,20200104
潍坊市,山东省,0.37,20200104
郑州市,河南省,0.36,20200104
济宁市,山东省,0.34,20200104
天津市,天津市,0.29,20200104
温州市,浙江省,0.28,20200104
金华市,浙江省,0.27,20200104
菏泽市,山东省,0.25,20200104
商丘市,河南省,0.24,20200104
阜阳市,安徽省,0.24,20200104
台州市,浙江省,0.23,20200104
武汉市,湖北省,0.23,20200104
西安市,陕西省,0.21,20200104
绍兴市,浙江省,0.21,20200104
石家庄市,河北省,0.2,20200104
马鞍山市,安徽省,0.19,20200104
淮北市,安徽省,0.18,20200104
芜湖市,安徽省,0.17,20200104
聊城市,山东省,0.15,20200104
德州市,山东省,0.14,20200104
烟台市,山东省,0.14,20200104
周口市,河南省,0.13,20200104
亳州市,安徽省,0.13,20200104
长沙市,湖南省,0.13,20200104
徐州市,江苏省,19.24,20200105
淮安市,江苏省,13.31,20200105
南京市,江苏省,12.19,20200105
连云港市,江苏省,7.26,20200105
苏州市,江苏省,6.37,20200105
上海市,上海市,3.87,20200105
无锡市,江苏省,2.96,20200105
扬州市,江苏省,2.85,20200105
常州市,江苏省,2.79,20200105
宿州市,安徽省,2.45,20200105
盐城市,江苏省,2.21,20200105
临沂市,山东省,2.0,20200105
南通市,江苏省,1.64,20200105
镇江市,江苏省,1.48,20200105
泰州市,江苏省,1.31,20200105
杭州市,浙江省,1.12,20200105
滁州市,安徽省,0.94,20200105
北京市,北京市,0.83,20200105
蚌埠市,安徽省,0.71,20200105
合肥市,安徽省,0.53,20200105
湖州市,浙江省,0.52,20200105
济南市,山东省,0.51,20200105
青岛市,山东省,0.5,20200105
宁波市,浙江省,0.45,20200105
济宁市,山东省,0.41,20200105
嘉兴市,浙江省,0.4,20200105
枣庄市,山东省,0.4,20200105
郑州市,河南省,0.37,20200105
日照市,山东省,0.33,20200105
金华市,浙江省,0.31,20200105
天津市,天津市,0.3,20200105
淮北市,安徽省,0.25,20200105
菏泽市,山东省,0.24,20200105
武汉市,湖北省,0.23,20200105
西安市,陕西省,0.23,20200105
潍坊市,山东省,0.23,20200105
马鞍山市,安徽省,0.21,20200105
台州市,浙江省,0.21,20200105
温州市,浙江省,0.21,20200105
商丘市,河南省,0.2,20200105
芜湖市,安徽省,0.18,20200105
绍兴市,浙江省,0.16,20200105
亳州市,安徽省,0.14,20200105
深圳市,广东省,0.12,20200105
淄博市,山东省,0.12,20200105
成都市,四川省,0.12,20200105
阜阳市,安徽省,0.12,20200105
南昌市,江西省,0.11,20200105
重庆市,重庆市,0.11,20200105
淮南市,安徽省,0.11,20200105
徐州市,江苏省,18.0,20200106
南京市,江苏省,12.24,20200106
淮安市,江苏省,11.92,20200106
苏州市,江苏省,7.25,20200106
连云港市,江苏省,6.16,20200106
上海市,上海市,4.23,20200106
无锡市,江苏省,3.6,20200106
常州市,江苏省,3.31,20200106
扬州市,江苏省,2.82,20200106
宿州市,安徽省,2.14,20200106
盐城市,江苏省,2.01,20200106
南通市,江苏省,1.94,20200106
临沂市,山东省,1.9,20200106
泰州市,江苏省,1.56,20200106
镇江市,江苏省,1.54,20200106
杭州市,浙江省,1.25,20200106
滁州市,安徽省,0.85,20200106
北京市,北京市,0.81,20200106
蚌埠市,安徽省,0.65,20200106
青岛市,山东省,0.57,20200106
湖州市,浙江省,0.56,20200106
宁波市,浙江省,0.52,20200106
郑州市,河南省,0.52,20200106
济南市,山东省,0.51,20200106
合肥市,安徽省,0.49,20200106
嘉兴市,浙江省,0.47,20200106
天津市,天津市,0.36,20200106
金华市,浙江省,0.35,20200106
枣庄市,山东省,0.34,20200106
济宁市,山东省,0.31,20200106
温州市,浙江省,0.29,20200106
日照市,山东省,0.27,20200106
商丘市,河南省,0.25,20200106
武汉市,湖北省,0.25,20200106
潍坊市,山东省,0.24,20200106
马鞍山市,安徽省,0.24,20200106
菏泽市,山东省,0.23,20200106
台州市,浙江省,0.22,20200106
绍兴市,浙江省,0.2,20200106
南昌市,江西省,0.19,20200106
石家庄市,河北省,0.18,20200106
