city_name,province_name,value,date
长沙市,湖南省,49.71,20200101
益阳市,湖南省,7.1,20200101
荆州市,湖北省,4.74,20200101
咸宁市,湖北省,2.93,20200101
广州市,广东省,2.37,20200101
东莞市,广东省,2.19,20200101
株洲市,湖南省,2.16,20200101
武汉市,湖北省,2.0,20200101
常德市,湖南省,1.99,20200101
深圳市,广东省,1.85,20200101
湘潭市,湖南省,1.61,20200101
佛山市,广东省,1.09,20200101
衡阳市,湖南省,1.04,20200101
娄底市,湖南省,0.83,20200101
邵阳市,湖南省,0.65,20200101
九江市,江西省,0.64,20200101
惠州市,广东省,0.56,20200101
上海市,上海市,0.54,20200101
北京市,北京市,0.5,20200101
中山市,广东省,0.44,20200101
永州市,湖南省,0.41,20200101
郴州市,湖南省,0.39,20200101
怀化市,湖南省,0.36,20200101
苏州市,江苏省,0.33,20200101
杭州市,浙江省,0.33,20200101
张家界市,湖南省,0.29,20200101
温州市,浙江省,0.29,20200101
重庆市,重庆市,0.28,20200101
郑州市,河南省,0.28,20200101
宜昌市,湖北省,0.28,20200101
嘉兴市,浙江省,0.27,20200101
珠海市,广东省,0.26,20200101
宜春市,江西省,0.24,20200101
江门市,广东省,0.24,20200101
湘西土家族苗族自治州,湖南省,0.23,20200101
清远市,广东省,0.23,20200101
南宁市,广西壮族自治区,0.19,20200101
金华市,浙江省,0.19,20200101
荆门市,湖北省,0.18,20200101
宁波市,浙江省,0.18,20200101
南昌市,江西省,0.18,20200101
萍乡市,江西省,0.17,20200101
成都市,四川省,0.17,20200101
孝感市,湖北省,0.17,20200101
黄冈市,湖北省,0.17,20200101
贵阳市,贵州省,0.16,20200101
桂林市,广西壮族自治区,0.15,20200101
泉州市,福建省,0.15,20200101
黄石市,湖北省,0.15,20200101
赣州市,江西省,0.14,20200101
长沙市,湖南省,41.61,20200102
益阳市,湖南省,4.65,20200102
广州市,广东省,3.87,20200102
荆州市,湖北省,3.21,20200102
东莞市,广东省,3.21,20200102
深圳市,广东省,3.15,20200102
株洲市,湖南省,2.43,20200102
武汉市,湖北省,2.32,20200102
咸宁市,湖北省,1.77,20200102
佛山市,广东省,1.77,20200102
常德市,湖南省,1.66,20200102
湘潭市,湖南省,1.54,20200102
衡阳市,湖南省,1.21,20200102
上海市,上海市,1.02,20200102
惠州市,广东省,0.91,20200102
娄底市,湖南省,0.81,20200102
北京市,北京市,0.74,20200102
邵阳市,湖南省,0.69,20200102
中山市,广东省,0.64,20200102
郴州市,湖南省,0.63,20200102
苏州市,江苏省,0.59,20200102
温州市,浙江省,0.52,20200102
永州市,湖南省,0.47,20200102
杭州市,浙江省,0.45,20200102
九江市,江西省,0.45,20200102
怀化市,湖南省,0.44,20200102
南京市,江苏省,0.4,20200102
珠海市,广东省,0.39,20200102
金华市,浙江省,0.38,20200102
重庆市,重庆市,0.37,20200102
江门市,广东省,0.33,20200102
宜昌市,湖北省,0.33,20200102
滨州市,山东省,0.32,20200102
南昌市,江西省,0.32,20200102
郑州市,河南省,0.3,20200102
湘西土家族苗族自治州,湖南省,0.29,20200102
孝感市,湖北省,0.28,20200102
贵阳市,贵州省,0.27,20200102
嘉兴市,浙江省,0.26,20200102
襄阳市,湖北省,0.26,20200102
张家界市,湖南省,0.26,20200102
宁波市,浙江省,0.26,20200102
无锡市,江苏省,0.25,20200102
成都市,四川省,0.25,20200102
桂林市,广西壮族自治区,0.23,20200102
宜春市,江西省,0.23,20200102
福州市,福建省,0.23,20200102
