city_name,province_name,value,date
长沙市,湖南省,29.11,20200101
益阳市,湖南省,9.4,20200101
张家界市,湖南省,7.81,20200101
荆州市,湖北省,4.77,20200101
广州市,广东省,3.53,20200101
东莞市,广东省,3.38,20200101
怀化市,湖南省,3.3,20200101
岳阳市,湖南省,2.8,20200101
深圳市,广东省,2.67,20200101
株洲市,湖南省,1.53,20200101
湘西土家族苗族自治州,湖南省,1.48,20200101
湘潭市,湖南省,1.17,20200101
佛山市,广东省,1.15,20200101
惠州市,广东省,1.06,20200101
武汉市,湖北省,1.06,20200101
娄底市,湖南省,0.99,20200101
温州市,浙江省,0.91,20200101
邵阳市,湖南省,0.82,20200101
衡阳市,湖南省,0.81,20200101
中山市,广东省,0.8,20200101
恩施土家族苗族自治州,湖北省,0.7,20200101
上海市,上海市,0.69,20200101
重庆市,重庆市,0.68,20200101
北京市,北京市,0.67,20200101
宜昌市,湖北省,0.67,20200101
宁波市,浙江省,0.47,20200101
珠海市,广东省,0.44,20200101
泉州市,福建省,0.44,20200101
郴州市,湖南省,0.42,20200101
杭州市,浙江省,0.39,20200101
清远市,广东省,0.39,20200101
潮州市,广东省,0.38,20200101
江门市,广东省,0.37,20200101
苏州市,江苏省,0.37,20200101
嘉兴市,浙江省,0.34,20200101
永州市,湖南省,0.31,20200101
铜仁市,贵州省,0.31,20200101
金华市,浙江省,0.3,20200101
襄阳市,湖北省,0.3,20200101
贵阳市,贵州省,0.28,20200101
西安市,陕西省,0.28,20200101
福州市,福建省,0.28,20200101
南阳市,河南省,0.25,20200101
昆明市,云南省,0.24,20200101
荆门市,湖北省,0.23,20200101
成都市,四川省,0.22,20200101
郑州市,河南省,0.2,20200101
宜春市,江西省,0.2,20200101
天津市,天津市,0.2,20200101
济南市,山东省,0.2,20200101
长沙市,湖南省,30.63,20200102
益阳市,湖南省,5.42,20200102
东莞市,广东省,4.66,20200102
广州市,广东省,4.34,20200102
张家界市,湖南省,4.21,20200102
深圳市,广东省,3.97,20200102
荆州市,湖北省,2.59,20200102
岳阳市,湖南省,2.46,20200102
怀化市,湖南省,2.31,20200102
佛山市,广东省,1.7,20200102
惠州市,广东省,1.64,20200102
株洲市,湖南省,1.56,20200102
温州市,浙江省,1.44,20200102
湘潭市,湖南省,1.34,20200102
湘西土家族苗族自治州,湖南省,1.16,20200102
武汉市,湖北省,1.13,20200102
娄底市,湖南省,1.1,20200102
衡阳市,湖南省,1.02,20200102
北京市,北京市,0.95,20200102
中山市,广东省,0.94,20200102
上海市,上海市,0.9,20200102
邵阳市,湖南省,0.71,20200102
珠海市,广东省,0.65,20200102
重庆市,重庆市,0.64,20200102
潮州市,广东省,0.56,20200102
宜昌市,湖北省,0.55,20200102
苏州市,江苏省,0.51,20200102
宁波市,浙江省,0.48,20200102
昆明市,云南省,0.46,20200102
永州市,湖南省,0.45,20200102
江门市,广东省,0.43,20200102
泉州市,福建省,0.42,20200102
海口市,海南省,0.41,20200102
金华市,浙江省,0.41,20200102
恩施土家族苗族自治州,湖北省,0.4,20200102
郴州市,湖南省,0.39,20200102
嘉兴市,浙江省,0.38,20200102
成都市,四川省,0.36,20200102
杭州市,浙江省,0.34,20200102
贵阳市,贵州省,0.33,20200102
西安市,陕西省,0.32,20200102
南阳市,河南省,0.31,20200102
襄阳市,湖北省,0.29,20200102
郑州市,河南省,0.27,20200102
铜仁市,贵州省,0.26,20200102
南宁市,广西壮族自治区,0.26,20200102
汕头市,广东省,0.24,20200102
三亚市,海南省,0.24,20200102
南昌市,江西省,0.23,20200102
桂林市,广西壮族自治区,0.23,20200102
长沙市,湖南省,33.66,20200103
益阳市,湖南省,6.21,20200103
张家界市,湖南省,5.4,20200103
广州市,广东省,3.7,20200103
荆州市,湖北省,3.66,20200103
东莞市,广东省,3.24,20200103
深圳市,广东省,3.09,20200103
怀化市,湖南省,2.45,20200103
岳阳市,湖南省,2.37,20200103
株洲市,湖南省,1.85,20200103
佛山市,广东省,1.46,20200103
武汉市,湖北省,1.27,20200103
湘西土家族苗族自治州,湖南省,1.19,20200103
惠州市,广东省,1.17,20200103
湘潭市,湖南省,1.13,20200103
温州市,浙江省,1.08,20200103
衡阳市,湖南省,0.95,20200103
娄底市,湖南省,0.95,20200103
邵阳市,湖南省,0.89,20200103
中山市,广东省,0.86,20200103
重庆市,重庆市,0.73,20200103
上海市,上海市,0.72,20200103
北京市,北京市,0.67,20200103
珠海市,广东省,0.63,20200103
宜昌市,湖北省,0.6,20200103
郴州市,湖南省,0.59,20200103
恩施土家族苗族自治州,湖北省,0.51,20200103
潮州市,广东省,0.5,20200103
永州市,湖南省,0.49,20200103
宁波市,浙江省,0.48,20200103
江门市,广东省,0.46,20200103
苏州市,江苏省,0.42,20200103
金华市,浙江省,0.42,20200103
杭州市,浙江省,0.4,20200103
泉州市,福建省,0.37,20200103
襄阳市,湖北省,0.37,20200103
昆明市,云南省,0.35,20200103
嘉兴市,浙江省,0.35,20200103
郑州市,河南省,0.31,20200103
海口市,海南省,0.3,20200103
清远市,广东省,0.28,20200103
南阳市,河南省,0.27,20200103
贵阳市,贵州省,0.27,20200103
南京市,江苏省,0.26,20200103
遵义市,贵州省,0.25,20200103
荆门市,湖北省,0.25,20200103
成都市,四川省,0.23,20200103
桂林市,广西壮族自治区,0.23,20200103
肇庆市,广东省,0.22,20200103
西安市,陕西省,0.21,20200103
长沙市,湖南省,32.08,20200104
益阳市,湖南省,7.03,20200104
张家界市,湖南省,6.02,20200104
荆州市,湖北省,4.3,20200104
广州市,广东省,3.68,20200104
深圳市,广东省,3.1,20200104
东莞市,广东省,3.06,20200104
怀化市,湖南省,2.67,20200104
岳阳市,湖南省,2.21,20200104
株洲市,湖南省,1.87,20200104
佛山市,广东省,1.46,20200104
湘潭市,湖南省,1.16,20200104
湘西土家族苗族自治州,湖南省,1.15,20200104
衡阳市,湖南省,1.12,20200104
惠州市,广东省,1.06,20200104
温州市,浙江省,1.03,20200104
武汉市,湖北省,1.01,20200104
中山市,广东省,0.96,20200104
北京市,北京市,0.95,20200104
邵阳市,湖南省,0.92,20200104
娄底市,湖南省,0.84,20200104
上海市,上海市,0.69,20200104
宜昌市,湖北省,0.63,20200104
苏州市,江苏省,0.62,20200104
珠海市,广东省,0.59,20200104
重庆市,重庆市,0.55,20200104
恩施土家族苗族自治州,湖北省,0.53,20200104
永州市,湖南省,0.48,20200104
江门市,广东省,0.46,20200104
宁波市,浙江省,0.45,20200104
潮州市,广东省,0.44,20200104
金华市,浙江省,0.44,20200104
海口市,海南省,0.4,20200104
郴州市,湖南省,0.39,20200104
杭州市,浙江省,0.37,20200104
嘉兴市,浙江省,0.37,20200104
泉州市,福建省,0.35,20200104
铜仁市,贵州省,0.31,20200104
昆明市,云南省,0.28,20200104
贵阳市,贵州省,0.28,20200104
成都市,四川省,0.27,20200104
清远市,广东省,0.26,20200104
南昌市,江西省,0.25,20200104
襄阳市,湖北省,0.24,20200104
三亚市,海南省,0.22,20200104
西安市,陕西省,0.22,20200104
无锡市,江苏省,0.22,20200104
南宁市,广西壮族自治区,0.21,20200104
南阳市,河南省,0.21,20200104
郑州市,河南省,0.21,20200104
长沙市,湖南省,32.35,20200105
益阳市,湖南省,7.23,20200105
张家界市,湖南省,5.71,20200105
广州市,广东省,3.9,20200105
荆州市,湖北省,3.88,20200105
东莞市,广东省,3.62,20200105
深圳市,广东省,3.06,20200105
怀化市,湖南省,2.57,20200105
岳阳市,湖南省,2.15,20200105
株洲市,湖南省,2.02,20200105
衡阳市,湖南省,1.51,20200105
佛山市,广东省,1.41,20200105
温州市,浙江省,1.38,20200105
湘潭市,湖南省,1.29,20200105
湘西土家族苗族自治州,湖南省,1.21,20200105
惠州市,广东省,1.17,20200105
