city_name,province_name,value,date
成都市,四川省,27.44,20200101
绵阳市,四川省,18.45,20200101
南充市,四川省,12.88,20200101
巴中市,四川省,7.9,20200101
汉中市,陕西省,4.82,20200101
重庆市,重庆市,3.84,20200101
陇南市,甘肃省,3.05,20200101
德阳市,四川省,2.57,20200101
西安市,陕西省,1.34,20200101
凉山彝族自治州,四川省,1.25,20200101
遂宁市,四川省,0.99,20200101
达州市,四川省,0.86,20200101
广安市,四川省,0.84,20200101
北京市,北京市,0.8,20200101
眉山市,四川省,0.79,20200101
乐山市,四川省,0.72,20200101
自贡市,四川省,0.57,20200101
宜宾市,四川省,0.56,20200101
泸州市,四川省,0.51,20200101
内江市,四川省,0.47,20200101
资阳市,四川省,0.44,20200101
阿坝藏族羌族自治州,四川省,0.37,20200101
宝鸡市,陕西省,0.36,20200101
咸阳市,陕西省,0.34,20200101
上海市,上海市,0.33,20200101
兰州市,甘肃省,0.32,20200101
雅安市,四川省,0.24,20200101
西宁市,青海省,0.23,20200101
安康市,陕西省,0.21,20200101
广州市,广东省,0.19,20200101
甘孜藏族自治州,四川省,0.18,20200101
苏州市,江苏省,0.16,20200101
太原市,山西省,0.16,20200101
郑州市,河南省,0.16,20200101
定西市,甘肃省,0.16,20200101
宁波市,浙江省,0.15,20200101
东莞市,广东省,0.15,20200101
攀枝花市,四川省,0.14,20200101
昆明市,云南省,0.12,20200101
台州市,浙江省,0.12,20200101
天水市,甘肃省,0.12,20200101
深圳市,广东省,0.11,20200101
贵阳市,贵州省,0.11,20200101
毕节市,贵州省,0.11,20200101
中山市,广东省,0.1,20200101
十堰市,湖北省,0.1,20200101
武汉市,湖北省,0.1,20200101
昭通市,云南省,0.09,20200101
运城市,山西省,0.08,20200101
平凉市,甘肃省,0.08,20200101
成都市,四川省,30.83,20200102
绵阳市,四川省,13.74,20200102
南充市,四川省,7.77,20200102
巴中市,四川省,5.91,20200102
重庆市,重庆市,3.67,20200102
凉山彝族自治州,四川省,3.27,20200102
德阳市,四川省,2.91,20200102
汉中市,陕西省,2.7,20200102
陇南市,甘肃省,2.48,20200102
达州市,四川省,1.82,20200102
广安市,四川省,1.81,20200102
宜宾市,四川省,1.51,20200102
西安市,陕西省,1.4,20200102
遂宁市,四川省,1.35,20200102
乐山市,四川省,1.21,20200102
泸州市,四川省,1.15,20200102
内江市,四川省,1.12,20200102
眉山市,四川省,0.97,20200102
自贡市,四川省,0.8,20200102
阿坝藏族羌族自治州,四川省,0.72,20200102
北京市,北京市,0.69,20200102
资阳市,四川省,0.64,20200102
雅安市,四川省,0.57,20200102
宝鸡市,陕西省,0.44,20200102
兰州市,甘肃省,0.4,20200102
宁波市,浙江省,0.36,20200102
攀枝花市,四川省,0.34,20200102
上海市,上海市,0.33,20200102
太原市,山西省,0.32,20200102
甘孜藏族自治州,四川省,0.31,20200102
深圳市,广东省,0.25,20200102
乌鲁木齐市,新疆维吾尔自治区,0.23,20200102
咸阳市,陕西省,0.2,20200102
安康市,陕西省,0.19,20200102
贵阳市,贵州省,0.19,20200102
天水市,甘肃省,0.18,20200102
东莞市,广东省,0.17,20200102
渭南市,陕西省,0.17,20200102
郑州市,河南省,0.16,20200102
武汉市,湖北省,0.15,20200102
昭通市,云南省,0.15,20200102
遵义市,贵州省,0.15,20200102
中山市,广东省,0.14,20200102
金华市,浙江省,0.13,20200102
毕节市,贵州省,0.12,20200102
苏州市,江苏省,0.12,20200102
徐州市,江苏省,0.11,20200102
台州市,浙江省,0.11,20200102
甘南藏族自治州,甘肃省,0.1,20200102
保定市,河北省,0.1,20200102
成都市,四川省,30.37,20200103
绵阳市,四川省,18.29,20200103
南充市,四川省,9.97,20200103
巴中市,四川省,6.24,20200103
