city_name,province_name,value,date
佛山市,广东省,29.48,20200101
东莞市,广东省,12.6,20200101
深圳市,广东省,7.6,20200101
清远市,广东省,5.26,20200101
中山市,广东省,4.13,20200101
惠州市,广东省,3.33,20200101
肇庆市,广东省,2.6,20200101
江门市,广东省,2.47,20200101
湛江市,广东省,1.98,20200101
珠海市,广东省,1.93,20200101
韶关市,广东省,1.76,20200101
茂名市,广东省,1.74,20200101
云浮市,广东省,1.01,20200101
梅州市,广东省,0.95,20200101
阳江市,广东省,0.92,20200101
揭阳市,广东省,0.85,20200101
河源市,广东省,0.83,20200101
汕头市,广东省,0.81,20200101
北京市,北京市,0.71,20200101
衡阳市,湖南省,0.7,20200101
长沙市,湖南省,0.65,20200101
上海市,上海市,0.64,20200101
赣州市,江西省,0.63,20200101
汕尾市,广东省,0.63,20200101
南宁市,广西壮族自治区,0.53,20200101
郴州市,湖南省,0.5,20200101
武汉市,湖北省,0.41,20200101
梧州市,广西壮族自治区,0.39,20200101
重庆市,重庆市,0.38,20200101
成都市,四川省,0.36,20200101
玉林市,广西壮族自治区,0.35,20200101
潮州市,广东省,0.34,20200101
贵港市,广西壮族自治区,0.34,20200101
桂林市,广西壮族自治区,0.33,20200101
香港,香港,0.33,20200101
永州市,湖南省,0.29,20200101
杭州市,浙江省,0.26,20200101
厦门市,福建省,0.25,20200101
邵阳市,湖南省,0.24,20200101
贺州市,广西壮族自治区,0.22,20200101
郑州市,河南省,0.22,20200101
海口市,海南省,0.2,20200101
西安市,陕西省,0.2,20200101
钦州市,广西壮族自治区,0.19,20200101
澳门,澳门,0.19,20200101
贵阳市,贵州省,0.18,20200101
南昌市,江西省,0.18,20200101
天津市,天津市,0.18,20200101
株洲市,湖南省,0.16,20200101
福州市,福建省,0.16,20200101
佛山市,广东省,18.19,20200102
东莞市,广东省,9.19,20200102
深圳市,广东省,8.41,20200102
清远市,广东省,5.42,20200102
惠州市,广东省,3.42,20200102
中山市,广东省,3.26,20200102
肇庆市,广东省,2.86,20200102
湛江市,广东省,2.61,20200102
江门市,广东省,2.51,20200102
韶关市,广东省,2.26,20200102
茂名市,广东省,2.24,20200102
珠海市,广东省,1.91,20200102
北京市,北京市,1.27,20200102
揭阳市,广东省,1.18,20200102
云浮市,广东省,1.18,20200102
梅州市,广东省,1.17,20200102
阳江市,广东省,1.17,20200102
汕头市,广东省,1.13,20200102
长沙市,湖南省,1.13,20200102
上海市,上海市,1.07,20200102
河源市,广东省,1.03,20200102
衡阳市,湖南省,0.83,20200102
南宁市,广西壮族自治区,0.81,20200102
汕尾市,广东省,0.79,20200102
武汉市,湖北省,0.77,20200102
赣州市,江西省,0.75,20200102
成都市,四川省,0.62,20200102
郴州市,湖南省,0.61,20200102
重庆市,重庆市,0.56,20200102
梧州市,广西壮族自治区,0.53,20200102
玉林市,广西壮族自治区,0.52,20200102
贵港市,广西壮族自治区,0.49,20200102
香港,香港,0.48,20200102
潮州市,广东省,0.45,20200102
杭州市,浙江省,0.44,20200102
桂林市,广西壮族自治区,0.43,20200102
郑州市,河南省,0.39,20200102
永州市,湖南省,0.37,20200102
天津市,天津市,0.36,20200102
邵阳市,湖南省,0.34,20200102
西安市,陕西省,0.33,20200102
南京市,江苏省,0.33,20200102
贺州市,广西壮族自治区,0.31,20200102
南昌市,江西省,0.31,20200102
贵阳市,贵州省,0.3,20200102
海口市,海南省,0.3,20200102
昆明市,云南省,0.3,20200102
厦门市,福建省,0.3,20200102
株洲市,湖南省,0.3,20200102
苏州市,江苏省,0.28,20200102
佛山市,广东省,23.42,20200103
东莞市,广东省,10.86,20200103
深圳市,广东省,10.38,20200103
清远市,广东省,4.99,20200103
惠州市,广东省,3.51,20200103
中山市,广东省,3.4,20200103
肇庆市,广东省,2.77,20200103
江门市,广东省,2.45,20200103
珠海市,广东省,2.22,20200103
韶关市,广东省,2.11,20200103
湛江市,广东省,2.04,20200103
茂名市,广东省,1.64,20200103
河源市,广东省,1.07,20200103
阳江市,广东省,1.06,20200103
云浮市,广东省,1.04,20200103
梅州市,广东省,1.01,20200103
汕头市,广东省,0.97,20200103
揭阳市,广东省,0.94,20200103
长沙市,湖南省,0.93,20200103
北京市,北京市,0.93,20200103
上海市,上海市,0.79,20200103
汕尾市,广东省,0.73,20200103
南宁市,广西壮族自治区,0.73,20200103
衡阳市,湖南省,0.68,20200103
赣州市,江西省,0.61,20200103
武汉市,湖北省,0.61,20200103
香港,香港,0.51,20200103
郴州市,湖南省,0.48,20200103
成都市,四川省,0.46,20200103
梧州市,广西壮族自治区,0.42,20200103
重庆市,重庆市,0.39,20200103
玉林市,广西壮族自治区,0.37,20200103
贵港市,广西壮族自治区,0.37,20200103
潮州市,广东省,0.37,20200103
桂林市,广西壮族自治区,0.36,20200103
株洲市,湖南省,0.33,20200103
杭州市,浙江省,0.33,20200103
郑州市,河南省,0.32,20200103
永州市,湖南省,0.32,20200103
南昌市,江西省,0.3,20200103
天津市,天津市,0.29,20200103
贵阳市,贵州省,0.28,20200103
厦门市,福建省,0.26,20200103
海口市,海南省,0.26,20200103
昆明市,云南省,0.24,20200103
西安市,陕西省,0.24,20200103
南京市,江苏省,0.24,20200103
澳门,澳门,0.24,20200103
邵阳市,湖南省,0.23,20200103
贺州市,广西壮族自治区,0.22,20200103
佛山市,广东省,25.87,20200104
东莞市,广东省,11.84,20200104
深圳市,广东省,10.03,20200104
清远市,广东省,4.96,20200104
中山市,广东省,3.86,20200104
惠州市,广东省,3.65,20200104
江门市,广东省,2.65,20200104
肇庆市,广东省,2.59,20200104
珠海市,广东省,2.12,20200104
韶关市,广东省,1.7,20200104
湛江市,广东省,1.66,20200104
茂名市,广东省,1.32,20200104
梅州市,广东省,0.95,20200104
北京市,北京市,0.93,20200104
阳江市,广东省,0.88,20200104
河源市,广东省,0.88,20200104
云浮市,广东省,0.86,20200104
长沙市,湖南省,0.85,20200104
汕头市,广东省,0.83,20200104
上海市,上海市,0.79,20200104
揭阳市,广东省,0.78,20200104
衡阳市,湖南省,0.7,20200104
南宁市,广西壮族自治区,0.62,20200104
汕尾市,广东省,0.61,20200104
赣州市,江西省,0.58,20200104
武汉市,湖北省,0.48,20200104
郴州市,湖南省,0.47,20200104
香港,香港,0.42,20200104
成都市,四川省,0.41,20200104
重庆市,重庆市,0.41,20200104
梧州市,广西壮族自治区,0.39,20200104
潮州市,广东省,0.36,20200104
桂林市,广西壮族自治区,0.35,20200104
