city_name,province_name,value,date
佛山市,广东省,24.57,20200101
东莞市,广东省,10.89,20200101
深圳市,广东省,6.47,20200101
清远市,广东省,6.16,20200101
中山市,广东省,3.35,20200101
惠州市,广东省,3.34,20200101
肇庆市,广东省,2.93,20200101
江门市,广东省,2.5,20200101
湛江市,广东省,2.1,20200101
韶关市,广东省,1.78,20200101
珠海市,广东省,1.71,20200101
茂名市,广东省,1.44,20200101
衡阳市,湖南省,1.23,20200101
揭阳市,广东省,1.07,20200101
梅州市,广东省,0.96,20200101
云浮市,广东省,0.95,20200101
赣州市,江西省,0.87,20200101
汕头市,广东省,0.85,20200101
河源市,广东省,0.85,20200101
阳江市,广东省,0.79,20200101
汕尾市,广东省,0.75,20200101
郴州市,湖南省,0.71,20200101
重庆市,重庆市,0.71,20200101
长沙市,湖南省,0.68,20200101
北京市,北京市,0.64,20200101
荆州市,湖北省,0.62,20200101
上海市,上海市,0.58,20200101
南宁市,广西壮族自治区,0.58,20200101
香港,香港,0.57,20200101
永州市,湖南省,0.56,20200101
澳门,澳门,0.51,20200101
邵阳市,湖南省,0.49,20200101
贵港市,广西壮族自治区,0.45,20200101
梧州市,广西壮族自治区,0.45,20200101
玉林市,广西壮族自治区,0.43,20200101
天门市,湖北省,0.41,20200101
武汉市,湖北省,0.41,20200101
桂林市,广西壮族自治区,0.38,20200101
成都市,四川省,0.34,20200101
潮州市,广东省,0.32,20200101
钦州市,广西壮族自治区,0.29,20200101
驻马店市,河南省,0.28,20200101
常德市,湖南省,0.28,20200101
岳阳市,湖南省,0.26,20200101
杭州市,浙江省,0.26,20200101
贺州市,广西壮族自治区,0.25,20200101
厦门市,福建省,0.23,20200101
仙桃市,湖北省,0.23,20200101
株洲市,湖南省,0.22,20200101
遵义市,贵州省,0.21,20200101
佛山市,广东省,13.55,20200102
东莞市,广东省,7.06,20200102
深圳市,广东省,6.39,20200102
清远市,广东省,4.48,20200102
惠州市,广东省,3.15,20200102
湛江市,广东省,3.0,20200102
中山市,广东省,2.67,20200102
江门市,广东省,2.44,20200102
肇庆市,广东省,2.29,20200102
衡阳市,湖南省,1.97,20200102
茂名市,广东省,1.95,20200102
韶关市,广东省,1.85,20200102
珠海市,广东省,1.84,20200102
揭阳市,广东省,1.39,20200102
汕头市,广东省,1.38,20200102
梅州市,广东省,1.37,20200102
荆州市,湖北省,1.36,20200102
重庆市,重庆市,1.22,20200102
赣州市,江西省,1.17,20200102
阳江市,广东省,1.07,20200102
河源市,广东省,1.05,20200102
天门市,湖北省,1.03,20200102
郴州市,湖南省,0.99,20200102
汕尾市,广东省,0.96,20200102
云浮市,广东省,0.96,20200102
长沙市,湖南省,0.93,20200102
北京市,北京市,0.9,20200102
永州市,湖南省,0.86,20200102
邵阳市,湖南省,0.81,20200102
南宁市,广西壮族自治区,0.76,20200102
上海市,上海市,0.7,20200102
驻马店市,河南省,0.64,20200102
香港,香港,0.64,20200102
仙桃市,湖北省,0.57,20200102
玉林市,广西壮族自治区,0.56,20200102
贵港市,广西壮族自治区,0.56,20200102
潮州市,广东省,0.55,20200102
梧州市,广西壮族自治区,0.53,20200102
武汉市,湖北省,0.52,20200102
桂林市,广西壮族自治区,0.52,20200102
成都市,四川省,0.49,20200102
澳门,澳门,0.47,20200102
岳阳市,湖南省,0.43,20200102
常德市,湖南省,0.43,20200102
南充市,四川省,0.42,20200102
钦州市,广西壮族自治区,0.42,20200102
达州市,四川省,0.37,20200102
厦门市,福建省,0.37,20200102
潜江市,湖北省,0.35,20200102
株洲市,湖南省,0.34,20200102
佛山市,广东省,23.17,20200103
东莞市,广东省,7.7,20200103
深圳市,广东省,6.48,20200103
清远市,广东省,5.47,20200103
惠州市,广东省,3.46,20200103
中山市,广东省,2.85,20200103
江门市,广东省,2.73,20200103
湛江市,广东省,2.56,20200103
肇庆市,广东省,2.41,20200103
韶关市,广东省,2.02,20200103
珠海市,广东省,1.88,20200103
茂名市,广东省,1.67,20200103
衡阳市,湖南省,1.41,20200103
揭阳市,广东省,1.25,20200103
梅州市,广东省,1.24,20200103
汕头市,广东省,1.21,20200103
河源市,广东省,1.01,20200103
阳江市,广东省,0.99,20200103
云浮市,广东省,0.94,20200103
赣州市,江西省,0.94,20200103
重庆市,重庆市,0.93,20200103
荆州市,湖北省,0.91,20200103
汕尾市,广东省,0.89,20200103
长沙市,湖南省,0.8,20200103
郴州市,湖南省,0.78,20200103
天门市,湖北省,0.74,20200103
北京市,北京市,0.6,20200103
永州市,湖南省,0.59,20200103
南宁市,广西壮族自治区,0.59,20200103
香港,香港,0.58,20200103
邵阳市,湖南省,0.55,20200103
潮州市,广东省,0.54,20200103
上海市,上海市,0.53,20200103
澳门,澳门,0.46,20200103
武汉市,湖北省,0.45,20200103
桂林市,广西壮族自治区,0.44,20200103
仙桃市,湖北省,0.43,20200103
驻马店市,河南省,0.42,20200103
梧州市,广西壮族自治区,0.41,20200103
成都市,四川省,0.39,20200103
贵港市,广西壮族自治区,0.39,20200103
玉林市,广西壮族自治区,0.38,20200103
厦门市,福建省,0.33,20200103
岳阳市,湖南省,0.31,20200103
常德市,湖南省,0.29,20200103
南充市,四川省,0.26,20200103
钦州市,广西壮族自治区,0.26,20200103
贺州市,广西壮族自治区,0.26,20200103
达州市,四川省,0.25,20200103
孝感市,湖北省,0.25,20200103
佛山市,广东省,21.23,20200104
东莞市,广东省,8.15,20200104
深圳市,广东省,6.54,20200104
清远市,广东省,5.84,20200104
惠州市,广东省,3.66,20200104
中山市,广东省,2.93,20200104
江门市,广东省,2.62,20200104
肇庆市,广东省,2.57,20200104
湛江市,广东省,2.48,20200104
韶关市,广东省,1.89,20200104
珠海市,广东省,1.89,20200104
茂名市,广东省,1.66,20200104
衡阳市,湖南省,1.4,20200104
揭阳市,广东省,1.3,20200104
汕头市,广东省,1.23,20200104
梅州市,广东省,1.2,20200104
荆州市,湖北省,0.99,20200104
河源市,广东省,0.98,20200104
云浮市,广东省,0.95,20200104
重庆市,重庆市,0.92,20200104
阳江市,广东省,0.9,20200104
赣州市,江西省,0.9,20200104
汕尾市,广东省,0.87,20200104
天门市,湖北省,0.86,20200104
郴州市,湖南省,0.77,20200104
长沙市,湖南省,0.67,20200104
北京市,北京市,0.64,20200104
永州市,湖南省,0.63,20200104
澳门,澳门,0.61,20200104
邵阳市,湖南省,0.59,20200104
上海市,上海市,0.58,20200104
南宁市,广西壮族自治区,0.56,20200104
潮州市,广东省,0.52,20200104
香港,香港,0.51,20200104
仙桃市,湖北省,0.48,20200104
武汉市,湖北省,0.47,20200104
驻马店市,河南省,0.41,20200104
贵港市,广西壮族自治区,0.41,20200104
梧州市,广西壮族自治区,0.41,20200104
玉林市,广西壮族自治区,0.4,20200104
成都市,四川省,0.4,20200104
桂林市,广西壮族自治区,0.35,20200104
常德市,湖南省,0.3,20200104
岳阳市,湖南省,0.3,20200104
黔东南苗族侗族自治州,贵州省,0.28,20200104
毕节市,贵州省,0.28,20200104
南充市,四川省,0.28,20200104
达州市,四川省,0.27,20200104
黄冈市,湖北省,0.27,20200104
钦州市,广西壮族自治区,0.26,20200104
佛山市,广东省,19.26,20200105
东莞市,广东省,8.3,20200105
深圳市,广东省,7.83,20200105
清远市,广东省,5.03,20200105
惠州市,广东省,3.07,20200105
中山市,广东省,2.63,20200105
湛江市,广东省,2.58,20200105
肇庆市,广东省,2.34,20200105
江门市,广东省,2.29,20200105
珠海市,广东省,1.83,20200105
韶关市,广东省,1.72,20200105
茂名市,广东省,1.66,20200105
衡阳市,湖南省,1.54,20200105
揭阳市,广东省,1.27,20200105
