city_name,province_name,value,date
北京市,北京市,54.31,20200101
天津市,天津市,15.63,20200101
保定市,河北省,6.37,20200101
沧州市,河北省,4.93,20200101
唐山市,河北省,2.04,20200101
石家庄市,河北省,1.94,20200101
衡水市,河北省,1.41,20200101
张家口市,河北省,0.84,20200101
承德市,河北省,0.73,20200101
邯郸市,河北省,0.72,20200101
邢台市,河北省,0.49,20200101
秦皇岛市,河北省,0.48,20200101
德州市,山东省,0.4,20200101
赤峰市,内蒙古自治区,0.28,20200101
济南市,山东省,0.25,20200101
哈尔滨市,黑龙江省,0.23,20200101
滨州市,山东省,0.22,20200101
聊城市,山东省,0.22,20200101
郑州市,河南省,0.2,20200101
上海市,上海市,0.19,20200101
菏泽市,山东省,0.19,20200101
沈阳市,辽宁省,0.17,20200101
西安市,陕西省,0.15,20200101
长春市,吉林省,0.15,20200101
青岛市,山东省,0.15,20200101
大同市,山西省,0.15,20200101
临沂市,山东省,0.14,20200101
潍坊市,山东省,0.14,20200101
济宁市,山东省,0.14,20200101
重庆市,重庆市,0.14,20200101
太原市,山西省,0.13,20200101
锡林郭勒盟,内蒙古自治区,0.12,20200101
深圳市,广东省,0.12,20200101
濮阳市,河南省,0.12,20200101
成都市,四川省,0.11,20200101
呼和浩特市,内蒙古自治区,0.11,20200101
武汉市,湖北省,0.11,20200101
徐州市,江苏省,0.1,20200101
广州市,广东省,0.09,20200101
晋中市,山西省,0.09,20200101
葫芦岛市,辽宁省,0.09,20200101
泰安市,山东省,0.09,20200101
三亚市,海南省,0.08,20200101
苏州市,江苏省,0.08,20200101
周口市,河南省,0.08,20200101
烟台市,山东省,0.08,20200101
商丘市,河南省,0.08,20200101
包头市,内蒙古自治区,0.08,20200101
安阳市,河南省,0.08,20200101
淄博市,山东省,0.08,20200101
北京市,北京市,44.08,20200102
天津市,天津市,11.44,20200102
保定市,河北省,6.9,20200102
沧州市,河北省,4.81,20200102
石家庄市,河北省,3.92,20200102
唐山市,河北省,2.52,20200102
衡水市,河北省,1.67,20200102
承德市,河北省,1.3,20200102
张家口市,河北省,1.24,20200102
邯郸市,河北省,1.11,20200102
秦皇岛市,河北省,0.92,20200102
邢台市,河北省,0.82,20200102
德州市,山东省,0.58,20200102
济南市,山东省,0.5,20200102
哈尔滨市,黑龙江省,0.48,20200102
沈阳市,辽宁省,0.46,20200102
聊城市,山东省,0.4,20200102
赤峰市,内蒙古自治区,0.39,20200102
上海市,上海市,0.35,20200102
青岛市,山东省,0.33,20200102
滨州市,山东省,0.33,20200102
长春市,吉林省,0.33,20200102
郑州市,河南省,0.32,20200102
临沂市,山东省,0.32,20200102
菏泽市,山东省,0.3,20200102
成都市,四川省,0.29,20200102
潍坊市,山东省,0.27,20200102
苏州市,江苏省,0.27,20200102
西安市,陕西省,0.26,20200102
濮阳市,河南省,0.26,20200102
深圳市,广东省,0.25,20200102
重庆市,重庆市,0.23,20200102
济宁市,山东省,0.23,20200102
呼和浩特市,内蒙古自治区,0.21,20200102
大连市,辽宁省,0.2,20200102
太原市,山西省,0.2,20200102
武汉市,湖北省,0.19,20200102
大同市,山西省,0.19,20200102
鞍山市,辽宁省,0.18,20200102
葫芦岛市,辽宁省,0.17,20200102
淄博市,山东省,0.17,20200102
徐州市,江苏省,0.17,20200102
烟台市,山东省,0.17,20200102
广州市,广东省,0.15,20200102
南京市,江苏省,0.15,20200102
吉林市,吉林省,0.15,20200102
锡林郭勒盟,内蒙古自治区,0.15,20200102
杭州市,浙江省,0.14,20200102
长沙市,湖南省,0.14,20200102
四平市,吉林省,0.14,20200102
北京市,北京市,68.69,20200103
