city_name,province_name,value,date
北京市,北京市,54.49,20200101
天津市,天津市,14.59,20200101
保定市,河北省,6.46,20200101
沧州市,河北省,4.75,20200101
唐山市,河北省,1.49,20200101
石家庄市,河北省,1.42,20200101
衡水市,河北省,0.81,20200101
张家口市,河北省,0.78,20200101
邯郸市,河北省,0.75,20200101
承德市,河北省,0.73,20200101
邢台市,河北省,0.51,20200101
秦皇岛市,河北省,0.4,20200101
哈尔滨市,黑龙江省,0.39,20200101
赤峰市,内蒙古自治区,0.31,20200101
德州市,山东省,0.29,20200101
济南市,山东省,0.27,20200101
周口市,河南省,0.26,20200101
重庆市,重庆市,0.21,20200101
沈阳市,辽宁省,0.2,20200101
郑州市,河南省,0.19,20200101
齐齐哈尔市,黑龙江省,0.19,20200101
菏泽市,山东省,0.19,20200101
长春市,吉林省,0.18,20200101
绥化市,黑龙江省,0.18,20200101
聊城市,山东省,0.16,20200101
商丘市,河南省,0.15,20200101
上海市,上海市,0.15,20200101
十堰市,湖北省,0.15,20200101
潍坊市,山东省,0.15,20200101
成都市,四川省,0.14,20200101
西安市,陕西省,0.14,20200101
南阳市,河南省,0.14,20200101
青岛市,山东省,0.14,20200101
滨州市,山东省,0.13,20200101
临沂市,山东省,0.13,20200101
安阳市,河南省,0.13,20200101
太原市,山西省,0.13,20200101
葫芦岛市,辽宁省,0.12,20200101
驻马店市,河南省,0.12,20200101
信阳市,河南省,0.12,20200101
阜阳市,安徽省,0.12,20200101
濮阳市,河南省,0.12,20200101
济宁市,山东省,0.12,20200101
大同市,山西省,0.11,20200101
安康市,陕西省,0.11,20200101
广州市,广东省,0.11,20200101
锦州市,辽宁省,0.1,20200101
呼和浩特市,内蒙古自治区,0.1,20200101
忻州市,山西省,0.1,20200101
亳州市,安徽省,0.1,20200101
北京市,北京市,45.66,20200102
天津市,天津市,9.38,20200102
保定市,河北省,5.28,20200102
沧州市,河北省,3.52,20200102
石家庄市,河北省,2.4,20200102
唐山市,河北省,1.9,20200102
张家口市,河北省,1.32,20200102
承德市,河北省,1.24,20200102
邯郸市,河北省,1.17,20200102
衡水市,河北省,1.13,20200102
邢台市,河北省,0.82,20200102
秦皇岛市,河北省,0.76,20200102
哈尔滨市,黑龙江省,0.7,20200102
周口市,河南省,0.64,20200102
重庆市,重庆市,0.57,20200102
赤峰市,内蒙古自治区,0.5,20200102
菏泽市,山东省,0.49,20200102
绥化市,黑龙江省,0.44,20200102
德州市,山东省,0.44,20200102
济南市,山东省,0.39,20200102
