city_name,province_name,value,date
西安市,陕西省,35.63,20200101
榆林市,陕西省,25.0,20200101
渭南市,陕西省,7.6,20200101
咸阳市,陕西省,3.85,20200101
临汾市,山西省,3.45,20200101
铜川市,陕西省,3.26,20200101
庆阳市,甘肃省,2.81,20200101
银川市,宁夏回族自治区,1.8,20200101
运城市,山西省,1.71,20200101
北京市,北京市,1.18,20200101
鄂尔多斯市,内蒙古自治区,0.98,20200101
吕梁市,山西省,0.96,20200101
宝鸡市,陕西省,0.77,20200101
商洛市,陕西省,0.49,20200101
吴忠市,宁夏回族自治区,0.42,20200101
汉中市,陕西省,0.35,20200101
南阳市,河南省,0.35,20200101
石家庄市,河北省,0.33,20200101
郑州市,河南省,0.32,20200101
重庆市,重庆市,0.29,20200101
安康市,陕西省,0.29,20200101
邯郸市,河北省,0.26,20200101
成都市,四川省,0.25,20200101
三门峡市,河南省,0.23,20200101
洛阳市,河南省,0.19,20200101
晋中市,山西省,0.19,20200101
天津市,天津市,0.19,20200101
太原市,山西省,0.18,20200101
阿拉善盟,内蒙古自治区,0.16,20200101
包头市,内蒙古自治区,0.16,20200101
焦作市,河南省,0.16,20200101
濮阳市,河南省,0.14,20200101
上海市,上海市,0.13,20200101
广州市,广东省,0.13,20200101
新乡市,河南省,0.13,20200101
晋城市,山西省,0.13,20200101
平凉市,甘肃省,0.12,20200101
石嘴山市,宁夏回族自治区,0.12,20200101
巴彦淖尔市,内蒙古自治区,0.12,20200101
沧州市,河北省,0.11,20200101
潍坊市,山东省,0.09,20200101
阳泉市,山西省,0.09,20200101
襄阳市,湖北省,0.09,20200101
杭州市,浙江省,0.09,20200101
乌海市,内蒙古自治区,0.09,20200101
南京市,江苏省,0.08,20200101
呼和浩特市,内蒙古自治区,0.08,20200101
白银市,甘肃省,0.07,20200101
长治市,山西省,0.07,20200101
苏州市,江苏省,0.07,20200101
西安市,陕西省,40.55,20200102
榆林市,陕西省,21.01,20200102
渭南市,陕西省,5.57,20200102
咸阳市,陕西省,4.35,20200102
庆阳市,甘肃省,2.39,20200102
铜川市,陕西省,2.12,20200102
临汾市,山西省,2.05,20200102
银川市,宁夏回族自治区,1.93,20200102
运城市,山西省,1.89,20200102
鄂尔多斯市,内蒙古自治区,1.04,20200102
吕梁市,山西省,0.97,20200102
北京市,北京市,0.89,20200102
宝鸡市,陕西省,0.85,20200102
吴忠市,宁夏回族自治区,0.58,20200102
南阳市,河南省,0.51,20200102
邯郸市,河北省,0.48,20200102
石家庄市,河北省,0.38,20200102
天津市,天津市,0.36,20200102
郑州市,河南省,0.34,20200102
上海市,上海市,0.33,20200102
商洛市,陕西省,0.33,20200102
三门峡市,河南省,0.31,20200102
安康市,陕西省,0.3,20200102
重庆市,重庆市,0.3,20200102
武汉市,湖北省,0.29,20200102
潍坊市,山东省,0.27,20200102
成都市,四川省,0.26,20200102
汉中市,陕西省,0.24,20200102
晋中市,山西省,0.21,20200102
石嘴山市,宁夏回族自治区,0.21,20200102
包头市,内蒙古自治区,0.19,20200102
长治市,山西省,0.19,20200102
沧州市,河北省,0.17,20200102
洛阳市,河南省,0.16,20200102
广州市,广东省,0.15,20200102
太原市,山西省,0.15,20200102
南京市,江苏省,0.14,20200102
平凉市,甘肃省,0.14,20200102
呼和浩特市,内蒙古自治区,0.14,20200102
哈尔滨市,黑龙江省,0.14,20200102
濮阳市,河南省,0.13,20200102
临沂市,山东省,0.13,20200102
绵阳市,四川省,0.12,20200102
保定市,河北省,0.12,20200102
固原市,宁夏回族自治区,0.12,20200102
乌海市,内蒙古自治区,0.11,20200102
平顶山市,河南省,0.11,20200102
苏州市,江苏省,0.11,20200102
巴彦淖尔市,内蒙古自治区,0.1,20200102
安阳市,河南省,0.1,20200102
西安市,陕西省,37.99,20200103
榆林市,陕西省,22.51,20200103
渭南市,陕西省,6.83,20200103
咸阳市,陕西省,4.19,20200103
临汾市,山西省,2.86,20200103
铜川市,陕西省,2.74,20200103
庆阳市,甘肃省,2.67,20200103
银川市,宁夏回族自治区,2.02,20200103
运城市,山西省,1.89,20200103
鄂尔多斯市,内蒙古自治区,1.04,20200103
北京市,北京市,0.98,20200103
宝鸡市,陕西省,0.86,20200103
吕梁市,山西省,0.77,20200103
上海市,上海市,0.47,20200103
吴忠市,宁夏回族自治区,0.45,20200103
南阳市,河南省,0.39,20200103
石嘴山市,宁夏回族自治区,0.35,20200103
商洛市,陕西省,0.33,20200103
汉中市,陕西省,0.3,20200103
安康市,陕西省,0.3,20200103
重庆市,重庆市,0.29,20200103
邯郸市,河北省,0.28,20200103
成都市,四川省,0.26,20200103
郑州市,河南省,0.25,20200103
天津市,天津市,0.24,20200103
晋中市,山西省,0.23,20200103
石家庄市,河北省,0.2,20200103
太原市,山西省,0.2,20200103
兰州市,甘肃省,0.2,20200103
三门峡市,河南省,0.19,20200103
临沂市,山东省,0.19,20200103
沧州市,河北省,0.19,20200103
包头市,内蒙古自治区,0.17,20200103
平凉市,甘肃省,0.17,20200103
长春市,吉林省,0.16,20200103
苏州市,江苏省,0.14,20200103
洛阳市,河南省,0.13,20200103
安阳市,河南省,0.13,20200103
广州市,广东省,0.13,20200103
杭州市,浙江省,0.13,20200103
乌海市,内蒙古自治区,0.11,20200103
焦作市,河南省,0.11,20200103
潍坊市,山东省,0.1,20200103
潜江市,湖北省,0.1,20200103
阿拉善盟,内蒙古自治区,0.09,20200103
武汉市,湖北省,0.09,20200103
廊坊市,河北省,0.09,20200103
呼和浩特市,内蒙古自治区,0.09,20200103
唐山市,河北省,0.09,20200103
巴彦淖尔市,内蒙古自治区,0.09,20200103
西安市,陕西省,40.23,20200104
榆林市,陕西省,21.42,20200104
渭南市,陕西省,6.64,20200104
咸阳市,陕西省,4.37,20200104
临汾市,山西省,2.65,20200104
铜川市,陕西省,2.6,20200104
庆阳市,甘肃省,2.4,20200104
银川市,宁夏回族自治区,2.02,20200104
运城市,山西省,1.62,20200104
北京市,北京市,1.23,20200104
鄂尔多斯市,内蒙古自治区,1.14,20200104
宝鸡市,陕西省,0.83,20200104
吕梁市,山西省,0.71,20200104
南阳市,河南省,0.46,20200104
吴忠市,宁夏回族自治区,0.43,20200104
成都市,四川省,0.39,20200104
汉中市,陕西省,0.35,20200104
商洛市,陕西省,0.35,20200104
太原市,山西省,0.3,20200104
邯郸市,河北省,0.28,20200104
安康市,陕西省,0.26,20200104
郑州市,河南省,0.26,20200104
天津市,天津市,0.25,20200104
石嘴山市,宁夏回族自治区,0.23,20200104
包头市,内蒙古自治区,0.21,20200104
重庆市,重庆市,0.2,20200104
洛阳市,河南省,0.19,20200104
武汉市,湖北省,0.18,20200104
上海市,上海市,0.18,20200104
广州市,广东省,0.16,20200104
晋中市,山西省,0.16,20200104
三门峡市,河南省,0.15,20200104
兰州市,甘肃省,0.15,20200104
沧州市,河北省,0.14,20200104
保定市,河北省,0.14,20200104
石家庄市,河北省,0.14,20200104
临沂市,山东省,0.14,20200104
长春市,吉林省,0.13,20200104
焦作市,河南省,0.12,20200104
巴彦淖尔市,内蒙古自治区,0.12,20200104
平凉市,甘肃省,0.12,20200104
济南市,山东省,0.11,20200104
新乡市,河南省,0.11,20200104
呼和浩特市,内蒙古自治区,0.11,20200104
潍坊市,山东省,0.11,20200104
徐州市,江苏省,0.1,20200104
长沙市,湖南省,0.1,20200104
哈尔滨市,黑龙江省,0.1,20200104
苏州市,江苏省,0.1,20200104
深圳市,广东省,0.09,20200104
西安市,陕西省,58.73,20200105
榆林市,陕西省,11.29,20200105
渭南市,陕西省,4.91,20200105
咸阳市,陕西省,4.59,20200105
铜川市,陕西省,2.36,20200105
北京市,北京市,2.02,20200105
庆阳市,甘肃省,1.69,20200105
宝鸡市,陕西省,1.12,20200105
临汾市,山西省,1.03,20200105
银川市,宁夏回族自治区,0.72,20200105
鄂尔多斯市,内蒙古自治区,0.53,20200105
成都市,四川省,0.46,20200105
汉中市,陕西省,0.46,20200105
运城市,山西省,0.42,20200105
