city_name,province_name,value,date
郑州市,河南省,46.61,20200101
商丘市,河南省,7.02,20200101
新乡市,河南省,4.44,20200101
周口市,河南省,4.32,20200101
菏泽市,山东省,4.22,20200101
许昌市,河南省,3.57,20200101
洛阳市,河南省,1.49,20200101
焦作市,河南省,1.48,20200101
苏州市,江苏省,1.35,20200101
北京市,北京市,1.3,20200101
安阳市,河南省,1.18,20200101
平顶山市,河南省,1.13,20200101
濮阳市,河南省,1.06,20200101
南阳市,河南省,0.98,20200101
上海市,上海市,0.76,20200101
驻马店市,河南省,0.75,20200101
信阳市,河南省,0.64,20200101
漯河市,河南省,0.56,20200101
西安市,陕西省,0.54,20200101
杭州市,浙江省,0.53,20200101
天津市,天津市,0.43,20200101
武汉市,湖北省,0.39,20200101
济宁市,山东省,0.39,20200101
宁波市,浙江省,0.39,20200101
石家庄市,河北省,0.37,20200101
金华市,浙江省,0.35,20200101
鹤壁市,河南省,0.34,20200101
南京市,江苏省,0.33,20200101
嘉兴市,浙江省,0.32,20200101
济南市,山东省,0.31,20200101
无锡市,江苏省,0.3,20200101
徐州市,江苏省,0.28,20200101
三门峡市,河南省,0.27,20200101
青岛市,山东省,0.27,20200101
深圳市,广东省,0.27,20200101
临沂市,山东省,0.26,20200101
晋城市,山西省,0.22,20200101
聊城市,山东省,0.21,20200101
阜阳市,安徽省,0.21,20200101
潍坊市,山东省,0.2,20200101
广州市,广东省,0.18,20200101
台州市,浙江省,0.18,20200101
厦门市,福建省,0.18,20200101
合肥市,安徽省,0.18,20200101
东莞市,广东省,0.18,20200101
保定市,河北省,0.17,20200101
亳州市,安徽省,0.16,20200101
宿州市,安徽省,0.16,20200101
成都市,四川省,0.16,20200101
济源市,河南省,0.16,20200101
郑州市,河南省,40.12,20200102
商丘市,河南省,4.9,20200102
新乡市,河南省,3.83,20200102
周口市,河南省,3.51,20200102
许昌市,河南省,2.68,20200102
菏泽市,山东省,2.24,20200102
苏州市,江苏省,2.22,20200102
焦作市,河南省,1.99,20200102
北京市,北京市,1.99,20200102
洛阳市,河南省,1.85,20200102
平顶山市,河南省,1.77,20200102
安阳市,河南省,1.53,20200102
上海市,上海市,1.29,20200102
南阳市,河南省,1.08,20200102
驻马店市,河南省,0.97,20200102
濮阳市,河南省,0.9,20200102
信阳市,河南省,0.85,20200102
杭州市,浙江省,0.8,20200102
宁波市,浙江省,0.66,20200102
漯河市,河南省,0.65,20200102
西安市,陕西省,0.63,20200102
天津市,天津市,0.61,20200102
嘉兴市,浙江省,0.54,20200102
青岛市,山东省,0.52,20200102
武汉市,湖北省,0.52,20200102
深圳市,广东省,0.48,20200102
东莞市,广东省,0.46,20200102
鹤壁市,河南省,0.46,20200102
石家庄市,河北省,0.44,20200102
济南市,山东省,0.43,20200102
无锡市,江苏省,0.43,20200102
金华市,浙江省,0.42,20200102
临沂市,山东省,0.41,20200102
广州市,广东省,0.4,20200102
济宁市,山东省,0.4,20200102
南京市,江苏省,0.39,20200102
潍坊市,山东省,0.38,20200102
厦门市,福建省,0.36,20200102
三门峡市,河南省,0.34,20200102
徐州市,江苏省,0.32,20200102
绍兴市,浙江省,0.31,20200102
常州市,江苏省,0.31,20200102
泉州市,福建省,0.3,20200102
保定市,河北省,0.3,20200102
台州市,浙江省,0.29,20200102
阜阳市,安徽省,0.29,20200102
福州市,福建省,0.27,20200102
邯郸市,河北省,0.26,20200102
温州市,浙江省,0.25,20200102
太原市,山西省,0.24,20200102
郑州市,河南省,48.07,20200103
商丘市,河南省,5.16,20200103
周口市,河南省,3.66,20200103
新乡市,河南省,3.61,20200103
许昌市,河南省,3.22,20200103
菏泽市,山东省,3.16,20200103
洛阳市,河南省,1.69,20200103
北京市,北京市,1.47,20200103
苏州市,江苏省,1.42,20200103
焦作市,河南省,1.38,20200103
安阳市,河南省,1.32,20200103
平顶山市,河南省,1.27,20200103
南阳市,河南省,0.99,20200103
濮阳市,河南省,0.96,20200103
上海市,上海市,0.86,20200103
驻马店市,河南省,0.83,20200103
漯河市,河南省,0.76,20200103
西安市,陕西省,0.64,20200103
杭州市,浙江省,0.6,20200103
信阳市,河南省,0.58,20200103
天津市,天津市,0.54,20200103
青岛市,山东省,0.4,20200103
深圳市,广东省,0.4,20200103
石家庄市,河北省,0.4,20200103
武汉市,湖北省,0.37,20200103
无锡市,江苏省,0.35,20200103
济南市,山东省,0.35,20200103
鹤壁市,河南省,0.35,20200103
徐州市,江苏省,0.33,20200103
宁波市,浙江省,0.32,20200103
南京市,江苏省,0.32,20200103
三门峡市,河南省,0.32,20200103
济宁市,山东省,0.3,20200103
东莞市,广东省,0.3,20200103
临沂市,山东省,0.29,20200103
保定市,河北省,0.28,20200103
金华市,浙江省,0.28,20200103
广州市,广东省,0.28,20200103
嘉兴市,浙江省,0.27,20200103
阜阳市,安徽省,0.26,20200103
绍兴市,浙江省,0.26,20200103
邯郸市,河北省,0.26,20200103
芜湖市,安徽省,0.21,20200103
合肥市,安徽省,0.2,20200103
温州市,浙江省,0.2,20200103
常州市,江苏省,0.19,20200103
聊城市,山东省,0.19,20200103
晋城市,山西省,0.19,20200103
长沙市,湖南省,0.18,20200103
廊坊市,河北省,0.18,20200103
郑州市,河南省,50.36,20200104
商丘市,河南省,5.72,20200104
周口市,河南省,3.91,20200104
新乡市,河南省,3.86,20200104
许昌市,河南省,3.46,20200104
菏泽市,山东省,3.38,20200104
洛阳市,河南省,1.3,20200104
平顶山市,河南省,1.3,20200104
苏州市,江苏省,1.23,20200104
焦作市,河南省,1.14,20200104
北京市,北京市,1.12,20200104
安阳市,河南省,1.06,20200104
南阳市,河南省,0.89,20200104
濮阳市,河南省,0.82,20200104
漯河市,河南省,0.78,20200104
上海市,上海市,0.76,20200104
驻马店市,河南省,0.74,20200104
西安市,陕西省,0.69,20200104
信阳市,河南省,0.54,20200104
杭州市,浙江省,0.52,20200104
天津市,天津市,0.44,20200104
青岛市,山东省,0.39,20200104
宁波市,浙江省,0.38,20200104
石家庄市,河北省,0.35,20200104
武汉市,湖北省,0.35,20200104
深圳市,广东省,0.33,20200104
济南市,山东省,0.32,20200104
鹤壁市,河南省,0.31,20200104
南京市,江苏省,0.3,20200104
临沂市,山东省,0.29,20200104
保定市,河北省,0.28,20200104
金华市,浙江省,0.28,20200104
无锡市,江苏省,0.27,20200104
济宁市,山东省,0.26,20200104
广州市,广东省,0.26,20200104
阜阳市,安徽省,0.25,20200104
徐州市,江苏省,0.24,20200104
三门峡市,河南省,0.24,20200104
聊城市,山东省,0.22,20200104
厦门市,福建省,0.22,20200104
嘉兴市,浙江省,0.22,20200104
东莞市,广东省,0.2,20200104
合肥市,安徽省,0.2,20200104
南通市,江苏省,0.2,20200104
邯郸市,河北省,0.19,20200104
成都市,四川省,0.16,20200104
吉安市,江西省,0.15,20200104
台州市,浙江省,0.15,20200104
亳州市,安徽省,0.15,20200104
潍坊市,山东省,0.15,20200104
郑州市,河南省,50.01,20200105
商丘市,河南省,5.64,20200105
周口市,河南省,4.0,20200105
新乡市,河南省,3.32,20200105
菏泽市,山东省,3.07,20200105
许昌市,河南省,3.01,20200105
洛阳市,河南省,1.42,20200105
苏州市,江苏省,1.3,20200105
北京市,北京市,1.27,20200105
焦作市,河南省,1.14,20200105
安阳市,河南省,1.07,20200105
平顶山市,河南省,1.02,20200105
南阳市,河南省,1.01,20200105
上海市,上海市,0.89,20200105
濮阳市,河南省,0.88,20200105
驻马店市,河南省,0.82,20200105
信阳市,河南省,0.75,20200105
西安市,陕西省,0.74,20200105
漯河市,河南省,0.58,20200105
杭州市,浙江省,0.53,20200105
金华市,浙江省,0.45,20200105
武汉市,湖北省,0.4,20200105
天津市,天津市,0.38,20200105
深圳市,广东省,0.37,20200105
南京市,江苏省,0.35,20200105
宁波市,浙江省,0.35,20200105
青岛市,山东省,0.34,20200105
三门峡市,河南省,0.34,20200105
无锡市,江苏省,0.33,20200105
济南市,山东省,0.32,20200105
广州市,广东省,0.32,20200105
徐州市,江苏省,0.32,20200105
石家庄市,河北省,0.28,20200105
嘉兴市,浙江省,0.28,20200105
临沂市,山东省,0.27,20200105
鹤壁市,河南省,0.26,20200105
济源市,河南省,0.25,20200105
阜阳市,安徽省,0.25,20200105
保定市,河北省,0.24,20200105
济宁市,山东省,0.23,20200105
厦门市,福建省,0.23,20200105
台州市,浙江省,0.22,20200105
东莞市,广东省,0.22,20200105
合肥市,安徽省,0.21,20200105
成都市,四川省,0.21,20200105
重庆市,重庆市,0.2,20200105
南通市,江苏省,0.19,20200105
温州市,浙江省,0.19,20200105
绍兴市,浙江省,0.18,20200105
潍坊市,山东省,0.18,20200105
郑州市,河南省,43.38,20200106
商丘市,河南省,6.34,20200106
周口市,河南省,3.86,20200106
新乡市,河南省,3.57,20200106
菏泽市,山东省,3.46,20200106
许昌市,河南省,3.01,20200106
苏州市,江苏省,1.8,20200106
洛阳市,河南省,1.57,20200106
北京市,北京市,1.28,20200106
安阳市,河南省,1.18,20200106
南阳市,河南省,1.15,20200106
焦作市,河南省,1.07,20200106
上海市,上海市,1.02,20200106
平顶山市,河南省,0.97,20200106
驻马店市,河南省,0.97,20200106
濮阳市,河南省,0.82,20200106
杭州市,浙江省,0.78,20200106
信阳市,河南省,0.73,20200106
西安市,陕西省,0.73,20200106
漯河市,河南省,0.65,20200106
天津市,天津市,0.57,20200106
石家庄市,河北省,0.52,20200106
深圳市,广东省,0.51,20200106
武汉市,湖北省,0.47,20200106
南京市,江苏省,0.47,20200106
无锡市,江苏省,0.45,20200106
青岛市,山东省,0.43,20200106
济南市,山东省,0.41,20200106
金华市,浙江省,0.41,20200106
济源市,河南省,0.38,20200106
宁波市,浙江省,0.38,20200106
临沂市,山东省,0.38,20200106
广州市,广东省,0.37,20200106
嘉兴市,浙江省,0.35,20200106
徐州市,江苏省,0.34,20200106
三门峡市,河南省,0.33,20200106
台州市,浙江省,0.31,20200106
济宁市,山东省,0.31,20200106
保定市,河北省,0.29,20200106
潍坊市,山东省,0.27,20200106
温州市,浙江省,0.27,20200106
鹤壁市,河南省,0.26,20200106
厦门市,福建省,0.26,20200106
阜阳市,安徽省,0.26,20200106
东莞市,广东省,0.25,20200106
成都市,四川省,0.24,20200106
重庆市,重庆市,0.24,20200106
合肥市,安徽省,0.23,20200106
湖州市,浙江省,0.23,20200106
长沙市,湖南省,0.23,20200106
郑州市,河南省,43.84,20200107
商丘市,河南省,5.27,20200107
周口市,河南省,3.15,20200107
新乡市,河南省,2.86,20200107
许昌市,河南省,2.76,20200107
菏泽市,山东省,2.56,20200107
苏州市,江苏省,1.96,20200107
洛阳市,河南省,1.53,20200107
北京市,北京市,1.45,20200107
上海市,上海市,1.28,20200107
南阳市,河南省,1.27,20200107
平顶山市,河南省,1.22,20200107
安阳市,河南省,1.19,20200107
焦作市,河南省,1.15,20200107
驻马店市,河南省,0.99,20200107
信阳市,河南省,0.88,20200107
杭州市,浙江省,0.78,20200107
漯河市,河南省,0.69,20200107
西安市,陕西省,0.68,20200107
武汉市,湖北省,0.68,20200107
天津市,天津市,0.67,20200107
宁波市,浙江省,0.66,20200107
濮阳市,河南省,0.65,20200107
南京市,江苏省,0.6,20200107
无锡市,江苏省,0.58,20200107
保定市,河北省,0.55,20200107
深圳市,广东省,0.51,20200107
青岛市,山东省,0.47,20200107
嘉兴市,浙江省,0.46,20200107
金华市,浙江省,0.46,20200107
广州市,广东省,0.45,20200107
济南市,山东省,0.42,20200107
温州市,浙江省,0.38,20200107
常州市,江苏省,0.35,20200107
徐州市,江苏省,0.34,20200107
台州市,浙江省,0.33,20200107
三门峡市,河南省,0.33,20200107
石家庄市,河北省,0.3,20200107
长沙市,湖南省,0.3,20200107
唐山市,河北省,0.29,20200107
湖州市,浙江省,0.29,20200107
合肥市,安徽省,0.28,20200107
东莞市,广东省,0.27,20200107
临沂市,山东省,0.27,20200107
济源市,河南省,0.27,20200107
重庆市,重庆市,0.26,20200107
绍兴市,浙江省,0.26,20200107
济宁市,山东省,0.26,20200107
潍坊市,山东省,0.25,20200107
鹤壁市,河南省,0.25,20200107
郑州市,河南省,43.84,20200108
商丘市,河南省,5.48,20200108
新乡市,河南省,3.36,20200108
周口市,河南省,3.29,20200108
许昌市,河南省,2.89,20200108
菏泽市,山东省,2.5,20200108
洛阳市,河南省,1.7,20200108
苏州市,江苏省,1.69,20200108
安阳市,河南省,1.52,20200108
北京市,北京市,1.46,20200108
上海市,上海市,1.31,20200108
焦作市,河南省,1.24,20200108
平顶山市,河南省,1.23,20200108
南阳市,河南省,1.05,20200108
驻马店市,河南省,0.93,20200108
杭州市,浙江省,0.8,20200108
濮阳市,河南省,0.8,20200108
西安市,陕西省,0.75,20200108
信阳市,河南省,0.75,20200108
漯河市,河南省,0.74,20200108
武汉市,湖北省,0.6,20200108
天津市,天津市,0.57,20200108
宁波市,浙江省,0.55,20200108
金华市,浙江省,0.47,20200108
青岛市,山东省,0.46,20200108
深圳市,广东省,0.45,20200108
无锡市,江苏省,0.45,20200108
南京市,江苏省,0.42,20200108
广州市,广东省,0.41,20200108
徐州市,江苏省,0.41,20200108
三门峡市,河南省,0.38,20200108
保定市,河北省,0.38,20200108
济南市,山东省,0.37,20200108
石家庄市,河北省,0.37,20200108
嘉兴市,浙江省,0.36,20200108
厦门市,福建省,0.34,20200108
台州市,浙江省,0.34,20200108
温州市,浙江省,0.34,20200108
鹤壁市,河南省,0.33,20200108
东莞市,广东省,0.32,20200108
福州市,福建省,0.32,20200108
济宁市,山东省,0.3,20200108
临沂市,山东省,0.3,20200108
重庆市,重庆市,0.29,20200108
绍兴市,浙江省,0.27,20200108
太原市,山西省,0.26,20200108
合肥市,安徽省,0.24,20200108
泉州市,福建省,0.23,20200108
兰州市,甘肃省,0.23,20200108
南通市,江苏省,0.22,20200108
郑州市,河南省,42.45,20200109
商丘市,河南省,5.62,20200109
新乡市,河南省,3.52,20200109
周口市,河南省,2.83,20200109
许昌市,河南省,2.7,20200109
菏泽市,山东省,2.57,20200109
洛阳市,河南省,2.03,20200109
苏州市,江苏省,1.93,20200109
北京市,北京市,1.63,20200109
安阳市,河南省,1.45,20200109
