city_name,province_name,value,date
北京市,北京市,42.9,20200101
大同市,山西省,6.73,20200101
乌兰察布市,内蒙古自治区,6.1,20200101
保定市,河北省,5.31,20200101
石家庄市,河北省,4.68,20200101
锡林郭勒盟,内蒙古自治区,4.42,20200101
天津市,天津市,3.8,20200101
廊坊市,河北省,2.85,20200101
唐山市,河北省,2.82,20200101
承德市,河北省,2.05,20200101
衡水市,河北省,1.76,20200101
鄂尔多斯市,内蒙古自治区,1.73,20200101
呼和浩特市,内蒙古自治区,1.27,20200101
沧州市,河北省,1.2,20200101
朔州市,山西省,0.86,20200101
邢台市,河北省,0.85,20200101
包头市,内蒙古自治区,0.79,20200101
邯郸市,河北省,0.65,20200101
秦皇岛市,河北省,0.51,20200101
上海市,上海市,0.4,20200101
太原市,山西省,0.3,20200101
赤峰市,内蒙古自治区,0.25,20200101
德州市,山东省,0.25,20200101
郑州市,河南省,0.19,20200101
忻州市,山西省,0.19,20200101
西安市,陕西省,0.18,20200101
巴彦淖尔市,内蒙古自治区,0.18,20200101
晋中市,山西省,0.16,20200101
济南市,山东省,0.14,20200101
榆林市,陕西省,0.13,20200101
成都市,四川省,0.12,20200101
青岛市,山东省,0.11,20200101
泰安市,山东省,0.11,20200101
渭南市,陕西省,0.1,20200101
临沂市,山东省,0.1,20200101
潍坊市,山东省,0.1,20200101
安阳市,河南省,0.1,20200101
重庆市,重庆市,0.09,20200101
哈尔滨市,黑龙江省,0.09,20200101
南京市,江苏省,0.09,20200101
沈阳市,辽宁省,0.09,20200101
商丘市,河南省,0.08,20200101
滨州市,山东省,0.08,20200101
杭州市,浙江省,0.08,20200101
海口市,海南省,0.08,20200101
大连市,辽宁省,0.08,20200101
晋城市,山西省,0.07,20200101
临汾市,山西省,0.07,20200101
通辽市,内蒙古自治区,0.07,20200101
锦州市,辽宁省,0.07,20200101
北京市,北京市,34.77,20200102
石家庄市,河北省,5.83,20200102
保定市,河北省,5.4,20200102
天津市,天津市,5.19,20200102
大同市,山西省,4.69,20200102
乌兰察布市,内蒙古自治区,4.36,20200102
唐山市,河北省,4.25,20200102
锡林郭勒盟,内蒙古自治区,3.68,20200102
鄂尔多斯市,内蒙古自治区,3.38,20200102
廊坊市,河北省,2.82,20200102
承德市,河北省,2.0,20200102
沧州市,河北省,1.64,20200102
呼和浩特市,内蒙古自治区,1.45,20200102
邯郸市,河北省,1.43,20200102
邢台市,河北省,1.21,20200102
秦皇岛市,河北省,1.14,20200102
衡水市,河北省,1.09,20200102
包头市,内蒙古自治区,1.09,20200102
朔州市,山西省,0.75,20200102
太原市,山西省,0.41,20200102
巴彦淖尔市,内蒙古自治区,0.39,20200102
沈阳市,辽宁省,0.35,20200102
赤峰市,内蒙古自治区,0.33,20200102
郑州市,河南省,0.28,20200102
重庆市,重庆市,0.28,20200102
上海市,上海市,0.28,20200102
青岛市,山东省,0.27,20200102
济南市,山东省,0.22,20200102
忻州市,山西省,0.21,20200102
滨州市,山东省,0.21,20200102
德州市,山东省,0.2,20200102
西安市,陕西省,0.2,20200102
三亚市,海南省,0.2,20200102
哈尔滨市,黑龙江省,0.2,20200102
晋中市,山西省,0.19,20200102
潍坊市,山东省,0.18,20200102
长春市,吉林省,0.16,20200102
榆林市,陕西省,0.16,20200102
运城市,山西省,0.16,20200102
通辽市,内蒙古自治区,0.15,20200102
石嘴山市,宁夏回族自治区,0.15,20200102
杭州市,浙江省,0.14,20200102
葫芦岛市,辽宁省,0.14,20200102
厦门市,福建省,0.14,20200102
洛阳市,河南省,0.13,20200102
深圳市,广东省,0.13,20200102
济宁市,山东省,0.13,20200102
周口市,河南省,0.12,20200102
广州市,广东省,0.12,20200102
武汉市,湖北省,0.11,20200102
北京市,北京市,34.37,20200103
石家庄市,河北省,6.12,20200103
保定市,河北省,6.08,20200103
天津市,天津市,5.65,20200103
乌兰察布市,内蒙古自治区,5.14,20200103
大同市,山西省,5.14,20200103
唐山市,河北省,3.84,20200103
锡林郭勒盟,内蒙古自治区,3.56,20200103
廊坊市,河北省,3.36,20200103
鄂尔多斯市,内蒙古自治区,2.85,20200103
承德市,河北省,2.1,20200103
沧州市,河北省,2.0,20200103
呼和浩特市,内蒙古自治区,1.62,20200103
邯郸市,河北省,1.5,20200103
衡水市,河北省,1.39,20200103
邢台市,河北省,1.22,20200103
秦皇岛市,河北省,1.11,20200103
朔州市,山西省,0.9,20200103
包头市,内蒙古自治区,0.87,20200103
巴彦淖尔市,内蒙古自治区,0.32,20200103
太原市,山西省,0.31,20200103
上海市,上海市,0.31,20200103
郑州市,河南省,0.27,20200103
济南市,山东省,0.25,20200103
聊城市,山东省,0.24,20200103
西安市,陕西省,0.24,20200103
赤峰市,内蒙古自治区,0.23,20200103
德州市,山东省,0.23,20200103
忻州市,山西省,0.22,20200103
潍坊市,山东省,0.2,20200103
晋中市,山西省,0.19,20200103
大连市,辽宁省,0.18,20200103
哈尔滨市,黑龙江省,0.15,20200103
安阳市,河南省,0.15,20200103
临沂市,山东省,0.15,20200103
沈阳市,辽宁省,0.15,20200103
运城市,山西省,0.15,20200103
南阳市,河南省,0.13,20200103
葫芦岛市,辽宁省,0.12,20200103
滨州市,山东省,0.12,20200103
重庆市,重庆市,0.11,20200103
成都市,四川省,0.11,20200103
青岛市,山东省,0.11,20200103
武汉市,湖北省,0.11,20200103
长治市,山西省,0.11,20200103
淄博市,山东省,0.1,20200103
锦州市,辽宁省,0.1,20200103
南京市,江苏省,0.1,20200103
济宁市,山东省,0.09,20200103
朝阳市,辽宁省,0.09,20200103
北京市,北京市,37.91,20200104
大同市,山西省,6.59,20200104
石家庄市,河北省,6.28,20200104
保定市,河北省,6.14,20200104
乌兰察布市,内蒙古自治区,5.2,20200104
天津市,天津市,4.27,20200104
锡林郭勒盟,内蒙古自治区,3.54,20200104
廊坊市,河北省,3.06,20200104
唐山市,河北省,3.0,20200104
承德市,河北省,2.15,20200104
沧州市,河北省,1.85,20200104
邯郸市,河北省,1.54,20200104
衡水市,河北省,1.5,20200104
呼和浩特市,内蒙古自治区,1.24,20200104
邢台市,河北省,1.15,20200104
鄂尔多斯市,内蒙古自治区,1.06,20200104
秦皇岛市,河北省,0.9,20200104
包头市,内蒙古自治区,0.88,20200104
朔州市,山西省,0.74,20200104
上海市,上海市,0.35,20200104
太原市,山西省,0.33,20200104
赤峰市,内蒙古自治区,0.29,20200104
郑州市,河南省,0.29,20200104
重庆市,重庆市,0.26,20200104
忻州市,山西省,0.23,20200104
沈阳市,辽宁省,0.23,20200104
德州市,山东省,0.22,20200104
巴彦淖尔市,内蒙古自治区,0.21,20200104
广州市,广东省,0.2,20200104
哈尔滨市,黑龙江省,0.17,20200104
运城市,山西省,0.17,20200104
深圳市,广东省,0.16,20200104
济南市,山东省,0.16,20200104
西安市,陕西省,0.15,20200104
周口市,河南省,0.13,20200104
济宁市,山东省,0.12,20200104
安阳市,河南省,0.12,20200104
成都市,四川省,0.11,20200104
聊城市,山东省,0.11,20200104
晋中市,山西省,0.11,20200104
潍坊市,山东省,0.11,20200104
武汉市,湖北省,0.11,20200104
滨州市,山东省,0.1,20200104
乌海市,内蒙古自治区,0.1,20200104
长沙市,湖南省,0.1,20200104
徐州市,江苏省,0.09,20200104
菏泽市,山东省,0.09,20200104
长春市,吉林省,0.09,20200104
青岛市,山东省,0.09,20200104
吕梁市,山西省,0.08,20200104
北京市,北京市,55.94,20200105
石家庄市,河北省,5.15,20200105
大同市,山西省,5.0,20200105
保定市,河北省,4.41,20200105
乌兰察布市,内蒙古自治区,3.4,20200105
天津市,天津市,3.28,20200105
锡林郭勒盟,内蒙古自治区,2.93,20200105
廊坊市,河北省,2.71,20200105
唐山市,河北省,2.05,20200105
承德市,河北省,1.55,20200105
沧州市,河北省,1.16,20200105
邯郸市,河北省,1.03,20200105
呼和浩特市,内蒙古自治区,0.87,20200105
邢台市,河北省,0.81,20200105
衡水市,河北省,0.75,20200105
秦皇岛市,河北省,0.55,20200105
包头市,内蒙古自治区,0.43,20200105
朔州市,山西省,0.36,20200105
上海市,上海市,0.32,20200105
鄂尔多斯市,内蒙古自治区,0.31,20200105
太原市,山西省,0.18,20200105
郑州市,河南省,0.16,20200105
济南市,山东省,0.15,20200105
赤峰市,内蒙古自治区,0.14,20200105
沈阳市,辽宁省,0.13,20200105
南京市,江苏省,0.13,20200105
德州市,山东省,0.12,20200105
忻州市,山西省,0.12,20200105
哈尔滨市,黑龙江省,0.12,20200105
西安市,陕西省,0.1,20200105
滨州市,山东省,0.1,20200105
青岛市,山东省,0.1,20200105
巴彦淖尔市,内蒙古自治区,0.1,20200105
成都市,四川省,0.09,20200105
武汉市,湖北省,0.09,20200105
杭州市,浙江省,0.09,20200105
长春市,吉林省,0.09,20200105
重庆市,重庆市,0.09,20200105
深圳市,广东省,0.08,20200105
潍坊市,山东省,0.08,20200105
南阳市,河南省,0.08,20200105
大连市,辽宁省,0.08,20200105
长沙市,湖南省,0.08,20200105
济宁市,山东省,0.07,20200105
苏州市,江苏省,0.07,20200105
临汾市,山西省,0.07,20200105
安阳市,河南省,0.06,20200105
临沂市,山东省,0.06,20200105
晋中市,山西省,0.06,20200105
运城市,山西省,0.05,20200105
北京市,北京市,43.92,20200106
石家庄市,河北省,6.7,20200106
保定市,河北省,6.08,20200106
天津市,天津市,4.39,20200106
大同市,山西省,4.02,20200106
锡林郭勒盟,内蒙古自治区,3.47,20200106
乌兰察布市,内蒙古自治区,3.2,20200106
唐山市,河北省,2.71,20200106
廊坊市,河北省,2.58,20200106
邯郸市,河北省,1.81,20200106
沧州市,河北省,1.78,20200106
邢台市,河北省,1.53,20200106
承德市,河北省,1.46,20200106
衡水市,河北省,1.11,20200106
呼和浩特市,内蒙古自治区,0.88,20200106
秦皇岛市,河北省,0.86,20200106
包头市,内蒙古自治区,0.53,20200106
鄂尔多斯市,内蒙古自治区,0.41,20200106
朔州市,山西省,0.37,20200106
赤峰市,内蒙古自治区,0.35,20200106
郑州市,河南省,0.35,20200106
上海市,上海市,0.35,20200106
太原市,山西省,0.34,20200106
西安市,陕西省,0.3,20200106
德州市,山东省,0.24,20200106
济南市,山东省,0.24,20200106
巴彦淖尔市,内蒙古自治区,0.2,20200106
青岛市,山东省,0.19,20200106
成都市,四川省,0.19,20200106
南京市,江苏省,0.18,20200106
哈尔滨市,黑龙江省,0.17,20200106
滨州市,山东省,0.17,20200106
重庆市,重庆市,0.15,20200106
沈阳市,辽宁省,0.15,20200106
徐州市,江苏省,0.14,20200106
临沂市,山东省,0.14,20200106
深圳市,广东省,0.14,20200106
潍坊市,山东省,0.12,20200106
大连市,辽宁省,0.12,20200106
海口市,海南省,0.12,20200106
