city_name,province_name,value,date
宿州市,安徽省,16.75,20200101
宿迁市,江苏省,10.84,20200101
枣庄市,山东省,6.03,20200101
南京市,江苏省,5.55,20200101
济宁市,山东省,5.52,20200101
临沂市,山东省,5.44,20200101
苏州市,江苏省,4.2,20200101
连云港市,江苏省,3.68,20200101
上海市,上海市,2.58,20200101
淮北市,安徽省,2.53,20200101
淮安市,江苏省,1.75,20200101
菏泽市,山东省,1.68,20200101
无锡市,江苏省,1.58,20200101
商丘市,河南省,1.46,20200101
常州市,江苏省,1.35,20200101
南通市,江苏省,1.34,20200101
北京市,北京市,1.18,20200101
盐城市,江苏省,1.17,20200101
扬州市,江苏省,1.05,20200101
合肥市,安徽省,0.89,20200101
济南市,山东省,0.87,20200101
杭州市,浙江省,0.81,20200101
西安市,陕西省,0.76,20200101
青岛市,山东省,0.75,20200101
郑州市,河南省,0.72,20200101
泰州市,江苏省,0.66,20200101
蚌埠市,安徽省,0.64,20200101
天津市,天津市,0.58,20200101
镇江市,江苏省,0.54,20200101
滁州市,安徽省,0.51,20200101
亳州市,安徽省,0.46,20200101
潍坊市,山东省,0.45,20200101
阜阳市,安徽省,0.4,20200101
嘉兴市,浙江省,0.38,20200101
宁波市,浙江省,0.37,20200101
泰安市,山东省,0.34,20200101
聊城市,山东省,0.31,20200101
武汉市,湖北省,0.3,20200101
石家庄市,河北省,0.29,20200101
邯郸市,河北省,0.27,20200101
日照市,山东省,0.26,20200101
湖州市,浙江省,0.26,20200101
金华市,浙江省,0.25,20200101
重庆市,重庆市,0.24,20200101
德州市,山东省,0.23,20200101
周口市,河南省,0.23,20200101
温州市,浙江省,0.23,20200101
烟台市,山东省,0.21,20200101
新乡市,河南省,0.2,20200101
成都市,四川省,0.2,20200101
宿州市,安徽省,10.32,20200102
南京市,江苏省,7.56,20200102
宿迁市,江苏省,6.2,20200102
苏州市,江苏省,5.58,20200102
济宁市,山东省,4.43,20200102
上海市,上海市,4.0,20200102
枣庄市,山东省,3.57,20200102
临沂市,山东省,3.54,20200102
连云港市,江苏省,2.99,20200102
无锡市,江苏省,2.37,20200102
淮安市,江苏省,2.13,20200102
常州市,江苏省,2.13,20200102
北京市,北京市,1.85,20200102
淮北市,安徽省,1.82,20200102
南通市,江苏省,1.63,20200102
盐城市,江苏省,1.42,20200102
商丘市,河南省,1.39,20200102
扬州市,江苏省,1.39,20200102
菏泽市,山东省,1.31,20200102
合肥市,安徽省,1.17,20200102
杭州市,浙江省,1.05,20200102
西安市,陕西省,1.01,20200102
泰州市,江苏省,1.01,20200102
郑州市,河南省,1.0,20200102
济南市,山东省,0.92,20200102
青岛市,山东省,0.91,20200102
镇江市,江苏省,0.84,20200102
天津市,天津市,0.76,20200102
宁波市,浙江省,0.69,20200102
蚌埠市,安徽省,0.66,20200102
滁州市,安徽省,0.62,20200102
潍坊市,山东省,0.61,20200102
石家庄市,河北省,0.55,20200102
邯郸市,河北省,0.54,20200102
泰安市,山东省,0.54,20200102
武汉市,湖北省,0.48,20200102
亳州市,安徽省,0.46,20200102
嘉兴市,浙江省,0.46,20200102
聊城市,山东省,0.45,20200102
阜阳市,安徽省,0.43,20200102
金华市,浙江省,0.39,20200102
沧州市,河北省,0.38,20200102
广州市,广东省,0.34,20200102
重庆市,重庆市,0.33,20200102
湖州市,浙江省,0.33,20200102
烟台市,山东省,0.32,20200102
日照市,山东省,0.32,20200102
温州市,浙江省,0.32,20200102
德州市,山东省,0.32,20200102
邢台市,河北省,0.32,20200102
宿州市,安徽省,11.39,20200103
宿迁市,江苏省,9.58,20200103
南京市,江苏省,7.37,20200103
苏州市,江苏省,5.01,20200103
济宁市,山东省,4.74,20200103
枣庄市,山东省,4.28,20200103
临沂市,山东省,4.25,20200103
连云港市,江苏省,3.9,20200103
上海市,上海市,3.45,20200103
无锡市,江苏省,2.1,20200103
淮北市,安徽省,2.08,20200103
淮安市,江苏省,2.01,20200103
常州市,江苏省,1.73,20200103
盐城市,江苏省,1.56,20200103
扬州市,江苏省,1.49,20200103
北京市,北京市,1.46,20200103
菏泽市,山东省,1.44,20200103
商丘市,河南省,1.43,20200103
