city_name,province_name,value,date
济南市,山东省,31.22,20200101
衡水市,河北省,12.19,20200101
沧州市,河北省,7.91,20200101
聊城市,山东省,6.99,20200101
天津市,天津市,6.16,20200101
北京市,北京市,4.24,20200101
滨州市,山东省,4.17,20200101
青岛市,山东省,1.94,20200101
邢台市,河北省,1.8,20200101
淄博市,山东省,1.74,20200101
潍坊市,山东省,1.69,20200101
泰安市,山东省,1.41,20200101
东营市,山东省,1.3,20200101
石家庄市,河北省,1.28,20200101
济宁市,山东省,0.96,20200101
临沂市,山东省,0.95,20200101
烟台市,山东省,0.82,20200101
菏泽市,山东省,0.76,20200101
保定市,河北省,0.72,20200101
廊坊市,河北省,0.7,20200101
邯郸市,河北省,0.58,20200101
威海市,山东省,0.49,20200101
枣庄市,山东省,0.47,20200101
唐山市,河北省,0.41,20200101
上海市,上海市,0.39,20200101
徐州市,江苏省,0.23,20200101
合肥市,安徽省,0.21,20200101
郑州市,河南省,0.2,20200101
沈阳市,辽宁省,0.2,20200101
南京市,江苏省,0.2,20200101
日照市,山东省,0.19,20200101
杭州市,浙江省,0.19,20200101
无锡市,江苏省,0.16,20200101
太原市,山西省,0.15,20200101
濮阳市,河南省,0.15,20200101
张家口市,河北省,0.15,20200101
成都市,四川省,0.13,20200101
安阳市,河南省,0.13,20200101
西安市,陕西省,0.13,20200101
哈尔滨市,黑龙江省,0.13,20200101
秦皇岛市,河北省,0.12,20200101
武汉市,湖北省,0.11,20200101
新乡市,河南省,0.11,20200101
榆林市,陕西省,0.1,20200101
广州市,广东省,0.1,20200101
长春市,吉林省,0.09,20200101
苏州市,江苏省,0.09,20200101
重庆市,重庆市,0.09,20200101
商丘市,河南省,0.09,20200101
晋中市,山西省,0.09,20200101
济南市,山东省,27.44,20200102
天津市,天津市,7.4,20200102
衡水市,河北省,6.5,20200102
北京市,北京市,5.69,20200102
沧州市,河北省,5.08,20200102
聊城市,山东省,4.94,20200102
青岛市,山东省,3.35,20200102
滨州市,山东省,3.02,20200102
潍坊市,山东省,2.45,20200102
淄博市,山东省,2.09,20200102
泰安市,山东省,1.56,20200102
临沂市,山东省,1.53,20200102
东营市,山东省,1.52,20200102
济宁市,山东省,1.48,20200102
石家庄市,河北省,1.46,20200102
邢台市,河北省,1.19,20200102
烟台市,山东省,1.17,20200102
廊坊市,河北省,1.0,20200102
菏泽市,山东省,0.99,20200102
保定市,河北省,0.92,20200102
威海市,山东省,0.91,20200102
上海市,上海市,0.7,20200102
邯郸市,河北省,0.69,20200102
枣庄市,山东省,0.65,20200102
唐山市,河北省,0.57,20200102
徐州市,江苏省,0.55,20200102
合肥市,安徽省,0.49,20200102
日照市,山东省,0.48,20200102
南京市,江苏省,0.35,20200102
哈尔滨市,黑龙江省,0.32,20200102
郑州市,河南省,0.31,20200102
濮阳市,河南省,0.3,20200102
西安市,陕西省,0.3,20200102
苏州市,江苏省,0.29,20200102
太原市,山西省,0.28,20200102
杭州市,浙江省,0.28,20200102
沈阳市,辽宁省,0.27,20200102
安阳市,河南省,0.27,20200102
长春市,吉林省,0.26,20200102
成都市,四川省,0.21,20200102
武汉市,湖北省,0.19,20200102
新乡市,河南省,0.18,20200102
阜阳市,安徽省,0.17,20200102
赤峰市,内蒙古自治区,0.17,20200102
连云港市,江苏省,0.17,20200102
秦皇岛市,河北省,0.16,20200102
广州市,广东省,0.16,20200102
无锡市,江苏省,0.15,20200102
张家口市,河北省,0.15,20200102
大连市,辽宁省,0.15,20200102
济南市,山东省,32.02,20200103
衡水市,河北省,7.43,20200103
天津市,天津市,6.87,20200103
沧州市,河北省,5.97,20200103
聊城市,山东省,5.93,20200103
北京市,北京市,5.56,20200103
滨州市,山东省,3.49,20200103
青岛市,山东省,2.76,20200103
淄博市,山东省,2.04,20200103
潍坊市,山东省,1.83,20200103
临沂市,山东省,1.52,20200103
东营市,山东省,1.51,20200103
泰安市,山东省,1.46,20200103
邢台市,河北省,1.45,20200103
石家庄市,河北省,1.4,20200103
济宁市,山东省,1.32,20200103
烟台市,山东省,1.19,20200103
廊坊市,河北省,0.94,20200103
菏泽市,山东省,0.84,20200103
保定市,河北省,0.78,20200103
邯郸市,河北省,0.66,20200103
威海市,山东省,0.57,20200103
枣庄市,山东省,0.53,20200103
日照市,山东省,0.5,20200103
唐山市,河北省,0.44,20200103
上海市,上海市,0.43,20200103
郑州市,河南省,0.32,20200103
徐州市,江苏省,0.27,20200103
南京市,江苏省,0.23,20200103
沈阳市,辽宁省,0.22,20200103
苏州市,江苏省,0.22,20200103
太原市,山西省,0.2,20200103
杭州市,浙江省,0.2,20200103
濮阳市,河南省,0.19,20200103
长春市,吉林省,0.19,20200103
西安市,陕西省,0.19,20200103
安阳市,河南省,0.18,20200103
哈尔滨市,黑龙江省,0.18,20200103
成都市,四川省,0.17,20200103
秦皇岛市,河北省,0.15,20200103
商丘市,河南省,0.15,20200103
张家口市,河北省,0.14,20200103
连云港市,江苏省,0.14,20200103
无锡市,江苏省,0.13,20200103
大连市,辽宁省,0.12,20200103
武汉市,湖北省,0.12,20200103
新乡市,河南省,0.11,20200103
广州市,广东省,0.11,20200103
开封市,河南省,0.11,20200103
合肥市,安徽省,0.11,20200103
济南市,山东省,31.92,20200104
衡水市,河北省,9.64,20200104
沧州市,河北省,6.68,20200104
聊城市,山东省,6.57,20200104
天津市,天津市,6.26,20200104
北京市,北京市,4.19,20200104
滨州市,山东省,3.66,20200104
青岛市,山东省,3.27,20200104
潍坊市,山东省,1.89,20200104
邢台市,河北省,1.65,20200104
淄博市,山东省,1.56,20200104
石家庄市,河北省,1.32,20200104
东营市,山东省,1.24,20200104
济宁市,山东省,1.23,20200104
泰安市,山东省,1.18,20200104
烟台市,山东省,1.16,20200104
临沂市,山东省,0.96,20200104
廊坊市,河北省,0.81,20200104
保定市,河北省,0.8,20200104
菏泽市,山东省,0.7,20200104
枣庄市,山东省,0.52,20200104
邯郸市,河北省,0.51,20200104
上海市,上海市,0.45,20200104
威海市,山东省,0.44,20200104
日照市,山东省,0.43,20200104
唐山市,河北省,0.38,20200104
徐州市,江苏省,0.36,20200104
郑州市,河南省,0.32,20200104
西安市,陕西省,0.27,20200104
南京市,江苏省,0.25,20200104
沈阳市,辽宁省,0.23,20200104
杭州市,浙江省,0.2,20200104
成都市,四川省,0.19,20200104
太原市,山西省,0.19,20200104
濮阳市,河南省,0.18,20200104
无锡市,江苏省,0.18,20200104
苏州市,江苏省,0.17,20200104
哈尔滨市,黑龙江省,0.16,20200104
安阳市,河南省,0.14,20200104
张家口市,河北省,0.14,20200104
武汉市,湖北省,0.13,20200104
合肥市,安徽省,0.13,20200104
南昌市,江西省,0.12,20200104
南通市,江苏省,0.12,20200104
大连市,辽宁省,0.12,20200104
广州市,广东省,0.11,20200104
秦皇岛市,河北省,0.1,20200104
商丘市,河南省,0.1,20200104
新乡市,河南省,0.1,20200104
深圳市,广东省,0.1,20200104
济南市,山东省,31.21,20200105
衡水市,河北省,10.79,20200105
沧州市,河北省,7.01,20200105
聊城市,山东省,6.21,20200105
天津市,天津市,5.93,20200105
北京市,北京市,4.17,20200105
滨州市,山东省,3.99,20200105
青岛市,山东省,2.91,20200105
潍坊市,山东省,2.13,20200105
淄博市,山东省,1.68,20200105
东营市,山东省,1.47,20200105
济宁市,山东省,1.41,20200105
泰安市,山东省,1.29,20200105
邢台市,河北省,1.28,20200105
烟台市,山东省,1.07,20200105
临沂市,山东省,1.02,20200105
石家庄市,河北省,0.97,20200105
廊坊市,河北省,0.87,20200105
菏泽市,山东省,0.76,20200105
保定市,河北省,0.6,20200105
枣庄市,山东省,0.56,20200105
威海市,山东省,0.5,20200105
上海市,上海市,0.46,20200105
邯郸市,河北省,0.41,20200105
徐州市,江苏省,0.39,20200105
日照市,山东省,0.35,20200105
唐山市,河北省,0.34,20200105
郑州市,河南省,0.26,20200105
杭州市,浙江省,0.25,20200105
哈尔滨市,黑龙江省,0.24,20200105
沈阳市,辽宁省,0.24,20200105
西安市,陕西省,0.23,20200105
合肥市,安徽省,0.22,20200105
苏州市,江苏省,0.22,20200105
南京市,江苏省,0.2,20200105
武汉市,湖北省,0.17,20200105
成都市,四川省,0.17,20200105
秦皇岛市,河北省,0.16,20200105
长春市,吉林省,0.16,20200105
无锡市,江苏省,0.15,20200105
商丘市,河南省,0.15,20200105
大连市,辽宁省,0.14,20200105
濮阳市,河南省,0.14,20200105
广州市,广东省,0.13,20200105
太原市,山西省,0.12,20200105
长沙市,湖南省,0.12,20200105
新乡市,河南省,0.11,20200105
南通市,江苏省,0.1,20200105
