city_name,province_name,value,date
长沙市,湖南省,11.89,20200101
湘西土家族苗族自治州,湖南省,7.81,20200101
铜仁市,贵州省,7.32,20200101
邵阳市,湖南省,7.09,20200101
黔东南苗族侗族自治州,贵州省,6.54,20200101
深圳市,广东省,3.79,20200101
常德市,湖南省,3.73,20200101
东莞市,广东省,3.32,20200101
金华市,浙江省,3.2,20200101
娄底市,湖南省,2.77,20200101
广州市,广东省,2.59,20200101
温州市,浙江省,2.12,20200101
杭州市,浙江省,1.79,20200101
重庆市,重庆市,1.78,20200101
益阳市,湖南省,1.6,20200101
张家界市,湖南省,1.51,20200101
柳州市,广西壮族自治区,1.27,20200101
佛山市,广东省,1.22,20200101
株洲市,湖南省,1.11,20200101
贵阳市,贵州省,1.1,20200101
泉州市,福建省,1.09,20200101
宁波市,浙江省,1.08,20200101
衡阳市,湖南省,1.02,20200101
绍兴市,浙江省,0.96,20200101
湘潭市,湖南省,0.95,20200101
桂林市,广西壮族自治区,0.82,20200101
中山市,广东省,0.81,20200101
惠州市,广东省,0.78,20200101
岳阳市,湖南省,0.71,20200101
台州市,浙江省,0.66,20200101
武汉市,湖北省,0.58,20200101
上海市,上海市,0.55,20200101
嘉兴市,浙江省,0.52,20200101
北京市,北京市,0.43,20200101
永州市,湖南省,0.43,20200101
郴州市,湖南省,0.41,20200101
福州市,福建省,0.39,20200101
遵义市,贵州省,0.37,20200101
厦门市,福建省,0.37,20200101
揭阳市,广东省,0.36,20200101
苏州市,江苏省,0.34,20200101
南宁市,广西壮族自治区,0.33,20200101
南昌市,江西省,0.33,20200101
成都市,四川省,0.3,20200101
黔南布依族苗族自治州,贵州省,0.3,20200101
珠海市,广东省,0.29,20200101
毕节市,贵州省,0.29,20200101
江门市,广东省,0.26,20200101
潮州市,广东省,0.26,20200101
昆明市,云南省,0.23,20200101
长沙市,湖南省,15.37,20200102
深圳市,广东省,5.52,20200102
东莞市,广东省,4.49,20200102
邵阳市,湖南省,4.48,20200102
湘西土家族苗族自治州,湖南省,4.3,20200102
金华市,浙江省,3.75,20200102
广州市,广东省,3.59,20200102
铜仁市,贵州省,3.22,20200102
黔东南苗族侗族自治州,贵州省,3.14,20200102
温州市,浙江省,3.13,20200102
杭州市,浙江省,2.71,20200102
常德市,湖南省,2.66,20200102
娄底市,湖南省,2.15,20200102
佛山市,广东省,1.92,20200102
益阳市,湖南省,1.4,20200102
宁波市,浙江省,1.37,20200102
张家界市,湖南省,1.28,20200102
重庆市,重庆市,1.28,20200102
株洲市,湖南省,1.27,20200102
泉州市,福建省,1.24,20200102
中山市,广东省,1.12,20200102
湘潭市,湖南省,1.05,20200102
惠州市,广东省,1.04,20200102
衡阳市,湖南省,1.03,20200102
岳阳市,湖南省,1.0,20200102
绍兴市,浙江省,1.0,20200102
贵阳市,贵州省,0.9,20200102
台州市,浙江省,0.87,20200102
柳州市,广西壮族自治区,0.84,20200102
嘉兴市,浙江省,0.82,20200102
上海市,上海市,0.8,20200102
桂林市,广西壮族自治区,0.75,20200102
厦门市,福建省,0.73,20200102
武汉市,湖北省,0.56,20200102
苏州市,江苏省,0.54,20200102
永州市,湖南省,0.52,20200102
郴州市,湖南省,0.47,20200102
成都市,四川省,0.44,20200102
福州市,福建省,0.44,20200102
北京市,北京市,0.43,20200102
南宁市,广西壮族自治区,0.43,20200102
珠海市,广东省,0.41,20200102
昆明市,云南省,0.38,20200102
潮州市,广东省,0.37,20200102
宜春市,江西省,0.37,20200102
江门市,广东省,0.35,20200102
黔南布依族苗族自治州,贵州省,0.29,20200102
南通市,江苏省,0.28,20200102
汕头市,广东省,0.28,20200102
揭阳市,广东省,0.28,20200102
长沙市,湖南省,14.83,20200103
湘西土家族苗族自治州,湖南省,5.56,20200103
铜仁市,贵州省,5.19,20200103
邵阳市,湖南省,5.1,20200103
深圳市,广东省,4.2,20200103
黔东南苗族侗族自治州,贵州省,4.12,20200103
东莞市,广东省,3.89,20200103
金华市,浙江省,3.68,20200103
广州市,广东省,3.01,20200103
常德市,湖南省,2.72,20200103
娄底市,湖南省,2.59,20200103
温州市,浙江省,2.46,20200103
杭州市,浙江省,2.2,20200103
佛山市,广东省,1.61,20200103
张家界市,湖南省,1.49,20200103
重庆市,重庆市,1.41,20200103
株洲市,湖南省,1.34,20200103
益阳市,湖南省,1.3,20200103
宁波市,浙江省,1.3,20200103
衡阳市,湖南省,1.22,20200103
湘潭市,湖南省,1.17,20200103
泉州市,福建省,1.1,20200103
岳阳市,湖南省,0.98,20200103
柳州市,广西壮族自治区,0.96,20200103
嘉兴市,浙江省,0.96,20200103
贵阳市,贵州省,0.95,20200103
惠州市,广东省,0.94,20200103
台州市,浙江省,0.93,20200103
上海市,上海市,0.91,20200103
中山市,广东省,0.9,20200103
绍兴市,浙江省,0.84,20200103
郴州市,湖南省,0.75,20200103
厦门市,福建省,0.74,20200103
永州市,湖南省,0.73,20200103
桂林市,广西壮族自治区,0.66,20200103
苏州市,江苏省,0.58,20200103
武汉市,湖北省,0.52,20200103
南宁市,广西壮族自治区,0.46,20200103
昆明市,云南省,0.42,20200103
南通市,江苏省,0.37,20200103
北京市,北京市,0.33,20200103
成都市,四川省,0.31,20200103
福州市,福建省,0.31,20200103
江门市,广东省,0.3,20200103
珠海市,广东省,0.29,20200103
丽水市,浙江省,0.29,20200103
湛江市,广东省,0.26,20200103
潮州市,广东省,0.25,20200103
遵义市,贵州省,0.25,20200103
湖州市,浙江省,0.24,20200103
长沙市,湖南省,16.58,20200104
湘西土家族苗族自治州,湖南省,5.98,20200104
邵阳市,湖南省,5.58,20200104
铜仁市,贵州省,5.57,20200104
黔东南苗族侗族自治州,贵州省,4.49,20200104
深圳市,广东省,3.79,20200104
东莞市,广东省,3.15,20200104
广州市,广东省,3.0,20200104
金华市,浙江省,2.99,20200104
常德市,湖南省,2.89,20200104
娄底市,湖南省,2.65,20200104
温州市,浙江省,2.32,20200104
杭州市,浙江省,2.05,20200104
