city_name,province_name,value,date
长沙市,湖南省,15.28,20200101
湘西土家族苗族自治州,湖南省,10.16,20200101
邵阳市,湖南省,10.13,20200101
铜仁市,贵州省,9.46,20200101
黔东南苗族侗族自治州,贵州省,7.78,20200101
常德市,湖南省,5.05,20200101
娄底市,湖南省,4.11,20200101
深圳市,广东省,3.19,20200101
益阳市,湖南省,2.37,20200101
张家界市,湖南省,1.89,20200101
桂林市,广西壮族自治区,1.81,20200101
重庆市,重庆市,1.7,20200101
柳州市,广西壮族自治区,1.65,20200101
湘潭市,湖南省,1.44,20200101
株洲市,湖南省,1.43,20200101
衡阳市,湖南省,1.37,20200101
广州市,广东省,1.36,20200101
贵阳市,贵州省,1.09,20200101
东莞市,广东省,1.02,20200101
永州市,湖南省,0.9,20200101
岳阳市,湖南省,0.78,20200101
黔南布依族苗族自治州,贵州省,0.51,20200101
佛山市,广东省,0.45,20200101
郴州市,湖南省,0.45,20200101
南宁市,广西壮族自治区,0.43,20200101
河池市,广西壮族自治区,0.36,20200101
中山市,广东省,0.36,20200101
北京市,北京市,0.35,20200101
武汉市,湖北省,0.34,20200101
杭州市,浙江省,0.34,20200101
金华市,浙江省,0.34,20200101
上海市,上海市,0.33,20200101
昆明市,云南省,0.32,20200101
毕节市,贵州省,0.32,20200101
遵义市,贵州省,0.3,20200101
温州市,浙江省,0.26,20200101
成都市,四川省,0.23,20200101
惠州市,广东省,0.21,20200101
南京市,江苏省,0.2,20200101
泉州市,福建省,0.2,20200101
宁波市,浙江省,0.19,20200101
上饶市,江西省,0.19,20200101
宜春市,江西省,0.18,20200101
台州市,浙江省,0.18,20200101
绍兴市,浙江省,0.17,20200101
珠海市,广东省,0.16,20200101
安顺市,贵州省,0.16,20200101
荆州市,湖北省,0.15,20200101
黔西南布依族苗族自治州,贵州省,0.15,20200101
福州市,福建省,0.15,20200101
长沙市,湖南省,18.85,20200102
邵阳市,湖南省,8.11,20200102
湘西土家族苗族自治州,湖南省,7.89,20200102
铜仁市,贵州省,6.06,20200102
黔东南苗族侗族自治州,贵州省,5.63,20200102
常德市,湖南省,4.61,20200102
娄底市,湖南省,3.6,20200102
益阳市,湖南省,2.35,20200102
重庆市,重庆市,2.3,20200102
广州市,广东省,2.18,20200102
深圳市,广东省,2.09,20200102
张家界市,湖南省,1.95,20200102
桂林市,广西壮族自治区,1.84,20200102
株洲市,湖南省,1.47,20200102
衡阳市,湖南省,1.46,20200102
贵阳市,贵州省,1.34,20200102
湘潭市,湖南省,1.29,20200102
柳州市,广西壮族自治区,1.15,20200102
东莞市,广东省,1.13,20200102
岳阳市,湖南省,1.01,20200102
永州市,湖南省,0.98,20200102
杭州市,浙江省,0.75,20200102
佛山市,广东省,0.74,20200102
武汉市,湖北省,0.69,20200102
北京市,北京市,0.68,20200102
金华市,浙江省,0.52,20200102
上海市,上海市,0.51,20200102
黔南布依族苗族自治州,贵州省,0.5,20200102
遵义市,贵州省,0.46,20200102
郴州市,湖南省,0.45,20200102
温州市,浙江省,0.42,20200102
泉州市,福建省,0.36,20200102
南宁市,广西壮族自治区,0.35,20200102
成都市,四川省,0.35,20200102
昆明市,云南省,0.34,20200102
宁波市,浙江省,0.31,20200102
毕节市,贵州省,0.3,20200102
安顺市,贵州省,0.3,20200102
中山市,广东省,0.3,20200102
宜春市,江西省,0.3,20200102
惠州市,广东省,0.29,20200102
福州市,福建省,0.29,20200102
江门市,广东省,0.28,20200102
邢台市,河北省,0.24,20200102
厦门市,福建省,0.22,20200102
湛江市,广东省,0.21,20200102
南昌市,江西省,0.2,20200102
苏州市,江苏省,0.2,20200102
珠海市,广东省,0.2,20200102
郑州市,河南省,0.2,20200102
长沙市,湖南省,19.42,20200103
邵阳市,湖南省,9.27,20200103
湘西土家族苗族自治州,湖南省,8.8,20200103
黔东南苗族侗族自治州,贵州省,7.31,20200103
铜仁市,贵州省,7.23,20200103
常德市,湖南省,4.53,20200103
娄底市,湖南省,4.28,20200103
桂林市,广西壮族自治区,3.04,20200103
益阳市,湖南省,2.63,20200103
重庆市,重庆市,2.11,20200103
深圳市,广东省,1.69,20200103
张家界市,湖南省,1.62,20200103
衡阳市,湖南省,1.58,20200103
株洲市,湖南省,1.49,20200103
贵阳市,贵州省,1.33,20200103
湘潭市,湖南省,1.31,20200103
广州市,广东省,1.25,20200103
柳州市,广西壮族自治区,1.2,20200103
岳阳市,湖南省,0.94,20200103
永州市,湖南省,0.9,20200103
东莞市,广东省,0.74,20200103
武汉市,湖北省,0.58,20200103
杭州市,浙江省,0.53,20200103
佛山市,广东省,0.48,20200103
郴州市,湖南省,0.44,20200103
遵义市,贵州省,0.42,20200103
北京市,北京市,0.39,20200103
