city_name,province_name,value,date
深圳市,广东省,35.62,20200101
东莞市,广东省,23.61,20200101
广州市,广东省,8.58,20200101
河源市,广东省,5.44,20200101
汕尾市,广东省,2.83,20200101
佛山市,广东省,1.59,20200101
梅州市,广东省,1.16,20200101
揭阳市,广东省,1.09,20200101
香港,香港,0.91,20200101
中山市,广东省,0.72,20200101
重庆市,重庆市,0.71,20200101
赣州市,江西省,0.62,20200101
汕头市,广东省,0.55,20200101
清远市,广东省,0.51,20200101
韶关市,广东省,0.41,20200101
珠海市,广东省,0.4,20200101
江门市,广东省,0.35,20200101
肇庆市,广东省,0.31,20200101
永州市,湖南省,0.31,20200101
郴州市,湖南省,0.31,20200101
衡阳市,湖南省,0.31,20200101
邵阳市,湖南省,0.3,20200101
湛江市,广东省,0.29,20200101
茂名市,广东省,0.29,20200101
铜仁市,贵州省,0.27,20200101
文山壮族苗族自治州,云南省,0.27,20200101
南宁市,广西壮族自治区,0.27,20200101
吉安市,江西省,0.26,20200101
常德市,湖南省,0.23,20200101
黔南布依族苗族自治州,贵州省,0.23,20200101
达州市,四川省,0.23,20200101
黄冈市,湖北省,0.22,20200101
广安市,四川省,0.22,20200101
南阳市,河南省,0.22,20200101
玉林市,广西壮族自治区,0.21,20200101
驻马店市,河南省,0.2,20200101
阳江市,广东省,0.2,20200101
黔东南苗族侗族自治州,贵州省,0.19,20200101
百色市,广西壮族自治区,0.19,20200101
云浮市,广东省,0.19,20200101
成都市,四川省,0.18,20200101
潮州市,广东省,0.18,20200101
岳阳市,湖南省,0.17,20200101
长沙市,湖南省,0.17,20200101
怀化市,湖南省,0.16,20200101
信阳市,河南省,0.16,20200101
周口市,河南省,0.15,20200101
荆州市,湖北省,0.15,20200101
遵义市,贵州省,0.15,20200101
河池市,广西壮族自治区,0.15,20200101
深圳市,广东省,26.4,20200102
东莞市,广东省,15.9,20200102
广州市,广东省,9.18,20200102
河源市,广东省,4.79,20200102
佛山市,广东省,2.2,20200102
汕尾市,广东省,2.16,20200102
重庆市,重庆市,1.68,20200102
梅州市,广东省,1.53,20200102
赣州市,江西省,1.12,20200102
揭阳市,广东省,1.11,20200102
香港,香港,0.97,20200102
中山市,广东省,0.94,20200102
汕头市,广东省,0.86,20200102
铜仁市,贵州省,0.75,20200102
邵阳市,湖南省,0.72,20200102
衡阳市,湖南省,0.7,20200102
清远市,广东省,0.65,20200102
达州市,四川省,0.63,20200102
广安市,四川省,0.61,20200102
郴州市,湖南省,0.6,20200102
珠海市,广东省,0.57,20200102
韶关市,广东省,0.55,20200102
常德市,湖南省,0.54,20200102
茂名市,广东省,0.53,20200102
黄冈市,湖北省,0.5,20200102
湛江市,广东省,0.47,20200102
黔南布依族苗族自治州,贵州省,0.47,20200102
文山壮族苗族自治州,云南省,0.46,20200102
永州市,湖南省,0.46,20200102
江门市,广东省,0.46,20200102
驻马店市,河南省,0.44,20200102
吉安市,江西省,0.44,20200102
南充市,四川省,0.42,20200102
长沙市,湖南省,0.42,20200102
南宁市,广西壮族自治区,0.41,20200102
玉林市,广西壮族自治区,0.41,20200102
遵义市,贵州省,0.39,20200102
南阳市,河南省,0.36,20200102
岳阳市,湖南省,0.34,20200102
信阳市,河南省,0.33,20200102
怀化市,湖南省,0.32,20200102
荆州市,湖北省,0.31,20200102
黔东南苗族侗族自治州,贵州省,0.31,20200102
安顺市,贵州省,0.3,20200102
桂林市,广西壮族自治区,0.3,20200102
肇庆市,广东省,0.3,20200102
阜阳市,安徽省,0.29,20200102
周口市,河南省,0.28,20200102
潮州市,广东省,0.27,20200102
百色市,广西壮族自治区,0.27,20200102
深圳市,广东省,29.25,20200103
东莞市,广东省,16.61,20200103
广州市,广东省,10.54,20200103
河源市,广东省,5.29,20200103
汕尾市,广东省,2.54,20200103
佛山市,广东省,2.16,20200103
梅州市,广东省,1.57,20200103
重庆市,重庆市,1.44,20200103
揭阳市,广东省,1.13,20200103
中山市,广东省,0.84,20200103
赣州市,江西省,0.82,20200103
汕头市,广东省,0.82,20200103
香港,香港,0.79,20200103
清远市,广东省,0.7,20200103
江门市,广东省,0.57,20200103
珠海市,广东省,0.55,20200103
邵阳市,湖南省,0.55,20200103
韶关市,广东省,0.53,20200103
茂名市,广东省,0.51,20200103
铜仁市,贵州省,0.5,20200103
衡阳市,湖南省,0.5,20200103
黄冈市,湖北省,0.47,20200103
郴州市,湖南省,0.46,20200103
湛江市,广东省,0.46,20200103
广安市,四川省,0.45,20200103
永州市,湖南省,0.45,20200103
达州市,四川省,0.43,20200103
肇庆市,广东省,0.42,20200103
常德市,湖南省,0.38,20200103
吉安市,江西省,0.36,20200103
南宁市,广西壮族自治区,0.35,20200103
信阳市,河南省,0.35,20200103
周口市,河南省,0.33,20200103
南阳市,河南省,0.33,20200103
潮州市,广东省,0.32,20200103
长沙市,湖南省,0.31,20200103
桂林市,广西壮族自治区,0.3,20200103
黔南布依族苗族自治州,贵州省,0.3,20200103
南充市,四川省,0.3,20200103
驻马店市,河南省,0.3,20200103
玉林市,广西壮族自治区,0.3,20200103
文山壮族苗族自治州,云南省,0.29,20200103
遵义市,贵州省,0.29,20200103
岳阳市,湖南省,0.28,20200103
怀化市,湖南省,0.27,20200103
厦门市,福建省,0.27,20200103
荆州市,湖北省,0.27,20200103
黔东南苗族侗族自治州,贵州省,0.26,20200103
百色市,广西壮族自治区,0.23,20200103
阳江市,广东省,0.23,20200103
深圳市,广东省,31.61,20200104
东莞市,广东省,17.65,20200104
广州市,广东省,10.09,20200104
河源市,广东省,5.22,20200104
汕尾市,广东省,2.53,20200104
佛山市,广东省,1.85,20200104
梅州市,广东省,1.38,20200104
重庆市,重庆市,1.35,20200104
揭阳市,广东省,1.23,20200104
赣州市,江西省,0.82,20200104
汕头市,广东省,0.79,20200104
中山市,广东省,0.73,20200104
香港,香港,0.72,20200104
清远市,广东省,0.67,20200104
茂名市,广东省,0.55,20200104
韶关市,广东省,0.51,20200104
珠海市,广东省,0.51,20200104
