city_name,province_name,value,date
德阳市,四川省,11.92,20200101
眉山市,四川省,10.75,20200101
绵阳市,四川省,6.83,20200101
重庆市,重庆市,6.15,20200101
资阳市,四川省,5.02,20200101
乐山市,四川省,4.62,20200101
南充市,四川省,4.25,20200101
内江市,四川省,4.06,20200101
遂宁市,四川省,3.7,20200101
雅安市,四川省,3.44,20200101
阿坝藏族羌族自治州,四川省,3.3,20200101
宜宾市,四川省,2.54,20200101
达州市,四川省,2.02,20200101
凉山彝族自治州,四川省,1.99,20200101
自贡市,四川省,1.98,20200101
广元市,四川省,1.88,20200101
巴中市,四川省,1.76,20200101
泸州市,四川省,1.65,20200101
甘孜藏族自治州,四川省,1.31,20200101
广安市,四川省,1.25,20200101
北京市,北京市,1.16,20200101
西安市,陕西省,0.91,20200101
上海市,上海市,0.87,20200101
攀枝花市,四川省,0.73,20200101
广州市,广东省,0.55,20200101
深圳市,广东省,0.52,20200101
昆明市,云南省,0.51,20200101
拉萨市,西藏自治区,0.49,20200101
贵阳市,贵州省,0.47,20200101
遵义市,贵州省,0.32,20200101
武汉市,湖北省,0.32,20200101
昭通市,云南省,0.3,20200101
天津市,天津市,0.28,20200101
杭州市,浙江省,0.28,20200101
三亚市,海南省,0.24,20200101
郑州市,河南省,0.23,20200101
东莞市,广东省,0.22,20200101
兰州市,甘肃省,0.21,20200101
乌鲁木齐市,新疆维吾尔自治区,0.2,20200101
长沙市,湖南省,0.19,20200101
苏州市,江苏省,0.19,20200101
汉中市,陕西省,0.19,20200101
南京市,江苏省,0.18,20200101
毕节市,贵州省,0.18,20200101
佛山市,广东省,0.17,20200101
石家庄市,河北省,0.17,20200101
厦门市,福建省,0.16,20200101
南宁市,广西壮族自治区,0.16,20200101
温州市,浙江省,0.15,20200101
宁波市,浙江省,0.14,20200101
德阳市,四川省,8.24,20200102
眉山市,四川省,8.07,20200102
重庆市,重庆市,6.45,20200102
绵阳市,四川省,6.18,20200102
南充市,四川省,4.47,20200102
乐山市,四川省,4.28,20200102
资阳市,四川省,4.26,20200102
内江市,四川省,3.79,20200102
遂宁市,四川省,3.6,20200102
阿坝藏族羌族自治州,四川省,3.2,20200102
雅安市,四川省,2.78,20200102
宜宾市,四川省,2.57,20200102
达州市,四川省,2.43,20200102
凉山彝族自治州,四川省,2.07,20200102
广元市,四川省,2.04,20200102
自贡市,四川省,2.0,20200102
甘孜藏族自治州,四川省,1.91,20200102
泸州市,四川省,1.83,20200102
巴中市,四川省,1.77,20200102
北京市,北京市,1.59,20200102
广安市,四川省,1.49,20200102
上海市,上海市,1.16,20200102
西安市,陕西省,1.12,20200102
攀枝花市,四川省,0.9,20200102
深圳市,广东省,0.84,20200102
广州市,广东省,0.69,20200102
昆明市,云南省,0.64,20200102
贵阳市,贵州省,0.62,20200102
拉萨市,西藏自治区,0.62,20200102
武汉市,湖北省,0.51,20200102
杭州市,浙江省,0.39,20200102
天津市,天津市,0.38,20200102
苏州市,江苏省,0.33,20200102
东莞市,广东省,0.31,20200102
郑州市,河南省,0.31,20200102
遵义市,贵州省,0.3,20200102
兰州市,甘肃省,0.29,20200102
昌都市,西藏自治区,0.29,20200102
乌鲁木齐市,新疆维吾尔自治区,0.28,20200102
长沙市,湖南省,0.28,20200102
南京市,江苏省,0.27,20200102
昭通市,云南省,0.27,20200102
佛山市,广东省,0.26,20200102
石家庄市,河北省,0.23,20200102
三亚市,海南省,0.23,20200102
西宁市,青海省,0.22,20200102
济南市,山东省,0.2,20200102
哈尔滨市,黑龙江省,0.2,20200102
无锡市,江苏省,0.2,20200102
宁波市,浙江省,0.2,20200102
德阳市,四川省,9.41,20200103
眉山市,四川省,9.06,20200103
重庆市,重庆市,6.77,20200103
绵阳市,四川省,6.28,20200103
南充市,四川省,4.51,20200103
乐山市,四川省,4.13,20200103
资阳市,四川省,4.05,20200103
阿坝藏族羌族自治州,四川省,3.82,20200103
内江市,四川省,3.61,20200103
遂宁市,四川省,3.5,20200103
雅安市,四川省,3.15,20200103
宜宾市,四川省,2.78,20200103
达州市,四川省,2.66,20200103
自贡市,四川省,2.35,20200103
广元市,四川省,2.01,20200103
泸州市,四川省,2.0,20200103
凉山彝族自治州,四川省,1.98,20200103
巴中市,四川省,1.85,20200103
甘孜藏族自治州,四川省,1.84,20200103
广安市,四川省,1.47,20200103
北京市,北京市,1.29,20200103
西安市,陕西省,1.15,20200103
上海市,上海市,0.91,20200103
攀枝花市,四川省,0.74,20200103
贵阳市,贵州省,0.74,20200103
广州市,广东省,0.64,20200103
深圳市,广东省,0.63,20200103
昆明市,云南省,0.59,20200103
拉萨市,西藏自治区,0.54,20200103
天津市,天津市,0.42,20200103
武汉市,湖北省,0.4,20200103
杭州市,浙江省,0.33,20200103
遵义市,贵州省,0.32,20200103
兰州市,甘肃省,0.31,20200103
郑州市,河南省,0.3,20200103
南京市,江苏省,0.27,20200103
