city_name,province_name,value,date
北京市,北京市,37.36,20200101
唐山市,河北省,14.71,20200101
赤峰市,内蒙古自治区,5.92,20200101
天津市,天津市,5.42,20200101
石家庄市,河北省,4.13,20200101
廊坊市,河北省,3.85,20200101
朝阳市,辽宁省,3.84,20200101
张家口市,河北省,3.52,20200101
秦皇岛市,河北省,3.0,20200101
保定市,河北省,2.72,20200101
锡林郭勒盟,内蒙古自治区,2.18,20200101
沧州市,河北省,1.22,20200101
衡水市,河北省,0.81,20200101
邯郸市,河北省,0.55,20200101
葫芦岛市,辽宁省,0.45,20200101
乌兰察布市,内蒙古自治区,0.44,20200101
沈阳市,辽宁省,0.42,20200101
邢台市,河北省,0.34,20200101
通辽市,内蒙古自治区,0.29,20200101
锦州市,辽宁省,0.27,20200101
济南市,山东省,0.27,20200101
哈尔滨市,黑龙江省,0.24,20200101
德州市,山东省,0.2,20200101
滨州市,山东省,0.19,20200101
盘锦市,辽宁省,0.17,20200101
郑州市,河南省,0.17,20200101
呼和浩特市,内蒙古自治区,0.17,20200101
大连市,辽宁省,0.14,20200101
潍坊市,山东省,0.13,20200101
太原市,山西省,0.13,20200101
鄂尔多斯市,内蒙古自治区,0.13,20200101
广州市,广东省,0.13,20200101
重庆市,重庆市,0.12,20200101
鞍山市,辽宁省,0.12,20200101
营口市,辽宁省,0.12,20200101
上海市,上海市,0.12,20200101
包头市,内蒙古自治区,0.11,20200101
大同市,山西省,0.11,20200101
烟台市,山东省,0.11,20200101
阜新市,辽宁省,0.11,20200101
济宁市,山东省,0.1,20200101
西安市,陕西省,0.1,20200101
武汉市,湖北省,0.1,20200101
东营市,山东省,0.1,20200101
徐州市,江苏省,0.09,20200101
本溪市,辽宁省,0.08,20200101
临汾市,山西省,0.08,20200101
长春市,吉林省,0.08,20200101
渭南市,陕西省,0.08,20200101
淄博市,山东省,0.08,20200101
北京市,北京市,34.94,20200102
唐山市,河北省,11.48,20200102
石家庄市,河北省,6.23,20200102
天津市,天津市,5.31,20200102
廊坊市,河北省,4.98,20200102
赤峰市,内蒙古自治区,4.4,20200102
保定市,河北省,3.68,20200102
秦皇岛市,河北省,3.32,20200102
张家口市,河北省,2.81,20200102
朝阳市,辽宁省,2.13,20200102
锡林郭勒盟,内蒙古自治区,1.96,20200102
沧州市,河北省,1.88,20200102
邯郸市,河北省,1.23,20200102
邢台市,河北省,1.02,20200102
衡水市,河北省,0.69,20200102
沈阳市,辽宁省,0.53,20200102
葫芦岛市,辽宁省,0.48,20200102
哈尔滨市,黑龙江省,0.38,20200102
乌兰察布市,内蒙古自治区,0.32,20200102
济南市,山东省,0.3,20200102
上海市,上海市,0.28,20200102
盘锦市,辽宁省,0.26,20200102
通辽市,内蒙古自治区,0.25,20200102
呼和浩特市,内蒙古自治区,0.22,20200102
三亚市,海南省,0.22,20200102
锦州市,辽宁省,0.19,20200102
青岛市,山东省,0.18,20200102
临汾市,山西省,0.18,20200102
太原市,山西省,0.18,20200102
重庆市,重庆市,0.18,20200102
郑州市,河南省,0.17,20200102
营口市,辽宁省,0.17,20200102
武汉市,湖北省,0.17,20200102
大连市,辽宁省,0.17,20200102
鄂尔多斯市,内蒙古自治区,0.17,20200102
厦门市,福建省,0.17,20200102
临沂市,山东省,0.17,20200102
阜新市,辽宁省,0.16,20200102
鞍山市,辽宁省,0.15,20200102
滨州市,山东省,0.14,20200102
深圳市,广东省,0.14,20200102
西安市,陕西省,0.14,20200102
德州市,山东省,0.13,20200102
成都市,四川省,0.13,20200102
长春市,吉林省,0.13,20200102
苏州市,江苏省,0.13,20200102
泰安市,山东省,0.12,20200102
盐城市,江苏省,0.12,20200102
烟台市,山东省,0.12,20200102
大同市,山西省,0.12,20200102
北京市,北京市,31.47,20200103
唐山市,河北省,14.02,20200103
石家庄市,河北省,6.17,20200103
赤峰市,内蒙古自治区,5.97,20200103
天津市,天津市,5.52,20200103
廊坊市,河北省,4.33,20200103
保定市,河北省,3.99,20200103
秦皇岛市,河北省,3.53,20200103
朝阳市,辽宁省,3.06,20200103
张家口市,河北省,2.82,20200103
锡林郭勒盟,内蒙古自治区,2.14,20200103
沧州市,河北省,1.98,20200103
邯郸市,河北省,1.55,20200103
邢台市,河北省,0.91,20200103
衡水市,河北省,0.69,20200103
沈阳市,辽宁省,0.67,20200103
乌兰察布市,内蒙古自治区,0.41,20200103
葫芦岛市,辽宁省,0.3,20200103
通辽市,内蒙古自治区,0.29,20200103
济南市,山东省,0.25,20200103
大连市,辽宁省,0.23,20200103
哈尔滨市,黑龙江省,0.23,20200103
盘锦市,辽宁省,0.22,20200103
上海市,上海市,0.21,20200103
德州市,山东省,0.19,20200103
潍坊市,山东省,0.19,20200103
厦门市,福建省,0.18,20200103
锦州市,辽宁省,0.17,20200103
郑州市,河南省,0.17,20200103
阜新市,辽宁省,0.16,20200103
太原市,山西省,0.15,20200103
淄博市,山东省,0.14,20200103
滨州市,山东省,0.14,20200103
深圳市,广东省,0.12,20200103
临沂市,山东省,0.12,20200103
呼和浩特市,内蒙古自治区,0.11,20200103
济宁市,山东省,0.11,20200103
鞍山市,辽宁省,0.11,20200103
西安市,陕西省,0.11,20200103
长春市,吉林省,0.11,20200103
安阳市,河南省,0.1,20200103
包头市,内蒙古自治区,0.1,20200103
青岛市,山东省,0.1,20200103
聊城市,山东省,0.1,20200103
大同市,山西省,0.1,20200103
临汾市,山西省,0.09,20200103
澳门,澳门,0.09,20200103
营口市,辽宁省,0.09,20200103
鄂尔多斯市,内蒙古自治区,0.09,20200103
安康市,陕西省,0.09,20200103
北京市,北京市,33.52,20200104
唐山市,河北省,13.88,20200104
赤峰市,内蒙古自治区,6.1,20200104
天津市,天津市,5.66,20200104
石家庄市,河北省,5.4,20200104
廊坊市,河北省,4.23,20200104
保定市,河北省,3.98,20200104
朝阳市,辽宁省,3.07,20200104
秦皇岛市,河北省,3.06,20200104
张家口市,河北省,2.91,20200104
沧州市,河北省,1.81,20200104
锡林郭勒盟,内蒙古自治区,1.76,20200104
邯郸市,河北省,1.37,20200104
邢台市,河北省,1.03,20200104
衡水市,河北省,0.97,20200104
葫芦岛市,辽宁省,0.44,20200104
乌兰察布市,内蒙古自治区,0.43,20200104
沈阳市,辽宁省,0.38,20200104
哈尔滨市,黑龙江省,0.3,20200104
上海市,上海市,0.27,20200104
通辽市,内蒙古自治区,0.22,20200104
德州市,山东省,0.21,20200104
锦州市,辽宁省,0.21,20200104
潍坊市,山东省,0.2,20200104
长春市,吉林省,0.19,20200104
西安市,陕西省,0.18,20200104
大连市,辽宁省,0.18,20200104
临沂市,山东省,0.17,20200104
盘锦市,辽宁省,0.17,20200104
郑州市,河南省,0.16,20200104
呼和浩特市,内蒙古自治区,0.16,20200104
济南市,山东省,0.16,20200104
重庆市,重庆市,0.15,20200104
阜新市,辽宁省,0.13,20200104
辽阳市,辽宁省,0.13,20200104
