city_name,province_name,value,date
沈阳市,辽宁省,60.36,20200101
铁岭市,辽宁省,4.37,20200101
本溪市,辽宁省,3.6,20200101
通化市,吉林省,2.99,20200101
大连市,辽宁省,2.97,20200101
辽源市,吉林省,2.9,20200101
北京市,北京市,1.85,20200101
辽阳市,辽宁省,1.61,20200101
鞍山市,辽宁省,1.49,20200101
营口市,辽宁省,1.24,20200101
锦州市,辽宁省,1.2,20200101
丹东市,辽宁省,1.2,20200101
盘锦市,辽宁省,0.86,20200101
天津市,天津市,0.8,20200101
长春市,吉林省,0.79,20200101
葫芦岛市,辽宁省,0.71,20200101
哈尔滨市,黑龙江省,0.58,20200101
吉林市,吉林省,0.57,20200101
阜新市,辽宁省,0.51,20200101
上海市,上海市,0.47,20200101
四平市,吉林省,0.37,20200101
朝阳市,辽宁省,0.31,20200101
延边朝鲜族自治州,吉林省,0.3,20200101
通辽市,内蒙古自治区,0.29,20200101
白山市,吉林省,0.24,20200101
秦皇岛市,河北省,0.24,20200101
赤峰市,内蒙古自治区,0.23,20200101
青岛市,山东省,0.22,20200101
深圳市,广东省,0.19,20200101
廊坊市,河北省,0.18,20200101
石家庄市,河北省,0.17,20200101
唐山市,河北省,0.16,20200101
大庆市,黑龙江省,0.16,20200101
广州市,广东省,0.15,20200101
成都市,四川省,0.14,20200101
滨州市,山东省,0.12,20200101
三亚市,海南省,0.12,20200101
齐齐哈尔市,黑龙江省,0.12,20200101
杭州市,浙江省,0.12,20200101
济南市,山东省,0.12,20200101
松原市,吉林省,0.12,20200101
潍坊市,山东省,0.11,20200101
苏州市,江苏省,0.11,20200101
保定市,河北省,0.11,20200101
昆明市,云南省,0.1,20200101
西安市,陕西省,0.1,20200101
邢台市,河北省,0.09,20200101
宁波市,浙江省,0.09,20200101
无锡市,江苏省,0.09,20200101
烟台市,山东省,0.08,20200101
沈阳市,辽宁省,47.84,20200102
铁岭市,辽宁省,4.78,20200102
大连市,辽宁省,4.59,20200102
本溪市,辽宁省,3.06,20200102
通化市,吉林省,2.37,20200102
营口市,辽宁省,2.3,20200102
北京市,北京市,2.23,20200102
鞍山市,辽宁省,2.06,20200102
辽源市,吉林省,1.84,20200102
锦州市,辽宁省,1.75,20200102
辽阳市,辽宁省,1.63,20200102
丹东市,辽宁省,1.54,20200102
天津市,天津市,1.34,20200102
长春市,吉林省,1.15,20200102
上海市,上海市,1.08,20200102
哈尔滨市,黑龙江省,1.01,20200102
吉林市,吉林省,1.0,20200102
葫芦岛市,辽宁省,0.91,20200102
青岛市,山东省,0.83,20200102
盘锦市,辽宁省,0.83,20200102
阜新市,辽宁省,0.6,20200102
通辽市,内蒙古自治区,0.57,20200102
四平市,吉林省,0.54,20200102
唐山市,河北省,0.5,20200102
白山市,吉林省,0.47,20200102
秦皇岛市,河北省,0.43,20200102
朝阳市,辽宁省,0.42,20200102
深圳市,广东省,0.36,20200102
大庆市,黑龙江省,0.34,20200102
延边朝鲜族自治州,吉林省,0.32,20200102
廊坊市,河北省,0.32,20200102
广州市,广东省,0.31,20200102
威海市,山东省,0.26,20200102
潍坊市,山东省,0.23,20200102
赤峰市,内蒙古自治区,0.23,20200102
济南市,山东省,0.21,20200102
西安市,陕西省,0.21,20200102
保定市,河北省,0.21,20200102
东营市,山东省,0.21,20200102
成都市,四川省,0.2,20200102
齐齐哈尔市,黑龙江省,0.2,20200102
沧州市,河北省,0.19,20200102
德州市,山东省,0.19,20200102
石家庄市,河北省,0.19,20200102
杭州市,浙江省,0.17,20200102
无锡市,江苏省,0.17,20200102
牡丹江市,黑龙江省,0.16,20200102
武汉市,湖北省,0.16,20200102
南京市,江苏省,0.15,20200102
三亚市,海南省,0.15,20200102
沈阳市,辽宁省,60.63,20200103
铁岭市,辽宁省,3.87,20200103
大连市,辽宁省,3.48,20200103
本溪市,辽宁省,3.04,20200103
辽源市,吉林省,2.22,20200103
通化市,吉林省,2.06,20200103
鞍山市,辽宁省,1.82,20200103
辽阳市,辽宁省,1.68,20200103
北京市,北京市,1.53,20200103
营口市,辽宁省,1.51,20200103
长春市,吉林省,1.22,20200103
丹东市,辽宁省,1.21,20200103
锦州市,辽宁省,1.15,20200103
吉林市,吉林省,1.0,20200103
盘锦市,辽宁省,0.97,20200103
天津市,天津市,0.87,20200103
葫芦岛市,辽宁省,0.66,20200103
阜新市,辽宁省,0.56,20200103
哈尔滨市,黑龙江省,0.52,20200103
上海市,上海市,0.49,20200103
白山市,吉林省,0.46,20200103
通辽市,内蒙古自治区,0.4,20200103
朝阳市,辽宁省,0.35,20200103
四平市,吉林省,0.33,20200103
青岛市,山东省,0.31,20200103
深圳市,广东省,0.31,20200103
延边朝鲜族自治州,吉林省,0.26,20200103
赤峰市,内蒙古自治区,0.25,20200103
秦皇岛市,河北省,0.22,20200103
唐山市,河北省,0.21,20200103
廊坊市,河北省,0.2,20200103
沧州市,河北省,0.2,20200103
广州市,广东省,0.19,20200103
牡丹江市,黑龙江省,0.15,20200103
济南市,山东省,0.15,20200103
成都市,四川省,0.15,20200103
长沙市,湖南省,0.13,20200103
淄博市,山东省,0.13,20200103
烟台市,山东省,0.12,20200103
杭州市,浙江省,0.12,20200103
三亚市,海南省,0.11,20200103
南京市,江苏省,0.11,20200103
苏州市,江苏省,0.11,20200103
石家庄市,河北省,0.11,20200103
西安市,陕西省,0.11,20200103
松原市,吉林省,0.1,20200103
齐齐哈尔市,黑龙江省,0.1,20200103
大庆市,黑龙江省,0.09,20200103
临沂市,山东省,0.09,20200103
太原市,山西省,0.08,20200103
沈阳市,辽宁省,57.53,20200104
铁岭市,辽宁省,4.71,20200104
本溪市,辽宁省,3.34,20200104
大连市,辽宁省,3.0,20200104
辽源市,吉林省,2.41,20200104
通化市,吉林省,2.35,20200104
北京市,北京市,2.03,20200104
鞍山市,辽宁省,1.83,20200104
辽阳市,辽宁省,1.57,20200104
丹东市,辽宁省,1.46,20200104
营口市,辽宁省,1.39,20200104
天津市,天津市,1.16,20200104
锦州市,辽宁省,1.08,20200104
吉林市,吉林省,0.93,20200104
长春市,吉林省,0.89,20200104
盘锦市,辽宁省,0.87,20200104
哈尔滨市,黑龙江省,0.77,20200104
葫芦岛市,辽宁省,0.72,20200104
上海市,上海市,0.63,20200104
阜新市,辽宁省,0.54,20200104
朝阳市,辽宁省,0.41,20200104
白山市,吉林省,0.4,20200104
四平市,吉林省,0.39,20200104
秦皇岛市,河北省,0.29,20200104
深圳市,广东省,0.29,20200104
青岛市,山东省,0.29,20200104
