city_name,province_name,value,date
山南市,西藏自治区,26.74,20200101
日喀则市,西藏自治区,23.74,20200101
那曲市,西藏自治区,14.39,20200101
林芝市,西藏自治区,10.46,20200101
成都市,四川省,4.42,20200101
昌都市,西藏自治区,2.96,20200101
重庆市,重庆市,1.57,20200101
咸阳市,陕西省,1.55,20200101
海西蒙古族藏族自治州,青海省,1.24,20200101
阿里地区,西藏自治区,1.19,20200101
西宁市,青海省,1.14,20200101
西安市,陕西省,0.68,20200101
北京市,北京市,0.62,20200101
天津市,天津市,0.55,20200101
上海市,上海市,0.34,20200101
绵阳市,四川省,0.29,20200101
南京市,江苏省,0.29,20200101
临夏回族自治州,甘肃省,0.26,20200101
哈尔滨市,黑龙江省,0.24,20200101
昆明市,云南省,0.22,20200101
武汉市,湖北省,0.22,20200101
广州市,广东省,0.22,20200101
南充市,四川省,0.22,20200101
海东市,青海省,0.21,20200101
兰州市,甘肃省,0.21,20200101
广安市,四川省,0.21,20200101
郑州市,河南省,0.19,20200101
果洛藏族自治州,青海省,0.18,20200101
玉树藏族自治州,青海省,0.16,20200101
济南市,山东省,0.14,20200101
岳阳市,湖南省,0.14,20200101
黄冈市,湖北省,0.13,20200101
长沙市,湖南省,0.11,20200101
遂宁市,四川省,0.11,20200101
甘孜藏族自治州,四川省,0.11,20200101
渭南市,陕西省,0.11,20200101
石家庄市,河北省,0.11,20200101
迪庆藏族自治州,云南省,0.11,20200101
宝鸡市,陕西省,0.09,20200101
海南藏族自治州,青海省,0.09,20200101
阿坝藏族羌族自治州,四川省,0.09,20200101
贵阳市,贵州省,0.09,20200101
眉山市,四川省,0.09,20200101
内江市,四川省,0.09,20200101
廊坊市,河北省,0.08,20200101
中卫市,宁夏回族自治区,0.08,20200101
德阳市,四川省,0.08,20200101
太原市,山西省,0.08,20200101
南昌市,江西省,0.08,20200101
沈阳市,辽宁省,0.08,20200101
日喀则市,西藏自治区,21.28,20200102
山南市,西藏自治区,20.5,20200102
那曲市,西藏自治区,16.66,20200102
林芝市,西藏自治区,9.76,20200102
成都市,四川省,4.46,20200102
昌都市,西藏自治区,3.29,20200102
咸阳市,陕西省,2.32,20200102
阿里地区,西藏自治区,1.81,20200102
海西蒙古族藏族自治州,青海省,1.51,20200102
西宁市,青海省,1.44,20200102
重庆市,重庆市,1.35,20200102
北京市,北京市,1.04,20200102
西安市,陕西省,0.92,20200102
