city_name,province_name,value,date
山南市,西藏自治区,19.23,20200101
日喀则市,西藏自治区,14.03,20200101
林芝市,西藏自治区,10.74,20200101
那曲市,西藏自治区,10.64,20200101
成都市,四川省,8.35,20200101
海西蒙古族藏族自治州,青海省,5.91,20200101
昌都市,西藏自治区,3.16,20200101
重庆市,重庆市,1.65,20200101
西宁市,青海省,1.48,20200101
西安市,陕西省,1.29,20200101
遂宁市,四川省,1.22,20200101
绵阳市,四川省,1.09,20200101
兰州市,甘肃省,0.84,20200101
咸阳市,陕西省,0.69,20200101
南充市,四川省,0.68,20200101
北京市,北京市,0.68,20200101
昆明市,云南省,0.63,20200101
眉山市,四川省,0.59,20200101
甘孜藏族自治州,四川省,0.59,20200101
临夏回族自治州,甘肃省,0.54,20200101
阿里地区,西藏自治区,0.51,20200101
海东市,青海省,0.45,20200101
南京市,江苏省,0.42,20200101
郑州市,河南省,0.42,20200101
商丘市,河南省,0.42,20200101
德阳市,四川省,0.41,20200101
内江市,四川省,0.28,20200101
丽江市,云南省,0.27,20200101
银川市,宁夏回族自治区,0.25,20200101
玉树藏族自治州,青海省,0.24,20200101
武汉市,湖北省,0.24,20200101
武威市,甘肃省,0.24,20200101
周口市,河南省,0.23,20200101
自贡市,四川省,0.23,20200101
张掖市,甘肃省,0.23,20200101
广州市,广东省,0.23,20200101
广安市,四川省,0.22,20200101
上海市,上海市,0.21,20200101
乐山市,四川省,0.21,20200101
三亚市,海南省,0.19,20200101
定西市,甘肃省,0.19,20200101
天水市,甘肃省,0.19,20200101
菏泽市,山东省,0.18,20200101
长沙市,湖南省,0.18,20200101
资阳市,四川省,0.17,20200101
宜宾市,四川省,0.17,20200101
荆州市,湖北省,0.17,20200101
安庆市,安徽省,0.16,20200101
广元市,四川省,0.16,20200101
达州市,四川省,0.16,20200101
日喀则市,西藏自治区,11.93,20200102
山南市,西藏自治区,11.86,20200102
林芝市,西藏自治区,9.93,20200102
那曲市,西藏自治区,9.86,20200102
成都市,四川省,9.42,20200102
海西蒙古族藏族自治州,青海省,5.72,20200102
重庆市,重庆市,3.31,20200102
昌都市,西藏自治区,3.28,20200102
西宁市,青海省,2.32,20200102
遂宁市,四川省,2.05,20200102
西安市,陕西省,1.46,20200102
绵阳市,四川省,1.41,20200102
临夏回族自治州,甘肃省,1.33,20200102
南充市,四川省,0.98,20200102
北京市,北京市,0.97,20200102
兰州市,甘肃省,0.91,20200102
咸阳市,陕西省,0.65,20200102
眉山市,四川省,0.64,20200102
阿里地区,西藏自治区,0.61,20200102
郑州市,河南省,0.57,20200102
达州市,四川省,0.57,20200102
商丘市,河南省,0.56,20200102
