city_name,province_name,value,date
凉山彝族自治州,四川省,47.17,20200101
成都市,四川省,15.89,20200101
丽江市,云南省,8.96,20200101
楚雄彝族自治州,云南省,6.41,20200101
昆明市,云南省,4.01,20200101
重庆市,重庆市,1.4,20200101
眉山市,四川省,1.17,20200101
乐山市,四川省,1.07,20200101
南充市,四川省,0.96,20200101
雅安市,四川省,0.69,20200101
大理白族自治州,云南省,0.57,20200101
绵阳市,四川省,0.57,20200101
内江市,四川省,0.55,20200101
德阳市,四川省,0.5,20200101
宜宾市,四川省,0.46,20200101
昭通市,云南省,0.41,20200101
广安市,四川省,0.39,20200101
北京市,北京市,0.36,20200101
深圳市,广东省,0.34,20200101
自贡市,四川省,0.34,20200101
曲靖市,云南省,0.34,20200101
泸州市,四川省,0.34,20200101
遂宁市,四川省,0.32,20200101
广元市,四川省,0.24,20200101
上海市,上海市,0.22,20200101
东莞市,广东省,0.22,20200101
天津市,天津市,0.22,20200101
达州市,四川省,0.2,20200101
红河哈尼族彝族自治州,云南省,0.19,20200101
贵阳市,贵州省,0.17,20200101
资阳市,四川省,0.17,20200101
西双版纳傣族自治州,云南省,0.17,20200101
温州市,浙江省,0.15,20200101
玉溪市,云南省,0.13,20200101
南京市,江苏省,0.13,20200101
甘孜藏族自治州,四川省,0.13,20200101
临沧市,云南省,0.12,20200101
平顶山市,河南省,0.12,20200101
毕节市,贵州省,0.1,20200101
迪庆藏族自治州,云南省,0.1,20200101
广州市,广东省,0.1,20200101
铜仁市,贵州省,0.1,20200101
武汉市,湖北省,0.1,20200101
德宏傣族景颇族自治州,云南省,0.1,20200101
沈阳市,辽宁省,0.08,20200101
杭州市,浙江省,0.08,20200101
六盘水市,贵州省,0.08,20200101
巴中市,四川省,0.08,20200101
中山市,广东省,0.08,20200101
潍坊市,山东省,0.06,20200101
凉山彝族自治州,四川省,35.92,20200102
成都市,四川省,25.32,20200102
丽江市,云南省,5.52,20200102
楚雄彝族自治州,云南省,4.33,20200102
昆明市,云南省,3.67,20200102
重庆市,重庆市,1.73,20200102
眉山市,四川省,1.62,20200102
乐山市,四川省,1.33,20200102
德阳市,四川省,1.3,20200102
绵阳市,四川省,1.22,20200102
雅安市,四川省,1.2,20200102
内江市,四川省,0.84,20200102
南充市,四川省,0.84,20200102
广安市,四川省,0.72,20200102
泸州市,四川省,0.59,20200102
广元市,四川省,0.56,20200102
遂宁市,四川省,0.49,20200102
昭通市,云南省,0.47,20200102
甘孜藏族自治州,四川省,0.46,20200102
北京市,北京市,0.46,20200102
自贡市,四川省,0.41,20200102
资阳市,四川省,0.41,20200102
大理白族自治州,云南省,0.36,20200102
东莞市,广东省,0.33,20200102
深圳市,广东省,0.33,20200102
玉溪市,云南省,0.31,20200102
宜宾市,四川省,0.29,20200102
达州市,四川省,0.26,20200102
天津市,天津市,0.24,20200102
贵阳市,贵州省,0.24,20200102
广州市,广东省,0.23,20200102
上海市,上海市,0.23,20200102
红河哈尼族彝族自治州,云南省,0.23,20200102
桂林市,广西壮族自治区,0.19,20200102
六盘水市,贵州省,0.19,20200102
巴中市,四川省,0.18,20200102
曲靖市,云南省,0.16,20200102
郑州市,河南省,0.16,20200102
合肥市,安徽省,0.16,20200102
杭州市,浙江省,0.14,20200102
长沙市,湖南省,0.13,20200102
济南市,山东省,0.13,20200102
遵义市,贵州省,0.13,20200102
南阳市,河南省,0.13,20200102
佛山市,广东省,0.13,20200102
金华市,浙江省,0.11,20200102
武汉市,湖北省,0.11,20200102
阿坝藏族羌族自治州,四川省,0.11,20200102
宁波市,浙江省,0.11,20200102
石家庄市,河北省,0.11,20200102
凉山彝族自治州,四川省,42.99,20200103
成都市,四川省,20.78,20200103
丽江市,云南省,7.14,20200103
楚雄彝族自治州,云南省,4.5,20200103
昆明市,云南省,4.11,20200103
重庆市,重庆市,1.46,20200103
眉山市,四川省,1.41,20200103
乐山市,四川省,1.1,20200103
德阳市,四川省,0.95,20200103
南充市,四川省,0.93,20200103
绵阳市,四川省,0.85,20200103
广安市,四川省,0.79,20200103
雅安市,四川省,0.77,20200103
内江市,四川省,0.69,20200103
泸州市,四川省,0.55,20200103
自贡市,四川省,0.54,20200103
大理白族自治州,云南省,0.49,20200103
甘孜藏族自治州,四川省,0.47,20200103
达州市,四川省,0.38,20200103
深圳市,广东省,0.36,20200103
广元市,四川省,0.35,20200103
昭通市,云南省,0.35,20200103
遂宁市,四川省,0.32,20200103
东莞市,广东省,0.32,20200103
上海市,上海市,0.31,20200103
北京市,北京市,0.28,20200103
武汉市,湖北省,0.21,20200103
红河哈尼族彝族自治州,云南省,0.2,20200103
宜宾市,四川省,0.2,20200103
保山市,云南省,0.2,20200103
天津市,天津市,0.19,20200103
资阳市,四川省,0.18,20200103
西双版纳傣族自治州,云南省,0.18,20200103
南京市,江苏省,0.18,20200103
玉溪市,云南省,0.17,20200103
北海市,广西壮族自治区,0.16,20200103
贵阳市,贵州省,0.16,20200103
曲靖市,云南省,0.15,20200103
宁波市,浙江省,0.15,20200103
巴中市,四川省,0.15,20200103
广州市,广东省,0.13,20200103
西安市,陕西省,0.12,20200103
德宏傣族景颇族自治州,云南省,0.1,20200103
福州市,福建省,0.09,20200103
毕节市,贵州省,0.09,20200103
杭州市,浙江省,0.09,20200103
厦门市,福建省,0.09,20200103
唐山市,河北省,0.09,20200103
苏州市,江苏省,0.09,20200103
佛山市,广东省,0.08,20200103
凉山彝族自治州,四川省,36.75,20200104
成都市,四川省,22.44,20200104
丽江市,云南省,8.31,20200104
楚雄彝族自治州,云南省,4.75,20200104
昆明市,云南省,4.07,20200104
重庆市,重庆市,2.2,20200104
眉山市,四川省,1.94,20200104
德阳市,四川省,1.13,20200104
南充市,四川省,1.07,20200104
绵阳市,四川省,1.02,20200104
雅安市,四川省,0.85,20200104
乐山市,四川省,0.8,20200104
自贡市,四川省,0.69,20200104
内江市,四川省,0.63,20200104
宜宾市,四川省,0.54,20200104
大理白族自治州,云南省,0.51,20200104
东莞市,广东省,0.5,20200104
泸州市,四川省,0.47,20200104
广安市,四川省,0.42,20200104
上海市,上海市,0.41,20200104
深圳市,广东省,0.41,20200104
达州市,四川省,0.41,20200104
遂宁市,四川省,0.4,20200104
昭通市,云南省,0.36,20200104
资阳市,四川省,0.34,20200104
武汉市,湖北省,0.29,20200104
玉溪市,云南省,0.28,20200104
巴中市,四川省,0.28,20200104
甘孜藏族自治州,四川省,0.27,20200104
红河哈尼族彝族自治州,云南省,0.23,20200104
贵阳市,贵州省,0.23,20200104
曲靖市,云南省,0.22,20200104
桂林市,广西壮族自治区,0.22,20200104
广元市,四川省,0.2,20200104
广州市,广东省,0.18,20200104
北京市,北京市,0.17,20200104
西双版纳傣族自治州,云南省,0.15,20200104
西安市,陕西省,0.14,20200104
佛山市,广东省,0.14,20200104
鞍山市,辽宁省,0.13,20200104
厦门市,福建省,0.12,20200104
天津市,天津市,0.12,20200104
温州市,浙江省,0.12,20200104
杭州市,浙江省,0.11,20200104
