city_name,province_name,value,date
凉山彝族自治州,四川省,42.24,20200101
成都市,四川省,16.74,20200101
丽江市,云南省,8.12,20200101
楚雄彝族自治州,云南省,6.6,20200101
昆明市,云南省,5.9,20200101
雅安市,四川省,1.68,20200101
重庆市,重庆市,1.66,20200101
德阳市,四川省,1.11,20200101
乐山市,四川省,1.03,20200101
泸州市,四川省,0.93,20200101
眉山市,四川省,0.9,20200101
内江市,四川省,0.9,20200101
南充市,四川省,0.88,20200101
遂宁市,四川省,0.69,20200101
绵阳市,四川省,0.65,20200101
广安市,四川省,0.57,20200101
大理白族自治州,云南省,0.53,20200101
达州市,四川省,0.47,20200101
自贡市,四川省,0.46,20200101
宜宾市,四川省,0.46,20200101
资阳市,四川省,0.41,20200101
昭通市,云南省,0.41,20200101
玉溪市,云南省,0.33,20200101
广元市,四川省,0.26,20200101
曲靖市,云南省,0.25,20200101
上海市,上海市,0.22,20200101
巴中市,四川省,0.2,20200101
西安市,陕西省,0.2,20200101
惠州市,广东省,0.19,20200101
红河哈尼族彝族自治州,云南省,0.17,20200101
西双版纳傣族自治州,云南省,0.15,20200101
深圳市,广东省,0.15,20200101
东莞市,广东省,0.14,20200101
北京市,北京市,0.14,20200101
保山市,云南省,0.14,20200101
桂林市,广西壮族自治区,0.14,20200101
广州市,广东省,0.12,20200101
阿坝藏族羌族自治州,四川省,0.11,20200101
文山壮族苗族自治州,云南省,0.11,20200101
德宏傣族景颇族自治州,云南省,0.11,20200101
武汉市,湖北省,0.11,20200101
杭州市,浙江省,0.09,20200101
佛山市,广东省,0.09,20200101
南宁市,广西壮族自治区,0.09,20200101
哈尔滨市,黑龙江省,0.09,20200101
咸阳市,陕西省,0.09,20200101
三亚市,海南省,0.09,20200101
贵阳市,贵州省,0.09,20200101
普洱市,云南省,0.07,20200101
贵港市,广西壮族自治区,0.07,20200101
凉山彝族自治州,四川省,32.42,20200102
成都市,四川省,22.23,20200102
昆明市,云南省,5.59,20200102
丽江市,云南省,5.19,20200102
楚雄彝族自治州,云南省,4.97,20200102
南充市,四川省,2.05,20200102
重庆市,重庆市,1.84,20200102
乐山市,四川省,1.69,20200102
眉山市,四川省,1.46,20200102
绵阳市,四川省,1.45,20200102
雅安市,四川省,1.23,20200102
内江市,四川省,1.23,20200102
资阳市,四川省,1.18,20200102
德阳市,四川省,1.14,20200102
宜宾市,四川省,1.14,20200102
泸州市,四川省,0.97,20200102
广安市,四川省,0.97,20200102
遂宁市,四川省,0.81,20200102
自贡市,四川省,0.63,20200102
广元市,四川省,0.57,20200102
玉溪市,云南省,0.57,20200102
大理白族自治州,云南省,0.55,20200102
昭通市,云南省,0.55,20200102
达州市,四川省,0.55,20200102
巴中市,四川省,0.5,20200102
红河哈尼族彝族自治州,云南省,0.37,20200102
西双版纳傣族自治州,云南省,0.37,20200102
曲靖市,云南省,0.37,20200102
深圳市,广东省,0.26,20200102
保山市,云南省,0.22,20200102
广州市,广东省,0.22,20200102
上海市,上海市,0.21,20200102
德宏傣族景颇族自治州,云南省,0.19,20200102
贵阳市,贵州省,0.17,20200102
甘孜藏族自治州,四川省,0.16,20200102
西安市,陕西省,0.16,20200102
杭州市,浙江省,0.16,20200102
桂林市,广西壮族自治区,0.14,20200102
中山市,广东省,0.14,20200102
北京市,北京市,0.14,20200102
遵义市,贵州省,0.14,20200102
泉州市,福建省,0.13,20200102
十堰市,湖北省,0.13,20200102
渭南市,陕西省,0.11,20200102
南宁市,广西壮族自治区,0.11,20200102
六盘水市,贵州省,0.11,20200102
长沙市,湖南省,0.11,20200102
南京市,江苏省,0.11,20200102
东莞市,广东省,0.11,20200102
阿坝藏族羌族自治州,四川省,0.11,20200102
凉山彝族自治州,四川省,37.78,20200103
成都市,四川省,18.52,20200103
昆明市,云南省,6.91,20200103
丽江市,云南省,6.36,20200103
楚雄彝族自治州,云南省,5.44,20200103
重庆市,重庆市,1.44,20200103
南充市,四川省,1.43,20200103
泸州市,四川省,1.38,20200103
绵阳市,四川省,1.36,20200103
乐山市,四川省,1.34,20200103
雅安市,四川省,1.3,20200103
内江市,四川省,1.17,20200103
眉山市,四川省,1.17,20200103
广安市,四川省,0.87,20200103
宜宾市,四川省,0.79,20200103
德阳市,四川省,0.77,20200103
大理白族自治州,云南省,0.75,20200103
资阳市,四川省,0.7,20200103
遂宁市,四川省,0.65,20200103
自贡市,四川省,0.57,20200103
达州市,四川省,0.54,20200103
昭通市,云南省,0.45,20200103
西双版纳傣族自治州,云南省,0.34,20200103
红河哈尼族彝族自治州,云南省,0.31,20200103
北京市,北京市,0.3,20200103
巴中市,四川省,0.25,20200103
广元市,四川省,0.23,20200103
西安市,陕西省,0.23,20200103
玉溪市,云南省,0.21,20200103
广州市,广东省,0.19,20200103
保山市,云南省,0.19,20200103
杭州市,浙江省,0.18,20200103
贵阳市,贵州省,0.17,20200103
沈阳市,辽宁省,0.16,20200103
武汉市,湖北省,0.15,20200103
深圳市,广东省,0.15,20200103
曲靖市,云南省,0.14,20200103
南京市,江苏省,0.12,20200103
遵义市,贵州省,0.11,20200103
上海市,上海市,0.11,20200103
长沙市,湖南省,0.1,20200103
甘孜藏族自治州,四川省,0.1,20200103
六盘水市,贵州省,0.1,20200103
保定市,河北省,0.1,20200103
福州市,福建省,0.09,20200103
哈尔滨市,黑龙江省,0.08,20200103
普洱市,云南省,0.08,20200103
临沧市,云南省,0.08,20200103
东莞市,广东省,0.08,20200103
柳州市,广西壮族自治区,0.07,20200103
凉山彝族自治州,四川省,38.71,20200104
成都市,四川省,16.78,20200104
楚雄彝族自治州,云南省,6.61,20200104
丽江市,云南省,6.59,20200104
昆明市,云南省,6.47,20200104
南充市,四川省,1.61,20200104
重庆市,重庆市,1.45,20200104
雅安市,四川省,1.34,20200104
乐山市,四川省,1.34,20200104
泸州市,四川省,1.28,20200104
内江市,四川省,1.28,20200104
眉山市,四川省,0.98,20200104
绵阳市,四川省,0.96,20200104
遂宁市,四川省,0.87,20200104
德阳市,四川省,0.83,20200104
广安市,四川省,0.79,20200104
宜宾市,四川省,0.76,20200104
资阳市,四川省,0.6,20200104
大理白族自治州,云南省,0.52,20200104
巴中市,四川省,0.47,20200104
达州市,四川省,0.45,20200104
北京市,北京市,0.42,20200104
昭通市,云南省,0.35,20200104
西双版纳傣族自治州,云南省,0.35,20200104
自贡市,四川省,0.31,20200104
杭州市,浙江省,0.28,20200104
玉溪市,云南省,0.28,20200104
曲靖市,云南省,0.27,20200104
红河哈尼族彝族自治州,云南省,0.27,20200104
广州市,广东省,0.25,20200104
广元市,四川省,0.25,20200104
西安市,陕西省,0.21,20200104
南京市,江苏省,0.18,20200104
桂林市,广西壮族自治区,0.15,20200104
东莞市,广东省,0.15,20200104
上海市,上海市,0.13,20200104
贵阳市,贵州省,0.13,20200104
武汉市,湖北省,0.12,20200104
遵义市,贵州省,0.11,20200104
甘孜藏族自治州,四川省,0.11,20200104
菏泽市,山东省,0.11,20200104
长沙市,湖南省,0.11,20200104
黔西南布依族苗族自治州,贵州省,0.09,20200104
南宁市,广西壮族自治区,0.09,20200104
福州市,福建省,0.09,20200104
深圳市,广东省,0.09,20200104
安阳市,河南省,0.08,20200104
廊坊市,河北省,0.08,20200104
六盘水市,贵州省,0.08,20200104
佛山市,广东省,0.07,20200104
凉山彝族自治州,四川省,41.78,20200105
成都市,四川省,16.81,20200105
丽江市,云南省,6.64,20200105
昆明市,云南省,5.94,20200105
楚雄彝族自治州,云南省,5.39,20200105
重庆市,重庆市,1.78,20200105
南充市,四川省,1.54,20200105
乐山市,四川省,1.25,20200105
泸州市,四川省,1.2,20200105
绵阳市,四川省,1.04,20200105
内江市,四川省,1.01,20200105
眉山市,四川省,1.0,20200105
雅安市,四川省,0.9,20200105
德阳市,四川省,0.86,20200105
资阳市,四川省,0.75,20200105
南京市,江苏省,0.72,20200105
遂宁市,四川省,0.69,20200105
宜宾市,四川省,0.58,20200105
大理白族自治州,云南省,0.58,20200105
自贡市,四川省,0.5,20200105
广安市,四川省,0.43,20200105
达州市,四川省,0.43,20200105
昭通市,云南省,0.43,20200105
玉溪市,云南省,0.41,20200105
广州市,广东省,0.37,20200105
广元市,四川省,0.34,20200105
北京市,北京市,0.28,20200105
曲靖市,云南省,0.24,20200105
巴中市,四川省,0.24,20200105
西双版纳傣族自治州,云南省,0.23,20200105
红河哈尼族彝族自治州,云南省,0.18,20200105
贵阳市,贵州省,0.17,20200105
杭州市,浙江省,0.16,20200105
西安市,陕西省,0.15,20200105
福州市,福建省,0.12,20200105
保山市,云南省,0.12,20200105
深圳市,广东省,0.11,20200105
无锡市,江苏省,0.1,20200105
六盘水市,贵州省,0.09,20200105
遵义市,贵州省,0.09,20200105
阿坝藏族羌族自治州,四川省,0.08,20200105
德宏傣族景颇族自治州,云南省,0.08,20200105
甘孜藏族自治州,四川省,0.08,20200105
上海市,上海市,0.07,20200105
天津市,天津市,0.07,20200105
郑州市,河南省,0.07,20200105
文山壮族苗族自治州,云南省,0.07,20200105
临沧市,云南省,0.07,20200105
武汉市,湖北省,0.06,20200105
普洱市,云南省,0.06,20200105
凉山彝族自治州,四川省,41.47,20200106
成都市,四川省,16.15,20200106
丽江市,云南省,6.88,20200106
昆明市,云南省,6.39,20200106
楚雄彝族自治州,云南省,5.44,20200106
重庆市,重庆市,1.86,20200106
南充市,四川省,1.57,20200106
眉山市,四川省,1.41,20200106
内江市,四川省,1.38,20200106
泸州市,四川省,1.17,20200106
雅安市,四川省,0.99,20200106
乐山市,四川省,0.93,20200106
绵阳市,四川省,0.92,20200106
广安市,四川省,0.82,20200106
遂宁市,四川省,0.74,20200106
德阳市,四川省,0.72,20200106
宜宾市,四川省,0.67,20200106
资阳市,四川省,0.67,20200106
大理白族自治州,云南省,0.53,20200106
昭通市,云南省,0.46,20200106
自贡市,四川省,0.4,20200106
达州市,四川省,0.38,20200106
巴中市,四川省,0.37,20200106
玉溪市,云南省,0.29,20200106
西双版纳傣族自治州,云南省,0.27,20200106
深圳市,广东省,0.26,20200106
曲靖市,云南省,0.22,20200106
北京市,北京市,0.22,20200106
西安市,陕西省,0.22,20200106
广元市,四川省,0.21,20200106
贵阳市,贵州省,0.2,20200106
六盘水市,贵州省,0.19,20200106
红河哈尼族彝族自治州,云南省,0.16,20200106
南京市,江苏省,0.16,20200106
咸阳市,陕西省,0.15,20200106
保山市,云南省,0.13,20200106
广州市,广东省,0.13,20200106
长沙市,湖南省,0.12,20200106
普洱市,云南省,0.11,20200106
甘孜藏族自治州,四川省,0.1,20200106
惠州市,广东省,0.1,20200106
临沧市,云南省,0.09,20200106
东莞市,广东省,0.09,20200106
郑州市,河南省,0.08,20200106
遵义市,贵州省,0.08,20200106
无锡市,江苏省,0.08,20200106
毕节市,贵州省,0.08,20200106
百色市,广西壮族自治区,0.08,20200106
文山壮族苗族自治州,云南省,0.07,20200106
南阳市,河南省,0.07,20200106
凉山彝族自治州,四川省,42.26,20200107
成都市,四川省,16.49,20200107
丽江市,云南省,7.1,20200107
昆明市,云南省,5.94,20200107
楚雄彝族自治州,云南省,5.63,20200107
重庆市,重庆市,1.65,20200107
南充市,四川省,1.43,20200107
泸州市,四川省,1.37,20200107
乐山市,四川省,1.13,20200107
眉山市,四川省,1.03,20200107
雅安市,四川省,0.96,20200107
内江市,四川省,0.94,20200107
绵阳市,四川省,0.94,20200107
广安市,四川省,0.73,20200107
德阳市,四川省,0.71,20200107
大理白族自治州,云南省,0.71,20200107
宜宾市,四川省,0.64,20200107
昭通市,云南省,0.55,20200107
遂宁市,四川省,0.55,20200107
曲靖市,云南省,0.48,20200107
资阳市,四川省,0.42,20200107
达州市,四川省,0.4,20200107
自贡市,四川省,0.39,20200107
广元市,四川省,0.34,20200107
玉溪市,云南省,0.3,20200107
西安市,陕西省,0.24,20200107
西双版纳傣族自治州,云南省,0.24,20200107
北京市,北京市,0.23,20200107
深圳市,广东省,0.21,20200107
巴中市,四川省,0.21,20200107
贵阳市,贵州省,0.16,20200107
武汉市,湖北省,0.14,20200107
沈阳市,辽宁省,0.14,20200107
鞍山市,辽宁省,0.13,20200107
上海市,上海市,0.13,20200107
临沧市,云南省,0.11,20200107
东莞市,广东省,0.1,20200107
长沙市,湖南省,0.1,20200107
红河哈尼族彝族自治州,云南省,0.09,20200107
阿坝藏族羌族自治州,四川省,0.09,20200107
南阳市,河南省,0.09,20200107
新乡市,河南省,0.09,20200107
广州市,广东省,0.09,20200107
六盘水市,贵州省,0.08,20200107
遵义市,贵州省,0.08,20200107
咸阳市,陕西省,0.07,20200107
桂林市,广西壮族自治区,0.07,20200107
南京市,江苏省,0.07,20200107
甘孜藏族自治州,四川省,0.07,20200107
保定市,河北省,0.06,20200107
凉山彝族自治州,四川省,38.43,20200108
成都市,四川省,18.07,20200108
丽江市,云南省,7.15,20200108
楚雄彝族自治州,云南省,5.79,20200108
昆明市,云南省,5.79,20200108
重庆市,重庆市,2.11,20200108
南充市,四川省,1.55,20200108
内江市,四川省,1.44,20200108
泸州市,四川省,1.44,20200108
乐山市,四川省,1.41,20200108
雅安市,四川省,1.25,20200108
眉山市,四川省,0.89,20200108
德阳市,四川省,0.81,20200108
大理白族自治州,云南省,0.77,20200108
宜宾市,四川省,0.7,20200108
遂宁市,四川省,0.69,20200108
绵阳市,四川省,0.65,20200108
广安市,四川省,0.62,20200108
昭通市,云南省,0.55,20200108
自贡市,四川省,0.54,20200108
达州市,四川省,0.53,20200108
资阳市,四川省,0.35,20200108
巴中市,四川省,0.29,20200108
红河哈尼族彝族自治州,云南省,0.29,20200108
曲靖市,云南省,0.29,20200108
广元市,四川省,0.27,20200108
