city_name,province_name,value,date
郑州市,河南省,40.08,20200101
焦作市,河南省,10.24,20200101
安阳市,河南省,8.85,20200101
开封市,河南省,3.98,20200101
鹤壁市,河南省,3.73,20200101
濮阳市,河南省,1.93,20200101
商丘市,河南省,1.79,20200101
洛阳市,河南省,1.72,20200101
周口市,河南省,1.59,20200101
北京市,北京市,1.47,20200101
菏泽市,山东省,1.18,20200101
驻马店市,河南省,1.18,20200101
许昌市,河南省,1.17,20200101
南阳市,河南省,0.96,20200101
晋城市,山西省,0.92,20200101
平顶山市,河南省,0.84,20200101
邯郸市,河北省,0.78,20200101
信阳市,河南省,0.63,20200101
长治市,山西省,0.57,20200101
苏州市,江苏省,0.53,20200101
上海市,上海市,0.49,20200101
漯河市,河南省,0.49,20200101
西安市,陕西省,0.49,20200101
三门峡市,河南省,0.48,20200101
济源市,河南省,0.46,20200101
天津市,天津市,0.36,20200101
石家庄市,河北省,0.34,20200101
武汉市,湖北省,0.31,20200101
临汾市,山西省,0.3,20200101
保定市,河北省,0.29,20200101
济宁市,山东省,0.27,20200101
南京市,江苏省,0.26,20200101
邢台市,河北省,0.26,20200101
运城市,山西省,0.25,20200101
徐州市,江苏省,0.24,20200101
临沂市,山东省,0.24,20200101
青岛市,山东省,0.23,20200101
聊城市,山东省,0.23,20200101
济南市,山东省,0.22,20200101
杭州市,浙江省,0.2,20200101
广州市,广东省,0.2,20200101
重庆市,重庆市,0.19,20200101
潍坊市,山东省,0.19,20200101
无锡市,江苏省,0.18,20200101
长沙市,湖南省,0.17,20200101
晋中市,山西省,0.17,20200101
成都市,四川省,0.15,20200101
沧州市,河北省,0.15,20200101
太原市,山西省,0.15,20200101
合肥市,安徽省,0.14,20200101
郑州市,河南省,33.96,20200102
焦作市,河南省,7.0,20200102
安阳市,河南省,6.68,20200102
开封市,河南省,3.37,20200102
鹤壁市,河南省,2.71,20200102
洛阳市,河南省,2.31,20200102
周口市,河南省,2.27,20200102
商丘市,河南省,2.11,20200102
濮阳市,河南省,1.99,20200102
