city_name,province_name,value,date
宜春市,江西省,31.27,20200101
南昌市,江西省,13.2,20200101
吉安市,江西省,12.92,20200101
萍乡市,江西省,4.3,20200101
赣州市,江西省,3.2,20200101
九江市,江西省,2.3,20200101
温州市,浙江省,1.91,20200101
长沙市,湖南省,1.79,20200101
上饶市,江西省,1.68,20200101
上海市,上海市,1.59,20200101
深圳市,广东省,1.59,20200101
抚州市,江西省,1.36,20200101
金华市,浙江省,1.24,20200101
广州市,广东省,1.04,20200101
东莞市,广东省,0.76,20200101
株洲市,湖南省,0.65,20200101
杭州市,浙江省,0.62,20200101
武汉市,湖北省,0.6,20200101
厦门市,福建省,0.58,20200101
鹰潭市,江西省,0.54,20200101
宁波市,浙江省,0.54,20200101
泉州市,福建省,0.53,20200101
台州市,浙江省,0.53,20200101
佛山市,广东省,0.53,20200101
苏州市,江苏省,0.51,20200101
福州市,福建省,0.46,20200101
绍兴市,浙江省,0.44,20200101
景德镇市,江西省,0.42,20200101
北京市,北京市,0.4,20200101
中山市,广东省,0.39,20200101
惠州市,广东省,0.35,20200101
郑州市,河南省,0.31,20200101
贵阳市,贵州省,0.31,20200101
怀化市,湖南省,0.3,20200101
衡阳市,湖南省,0.3,20200101
嘉兴市,浙江省,0.3,20200101
重庆市,重庆市,0.24,20200101
湘潭市,湖南省,0.24,20200101
娄底市,湖南省,0.23,20200101
揭阳市,广东省,0.23,20200101
舟山市,浙江省,0.23,20200101
成都市,四川省,0.21,20200101
天津市,天津市,0.19,20200101
岳阳市,湖南省,0.19,20200101
昆明市,云南省,0.17,20200101
无锡市,江苏省,0.17,20200101
西安市,陕西省,0.17,20200101
济南市,山东省,0.17,20200101
郴州市,湖南省,0.17,20200101
咸宁市,湖北省,0.15,20200101
宜春市,江西省,19.09,20200102
南昌市,江西省,17.32,20200102
吉安市,江西省,7.53,20200102
萍乡市,江西省,3.5,20200102
赣州市,江西省,3.16,20200102
温州市,浙江省,3.13,20200102
深圳市,广东省,2.66,20200102
九江市,江西省,2.59,20200102
上海市,上海市,2.57,20200102
长沙市,湖南省,2.41,20200102
金华市,浙江省,1.73,20200102
抚州市,江西省,1.68,20200102
杭州市,浙江省,1.53,20200102
上饶市,江西省,1.53,20200102
鹰潭市,江西省,1.21,20200102
广州市,广东省,1.14,20200102
东莞市,广东省,1.12,20200102
嘉兴市,浙江省,1.03,20200102
福州市,福建省,0.98,20200102
宁波市,浙江省,0.94,20200102
武汉市,湖北省,0.91,20200102
佛山市,广东省,0.89,20200102
泉州市,福建省,0.71,20200102
台州市,浙江省,0.69,20200102
苏州市,江苏省,0.66,20200102
中山市,广东省,0.62,20200102
景德镇市,江西省,0.62,20200102
株洲市,湖南省,0.6,20200102
北京市,北京市,0.57,20200102
绍兴市,浙江省,0.57,20200102
无锡市,江苏省,0.44,20200102
惠州市,广东省,0.42,20200102
湘潭市,湖南省,0.41,20200102
黄冈市,湖北省,0.39,20200102
衢州市,浙江省,0.35,20200102
南京市,江苏省,0.35,20200102
郴州市,湖南省,0.32,20200102
重庆市,重庆市,0.32,20200102
扬州市,江苏省,0.28,20200102
成都市,四川省,0.28,20200102
衡阳市,湖南省,0.28,20200102
郑州市,河南省,0.25,20200102
昆明市,云南省,0.25,20200102
南平市,福建省,0.25,20200102
娄底市,湖南省,0.23,20200102
哈尔滨市,黑龙江省,0.23,20200102
合肥市,安徽省,0.21,20200102
桂林市,广西壮族自治区,0.21,20200102
湖州市,浙江省,0.21,20200102
厦门市,福建省,0.21,20200102
宜春市,江西省,24.95,20200103
南昌市,江西省,20.04,20200103
吉安市,江西省,10.08,20200103
萍乡市,江西省,4.19,20200103
九江市,江西省,3.15,20200103
赣州市,江西省,2.5,20200103
温州市,浙江省,2.06,20200103
深圳市,广东省,2.01,20200103
长沙市,湖南省,1.9,20200103
上海市,上海市,1.76,20200103
上饶市,江西省,1.68,20200103
金华市,浙江省,1.67,20200103
抚州市,江西省,1.67,20200103
武汉市,湖北省,0.98,20200103
广州市,广东省,0.93,20200103
杭州市,浙江省,0.77,20200103
东莞市,广东省,0.75,20200103
鹰潭市,江西省,0.7,20200103
株洲市,湖南省,0.67,20200103
宁波市,浙江省,0.67,20200103
福州市,福建省,0.65,20200103
佛山市,广东省,0.52,20200103
湘潭市,湖南省,0.48,20200103
苏州市,江苏省,0.47,20200103
景德镇市,江西省,0.45,20200103
台州市,浙江省,0.45,20200103
惠州市,广东省,0.44,20200103
绍兴市,浙江省,0.43,20200103
北京市,北京市,0.42,20200103
泉州市,福建省,0.4,20200103
中山市,广东省,0.36,20200103
重庆市,重庆市,0.36,20200103
嘉兴市,浙江省,0.33,20200103
郑州市,河南省,0.31,20200103
南京市,江苏省,0.29,20200103
芜湖市,安徽省,0.24,20200103
无锡市,江苏省,0.23,20200103
黄石市,湖北省,0.22,20200103
黄冈市,湖北省,0.21,20200103
岳阳市,湖南省,0.2,20200103
衢州市,浙江省,0.19,20200103
娄底市,湖南省,0.19,20200103
湖州市,浙江省,0.18,20200103
厦门市,福建省,0.17,20200103
常德市,湖南省,0.17,20200103
合肥市,安徽省,0.17,20200103
西安市,陕西省,0.16,20200103
丽水市,浙江省,0.15,20200103
天津市,天津市,0.15,20200103
桂林市,广西壮族自治区,0.15,20200103
宜春市,江西省,26.18,20200104
南昌市,江西省,17.98,20200104
吉安市,江西省,10.61,20200104
萍乡市,江西省,4.45,20200104
九江市,江西省,3.07,20200104
赣州市,江西省,2.55,20200104
温州市,浙江省,2.28,20200104
深圳市,广东省,2.1,20200104
长沙市,湖南省,2.04,20200104
抚州市,江西省,1.51,20200104
上海市,上海市,1.48,20200104
金华市,浙江省,1.3,20200104
广州市,广东省,1.25,20200104
