city_name,province_name,value,date
宜春市,江西省,36.09,20200101
南昌市,江西省,15.18,20200101
吉安市,江西省,13.84,20200101
萍乡市,江西省,3.92,20200101
赣州市,江西省,3.71,20200101
九江市,江西省,1.74,20200101
上饶市,江西省,1.74,20200101
长沙市,湖南省,1.74,20200101
抚州市,江西省,1.34,20200101
深圳市,广东省,1.3,20200101
株洲市,湖南省,1.13,20200101
上海市,上海市,0.96,20200101
广州市,广东省,0.83,20200101
东莞市,广东省,0.59,20200101
鹰潭市,江西省,0.56,20200101
杭州市,浙江省,0.54,20200101
湘潭市,湖南省,0.52,20200101
金华市,浙江省,0.45,20200101
北京市,北京市,0.4,20200101
重庆市,重庆市,0.39,20200101
温州市,浙江省,0.39,20200101
佛山市,广东省,0.37,20200101
景德镇市,江西省,0.35,20200101
武汉市,湖北省,0.35,20200101
福州市,福建省,0.28,20200101
台州市,浙江省,0.28,20200101
苏州市,江苏省,0.27,20200101
信阳市,河南省,0.25,20200101
厦门市,福建省,0.23,20200101
郴州市,湖南省,0.23,20200101
昭通市,云南省,0.2,20200101
惠州市,广东省,0.2,20200101
贵阳市,贵州省,0.2,20200101
南京市,江苏省,0.2,20200101
邵阳市,湖南省,0.2,20200101
衡阳市,湖南省,0.2,20200101
贺州市,广西壮族自治区,0.18,20200101
安庆市,安徽省,0.18,20200101
珠海市,广东省,0.18,20200101
娄底市,湖南省,0.18,20200101
桂林市,广西壮族自治区,0.16,20200101
常德市,湖南省,0.16,20200101
嘉兴市,浙江省,0.16,20200101
菏泽市,山东省,0.15,20200101
龙岩市,福建省,0.15,20200101
泉州市,福建省,0.15,20200101
怀化市,湖南省,0.15,20200101
黄冈市,湖北省,0.13,20200101
昆明市,云南省,0.11,20200101
益阳市,湖南省,0.11,20200101
宜春市,江西省,19.45,20200102
南昌市,江西省,14.59,20200102
吉安市,江西省,9.79,20200102
赣州市,江西省,7.03,20200102
上饶市,江西省,4.73,20200102
萍乡市,江西省,4.54,20200102
九江市,江西省,2.84,20200102
抚州市,江西省,2.29,20200102
长沙市,湖南省,1.92,20200102
深圳市,广东省,1.56,20200102
上海市,上海市,1.55,20200102
鹰潭市,江西省,1.21,20200102
广州市,广东省,0.88,20200102
景德镇市,江西省,0.85,20200102
东莞市,广东省,0.83,20200102
株洲市,湖南省,0.82,20200102
杭州市,浙江省,0.63,20200102
武汉市,湖北省,0.6,20200102
北京市,北京市,0.58,20200102
温州市,浙江省,0.57,20200102
泉州市,福建省,0.57,20200102
重庆市,重庆市,0.52,20200102
宁波市,浙江省,0.51,20200102
佛山市,广东省,0.45,20200102
福州市,福建省,0.43,20200102
金华市,浙江省,0.41,20200102
台州市,浙江省,0.41,20200102
中山市,广东省,0.4,20200102
西安市,陕西省,0.38,20200102
娄底市,湖南省,0.37,20200102
遵义市,贵州省,0.37,20200102
邵阳市,湖南省,0.34,20200102
郴州市,湖南省,0.34,20200102
毕节市,贵州省,0.34,20200102
菏泽市,山东省,0.34,20200102
湘潭市,湖南省,0.32,20200102
岳阳市,湖南省,0.32,20200102
南京市,江苏省,0.32,20200102
韶关市,广东省,0.31,20200102
黔西南布依族苗族自治州,贵州省,0.31,20200102
绍兴市,浙江省,0.31,20200102
厦门市,福建省,0.31,20200102
贵阳市,贵州省,0.29,20200102
周口市,河南省,0.27,20200102
黔东南苗族侗族自治州,贵州省,0.27,20200102
惠州市,广东省,0.26,20200102
成都市,四川省,0.26,20200102
六盘水市,贵州省,0.26,20200102
苏州市,江苏省,0.24,20200102
常德市,湖南省,0.21,20200102
宜春市,江西省,20.09,20200103
南昌市,江西省,13.65,20200103
吉安市,江西省,11.2,20200103
赣州市,江西省,9.48,20200103
上饶市,江西省,6.5,20200103
萍乡市,江西省,3.6,20200103
九江市,江西省,2.87,20200103
长沙市,湖南省,2.19,20200103
