city_name,province_name,value,date
临沂市,山东省,29.65,20200101
青岛市,山东省,16.42,20200101
潍坊市,山东省,12.33,20200101
连云港市,江苏省,6.83,20200101
济南市,山东省,4.92,20200101
济宁市,山东省,1.89,20200101
淄博市,山东省,1.85,20200101
烟台市,山东省,1.83,20200101
泰安市,山东省,1.81,20200101
北京市,北京市,1.29,20200101
菏泽市,山东省,1.07,20200101
枣庄市,山东省,1.01,20200101
聊城市,山东省,0.86,20200101
上海市,上海市,0.74,20200101
徐州市,江苏省,0.72,20200101
盐城市,江苏省,0.66,20200101
邯郸市,河北省,0.65,20200101
东营市,山东省,0.65,20200101
威海市,山东省,0.57,20200101
滨州市,山东省,0.54,20200101
南京市,江苏省,0.46,20200101
德州市,山东省,0.44,20200101
宿迁市,江苏省,0.44,20200101
苏州市,江苏省,0.34,20200101
天津市,天津市,0.34,20200101
重庆市,重庆市,0.29,20200101
安阳市,河南省,0.28,20200101
邢台市,河北省,0.26,20200101
大连市,辽宁省,0.25,20200101
南通市,江苏省,0.24,20200101
郑州市,河南省,0.23,20200101
哈尔滨市,黑龙江省,0.22,20200101
淮安市,江苏省,0.22,20200101
唐山市,河北省,0.2,20200101
石家庄市,河北省,0.19,20200101
深圳市,广东省,0.18,20200101
合肥市,安徽省,0.18,20200101
长治市,山西省,0.18,20200101
沧州市,河北省,0.17,20200101
廊坊市,河北省,0.14,20200101
商丘市,河南省,0.14,20200101
保定市,河北省,0.14,20200101
洛阳市,河南省,0.14,20200101
广州市,广东省,0.14,20200101
西安市,陕西省,0.13,20200101
运城市,山西省,0.12,20200101
杭州市,浙江省,0.12,20200101
宿州市,安徽省,0.12,20200101
新乡市,河南省,0.12,20200101
武汉市,湖北省,0.12,20200101
临沂市,山东省,19.69,20200102
青岛市,山东省,15.74,20200102
潍坊市,山东省,9.16,20200102
济南市,山东省,6.77,20200102
连云港市,江苏省,3.94,20200102
济宁市,山东省,3.33,20200102
烟台市,山东省,2.27,20200102
淄博市,山东省,2.14,20200102
泰安市,山东省,1.95,20200102
菏泽市,山东省,1.83,20200102
北京市,北京市,1.83,20200102
枣庄市,山东省,1.51,20200102
聊城市,山东省,1.22,20200102
威海市,山东省,1.22,20200102
滨州市,山东省,1.0,20200102
德州市,山东省,0.96,20200102
盐城市,江苏省,0.93,20200102
徐州市,江苏省,0.89,20200102
上海市,上海市,0.89,20200102
东营市,山东省,0.75,20200102
邯郸市,河北省,0.68,20200102
重庆市,重庆市,0.59,20200102
郑州市,河南省,0.54,20200102
天津市,天津市,0.44,20200102
宿迁市,江苏省,0.44,20200102
南京市,江苏省,0.41,20200102
苏州市,江苏省,0.39,20200102
哈尔滨市,黑龙江省,0.37,20200102
