city_name,province_name,value,date
曲靖市,云南省,21.47,20200101
楚雄彝族自治州,云南省,11.56,20200101
玉溪市,云南省,11.32,20200101
红河哈尼族彝族自治州,云南省,8.34,20200101
大理白族自治州,云南省,6.16,20200101
昭通市,云南省,6.1,20200101
文山壮族苗族自治州,云南省,3.41,20200101
普洱市,云南省,2.21,20200101
保山市,云南省,1.78,20200101
丽江市,云南省,1.75,20200101
西双版纳傣族自治州,云南省,1.5,20200101
重庆市,重庆市,1.47,20200101
六盘水市,贵州省,1.36,20200101
临沧市,云南省,1.34,20200101
凉山彝族自治州,四川省,1.13,20200101
成都市,四川省,1.04,20200101
德宏傣族景颇族自治州,云南省,0.9,20200101
毕节市,贵州省,0.87,20200101
贵阳市,贵州省,0.78,20200101
北京市,北京市,0.67,20200101
黔西南布依族苗族自治州,贵州省,0.58,20200101
上海市,上海市,0.53,20200101
广州市,广东省,0.45,20200101
怒江傈僳族自治州,云南省,0.35,20200101
迪庆藏族自治州,云南省,0.34,20200101
攀枝花市,四川省,0.32,20200101
安顺市,贵州省,0.31,20200101
深圳市,广东省,0.31,20200101
西安市,陕西省,0.26,20200101
武汉市,湖北省,0.26,20200101
南宁市,广西壮族自治区,0.25,20200101
郑州市,河南省,0.25,20200101
长沙市,湖南省,0.24,20200101
百色市,广西壮族自治区,0.23,20200101
泸州市,四川省,0.21,20200101
遵义市,贵州省,0.2,20200101
杭州市,浙江省,0.2,20200101
宜宾市,四川省,0.17,20200101
南充市,四川省,0.16,20200101
南京市,江苏省,0.15,20200101
厦门市,福建省,0.15,20200101
内江市,四川省,0.15,20200101
东莞市,广东省,0.15,20200101
济南市,山东省,0.13,20200101
天津市,天津市,0.13,20200101
佛山市,广东省,0.12,20200101
自贡市,四川省,0.12,20200101
广安市,四川省,0.12,20200101
温州市,浙江省,0.11,20200101
苏州市,江苏省,0.11,20200101
曲靖市,云南省,17.41,20200102
红河哈尼族彝族自治州,云南省,8.68,20200102
楚雄彝族自治州,云南省,8.39,20200102
玉溪市,云南省,8.03,20200102
昭通市,云南省,7.96,20200102
大理白族自治州,云南省,6.38,20200102
文山壮族苗族自治州,云南省,4.3,20200102
普洱市,云南省,2.89,20200102
保山市,云南省,2.58,20200102
丽江市,云南省,2.1,20200102
重庆市,重庆市,2.0,20200102
临沧市,云南省,1.93,20200102
西双版纳傣族自治州,云南省,1.9,20200102
德宏傣族景颇族自治州,云南省,1.39,20200102
成都市,四川省,1.18,20200102
六盘水市,贵州省,1.1,20200102
北京市,北京市,0.84,20200102
毕节市,贵州省,0.83,20200102
贵阳市,贵州省,0.76,20200102
凉山彝族自治州,四川省,0.67,20200102
怒江傈僳族自治州,云南省,0.65,20200102
广州市,广东省,0.63,20200102
黔西南布依族苗族自治州,贵州省,0.62,20200102
上海市,上海市,0.58,20200102
深圳市,广东省,0.55,20200102
迪庆藏族自治州,云南省,0.54,20200102
长沙市,湖南省,0.32,20200102
南宁市,广西壮族自治区,0.31,20200102
武汉市,湖北省,0.3,20200102
杭州市,浙江省,0.29,20200102
安顺市,贵州省,0.29,20200102
攀枝花市,四川省,0.27,20200102
郑州市,河南省,0.24,20200102
遵义市,贵州省,0.24,20200102
泸州市,四川省,0.23,20200102
西安市,陕西省,0.23,20200102
内江市,四川省,0.23,20200102
广安市,四川省,0.22,20200102
厦门市,福建省,0.21,20200102
宜宾市,四川省,0.2,20200102
百色市,广西壮族自治区,0.19,20200102
东莞市,广东省,0.18,20200102
天津市,天津市,0.18,20200102
南充市,四川省,0.16,20200102
桂林市,广西壮族自治区,0.15,20200102
南京市,江苏省,0.15,20200102
自贡市,四川省,0.15,20200102
苏州市,江苏省,0.15,20200102
佛山市,广东省,0.13,20200102
合肥市,安徽省,0.13,20200102
曲靖市,云南省,18.78,20200103
玉溪市,云南省,9.9,20200103
楚雄彝族自治州,云南省,9.28,20200103
红河哈尼族彝族自治州,云南省,8.97,20200103
昭通市,云南省,7.46,20200103
大理白族自治州,云南省,7.38,20200103
文山壮族苗族自治州,云南省,4.29,20200103
普洱市,云南省,2.85,20200103
保山市,云南省,2.36,20200103
丽江市,云南省,2.01,20200103
西双版纳傣族自治州,云南省,1.7,20200103
重庆市,重庆市,1.69,20200103
临沧市,云南省,1.69,20200103
德宏傣族景颇族自治州,云南省,1.05,20200103
六盘水市,贵州省,1.05,20200103
成都市,四川省,1.04,20200103
凉山彝族自治州,四川省,0.82,20200103
北京市,北京市,0.74,20200103
贵阳市,贵州省,0.73,20200103
毕节市,贵州省,0.71,20200103
怒江傈僳族自治州,云南省,0.52,20200103
广州市,广东省,0.52,20200103
黔西南布依族苗族自治州,贵州省,0.51,20200103
迪庆藏族自治州,云南省,0.47,20200103
上海市,上海市,0.44,20200103
深圳市,广东省,0.44,20200103
长沙市,湖南省,0.3,20200103
攀枝花市,四川省,0.27,20200103
南宁市,广西壮族自治区,0.26,20200103
武汉市,湖北省,0.25,20200103
杭州市,浙江省,0.25,20200103
西安市,陕西省,0.25,20200103
泸州市,四川省,0.24,20200103
厦门市,福建省,0.23,20200103
郑州市,河南省,0.22,20200103
百色市,广西壮族自治区,0.21,20200103
广安市,四川省,0.21,20200103
安顺市,贵州省,0.2,20200103
宜宾市,四川省,0.19,20200103
遵义市,贵州省,0.18,20200103
苏州市,江苏省,0.17,20200103
南京市,江苏省,0.17,20200103
东莞市,广东省,0.17,20200103
南充市,四川省,0.17,20200103
自贡市,四川省,0.16,20200103
天津市,天津市,0.13,20200103
内江市,四川省,0.13,20200103
福州市,福建省,0.11,20200103
无锡市,江苏省,0.11,20200103
太原市,山西省,0.1,20200103
曲靖市,云南省,18.24,20200104
楚雄彝族自治州,云南省,10.07,20200104
玉溪市,云南省,9.74,20200104
红河哈尼族彝族自治州,云南省,8.8,20200104
昭通市,云南省,8.02,20200104
大理白族自治州,云南省,6.76,20200104
文山壮族苗族自治州,云南省,4.19,20200104
普洱市,云南省,2.58,20200104
保山市,云南省,2.48,20200104
临沧市,云南省,1.8,20200104
丽江市,云南省,1.76,20200104
重庆市,重庆市,1.65,20200104
西双版纳傣族自治州,云南省,1.54,20200104
德宏傣族景颇族自治州,云南省,1.11,20200104
六盘水市,贵州省,1.08,20200104
成都市,四川省,1.03,20200104
凉山彝族自治州,四川省,0.93,20200104
毕节市,贵州省,0.82,20200104
贵阳市,贵州省,0.78,20200104
北京市,北京市,0.7,20200104
黔西南布依族苗族自治州,贵州省,0.54,20200104
怒江傈僳族自治州,云南省,0.48,20200104
深圳市,广东省,0.47,20200104
上海市,上海市,0.47,20200104
广州市,广东省,0.44,20200104
迪庆藏族自治州,云南省,0.41,20200104
攀枝花市,四川省,0.26,20200104
厦门市,福建省,0.26,20200104
南宁市,广西壮族自治区,0.24,20200104
长沙市,湖南省,0.23,20200104
杭州市,浙江省,0.23,20200104
武汉市,湖北省,0.23,20200104
泸州市,四川省,0.22,20200104
安顺市,贵州省,0.22,20200104
西安市,陕西省,0.21,20200104
遵义市,贵州省,0.2,20200104
郑州市,河南省,0.19,20200104
宜宾市,四川省,0.18,20200104
广安市,四川省,0.18,20200104
东莞市,广东省,0.18,20200104
南充市,四川省,0.17,20200104
内江市,四川省,0.16,20200104
南京市,江苏省,0.15,20200104
百色市,广西壮族自治区,0.15,20200104
苏州市,江苏省,0.14,20200104
邵阳市,湖南省,0.13,20200104
无锡市,江苏省,0.13,20200104
自贡市,四川省,0.13,20200104
温州市,浙江省,0.12,20200104
惠州市,广东省,0.12,20200104
曲靖市,云南省,17.74,20200105
玉溪市,云南省,9.3,20200105
楚雄彝族自治州,云南省,8.5,20200105
红河哈尼族彝族自治州,云南省,8.25,20200105
昭通市,云南省,7.98,20200105
大理白族自治州,云南省,5.97,20200105
文山壮族苗族自治州,云南省,4.3,20200105
普洱市,云南省,2.49,20200105
保山市,云南省,2.27,20200105
重庆市,重庆市,2.0,20200105
