city_name,province_name,value,date
长治市,山西省,27.44,20200101
焦作市,河南省,9.7,20200101
太原市,山西省,9.49,20200101
临汾市,山西省,6.11,20200101
郑州市,河南省,5.09,20200101
晋中市,山西省,3.89,20200101
运城市,山西省,3.57,20200101
新乡市,河南省,3.42,20200101
北京市,北京市,2.87,20200101
济源市,河南省,1.98,20200101
洛阳市,河南省,1.77,20200101
吕梁市,山西省,1.75,20200101
安阳市,河南省,1.64,20200101
忻州市,山西省,1.23,20200101
邯郸市,河北省,1.08,20200101
西安市,陕西省,0.88,20200101
天津市,天津市,0.73,20200101
石家庄市,河北省,0.71,20200101
周口市,河南省,0.64,20200101
苏州市,江苏省,0.57,20200101
合肥市,安徽省,0.44,20200101
上海市,上海市,0.44,20200101
开封市,河南省,0.42,20200101
武汉市,湖北省,0.39,20200101
南阳市,河南省,0.39,20200101
许昌市,河南省,0.34,20200101
商丘市,河南省,0.34,20200101
朔州市,山西省,0.33,20200101
大同市,山西省,0.33,20200101
阳泉市,山西省,0.33,20200101
榆林市,陕西省,0.31,20200101
平顶山市,河南省,0.29,20200101
鹤壁市,河南省,0.28,20200101
三门峡市,河南省,0.27,20200101
青岛市,山东省,0.27,20200101
杭州市,浙江省,0.25,20200101
济南市,山东省,0.24,20200101
徐州市,江苏省,0.24,20200101
菏泽市,山东省,0.23,20200101
邢台市,河北省,0.23,20200101
渭南市,陕西省,0.22,20200101
长沙市,湖南省,0.21,20200101
重庆市,重庆市,0.19,20200101
保定市,河北省,0.19,20200101
日照市,山东省,0.18,20200101
成都市,四川省,0.18,20200101
哈尔滨市,黑龙江省,0.18,20200101
南京市,江苏省,0.17,20200101
大连市,辽宁省,0.17,20200101
张家口市,河北省,0.16,20200101
长治市,山西省,22.11,20200102
太原市,山西省,12.6,20200102
焦作市,河南省,8.11,20200102
临汾市,山西省,5.54,20200102
晋中市,山西省,4.73,20200102
郑州市,河南省,3.74,20200102
运城市,山西省,3.46,20200102
北京市,北京市,2.92,20200102
新乡市,河南省,2.47,20200102
安阳市,河南省,2.45,20200102
吕梁市,山西省,1.68,20200102
忻州市,山西省,1.63,20200102
洛阳市,河南省,1.49,20200102
济源市,河南省,1.41,20200102
西安市,陕西省,1.23,20200102
邯郸市,河北省,1.18,20200102
天津市,天津市,0.99,20200102
苏州市,江苏省,0.83,20200102
上海市,上海市,0.73,20200102
石家庄市,河北省,0.69,20200102
徐州市,江苏省,0.69,20200102
武汉市,湖北省,0.64,20200102
周口市,河南省,0.59,20200102
邢台市,河北省,0.51,20200102
合肥市,安徽省,0.49,20200102
阳泉市,山西省,0.48,20200102
大同市,山西省,0.46,20200102
济南市,山东省,0.37,20200102
濮阳市,河南省,0.37,20200102
朔州市,山西省,0.36,20200102
廊坊市,河北省,0.34,20200102
成都市,四川省,0.33,20200102
开封市,河南省,0.29,20200102
杭州市,浙江省,0.29,20200102
保定市,河北省,0.27,20200102
平顶山市,河南省,0.27,20200102
南京市,江苏省,0.27,20200102
南阳市,河南省,0.27,20200102
青岛市,山东省,0.27,20200102
榆林市,陕西省,0.26,20200102
沧州市,河北省,0.26,20200102
南宁市,广西壮族自治区,0.26,20200102
许昌市,河南省,0.25,20200102
大连市,辽宁省,0.25,20200102
哈尔滨市,黑龙江省,0.24,20200102
长沙市,湖南省,0.23,20200102
衡水市,河北省,0.21,20200102
商丘市,河南省,0.2,20200102
长春市,吉林省,0.2,20200102
沈阳市,辽宁省,0.19,20200102
长治市,山西省,24.01,20200103
太原市,山西省,13.22,20200103
焦作市,河南省,7.3,20200103
临汾市,山西省,6.15,20200103
晋中市,山西省,4.51,20200103
运城市,山西省,4.5,20200103
郑州市,河南省,4.41,20200103
北京市,北京市,2.73,20200103
新乡市,河南省,2.63,20200103
安阳市,河南省,1.84,20200103
吕梁市,山西省,1.82,20200103
邯郸市,河北省,1.44,20200103
洛阳市,河南省,1.43,20200103
济源市,河南省,1.42,20200103
西安市,陕西省,1.22,20200103
天津市,天津市,0.92,20200103
忻州市,山西省,0.76,20200103
徐州市,江苏省,0.64,20200103
石家庄市,河北省,0.63,20200103
榆林市,陕西省,0.61,20200103
苏州市,江苏省,0.54,20200103
上海市,上海市,0.53,20200103
阳泉市,山西省,0.47,20200103
武汉市,湖北省,0.46,20200103
开封市,河南省,0.45,20200103
商丘市,河南省,0.44,20200103
南京市,江苏省,0.38,20200103
周口市,河南省,0.36,20200103
合肥市,安徽省,0.34,20200103
濮阳市,河南省,0.31,20200103
朔州市,山西省,0.31,20200103
哈尔滨市,黑龙江省,0.29,20200103
济南市,山东省,0.28,20200103
邢台市,河北省,0.27,20200103
长沙市,湖南省,0.27,20200103
大同市,山西省,0.25,20200103
保定市,河北省,0.25,20200103
鹤壁市,河南省,0.25,20200103
许昌市,河南省,0.25,20200103
杭州市,浙江省,0.24,20200103
廊坊市,河北省,0.23,20200103
南阳市,河南省,0.23,20200103
潍坊市,山东省,0.23,20200103
呼和浩特市,内蒙古自治区,0.22,20200103
菏泽市,山东省,0.22,20200103
三门峡市,河南省,0.22,20200103
广州市,广东省,0.21,20200103
沧州市,河北省,0.21,20200103
桂林市,广西壮族自治区,0.21,20200103
成都市,四川省,0.2,20200103
长治市,山西省,23.23,20200104
太原市,山西省,13.16,20200104
焦作市,河南省,7.61,20200104
临汾市,山西省,5.89,20200104
郑州市,河南省,5.74,20200104
晋中市,山西省,4.1,20200104
运城市,山西省,3.8,20200104
新乡市,河南省,3.02,20200104
北京市,北京市,2.68,20200104
洛阳市,河南省,2.04,20200104
济源市,河南省,1.77,20200104
吕梁市,山西省,1.62,20200104
安阳市,河南省,1.27,20200104
西安市,陕西省,1.14,20200104
邯郸市,河北省,0.94,20200104
天津市,天津市,0.81,20200104
忻州市,山西省,0.74,20200104
上海市,上海市,0.7,20200104
石家庄市,河北省,0.69,20200104
鄂尔多斯市,内蒙古自治区,0.59,20200104
武汉市,湖北省,0.56,20200104
苏州市,江苏省,0.53,20200104
榆林市,陕西省,0.51,20200104
大同市,山西省,0.43,20200104
周口市,河南省,0.42,20200104
保定市,河北省,0.39,20200104
商丘市,河南省,0.38,20200104
成都市,四川省,0.38,20200104
济南市,山东省,0.38,20200104
南京市,江苏省,0.36,20200104
杭州市,浙江省,0.36,20200104
