city_name,province_name,value,date
长治市,山西省,29.39,20200101
太原市,山西省,10.6,20200101
郑州市,河南省,8.58,20200101
临汾市,山西省,7.64,20200101
焦作市,河南省,7.36,20200101
新乡市,河南省,3.01,20200101
运城市,山西省,2.65,20200101
北京市,北京市,2.34,20200101
晋中市,山西省,2.19,20200101
安阳市,河南省,1.73,20200101
洛阳市,河南省,1.46,20200101
吕梁市,山西省,1.35,20200101
西安市,陕西省,1.23,20200101
济源市,河南省,1.17,20200101
邯郸市,河北省,1.08,20200101
榆林市,陕西省,1.06,20200101
周口市,河南省,0.98,20200101
开封市,河南省,0.68,20200101
忻州市,山西省,0.59,20200101
阳泉市,山西省,0.56,20200101
商丘市,河南省,0.55,20200101
石家庄市,河北省,0.47,20200101
大同市,山西省,0.46,20200101
朔州市,山西省,0.43,20200101
渭南市,陕西省,0.37,20200101
南阳市,河南省,0.36,20200101
菏泽市,山东省,0.33,20200101
平顶山市,河南省,0.3,20200101
阜阳市,安徽省,0.29,20200101
许昌市,河南省,0.28,20200101
信阳市,河南省,0.27,20200101
濮阳市,河南省,0.27,20200101
三门峡市,河南省,0.27,20200101
保定市,河北省,0.26,20200101
邢台市,河北省,0.26,20200101
徐州市,江苏省,0.25,20200101
日照市,山东省,0.24,20200101
鹤壁市,河南省,0.24,20200101
聊城市,山东省,0.22,20200101
苏州市,江苏省,0.21,20200101
济宁市,山东省,0.2,20200101
杭州市,浙江省,0.19,20200101
武汉市,湖北省,0.18,20200101
廊坊市,河北省,0.18,20200101
驻马店市,河南省,0.18,20200101
延安市,陕西省,0.18,20200101
合肥市,安徽省,0.16,20200101
临沂市,山东省,0.16,20200101
上海市,上海市,0.16,20200101
重庆市,重庆市,0.15,20200101
长治市,山西省,26.72,20200102
太原市,山西省,12.35,20200102
郑州市,河南省,7.11,20200102
临汾市,山西省,5.23,20200102
焦作市,河南省,4.37,20200102
北京市,北京市,2.85,20200102
运城市,山西省,2.74,20200102
新乡市,河南省,2.61,20200102
晋中市,山西省,2.47,20200102
安阳市,河南省,2.13,20200102
榆林市,陕西省,2.01,20200102
吕梁市,山西省,1.57,20200102
洛阳市,河南省,1.46,20200102
济源市,河南省,1.32,20200102
忻州市,山西省,1.19,20200102
邯郸市,河北省,0.98,20200102
周口市,河南省,0.96,20200102
西安市,陕西省,0.84,20200102
石家庄市,河北省,0.69,20200102
大同市,山西省,0.6,20200102
盐城市,江苏省,0.5,20200102
商丘市,河南省,0.46,20200102
开封市,河南省,0.45,20200102
朔州市,山西省,0.45,20200102
濮阳市,河南省,0.45,20200102
渭南市,陕西省,0.41,20200102
