city_name,province_name,value,date
昆明市,云南省,52.18,20200101
六盘水市,贵州省,7.67,20200101
红河哈尼族彝族自治州,云南省,4.62,20200101
毕节市,贵州省,4.08,20200101
昭通市,云南省,3.9,20200101
黔西南布依族苗族自治州,贵州省,3.75,20200101
文山壮族苗族自治州,云南省,2.08,20200101
玉溪市,云南省,1.85,20200101
大理白族自治州,云南省,0.87,20200101
楚雄彝族自治州,云南省,0.82,20200101
东莞市,广东省,0.76,20200101
金华市,浙江省,0.73,20200101
百色市,广西壮族自治区,0.64,20200101
宁波市,浙江省,0.55,20200101
重庆市,重庆市,0.52,20200101
贵阳市,贵州省,0.51,20200101
温州市,浙江省,0.49,20200101
苏州市,江苏省,0.49,20200101
台州市,浙江省,0.44,20200101
绍兴市,浙江省,0.44,20200101
成都市,四川省,0.42,20200101
杭州市,浙江省,0.4,20200101
惠州市,广东省,0.38,20200101
广州市,广东省,0.37,20200101
深圳市,广东省,0.37,20200101
普洱市,云南省,0.37,20200101
安顺市,贵州省,0.36,20200101
上海市,上海市,0.36,20200101
佛山市,广东省,0.34,20200101
厦门市,福建省,0.33,20200101
丽江市,云南省,0.33,20200101
西双版纳傣族自治州,云南省,0.32,20200101
凉山彝族自治州,四川省,0.3,20200101
嘉兴市,浙江省,0.28,20200101
德宏傣族景颇族自治州,云南省,0.28,20200101
中山市,广东省,0.26,20200101
泉州市,福建省,0.24,20200101
福州市,福建省,0.24,20200101
保山市,云南省,0.22,20200101
北京市,北京市,0.2,20200101
临沧市,云南省,0.19,20200101
无锡市,江苏省,0.17,20200101
汕头市,广东省,0.15,20200101
长沙市,湖南省,0.14,20200101
黔南布依族苗族自治州,贵州省,0.13,20200101
武汉市,湖北省,0.13,20200101
南宁市,广西壮族自治区,0.13,20200101
镇江市,江苏省,0.11,20200101
莆田市,福建省,0.1,20200101
遵义市,贵州省,0.1,20200101
昆明市,云南省,50.5,20200102
六盘水市,贵州省,4.72,20200102
红河哈尼族彝族自治州,云南省,3.65,20200102
昭通市,云南省,2.71,20200102
毕节市,贵州省,2.39,20200102
黔西南布依族苗族自治州,贵州省,2.12,20200102
文山壮族苗族自治州,云南省,1.97,20200102
玉溪市,云南省,1.59,20200102
东莞市,广东省,1.22,20200102
深圳市,广东省,1.01,20200102
楚雄彝族自治州,云南省,0.95,20200102
丽江市,云南省,0.94,20200102
金华市,浙江省,0.91,20200102
重庆市,重庆市,0.89,20200102
宁波市,浙江省,0.84,20200102
苏州市,江苏省,0.83,20200102
温州市,浙江省,0.83,20200102
台州市,浙江省,0.82,20200102
贵阳市,贵州省,0.75,20200102
大理白族自治州,云南省,0.7,20200102
广州市,广东省,0.7,20200102
成都市,四川省,0.62,20200102
佛山市,广东省,0.61,20200102
上海市,上海市,0.61,20200102
绍兴市,浙江省,0.56,20200102
嘉兴市,浙江省,0.54,20200102
惠州市,广东省,0.54,20200102
杭州市,浙江省,0.5,20200102
百色市,广西壮族自治区,0.49,20200102
福州市,福建省,0.47,20200102
合肥市,安徽省,0.42,20200102
厦门市,福建省,0.42,20200102
无锡市,江苏省,0.41,20200102
普洱市,云南省,0.39,20200102
德宏傣族景颇族自治州,云南省,0.37,20200102
泉州市,福建省,0.35,20200102
北京市,北京市,0.34,20200102
西双版纳傣族自治州,云南省,0.32,20200102
中山市,广东省,0.32,20200102
凉山彝族自治州,四川省,0.3,20200102
安顺市,贵州省,0.29,20200102
临沧市,云南省,0.29,20200102
武汉市,湖北省,0.28,20200102
保山市,云南省,0.25,20200102
汕头市,广东省,0.24,20200102
南通市,江苏省,0.22,20200102
长沙市,湖南省,0.22,20200102
遵义市,贵州省,0.21,20200102
天津市,天津市,0.19,20200102
南宁市,广西壮族自治区,0.19,20200102
昆明市,云南省,56.42,20200103
六盘水市,贵州省,5.66,20200103
红河哈尼族彝族自治州,云南省,4.07,20200103
昭通市,云南省,3.18,20200103
黔西南布依族苗族自治州,贵州省,2.82,20200103
毕节市,贵州省,2.71,20200103
文山壮族苗族自治州,云南省,1.61,20200103
玉溪市,云南省,1.59,20200103
楚雄彝族自治州,云南省,0.87,20200103
东莞市,广东省,0.84,20200103
重庆市,重庆市,0.76,20200103
丽江市,云南省,0.74,20200103
大理白族自治州,云南省,0.71,20200103
贵阳市,贵州省,0.65,20200103
宁波市,浙江省,0.58,20200103
上海市,上海市,0.56,20200103
金华市,浙江省,0.55,20200103
百色市,广西壮族自治区,0.54,20200103
广州市,广东省,0.53,20200103
深圳市,广东省,0.51,20200103
苏州市,江苏省,0.51,20200103
惠州市,广东省,0.46,20200103
台州市,浙江省,0.44,20200103
厦门市,福建省,0.41,20200103
成都市,四川省,0.41,20200103
绍兴市,浙江省,0.38,20200103
杭州市,浙江省,0.35,20200103
普洱市,云南省,0.34,20200103
温州市,浙江省,0.34,20200103
德宏傣族景颇族自治州,云南省,0.33,20200103
安顺市,贵州省,0.32,20200103
佛山市,广东省,0.32,20200103
西双版纳傣族自治州,云南省,0.32,20200103
嘉兴市,浙江省,0.28,20200103
凉山彝族自治州,四川省,0.26,20200103
福州市,福建省,0.25,20200103
武汉市,湖北省,0.23,20200103
无锡市,江苏省,0.23,20200103
北京市,北京市,0.22,20200103
南宁市,广西壮族自治区,0.2,20200103
保山市,云南省,0.2,20200103
临沧市,云南省,0.19,20200103
中山市,广东省,0.18,20200103
天津市,天津市,0.17,20200103
南京市,江苏省,0.17,20200103
泉州市,福建省,0.17,20200103
南通市,江苏省,0.16,20200103
遵义市,贵州省,0.15,20200103
长沙市,湖南省,0.15,20200103
西安市,陕西省,0.14,20200103
昆明市,云南省,54.1,20200104
六盘水市,贵州省,6.4,20200104
红河哈尼族彝族自治州,云南省,4.48,20200104
昭通市,云南省,3.35,20200104
毕节市,贵州省,3.0,20200104
黔西南布依族苗族自治州,贵州省,2.97,20200104
文山壮族苗族自治州,云南省,1.63,20200104
玉溪市,云南省,1.53,20200104
东莞市,广东省,0.87,20200104
楚雄彝族自治州,云南省,0.83,20200104
丽江市,云南省,0.73,20200104
重庆市,重庆市,0.73,20200104
大理白族自治州,云南省,0.72,20200104
百色市,广西壮族自治区,0.67,20200104
金华市,浙江省,0.66,20200104
温州市,浙江省,0.58,20200104
宁波市,浙江省,0.57,20200104
贵阳市,贵州省,0.53,20200104
深圳市,广东省,0.53,20200104
上海市,上海市,0.53,20200104
台州市,浙江省,0.51,20200104
广州市,广东省,0.51,20200104
成都市,四川省,0.47,20200104
绍兴市,浙江省,0.46,20200104
苏州市,江苏省,0.45,20200104
惠州市,广东省,0.42,20200104
西双版纳傣族自治州,云南省,0.38,20200104
普洱市,云南省,0.37,20200104
厦门市,福建省,0.35,20200104
杭州市,浙江省,0.35,20200104
佛山市,广东省,0.33,20200104
安顺市,贵州省,0.3,20200104
德宏傣族景颇族自治州,云南省,0.28,20200104
北京市,北京市,0.24,20200104
福州市,福建省,0.24,20200104
郑州市,河南省,0.23,20200104
保山市,云南省,0.23,20200104
嘉兴市,浙江省,0.21,20200104
凉山彝族自治州,四川省,0.21,20200104
临沧市,云南省,0.21,20200104
长沙市,湖南省,0.21,20200104
无锡市,江苏省,0.2,20200104
武汉市,湖北省,0.2,20200104
遵义市,贵州省,0.19,20200104
西安市,陕西省,0.17,20200104
南通市,江苏省,0.16,20200104
泉州市,福建省,0.16,20200104
南宁市,广西壮族自治区,0.15,20200104
中山市,广东省,0.13,20200104
天津市,天津市,0.12,20200104
昆明市,云南省,50.52,20200105
六盘水市,贵州省,6.08,20200105
红河哈尼族彝族自治州,云南省,4.71,20200105
毕节市,贵州省,3.4,20200105
黔西南布依族苗族自治州,贵州省,3.39,20200105
昭通市,云南省,3.32,20200105
玉溪市,云南省,1.84,20200105
文山壮族苗族自治州,云南省,1.6,20200105
东莞市,广东省,0.87,20200105
百色市,广西壮族自治区,0.87,20200105
金华市,浙江省,0.83,20200105
重庆市,重庆市,0.82,20200105
楚雄彝族自治州,云南省,0.81,20200105
温州市,浙江省,0.79,20200105
大理白族自治州,云南省,0.75,20200105
贵阳市,贵州省,0.65,20200105
广州市,广东省,0.65,20200105
台州市,浙江省,0.64,20200105
丽江市,云南省,0.62,20200105
苏州市,江苏省,0.62,20200105
深圳市,广东省,0.6,20200105
宁波市,浙江省,0.58,20200105
绍兴市,浙江省,0.57,20200105
成都市,四川省,0.56,20200105
上海市,上海市,0.53,20200105
惠州市,广东省,0.48,20200105
杭州市,浙江省,0.47,20200105
普洱市,云南省,0.43,20200105
佛山市,广东省,0.39,20200105
厦门市,福建省,0.35,20200105
西双版纳傣族自治州,云南省,0.34,20200105
临沧市,云南省,0.3,20200105
武汉市,湖北省,0.3,20200105
德宏傣族景颇族自治州,云南省,0.28,20200105
保山市,云南省,0.27,20200105
嘉兴市,浙江省,0.27,20200105
北京市,北京市,0.27,20200105
无锡市,江苏省,0.25,20200105
福州市,福建省,0.25,20200105
中山市,广东省,0.24,20200105
安顺市,贵州省,0.24,20200105
泉州市,福建省,0.23,20200105
长沙市,湖南省,0.22,20200105
遵义市,贵州省,0.19,20200105
凉山彝族自治州,四川省,0.19,20200105
南宁市,广西壮族自治区,0.17,20200105
西安市,陕西省,0.16,20200105
南京市,江苏省,0.16,20200105
天津市,天津市,0.15,20200105
江门市,广东省,0.15,20200105
昆明市,云南省,49.08,20200106
六盘水市,贵州省,6.22,20200106
红河哈尼族彝族自治州,云南省,4.4,20200106
毕节市,贵州省,3.53,20200106
昭通市,云南省,3.29,20200106
黔西南布依族苗族自治州,贵州省,2.99,20200106
玉溪市,云南省,1.69,20200106
文山壮族苗族自治州,云南省,1.59,20200106
金华市,浙江省,1.03,20200106
东莞市,广东省,0.93,20200106
温州市,浙江省,0.89,20200106
楚雄彝族自治州,云南省,0.88,20200106
苏州市,江苏省,0.83,20200106
百色市,广西壮族自治区,0.8,20200106
重庆市,重庆市,0.74,20200106
广州市,广东省,0.73,20200106
大理白族自治州,云南省,0.71,20200106
台州市,浙江省,0.7,20200106
宁波市,浙江省,0.68,20200106
深圳市,广东省,0.66,20200106
绍兴市,浙江省,0.63,20200106
上海市,上海市,0.58,20200106
成都市,四川省,0.57,20200106
惠州市,广东省,0.57,20200106
贵阳市,贵州省,0.55,20200106
普洱市,云南省,0.47,20200106
北京市,北京市,0.45,20200106
临沧市,云南省,0.42,20200106
杭州市,浙江省,0.42,20200106
佛山市,广东省,0.39,20200106
厦门市,福建省,0.37,20200106
泉州市,福建省,0.37,20200106
丽江市,云南省,0.37,20200106
西双版纳傣族自治州,云南省,0.34,20200106
福州市,福建省,0.34,20200106
武汉市,湖北省,0.32,20200106
德宏傣族景颇族自治州,云南省,0.32,20200106
保山市,云南省,0.3,20200106
嘉兴市,浙江省,0.27,20200106
安顺市,贵州省,0.26,20200106
中山市,广东省,0.26,20200106
无锡市,江苏省,0.23,20200106
南京市,江苏省,0.21,20200106
南通市,江苏省,0.2,20200106
天津市,天津市,0.2,20200106
凉山彝族自治州,四川省,0.2,20200106
长沙市,湖南省,0.19,20200106
西安市,陕西省,0.18,20200106
南宁市,广西壮族自治区,0.18,20200106
郑州市,河南省,0.18,20200106
昆明市,云南省,48.08,20200107
六盘水市,贵州省,6.3,20200107
红河哈尼族彝族自治州,云南省,4.51,20200107
毕节市,贵州省,3.54,20200107
昭通市,云南省,3.3,20200107
黔西南布依族苗族自治州,贵州省,2.99,20200107
玉溪市,云南省,2.04,20200107
文山壮族苗族自治州,云南省,1.56,20200107
金华市,浙江省,1.05,20200107
东莞市,广东省,0.91,20200107
重庆市,重庆市,0.85,20200107
楚雄彝族自治州,云南省,0.84,20200107
温州市,浙江省,0.83,20200107
广州市,广东省,0.82,20200107
大理白族自治州,云南省,0.72,20200107
台州市,浙江省,0.66,20200107
深圳市,广东省,0.66,20200107
苏州市,江苏省,0.65,20200107
宁波市,浙江省,0.64,20200107
百色市,广西壮族自治区,0.6,20200107
贵阳市,贵州省,0.58,20200107
普洱市,云南省,0.58,20200107
成都市,四川省,0.57,20200107
惠州市,广东省,0.54,20200107
绍兴市,浙江省,0.52,20200107
上海市,上海市,0.5,20200107
福州市,福建省,0.49,20200107
临沧市,云南省,0.49,20200107
佛山市,广东省,0.44,20200107
杭州市,浙江省,0.44,20200107
厦门市,福建省,0.39,20200107
西双版纳傣族自治州,云南省,0.39,20200107
武汉市,湖北省,0.39,20200107
泉州市,福建省,0.37,20200107
保山市,云南省,0.35,20200107
北京市,北京市,0.33,20200107
德宏傣族景颇族自治州,云南省,0.32,20200107
丽江市,云南省,0.31,20200107
嘉兴市,浙江省,0.29,20200107
中山市,广东省,0.28,20200107
无锡市,江苏省,0.27,20200107
安顺市,贵州省,0.25,20200107
天津市,天津市,0.25,20200107
长沙市,湖南省,0.25,20200107
南京市,江苏省,0.2,20200107
南通市,江苏省,0.19,20200107
南昌市,江西省,0.19,20200107
遵义市,贵州省,0.19,20200107
南宁市,广西壮族自治区,0.18,20200107
汕头市,广东省,0.17,20200107
昆明市,云南省,47.41,20200108
六盘水市,贵州省,6.05,20200108
红河哈尼族彝族自治州,云南省,3.72,20200108
昭通市,云南省,3.32,20200108
毕节市,贵州省,3.27,20200108
黔西南布依族苗族自治州,贵州省,2.85,20200108
玉溪市,云南省,2.02,20200108
文山壮族苗族自治州,云南省,1.71,20200108
东莞市,广东省,1.13,20200108
楚雄彝族自治州,云南省,1.13,20200108
金华市,浙江省,1.06,20200108
温州市,浙江省,0.93,20200108
大理白族自治州,云南省,0.86,20200108
重庆市,重庆市,0.85,20200108
普洱市,云南省,0.79,20200108
广州市,广东省,0.79,20200108
台州市,浙江省,0.72,20200108
