city_name,province_name,value,date
赤峰市,内蒙古自治区,22.04,20200101
沈阳市,辽宁省,17.69,20200101
葫芦岛市,辽宁省,9.1,20200101
锦州市,辽宁省,8.1,20200101
北京市,北京市,4.94,20200101
大连市,辽宁省,4.9,20200101
承德市,河北省,4.73,20200101
阜新市,辽宁省,3.05,20200101
盘锦市,辽宁省,2.32,20200101
唐山市,河北省,2.03,20200101
天津市,天津市,1.99,20200101
通辽市,内蒙古自治区,1.41,20200101
鞍山市,辽宁省,1.39,20200101
营口市,辽宁省,1.19,20200101
秦皇岛市,河北省,1.17,20200101
长春市,吉林省,0.68,20200101
廊坊市,河北省,0.64,20200101
辽阳市,辽宁省,0.61,20200101
铁岭市,辽宁省,0.55,20200101
抚顺市,辽宁省,0.54,20200101
哈尔滨市,黑龙江省,0.47,20200101
青岛市,山东省,0.46,20200101
本溪市,辽宁省,0.41,20200101
丹东市,辽宁省,0.4,20200101
沧州市,河北省,0.35,20200101
保定市,河北省,0.33,20200101
济南市,山东省,0.3,20200101
石家庄市,河北省,0.24,20200101
潍坊市,山东省,0.23,20200101
上海市,上海市,0.21,20200101
四平市,吉林省,0.19,20200101
鄂尔多斯市,内蒙古自治区,0.16,20200101
绥化市,黑龙江省,0.16,20200101
杭州市,浙江省,0.15,20200101
邯郸市,河北省,0.15,20200101
烟台市,山东省,0.15,20200101
太原市,山西省,0.15,20200101
吉林市,吉林省,0.14,20200101
锡林郭勒盟,内蒙古自治区,0.14,20200101
南京市,江苏省,0.13,20200101
大庆市,黑龙江省,0.13,20200101
松原市,吉林省,0.13,20200101
成都市,四川省,0.12,20200101
淄博市,山东省,0.12,20200101
滨州市,山东省,0.12,20200101
通化市,吉林省,0.12,20200101
威海市,山东省,0.12,20200101
临沂市,山东省,0.1,20200101
苏州市,江苏省,0.1,20200101
衡水市,河北省,0.1,20200101
沈阳市,辽宁省,23.9,20200102
赤峰市,内蒙古自治区,11.6,20200102
锦州市,辽宁省,7.1,20200102
大连市,辽宁省,6.81,20200102
北京市,北京市,5.97,20200102
葫芦岛市,辽宁省,5.77,20200102
阜新市,辽宁省,2.65,20200102
盘锦市,辽宁省,2.52,20200102
天津市,天津市,2.49,20200102
承德市,河北省,2.43,20200102
唐山市,河北省,2.12,20200102
鞍山市,辽宁省,1.77,20200102
营口市,辽宁省,1.4,20200102
铁岭市,辽宁省,1.16,20200102
通辽市,内蒙古自治区,1.12,20200102
