city_name,province_name,value,date
嘉兴市,浙江省,17.66,20200101
绍兴市,浙江省,14.46,20200101
湖州市,浙江省,8.95,20200101
上海市,上海市,7.47,20200101
金华市,浙江省,7.04,20200101
宁波市,浙江省,5.35,20200101
苏州市,江苏省,2.94,20200101
衢州市,浙江省,2.75,20200101
温州市,浙江省,2.72,20200101
台州市,浙江省,2.4,20200101
丽水市,浙江省,1.23,20200101
南京市,江苏省,1.1,20200101
北京市,北京市,1.09,20200101
宣城市,安徽省,1.05,20200101
无锡市,江苏省,0.99,20200101
上饶市,江西省,0.93,20200101
黄山市,安徽省,0.88,20200101
合肥市,安徽省,0.72,20200101
舟山市,浙江省,0.62,20200101
广州市,广东省,0.57,20200101
常州市,江苏省,0.52,20200101
武汉市,湖北省,0.5,20200101
深圳市,广东省,0.48,20200101
南通市,江苏省,0.45,20200101
信阳市,河南省,0.44,20200101
阜阳市,安徽省,0.43,20200101
芜湖市,安徽省,0.37,20200101
南昌市,江西省,0.36,20200101
郑州市,河南省,0.34,20200101
长沙市,湖南省,0.33,20200101
重庆市,重庆市,0.32,20200101
西安市,陕西省,0.31,20200101
成都市,四川省,0.31,20200101
安庆市,安徽省,0.29,20200101
徐州市,江苏省,0.27,20200101
厦门市,福建省,0.26,20200101
盐城市,江苏省,0.25,20200101
宿州市,安徽省,0.25,20200101
天津市,天津市,0.23,20200101
六安市,安徽省,0.23,20200101
亳州市,安徽省,0.23,20200101
临沂市,山东省,0.22,20200101
蚌埠市,安徽省,0.21,20200101
泰州市,江苏省,0.21,20200101
九江市,江西省,0.21,20200101
商丘市,河南省,0.2,20200101
滁州市,安徽省,0.2,20200101
福州市,福建省,0.2,20200101
宿迁市,江苏省,0.19,20200101
抚州市,江西省,0.18,20200101
绍兴市,浙江省,9.68,20200102
嘉兴市,浙江省,9.05,20200102
上海市,上海市,8.43,20200102
金华市,浙江省,6.74,20200102
宁波市,浙江省,5.56,20200102
湖州市,浙江省,5.55,20200102
温州市,浙江省,3.39,20200102
台州市,浙江省,3.14,20200102
苏州市,江苏省,3.13,20200102
衢州市,浙江省,2.92,20200102
北京市,北京市,1.96,20200102
南京市,江苏省,1.65,20200102
丽水市,浙江省,1.62,20200102
无锡市,江苏省,1.34,20200102
上饶市,江西省,1.12,20200102
宣城市,安徽省,1.09,20200102
合肥市,安徽省,1.02,20200102
黄山市,安徽省,1.01,20200102
常州市,江苏省,0.83,20200102
深圳市,广东省,0.81,20200102
武汉市,湖北省,0.81,20200102
广州市,广东省,0.78,20200102
舟山市,浙江省,0.76,20200102
南通市,江苏省,0.75,20200102
郑州市,河南省,0.69,20200102
成都市,四川省,0.58,20200102
