city_name,province_name,value,date
嘉兴市,浙江省,15.08,20200101
绍兴市,浙江省,13.39,20200101
湖州市,浙江省,8.13,20200101
金华市,浙江省,6.07,20200101
上海市,上海市,6.02,20200101
宁波市,浙江省,4.27,20200101
温州市,浙江省,2.69,20200101
衢州市,浙江省,2.62,20200101
台州市,浙江省,2.3,20200101
苏州市,江苏省,2.18,20200101
上饶市,江西省,1.57,20200101
丽水市,浙江省,1.22,20200101
宣城市,安徽省,1.08,20200101
南京市,江苏省,1.07,20200101
黄山市,安徽省,1.07,20200101
北京市,北京市,0.99,20200101
阜阳市,安徽省,0.95,20200101
无锡市,江苏省,0.89,20200101
信阳市,河南省,0.8,20200101
合肥市,安徽省,0.78,20200101
重庆市,重庆市,0.69,20200101
安庆市,安徽省,0.67,20200101
舟山市,浙江省,0.54,20200101
周口市,河南省,0.52,20200101
南昌市,江西省,0.51,20200101
广州市,广东省,0.48,20200101
深圳市,广东省,0.47,20200101
南阳市,河南省,0.46,20200101
亳州市,安徽省,0.44,20200101
武汉市,湖北省,0.44,20200101
六安市,安徽省,0.43,20200101
黄冈市,湖北省,0.43,20200101
商丘市,河南省,0.41,20200101
常州市,江苏省,0.41,20200101
芜湖市,安徽省,0.39,20200101
九江市,江西省,0.37,20200101
南通市,江苏省,0.36,20200101
成都市,四川省,0.35,20200101
宿州市,安徽省,0.35,20200101
抚州市,江西省,0.34,20200101
西安市,陕西省,0.31,20200101
郑州市,河南省,0.31,20200101
长沙市,湖南省,0.3,20200101
池州市,安徽省,0.29,20200101
徐州市,江苏省,0.28,20200101
怀化市,湖南省,0.27,20200101
蚌埠市,安徽省,0.27,20200101
盐城市,江苏省,0.25,20200101
景德镇市,江西省,0.24,20200101
宿迁市,江苏省,0.22,20200101
绍兴市,浙江省,7.65,20200102
嘉兴市,浙江省,7.59,20200102
上海市,上海市,5.81,20200102
金华市,浙江省,5.5,20200102
湖州市,浙江省,5.48,20200102
宁波市,浙江省,4.56,20200102
温州市,浙江省,3.42,20200102
台州市,浙江省,2.87,20200102
衢州市,浙江省,2.79,20200102
上饶市,江西省,2.26,20200102
苏州市,江苏省,2.14,20200102
阜阳市,安徽省,1.44,20200102
北京市,北京市,1.42,20200102
重庆市,重庆市,1.41,20200102
丽水市,浙江省,1.37,20200102
信阳市,河南省,1.18,20200102
南京市,江苏省,1.14,20200102
合肥市,安徽省,0.92,20200102
安庆市,安徽省,0.88,20200102
宣城市,安徽省,0.88,20200102
黄山市,安徽省,0.86,20200102
无锡市,江苏省,0.86,20200102
周口市,河南省,0.82,20200102
黄冈市,湖北省,0.81,20200102
南阳市,河南省,0.79,20200102
深圳市,广东省,0.7,20200102
亳州市,安徽省,0.67,20200102
广州市,广东省,0.67,20200102
商丘市,河南省,0.66,20200102
南昌市,江西省,0.63,20200102
舟山市,浙江省,0.62,20200102
九江市,江西省,0.61,20200102
六安市,安徽省,0.58,20200102
宿州市,安徽省,0.55,20200102
南通市,江苏省,0.53,20200102
