city_name,province_name,value,date
长春市,吉林省,45.7,20200101
白城市,吉林省,10.14,20200101
四平市,吉林省,5.83,20200101
大庆市,黑龙江省,5.48,20200101
哈尔滨市,黑龙江省,5.34,20200101
通辽市,内蒙古自治区,2.62,20200101
吉林市,吉林省,2.42,20200101
绥化市,黑龙江省,2.35,20200101
沈阳市,辽宁省,2.13,20200101
北京市,北京市,1.99,20200101
大连市,辽宁省,1.74,20200101
天津市,天津市,1.04,20200101
兴安盟,内蒙古自治区,0.64,20200101
青岛市,山东省,0.6,20200101
齐齐哈尔市,黑龙江省,0.6,20200101
延边朝鲜族自治州,吉林省,0.56,20200101
铁岭市,辽宁省,0.46,20200101
沧州市,河北省,0.46,20200101
鞍山市,辽宁省,0.38,20200101
廊坊市,河北省,0.37,20200101
唐山市,河北省,0.36,20200101
通化市,吉林省,0.35,20200101
苏州市,江苏省,0.34,20200101
潍坊市,山东省,0.34,20200101
呼伦贝尔市,内蒙古自治区,0.29,20200101
辽源市,吉林省,0.25,20200101
营口市,辽宁省,0.24,20200101
上海市,上海市,0.23,20200101
赤峰市,内蒙古自治区,0.22,20200101
锦州市,辽宁省,0.21,20200101
济南市,山东省,0.2,20200101
白山市,吉林省,0.17,20200101
秦皇岛市,河北省,0.16,20200101
盘锦市,辽宁省,0.16,20200101
金华市,浙江省,0.15,20200101
西安市,陕西省,0.14,20200101
阜新市,辽宁省,0.12,20200101
威海市,山东省,0.12,20200101
临沂市,山东省,0.12,20200101
抚顺市,辽宁省,0.12,20200101
常州市,江苏省,0.11,20200101
锡林郭勒盟,内蒙古自治区,0.1,20200101
葫芦岛市,辽宁省,0.1,20200101
南京市,江苏省,0.1,20200101
深圳市,广东省,0.1,20200101
武汉市,湖北省,0.1,20200101
广州市,广东省,0.09,20200101
牡丹江市,黑龙江省,0.09,20200101
保定市,河北省,0.09,20200101
烟台市,山东省,0.09,20200101
长春市,吉林省,43.98,20200102
白城市,吉林省,8.76,20200102
哈尔滨市,黑龙江省,5.12,20200102
大庆市,黑龙江省,4.11,20200102
四平市,吉林省,4.1,20200102
吉林市,吉林省,3.13,20200102
绥化市,黑龙江省,3.07,20200102
沈阳市,辽宁省,2.47,20200102
北京市,北京市,2.19,20200102
大连市,辽宁省,1.97,20200102
通辽市,内蒙古自治区,1.4,20200102
天津市,天津市,1.34,20200102
延边朝鲜族自治州,吉林省,0.84,20200102
齐齐哈尔市,黑龙江省,0.83,20200102
兴安盟,内蒙古自治区,0.7,20200102
通化市,吉林省,0.56,20200102
青岛市,山东省,0.54,20200102
沧州市,河北省,0.53,20200102
苏州市,江苏省,0.53,20200102
铁岭市,辽宁省,0.52,20200102
廊坊市,河北省,0.52,20200102
上海市,上海市,0.43,20200102
辽源市,吉林省,0.39,20200102
锦州市,辽宁省,0.34,20200102
呼伦贝尔市,内蒙古自治区,0.34,20200102
营口市,辽宁省,0.32,20200102
潍坊市,山东省,0.27,20200102
鞍山市,辽宁省,0.26,20200102
白山市,吉林省,0.26,20200102
烟台市,山东省,0.25,20200102
广州市,广东省,0.25,20200102
赤峰市,内蒙古自治区,0.25,20200102
唐山市,河北省,0.24,20200102
秦皇岛市,河北省,0.24,20200102
济南市,山东省,0.21,20200102
西安市,陕西省,0.2,20200102
黑河市,黑龙江省,0.2,20200102
威海市,山东省,0.19,20200102
保定市,河北省,0.18,20200102
深圳市,广东省,0.18,20200102
锡林郭勒盟,内蒙古自治区,0.18,20200102
辽阳市,辽宁省,0.18,20200102
合肥市,安徽省,0.17,20200102
杭州市,浙江省,0.15,20200102
东莞市,广东省,0.14,20200102
盘锦市,辽宁省,0.13,20200102
嘉兴市,浙江省,0.13,20200102
南京市,江苏省,0.13,20200102
石家庄市,河北省,0.13,20200102
常州市,江苏省,0.12,20200102
长春市,吉林省,45.48,20200103
白城市,吉林省,10.54,20200103
哈尔滨市,黑龙江省,5.68,20200103
大庆市,黑龙江省,5.25,20200103
四平市,吉林省,4.77,20200103
吉林市,吉林省,3.0,20200103
沈阳市,辽宁省,2.35,20200103
绥化市,黑龙江省,2.05,20200103
通辽市,内蒙古自治区,1.94,20200103
北京市,北京市,1.77,20200103
大连市,辽宁省,1.63,20200103
天津市,天津市,1.09,20200103
延边朝鲜族自治州,吉林省,0.72,20200103
兴安盟,内蒙古自治区,0.59,20200103
青岛市,山东省,0.57,20200103
铁岭市,辽宁省,0.56,20200103
齐齐哈尔市,黑龙江省,0.5,20200103
通化市,吉林省,0.45,20200103
上海市,上海市,0.4,20200103
营口市,辽宁省,0.39,20200103
鞍山市,辽宁省,0.38,20200103
廊坊市,河北省,0.33,20200103
沧州市,河北省,0.32,20200103
呼伦贝尔市,内蒙古自治区,0.31,20200103
唐山市,河北省,0.3,20200103
赤峰市,内蒙古自治区,0.27,20200103
辽源市,吉林省,0.26,20200103
白山市,吉林省,0.23,20200103
苏州市,江苏省,0.21,20200103
济南市,山东省,0.2,20200103
锦州市,辽宁省,0.2,20200103
西安市,陕西省,0.17,20200103
葫芦岛市,辽宁省,0.16,20200103
潍坊市,山东省,0.16,20200103
抚顺市,辽宁省,0.16,20200103
杭州市,浙江省,0.15,20200103
武汉市,湖北省,0.15,20200103
牡丹江市,黑龙江省,0.14,20200103
盘锦市,辽宁省,0.14,20200103
常州市,江苏省,0.14,20200103
石家庄市,河北省,0.14,20200103
南京市,江苏省,0.14,20200103
黑河市,黑龙江省,0.13,20200103
本溪市,辽宁省,0.13,20200103
秦皇岛市,河北省,0.13,20200103
威海市,山东省,0.12,20200103
保定市,河北省,0.11,20200103
广州市,广东省,0.11,20200103
阜新市,辽宁省,0.11,20200103
成都市,四川省,0.1,20200103
长春市,吉林省,45.13,20200104
白城市,吉林省,9.14,20200104
哈尔滨市,黑龙江省,6.14,20200104
四平市,吉林省,5.64,20200104
大庆市,黑龙江省,4.95,20200104
吉林市,吉林省,3.06,20200104
通辽市,内蒙古自治区,2.28,20200104
沈阳市,辽宁省,2.03,20200104
绥化市,黑龙江省,1.84,20200104
北京市,北京市,1.68,20200104
大连市,辽宁省,1.53,20200104
天津市,天津市,1.01,20200104
延边朝鲜族自治州,吉林省,0.65,20200104
齐齐哈尔市,黑龙江省,0.64,20200104
兴安盟,内蒙古自治区,0.59,20200104
铁岭市,辽宁省,0.57,20200104
通化市,吉林省,0.54,20200104
青岛市,山东省,0.52,20200104
营口市,辽宁省,0.49,20200104
廊坊市,河北省,0.37,20200104
辽源市,吉林省,0.36,20200104
鞍山市,辽宁省,0.33,20200104
上海市,上海市,0.32,20200104
呼伦贝尔市,内蒙古自治区,0.29,20200104
沧州市,河北省,0.29,20200104
石家庄市,河北省,0.28,20200104
赤峰市,内蒙古自治区,0.28,20200104
辽阳市,辽宁省,0.25,20200104
盘锦市,辽宁省,0.24,20200104
西安市,陕西省,0.23,20200104
济南市,山东省,0.23,20200104
白山市,吉林省,0.23,20200104
锦州市,辽宁省,0.23,20200104
苏州市,江苏省,0.23,20200104
潍坊市,山东省,0.22,20200104
唐山市,河北省,0.21,20200104
秦皇岛市,河北省,0.18,20200104
葫芦岛市,辽宁省,0.17,20200104
保定市,河北省,0.15,20200104
南京市,江苏省,0.15,20200104
本溪市,辽宁省,0.15,20200104
牡丹江市,黑龙江省,0.14,20200104
威海市,山东省,0.13,20200104
抚顺市,辽宁省,0.13,20200104
烟台市,山东省,0.12,20200104
杭州市,浙江省,0.12,20200104
