city_name,province_name,value,date
济宁市,山东省,31.42,20200101
临沂市,山东省,13.8,20200101
徐州市,江苏省,12.73,20200101
济南市,山东省,6.91,20200101
青岛市,山东省,2.53,20200101
泰安市,山东省,2.23,20200101
菏泽市,山东省,1.87,20200101
上海市,上海市,1.8,20200101
北京市,北京市,1.69,20200101
苏州市,江苏省,1.54,20200101
潍坊市,山东省,1.11,20200101
日照市,山东省,0.97,20200101
淄博市,山东省,0.88,20200101
德州市,山东省,0.82,20200101
南京市,江苏省,0.78,20200101
宿迁市,江苏省,0.72,20200101
烟台市,山东省,0.72,20200101
连云港市,江苏省,0.69,20200101
天津市,天津市,0.64,20200101
郑州市,河南省,0.57,20200101
宿州市,安徽省,0.56,20200101
杭州市,浙江省,0.46,20200101
合肥市,安徽省,0.46,20200101
淮安市,江苏省,0.43,20200101
聊城市,山东省,0.43,20200101
常州市,江苏省,0.38,20200101
无锡市,江苏省,0.37,20200101
滨州市,山东省,0.36,20200101
淮北市,安徽省,0.34,20200101
南通市,江苏省,0.32,20200101
商丘市,河南省,0.32,20200101
邯郸市,河北省,0.29,20200101
蚌埠市,安徽省,0.26,20200101
东营市,山东省,0.26,20200101
宁波市,浙江省,0.26,20200101
石家庄市,河北省,0.25,20200101
威海市,山东省,0.25,20200101
广州市,广东省,0.24,20200101
盐城市,江苏省,0.24,20200101
扬州市,江苏省,0.23,20200101
嘉兴市,浙江省,0.22,20200101
阜阳市,安徽省,0.21,20200101
滁州市,安徽省,0.21,20200101
西安市,陕西省,0.19,20200101
镇江市,江苏省,0.19,20200101
泰州市,江苏省,0.17,20200101
邢台市,河北省,0.17,20200101
沧州市,河北省,0.17,20200101
武汉市,湖北省,0.16,20200101
廊坊市,河北省,0.16,20200101
济宁市,山东省,18.94,20200102
临沂市,山东省,12.59,20200102
徐州市,江苏省,8.59,20200102
济南市,山东省,8.22,20200102
青岛市,山东省,3.33,20200102
菏泽市,山东省,3.09,20200102
泰安市,山东省,2.67,20200102
北京市,北京市,2.46,20200102
上海市,上海市,2.4,20200102
潍坊市,山东省,1.72,20200102
苏州市,江苏省,1.64,20200102
淄博市,山东省,1.57,20200102
日照市,山东省,1.21,20200102
德州市,山东省,1.12,20200102
南京市,江苏省,1.09,20200102
烟台市,山东省,0.88,20200102
宿迁市,江苏省,0.82,20200102
南通市,江苏省,0.77,20200102
杭州市,浙江省,0.77,20200102
聊城市,山东省,0.71,20200102
无锡市,江苏省,0.69,20200102
天津市,天津市,0.67,20200102
郑州市,河南省,0.64,20200102
合肥市,安徽省,0.62,20200102
连云港市,江苏省,0.62,20200102
滨州市,山东省,0.6,20200102
宿州市,安徽省,0.6,20200102
常州市,江苏省,0.54,20200102
邯郸市,河北省,0.49,20200102
扬州市,江苏省,0.47,20200102
商丘市,河南省,0.45,20200102
西安市,陕西省,0.43,20200102
东营市,山东省,0.43,20200102
泰州市,江苏省,0.42,20200102
威海市,山东省,0.4,20200102
石家庄市,河北省,0.4,20200102
盐城市,江苏省,0.38,20200102
滁州市,安徽省,0.38,20200102
阜阳市,安徽省,0.38,20200102
嘉兴市,浙江省,0.36,20200102
淮安市,江苏省,0.35,20200102
广州市,广东省,0.33,20200102
镇江市,江苏省,0.33,20200102
宁波市,浙江省,0.32,20200102
淮北市,安徽省,0.31,20200102
沧州市,河北省,0.31,20200102
亳州市,安徽省,0.3,20200102
金华市,浙江省,0.29,20200102
邢台市,河北省,0.27,20200102
周口市,河南省,0.25,20200102
济宁市,山东省,24.85,20200103
临沂市,山东省,13.69,20200103
徐州市,江苏省,10.33,20200103
济南市,山东省,8.34,20200103
青岛市,山东省,3.07,20200103
泰安市,山东省,2.52,20200103
菏泽市,山东省,2.24,20200103
北京市,北京市,1.95,20200103
潍坊市,山东省,1.87,20200103
上海市,上海市,1.69,20200103
苏州市,江苏省,1.3,20200103
日照市,山东省,1.19,20200103
淄博市,山东省,1.08,20200103
德州市,山东省,1.05,20200103
聊城市,山东省,0.91,20200103
南京市,江苏省,0.91,20200103
连云港市,江苏省,0.75,20200103
烟台市,山东省,0.75,20200103
杭州市,浙江省,0.72,20200103
宿迁市,江苏省,0.71,20200103
无锡市,江苏省,0.65,20200103
宿州市,安徽省,0.61,20200103
郑州市,河南省,0.58,20200103
天津市,天津市,0.57,20200103
合肥市,安徽省,0.52,20200103
南通市,江苏省,0.51,20200103
滨州市,山东省,0.47,20200103
商丘市,河南省,0.45,20200103
常州市,江苏省,0.43,20200103
邯郸市,河北省,0.41,20200103
石家庄市,河北省,0.38,20200103
扬州市,江苏省,0.33,20200103
淮安市,江苏省,0.33,20200103
淮北市,安徽省,0.33,20200103
威海市,山东省,0.32,20200103
滁州市,安徽省,0.32,20200103
蚌埠市,安徽省,0.32,20200103
嘉兴市,浙江省,0.29,20200103
广州市,广东省,0.27,20200103
宁波市,浙江省,0.27,20200103
泰州市,江苏省,0.27,20200103
镇江市,江苏省,0.27,20200103
东营市,山东省,0.27,20200103
廊坊市,河北省,0.27,20200103
亳州市,安徽省,0.25,20200103
盐城市,江苏省,0.25,20200103
武汉市,湖北省,0.21,20200103
金华市,浙江省,0.21,20200103
沧州市,河北省,0.2,20200103
西安市,陕西省,0.2,20200103
济宁市,山东省,28.64,20200104
临沂市,山东省,14.82,20200104
徐州市,江苏省,12.48,20200104
济南市,山东省,8.01,20200104
泰安市,山东省,2.56,20200104
青岛市,山东省,2.17,20200104
菏泽市,山东省,2.04,20200104
上海市,上海市,1.59,20200104
潍坊市,山东省,1.46,20200104
北京市,北京市,1.3,20200104
苏州市,江苏省,1.08,20200104
德州市,山东省,1.02,20200104
淄博市,山东省,0.97,20200104
日照市,山东省,0.9,20200104
南京市,江苏省,0.72,20200104
宿州市,安徽省,0.63,20200104
聊城市,山东省,0.61,20200104
烟台市,山东省,0.58,20200104
杭州市,浙江省,0.57,20200104
宿迁市,江苏省,0.54,20200104
连云港市,江苏省,0.53,20200104
南通市,江苏省,0.48,20200104
天津市,天津市,0.47,20200104
商丘市,河南省,0.44,20200104
滨州市,山东省,0.43,20200104
合肥市,安徽省,0.4,20200104
无锡市,江苏省,0.39,20200104
广州市,广东省,0.38,20200104
淮安市,江苏省,0.37,20200104
东营市,山东省,0.33,20200104
淮北市,安徽省,0.32,20200104
郑州市,河南省,0.3,20200104
邯郸市,河北省,0.29,20200104
石家庄市,河北省,0.29,20200104
常州市,江苏省,0.27,20200104
扬州市,江苏省,0.26,20200104
威海市,山东省,0.25,20200104
滁州市,安徽省,0.24,20200104
廊坊市,河北省,0.24,20200104
盐城市,江苏省,0.23,20200104
阜阳市,安徽省,0.22,20200104
武汉市,湖北省,0.21,20200104
泰州市,江苏省,0.2,20200104
保定市,河北省,0.2,20200104
西安市,陕西省,0.19,20200104
蚌埠市,安徽省,0.19,20200104
宁波市,浙江省,0.19,20200104
嘉兴市,浙江省,0.19,20200104
邢台市,河北省,0.18,20200104
沧州市,河北省,0.18,20200104
济宁市,山东省,28.78,20200105
临沂市,山东省,12.7,20200105
徐州市,江苏省,11.71,20200105
济南市,山东省,10.25,20200105
泰安市,山东省,2.71,20200105
青岛市,山东省,2.22,20200105
菏泽市,山东省,2.14,20200105
北京市,北京市,2.01,20200105
上海市,上海市,1.77,20200105
潍坊市,山东省,1.23,20200105
日照市,山东省,1.03,20200105
苏州市,江苏省,1.02,20200105
德州市,山东省,0.99,20200105
南京市,江苏省,0.94,20200105
淄博市,山东省,0.75,20200105
聊城市,山东省,0.72,20200105
宿州市,安徽省,0.67,20200105
天津市,天津市,0.59,20200105
杭州市,浙江省,0.59,20200105
烟台市,山东省,0.59,20200105
连云港市,江苏省,0.59,20200105
宿迁市,江苏省,0.52,20200105
滨州市,山东省,0.45,20200105
郑州市,河南省,0.41,20200105
南通市,江苏省,0.4,20200105
东营市,山东省,0.4,20200105
合肥市,安徽省,0.4,20200105
淮北市,安徽省,0.39,20200105
广州市,广东省,0.38,20200105
无锡市,江苏省,0.34,20200105
商丘市,河南省,0.32,20200105
石家庄市,河北省,0.31,20200105
亳州市,安徽省,0.31,20200105
扬州市,江苏省,0.29,20200105
常州市,江苏省,0.28,20200105
威海市,山东省,0.28,20200105
沧州市,河北省,0.25,20200105
金华市,浙江省,0.24,20200105
阜阳市,安徽省,0.24,20200105
淮安市,江苏省,0.23,20200105
武汉市,湖北省,0.22,20200105
滁州市,安徽省,0.21,20200105
盐城市,江苏省,0.2,20200105
保定市,河北省,0.2,20200105
宁波市,浙江省,0.19,20200105
开封市,河南省,0.19,20200105
蚌埠市,安徽省,0.18,20200105
邯郸市,河北省,0.18,20200105
嘉兴市,浙江省,0.17,20200105
西安市,陕西省,0.17,20200105
济宁市,山东省,30.62,20200106
临沂市,山东省,13.47,20200106
徐州市,江苏省,10.52,20200106
济南市,山东省,9.13,20200106
泰安市,山东省,2.64,20200106
青岛市,山东省,2.33,20200106
菏泽市,山东省,2.08,20200106
北京市,北京市,1.72,20200106
上海市,上海市,1.41,20200106
潍坊市,山东省,1.2,20200106
日照市,山东省,1.04,20200106
淄博市,山东省,0.93,20200106
德州市,山东省,0.86,20200106
南京市,江苏省,0.82,20200106
苏州市,江苏省,0.78,20200106
烟台市,山东省,0.68,20200106
聊城市,山东省,0.65,20200106
杭州市,浙江省,0.59,20200106
宿州市,安徽省,0.52,20200106
连云港市,江苏省,0.52,20200106
合肥市,安徽省,0.52,20200106
天津市,天津市,0.47,20200106
滨州市,山东省,0.47,20200106
宿迁市,江苏省,0.46,20200106
南通市,江苏省,0.42,20200106
金华市,浙江省,0.39,20200106
郑州市,河南省,0.38,20200106
广州市,广东省,0.38,20200106
东营市,山东省,0.38,20200106
无锡市,江苏省,0.37,20200106
扬州市,江苏省,0.34,20200106
绍兴市,浙江省,0.33,20200106
