city_name,province_name,value,date
来宾市,广西壮族自治区,34.34,20200101
南宁市,广西壮族自治区,12.66,20200101
桂林市,广西壮族自治区,11.35,20200101
河池市,广西壮族自治区,10.74,20200101
贵港市,广西壮族自治区,4.18,20200101
黔东南苗族侗族自治州,贵州省,2.64,20200101
玉林市,广西壮族自治区,2.25,20200101
贺州市,广西壮族自治区,1.26,20200101
梧州市,广西壮族自治区,1.16,20200101
广州市,广东省,1.14,20200101
深圳市,广东省,0.92,20200101
怀化市,湖南省,0.91,20200101
钦州市,广西壮族自治区,0.82,20200101
百色市,广西壮族自治区,0.72,20200101
北海市,广西壮族自治区,0.7,20200101
佛山市,广东省,0.68,20200101
防城港市,广西壮族自治区,0.67,20200101
东莞市,广东省,0.55,20200101
湛江市,广东省,0.5,20200101
衡阳市,湖南省,0.48,20200101
黔南布依族苗族自治州,贵州省,0.46,20200101
重庆市,重庆市,0.44,20200101
崇左市,广西壮族自治区,0.44,20200101
永州市,湖南省,0.42,20200101
贵阳市,贵州省,0.37,20200101
长沙市,湖南省,0.35,20200101
邵阳市,湖南省,0.29,20200101
上海市,上海市,0.29,20200101
北京市,北京市,0.25,20200101
茂名市,广东省,0.23,20200101
昆明市,云南省,0.23,20200101
江门市,广东省,0.22,20200101
成都市,四川省,0.22,20200101
肇庆市,广东省,0.22,20200101
中山市,广东省,0.22,20200101
武汉市,湖北省,0.19,20200101
珠海市,广东省,0.18,20200101
岳阳市,湖南省,0.14,20200101
惠州市,广东省,0.13,20200101
南京市,江苏省,0.13,20200101
西安市,陕西省,0.12,20200101
遵义市,贵州省,0.12,20200101
杭州市,浙江省,0.12,20200101
株洲市,湖南省,0.1,20200101
娄底市,湖南省,0.1,20200101
雅安市,四川省,0.09,20200101
泉州市,福建省,0.09,20200101
文山壮族苗族自治州,云南省,0.09,20200101
郑州市,河南省,0.09,20200101
海口市,海南省,0.08,20200101
来宾市,广西壮族自治区,20.87,20200102
南宁市,广西壮族自治区,15.96,20200102
桂林市,广西壮族自治区,10.9,20200102
河池市,广西壮族自治区,8.92,20200102
贵港市,广西壮族自治区,4.23,20200102
玉林市,广西壮族自治区,2.79,20200102
广州市,广东省,1.94,20200102
黔东南苗族侗族自治州,贵州省,1.65,20200102
梧州市,广西壮族自治区,1.55,20200102
百色市,广西壮族自治区,1.5,20200102
佛山市,广东省,1.45,20200102
深圳市,广东省,1.4,20200102
北海市,广西壮族自治区,1.35,20200102
贺州市,广西壮族自治区,1.31,20200102
防城港市,广西壮族自治区,1.17,20200102
钦州市,广西壮族自治区,1.12,20200102
怀化市,湖南省,0.9,20200102
东莞市,广东省,0.86,20200102
重庆市,重庆市,0.77,20200102
湛江市,广东省,0.76,20200102
永州市,湖南省,0.74,20200102
长沙市,湖南省,0.69,20200102
邵阳市,湖南省,0.62,20200102
崇左市,广西壮族自治区,0.62,20200102
黔南布依族苗族自治州,贵州省,0.57,20200102
衡阳市,湖南省,0.55,20200102
成都市,四川省,0.47,20200102
上海市,上海市,0.46,20200102
北京市,北京市,0.44,20200102
珠海市,广东省,0.37,20200102
江门市,广东省,0.37,20200102
杭州市,浙江省,0.34,20200102
贵阳市,贵州省,0.33,20200102
