city_name,province_name,value,date
长沙市,湖南省,40.46,20200101
湘潭市,湖南省,12.8,20200101
衡阳市,湖南省,5.67,20200101
萍乡市,江西省,4.88,20200101
郴州市,湖南省,2.63,20200101
娄底市,湖南省,2.32,20200101
岳阳市,湖南省,2.12,20200101
深圳市,广东省,2.07,20200101
广州市,广东省,2.0,20200101
邵阳市,湖南省,1.86,20200101
益阳市,湖南省,1.67,20200101
东莞市,广东省,1.51,20200101
常德市,湖南省,1.04,20200101
宜春市,江西省,0.89,20200101
佛山市,广东省,0.82,20200101
永州市,湖南省,0.82,20200101
吉安市,江西省,0.8,20200101
温州市,浙江省,0.75,20200101
上海市,上海市,0.72,20200101
怀化市,湖南省,0.68,20200101
武汉市,湖北省,0.63,20200101
北京市,北京市,0.47,20200101
惠州市,广东省,0.42,20200101
金华市,浙江省,0.34,20200101
湘西土家族苗族自治州,湖南省,0.34,20200101
中山市,广东省,0.33,20200101
张家界市,湖南省,0.33,20200101
宁波市,浙江省,0.3,20200101
杭州市,浙江省,0.28,20200101
南昌市,江西省,0.28,20200101
新余市,江西省,0.26,20200101
嘉兴市,浙江省,0.25,20200101
江门市,广东省,0.25,20200101
重庆市,重庆市,0.24,20200101
苏州市,江苏省,0.22,20200101
台州市,浙江省,0.22,20200101
赣州市,江西省,0.2,20200101
桂林市,广西壮族自治区,0.2,20200101
韶关市,广东省,0.19,20200101
荆州市,湖北省,0.17,20200101
绍兴市,浙江省,0.17,20200101
汕头市,广东省,0.17,20200101
泉州市,福建省,0.16,20200101
咸宁市,湖北省,0.15,20200101
珠海市,广东省,0.15,20200101
贵阳市,贵州省,0.14,20200101
西安市,陕西省,0.14,20200101
南京市,江苏省,0.13,20200101
清远市,广东省,0.13,20200101
湖州市,浙江省,0.12,20200101
长沙市,湖南省,34.58,20200102
湘潭市,湖南省,8.52,20200102
衡阳市,湖南省,5.0,20200102
广州市,广东省,3.39,20200102
深圳市,广东省,2.93,20200102
岳阳市,湖南省,2.76,20200102
萍乡市,江西省,2.7,20200102
郴州市,湖南省,2.62,20200102
娄底市,湖南省,2.28,20200102
邵阳市,湖南省,2.04,20200102
东莞市,广东省,2.01,20200102
益阳市,湖南省,1.72,20200102
佛山市,广东省,1.66,20200102
常德市,湖南省,1.49,20200102
上海市,上海市,1.21,20200102
温州市,浙江省,1.19,20200102
永州市,湖南省,1.09,20200102
武汉市,湖北省,0.93,20200102
北京市,北京市,0.89,20200102
中山市,广东省,0.79,20200102
宜春市,江西省,0.73,20200102
怀化市,湖南省,0.72,20200102
杭州市,浙江省,0.56,20200102
吉安市,江西省,0.51,20200102
金华市,浙江省,0.51,20200102
宁波市,浙江省,0.49,20200102
惠州市,广东省,0.49,20200102
南昌市,江西省,0.47,20200102
苏州市,江苏省,0.45,20200102
湘西土家族苗族自治州,湖南省,0.43,20200102
江门市,广东省,0.35,20200102
重庆市,重庆市,0.34,20200102
南宁市,广西壮族自治区,0.33,20200102
台州市,浙江省,0.31,20200102
嘉兴市,浙江省,0.31,20200102
赣州市,江西省,0.3,20200102
成都市,四川省,0.28,20200102
珠海市,广东省,0.28,20200102
桂林市,广西壮族自治区,0.28,20200102
荆州市,湖北省,0.27,20200102
汕头市,广东省,0.25,20200102
张家界市,湖南省,0.24,20200102
新余市,江西省,0.24,20200102
九江市,江西省,0.23,20200102
贵阳市,贵州省,0.22,20200102
韶关市,广东省,0.22,20200102
泉州市,福建省,0.21,20200102
南京市,江苏省,0.21,20200102
西安市,陕西省,0.2,20200102
昆明市,云南省,0.2,20200102
长沙市,湖南省,39.9,20200103
湘潭市,湖南省,9.33,20200103
衡阳市,湖南省,5.03,20200103
萍乡市,江西省,3.43,20200103
郴州市,湖南省,2.79,20200103
广州市,广东省,2.56,20200103
深圳市,广东省,2.45,20200103
岳阳市,湖南省,2.24,20200103
娄底市,湖南省,2.17,20200103
邵阳市,湖南省,2.08,20200103
东莞市,广东省,1.69,20200103
益阳市,湖南省,1.65,20200103
常德市,湖南省,1.28,20200103
佛山市,广东省,1.12,20200103
上海市,上海市,1.08,20200103
永州市,湖南省,1.0,20200103
温州市,浙江省,0.94,20200103
武汉市,湖北省,0.86,20200103
宜春市,江西省,0.75,20200103
怀化市,湖南省,0.68,20200103
吉安市,江西省,0.67,20200103
中山市,广东省,0.61,20200103
北京市,北京市,0.59,20200103
南昌市,江西省,0.56,20200103
惠州市,广东省,0.5,20200103
宁波市,浙江省,0.48,20200103
金华市,浙江省,0.44,20200103
杭州市,浙江省,0.35,20200103
张家界市,湖南省,0.34,20200103
湘西土家族苗族自治州,湖南省,0.34,20200103
成都市,四川省,0.29,20200103
重庆市,重庆市,0.28,20200103
江门市,广东省,0.27,20200103
台州市,浙江省,0.26,20200103
韶关市,广东省,0.25,20200103
苏州市,江苏省,0.25,20200103
桂林市,广西壮族自治区,0.25,20200103
西安市,陕西省,0.24,20200103
嘉兴市,浙江省,0.23,20200103
