city_name,province_name,value,date
柳州市,广西壮族自治区,13.2,20200101
南宁市,广西壮族自治区,11.03,20200101
贺州市,广西壮族自治区,6.31,20200101
永州市,湖南省,5.08,20200101
来宾市,广西壮族自治区,3.97,20200101
广州市,广东省,3.52,20200101
梧州市,广西壮族自治区,3.3,20200101
深圳市,广东省,2.84,20200101
邵阳市,湖南省,2.49,20200101
河池市,广西壮族自治区,2.05,20200101
佛山市,广东省,2.03,20200101
贵港市,广西壮族自治区,2.01,20200101
玉林市,广西壮族自治区,1.94,20200101
北海市,广西壮族自治区,1.86,20200101
东莞市,广东省,1.68,20200101
中山市,广东省,1.52,20200101
衡阳市,湖南省,1.23,20200101
长沙市,湖南省,1.17,20200101
百色市,广西壮族自治区,1.12,20200101
北京市,北京市,1.09,20200101
重庆市,重庆市,1.08,20200101
钦州市,广西壮族自治区,0.9,20200101
上海市,上海市,0.76,20200101
怀化市,湖南省,0.71,20200101
肇庆市,广东省,0.63,20200101
贵阳市,贵州省,0.63,20200101
武汉市,湖北省,0.58,20200101
郴州市,湖南省,0.57,20200101
崇左市,广西壮族自治区,0.57,20200101
成都市,四川省,0.53,20200101
黔东南苗族侗族自治州,贵州省,0.49,20200101
惠州市,广东省,0.48,20200101
天津市,天津市,0.48,20200101
防城港市,广西壮族自治区,0.46,20200101
西安市,陕西省,0.46,20200101
江门市,广东省,0.45,20200101
昆明市,云南省,0.45,20200101
杭州市,浙江省,0.4,20200101
娄底市,湖南省,0.4,20200101
珠海市,广东省,0.35,20200101
湛江市,广东省,0.32,20200101
宁波市,浙江省,0.31,20200101
遵义市,贵州省,0.31,20200101
黔南布依族苗族自治州,贵州省,0.27,20200101
青岛市,山东省,0.27,20200101
郑州市,河南省,0.27,20200101
海口市,海南省,0.26,20200101
苏州市,江苏省,0.25,20200101
株洲市,湖南省,0.25,20200101
雅安市,四川省,0.24,20200101
南宁市,广西壮族自治区,13.23,20200102
柳州市,广西壮族自治区,11.4,20200102
贺州市,广西壮族自治区,5.24,20200102
永州市,湖南省,3.88,20200102
广州市,广东省,3.41,20200102
梧州市,广西壮族自治区,2.95,20200102
来宾市,广西壮族自治区,2.89,20200102
玉林市,广西壮族自治区,2.88,20200102
贵港市,广西壮族自治区,2.76,20200102
河池市,广西壮族自治区,2.42,20200102
深圳市,广东省,2.41,20200102
邵阳市,湖南省,2.14,20200102
佛山市,广东省,1.96,20200102
百色市,广西壮族自治区,1.67,20200102
北海市,广西壮族自治区,1.65,20200102
东莞市,广东省,1.6,20200102
长沙市,湖南省,1.13,20200102
钦州市,广西壮族自治区,1.12,20200102
北京市,北京市,1.09,20200102
重庆市,重庆市,1.07,20200102
衡阳市,湖南省,1.04,20200102
上海市,上海市,0.94,20200102
崇左市,广西壮族自治区,0.83,20200102
中山市,广东省,0.81,20200102
怀化市,湖南省,0.68,20200102
防城港市,广西壮族自治区,0.64,20200102
成都市,四川省,0.62,20200102
西安市,陕西省,0.54,20200102
武汉市,湖北省,0.54,20200102
