city_name,province_name,value,date
深圳市,广东省,18.35,20200101
广州市,广东省,16.66,20200101
揭阳市,广东省,7.69,20200101
东莞市,广东省,7.6,20200101
惠州市,广东省,7.15,20200101
河源市,广东省,6.14,20200101
龙岩市,福建省,5.49,20200101
赣州市,江西省,5.3,20200101
汕头市,广东省,4.46,20200101
潮州市,广东省,3.77,20200101
佛山市,广东省,3.49,20200101
中山市,广东省,1.43,20200101
汕尾市,广东省,1.02,20200101
珠海市,广东省,0.9,20200101
韶关市,广东省,0.82,20200101
漳州市,福建省,0.79,20200101
清远市,广东省,0.75,20200101
江门市,广东省,0.5,20200101
泉州市,福建省,0.4,20200101
肇庆市,广东省,0.4,20200101
厦门市,福建省,0.27,20200101
三明市,福建省,0.25,20200101
湛江市,广东省,0.24,20200101
茂名市,广东省,0.21,20200101
云浮市,广东省,0.18,20200101
抚州市,江西省,0.17,20200101
重庆市,重庆市,0.16,20200101
武汉市,湖北省,0.14,20200101
长沙市,湖南省,0.14,20200101
宜春市,江西省,0.14,20200101
郴州市,湖南省,0.12,20200101
香港,香港,0.12,20200101
吉安市,江西省,0.12,20200101
贺州市,广西壮族自治区,0.11,20200101
福州市,福建省,0.11,20200101
北京市,北京市,0.1,20200101
永州市,湖南省,0.1,20200101
莆田市,福建省,0.1,20200101
上海市,上海市,0.1,20200101
温州市,浙江省,0.09,20200101
衡阳市,湖南省,0.09,20200101
宁波市,浙江省,0.08,20200101
南宁市,广西壮族自治区,0.08,20200101
梧州市,广西壮族自治区,0.07,20200101
百色市,广西壮族自治区,0.07,20200101
九江市,江西省,0.07,20200101
常德市,湖南省,0.07,20200101
石家庄市,河北省,0.07,20200101
海口市,海南省,0.06,20200101
柳州市,广西壮族自治区,0.06,20200101
广州市,广东省,21.99,20200102
深圳市,广东省,20.77,20200102
东莞市,广东省,8.54,20200102
惠州市,广东省,7.34,20200102
河源市,广东省,4.3,20200102
揭阳市,广东省,4.09,20200102
赣州市,江西省,4.03,20200102
佛山市,广东省,4.01,20200102
龙岩市,福建省,3.11,20200102
汕头市,广东省,2.7,20200102
潮州市,广东省,2.26,20200102
中山市,广东省,1.66,20200102
珠海市,广东省,0.98,20200102
漳州市,福建省,0.89,20200102
汕尾市,广东省,0.86,20200102
韶关市,广东省,0.82,20200102
清远市,广东省,0.7,20200102
厦门市,福建省,0.56,20200102
肇庆市,广东省,0.53,20200102
江门市,广东省,0.51,20200102
泉州市,福建省,0.44,20200102
湛江市,广东省,0.41,20200102
茂名市,广东省,0.37,20200102
上海市,上海市,0.32,20200102
云浮市,广东省,0.26,20200102
南昌市,江西省,0.26,20200102
抚州市,江西省,0.23,20200102
三明市,福建省,0.23,20200102
福州市,福建省,0.19,20200102
莆田市,福建省,0.18,20200102
香港,香港,0.17,20200102
南宁市,广西壮族自治区,0.17,20200102
武汉市,湖北省,0.17,20200102
海口市,海南省,0.16,20200102
吉安市,江西省,0.16,20200102
宜春市,江西省,0.15,20200102
杭州市,浙江省,0.14,20200102
北京市,北京市,0.14,20200102
长沙市,湖南省,0.14,20200102
郴州市,湖南省,0.14,20200102
桂林市,广西壮族自治区,0.13,20200102
玉林市,广西壮族自治区,0.13,20200102
贵阳市,贵州省,0.13,20200102
重庆市,重庆市,0.11,20200102
阳江市,广东省,0.1,20200102
新乡市,河南省,0.08,20200102
贵港市,广西壮族自治区,0.08,20200102
温州市,浙江省,0.08,20200102
宜昌市,湖北省,0.07,20200102
岳阳市,湖南省,0.07,20200102
广州市,广东省,21.86,20200103
深圳市,广东省,21.59,20200103
东莞市,广东省,7.48,20200103
惠州市,广东省,6.81,20200103
揭阳市,广东省,5.42,20200103
河源市,广东省,4.95,20200103
佛山市,广东省,4.01,20200103
汕头市,广东省,3.69,20200103
赣州市,江西省,3.47,20200103
龙岩市,福建省,3.24,20200103
潮州市,广东省,2.68,20200103
珠海市,广东省,1.26,20200103
中山市,广东省,1.25,20200103
汕尾市,广东省,1.22,20200103
韶关市,广东省,0.84,20200103
漳州市,福建省,0.8,20200103
肇庆市,广东省,0.59,20200103
清远市,广东省,0.58,20200103
江门市,广东省,0.57,20200103
湛江市,广东省,0.56,20200103
茂名市,广东省,0.44,20200103
泉州市,福建省,0.42,20200103
厦门市,福建省,0.39,20200103
南昌市,江西省,0.17,20200103
抚州市,江西省,0.17,20200103
福州市,福建省,0.17,20200103
三明市,福建省,0.16,20200103
武汉市,湖北省,0.15,20200103
长沙市,湖南省,0.14,20200103
重庆市,重庆市,0.14,20200103
郴州市,湖南省,0.14,20200103
吉安市,江西省,0.13,20200103
阳江市,广东省,0.13,20200103
香港,香港,0.12,20200103
海口市,海南省,0.12,20200103
温州市,浙江省,0.12,20200103
上海市,上海市,0.11,20200103
云浮市,广东省,0.1,20200103
北京市,北京市,0.1,20200103
益阳市,湖南省,0.09,20200103
南宁市,广西壮族自治区,0.08,20200103
九江市,江西省,0.08,20200103
桂林市,广西壮族自治区,0.07,20200103
南平市,福建省,0.07,20200103
莆田市,福建省,0.06,20200103
玉林市,广西壮族自治区,0.06,20200103
成都市,四川省,0.06,20200103
衡阳市,湖南省,0.06,20200103
柳州市,广西壮族自治区,0.05,20200103
上饶市,江西省,0.05,20200103
广州市,广东省,21.78,20200104
深圳市,广东省,18.45,20200104
东莞市,广东省,7.32,20200104
揭阳市,广东省,6.84,20200104
惠州市,广东省,6.77,20200104
河源市,广东省,5.97,20200104
赣州市,江西省,3.93,20200104
佛山市,广东省,3.92,20200104
潮州市,广东省,3.82,20200104
龙岩市,福建省,3.77,20200104
汕头市,广东省,3.35,20200104
中山市,广东省,1.47,20200104
汕尾市,广东省,1.01,20200104
珠海市,广东省,0.85,20200104
韶关市,广东省,0.79,20200104
漳州市,福建省,0.76,20200104
肇庆市,广东省,0.61,20200104
清远市,广东省,0.56,20200104
江门市,广东省,0.46,20200104
厦门市,福建省,0.45,20200104
泉州市,福建省,0.34,20200104
茂名市,广东省,0.33,20200104
湛江市,广东省,0.32,20200104
上海市,上海市,0.24,20200104
南昌市,江西省,0.18,20200104
海口市,海南省,0.18,20200104
吉安市,江西省,0.17,20200104
长沙市,湖南省,0.16,20200104
云浮市,广东省,0.16,20200104
南宁市,广西壮族自治区,0.15,20200104
武汉市,湖北省,0.14,20200104
抚州市,江西省,0.13,20200104
北京市,北京市,0.13,20200104
福州市,福建省,0.11,20200104
郴州市,湖南省,0.11,20200104
香港,香港,0.1,20200104
阳江市,广东省,0.1,20200104
宜春市,江西省,0.08,20200104
杭州市,浙江省,0.08,20200104
苏州市,江苏省,0.08,20200104
三明市,福建省,0.08,20200104
九江市,江西省,0.08,20200104
重庆市,重庆市,0.07,20200104
昆明市,云南省,0.07,20200104
金华市,浙江省,0.07,20200104
澳门,澳门,0.07,20200104
莆田市,福建省,0.06,20200104
南平市,福建省,0.06,20200104
宁波市,浙江省,0.06,20200104
西安市,陕西省,0.06,20200104
广州市,广东省,21.5,20200105
深圳市,广东省,17.37,20200105
揭阳市,广东省,7.18,20200105
东莞市,广东省,6.85,20200105
惠州市,广东省,6.43,20200105
河源市,广东省,5.9,20200105
赣州市,江西省,4.41,20200105
龙岩市,福建省,4.15,20200105
佛山市,广东省,3.98,20200105
潮州市,广东省,3.5,20200105
汕头市,广东省,3.2,20200105
中山市,广东省,1.35,20200105
珠海市,广东省,1.11,20200105
汕尾市,广东省,1.09,20200105
漳州市,福建省,0.77,20200105
厦门市,福建省,0.74,20200105
韶关市,广东省,0.69,20200105
清远市,广东省,0.67,20200105
肇庆市,广东省,0.65,20200105
江门市,广东省,0.56,20200105
泉州市,福建省,0.51,20200105
茂名市,广东省,0.44,20200105
北京市,北京市,0.27,20200105
福州市,福建省,0.23,20200105
湛江市,广东省,0.23,20200105
南昌市,江西省,0.22,20200105
抚州市,江西省,0.18,20200105
云浮市,广东省,0.17,20200105
长沙市,湖南省,0.16,20200105
上海市,上海市,0.16,20200105
三明市,福建省,0.15,20200105
吉安市,江西省,0.14,20200105
杭州市,浙江省,0.13,20200105
香港,香港,0.13,20200105
海口市,海南省,0.13,20200105
成都市,四川省,0.12,20200105
重庆市,重庆市,0.11,20200105
莆田市,福建省,0.11,20200105
宜春市,江西省,0.11,20200105
武汉市,湖北省,0.1,20200105
衡阳市,湖南省,0.1,20200105
阳江市,广东省,0.09,20200105
新余市,江西省,0.09,20200105
昆明市,云南省,0.09,20200105
郴州市,湖南省,0.09,20200105
南宁市,广西壮族自治区,0.09,20200105
南平市,福建省,0.08,20200105
苏州市,江苏省,0.07,20200105
玉林市,广西壮族自治区,0.07,20200105
九江市,江西省,0.06,20200105
广州市,广东省,22.56,20200106
深圳市,广东省,16.84,20200106
东莞市,广东省,6.9,20200106
揭阳市,广东省,6.56,20200106
惠州市,广东省,6.23,20200106
河源市,广东省,5.57,20200106
佛山市,广东省,4.0,20200106
赣州市,江西省,3.97,20200106
龙岩市,福建省,3.69,20200106
潮州市,广东省,3.57,20200106
汕头市,广东省,3.25,20200106
中山市,广东省,1.54,20200106
汕尾市,广东省,1.32,20200106
珠海市,广东省,1.02,20200106
韶关市,广东省,0.89,20200106
漳州市,福建省,0.78,20200106
肇庆市,广东省,0.73,20200106
清远市,广东省,0.7,20200106
茂名市,广东省,0.65,20200106
厦门市,福建省,0.54,20200106
江门市,广东省,0.52,20200106
湛江市,广东省,0.41,20200106
北京市,北京市,0.3,20200106
泉州市,福建省,0.29,20200106
福州市,福建省,0.23,20200106
长沙市,湖南省,0.22,20200106
上海市,上海市,0.18,20200106
吉安市,江西省,0.18,20200106
阳江市,广东省,0.18,20200106
重庆市,重庆市,0.17,20200106
香港,香港,0.14,20200106
南昌市,江西省,0.14,20200106
云浮市,广东省,0.14,20200106
金华市,浙江省,0.13,20200106
抚州市,江西省,0.13,20200106
郴州市,湖南省,0.12,20200106
昆明市,云南省,0.12,20200106
武汉市,湖北省,0.12,20200106
贺州市,广西壮族自治区,0.11,20200106
海口市,海南省,0.11,20200106
玉林市,广西壮族自治区,0.11,20200106
衡阳市,湖南省,0.11,20200106
宜春市,江西省,0.1,20200106
杭州市,浙江省,0.09,20200106
九江市,江西省,0.09,20200106
南宁市,广西壮族自治区,0.09,20200106
柳州市,广西壮族自治区,0.09,20200106
成都市,四川省,0.08,20200106
莆田市,福建省,0.08,20200106
南平市,福建省,0.07,20200106
广州市,广东省,24.42,20200107
深圳市,广东省,15.1,20200107
惠州市,广东省,6.64,20200107
揭阳市,广东省,6.27,20200107
东莞市,广东省,6.15,20200107
河源市,广东省,5.11,20200107
佛山市,广东省,4.17,20200107
汕头市,广东省,3.79,20200107
龙岩市,福建省,3.56,20200107
赣州市,江西省,3.47,20200107
潮州市,广东省,3.34,20200107
中山市,广东省,1.96,20200107
肇庆市,广东省,1.36,20200107
珠海市,广东省,1.22,20200107
汕尾市,广东省,1.19,20200107
清远市,广东省,0.98,20200107
茂名市,广东省,0.82,20200107
漳州市,福建省,0.78,20200107
韶关市,广东省,0.71,20200107
江门市,广东省,0.67,20200107
湛江市,广东省,0.41,20200107
