city_name,province_name,value,date
贵港市,广西壮族自治区,10.68,20200101
贺州市,广西壮族自治区,10.65,20200101
佛山市,广东省,9.72,20200101
玉林市,广西壮族自治区,8.08,20200101
南宁市,广西壮族自治区,7.57,20200101
肇庆市,广东省,7.53,20200101
广州市,广东省,6.72,20200101
桂林市,广西壮族自治区,5.16,20200101
中山市,广东省,4.26,20200101
云浮市,广东省,3.63,20200101
深圳市,广东省,3.11,20200101
东莞市,广东省,3.1,20200101
柳州市,广西壮族自治区,2.29,20200101
江门市,广东省,2.02,20200101
来宾市,广西壮族自治区,1.67,20200101
茂名市,广东省,1.55,20200101
珠海市,广东省,0.71,20200101
钦州市,广西壮族自治区,0.68,20200101
河池市,广西壮族自治区,0.68,20200101
北海市,广西壮族自治区,0.64,20200101
百色市,广西壮族自治区,0.6,20200101
湛江市,广东省,0.55,20200101
惠州市,广东省,0.53,20200101
防城港市,广西壮族自治区,0.45,20200101
永州市,湖南省,0.42,20200101
崇左市,广西壮族自治区,0.37,20200101
清远市,广东省,0.37,20200101
北京市,北京市,0.35,20200101
阳江市,广东省,0.28,20200101
长沙市,湖南省,0.23,20200101
河源市,广东省,0.19,20200101
福州市,福建省,0.18,20200101
文山壮族苗族自治州,云南省,0.17,20200101
上海市,上海市,0.14,20200101
郴州市,湖南省,0.11,20200101
娄底市,湖南省,0.1,20200101
贵阳市,贵州省,0.1,20200101
韶关市,广东省,0.1,20200101
重庆市,重庆市,0.09,20200101
衡阳市,湖南省,0.09,20200101
赣州市,江西省,0.09,20200101
澳门,澳门,0.09,20200101
武汉市,湖北省,0.09,20200101
嘉兴市,浙江省,0.09,20200101
成都市,四川省,0.08,20200101
怀化市,湖南省,0.08,20200101
梅州市,广东省,0.08,20200101
黔东南苗族侗族自治州,贵州省,0.08,20200101
南昌市,江西省,0.08,20200101
香港,香港,0.07,20200101
佛山市,广东省,10.87,20200102
南宁市,广西壮族自治区,10.17,20200102
广州市,广东省,9.26,20200102
贺州市,广西壮族自治区,8.32,20200102
贵港市,广西壮族自治区,8.2,20200102
肇庆市,广东省,5.43,20200102
玉林市,广西壮族自治区,5.11,20200102
桂林市,广西壮族自治区,4.66,20200102
中山市,广东省,4.38,20200102
深圳市,广东省,3.21,20200102
东莞市,广东省,3.12,20200102
柳州市,广西壮族自治区,2.7,20200102
云浮市,广东省,2.4,20200102
江门市,广东省,2.37,20200102
