city_name,province_name,value,date
孝感市,湖北省,16.93,20200101
黄冈市,湖北省,12.99,20200101
鄂州市,湖北省,6.85,20200101
咸宁市,湖北省,5.97,20200101
荆州市,湖北省,5.34,20200101
黄石市,湖北省,4.4,20200101
襄阳市,湖北省,3.27,20200101
仙桃市,湖北省,3.04,20200101
随州市,湖北省,2.92,20200101
荆门市,湖北省,2.8,20200101
宜昌市,湖北省,2.3,20200101
十堰市,湖北省,1.51,20200101
天门市,湖北省,1.42,20200101
长沙市,湖南省,1.35,20200101
北京市,北京市,1.28,20200101
恩施土家族苗族自治州,湖北省,1.27,20200101
信阳市,河南省,1.1,20200101
潜江市,湖北省,1.05,20200101
上海市,上海市,1.04,20200101
重庆市,重庆市,0.85,20200101
深圳市,广东省,0.83,20200101
广州市,广东省,0.8,20200101
郑州市,河南省,0.62,20200101
南昌市,江西省,0.57,20200101
九江市,江西省,0.53,20200101
合肥市,安徽省,0.5,20200101
杭州市,浙江省,0.49,20200101
岳阳市,湖南省,0.48,20200101
驻马店市,河南省,0.47,20200101
成都市,四川省,0.43,20200101
南京市,江苏省,0.41,20200101
南阳市,河南省,0.41,20200101
西安市,陕西省,0.36,20200101
苏州市,江苏省,0.34,20200101
安庆市,安徽省,0.31,20200101
东莞市,广东省,0.24,20200101
阜阳市,安徽省,0.23,20200101
昆明市,云南省,0.22,20200101
周口市,河南省,0.21,20200101
天津市,天津市,0.2,20200101
贵阳市,贵州省,0.2,20200101
六安市,安徽省,0.2,20200101
常德市,湖南省,0.18,20200101
宁波市,浙江省,0.18,20200101
商丘市,河南省,0.17,20200101
海口市,海南省,0.17,20200101
佛山市,广东省,0.16,20200101
福州市,福建省,0.16,20200101
金华市,浙江省,0.16,20200101
厦门市,福建省,0.16,20200101
孝感市,湖北省,10.86,20200102
黄冈市,湖北省,10.6,20200102
荆州市,湖北省,5.74,20200102
咸宁市,湖北省,4.74,20200102
鄂州市,湖北省,4.13,20200102
黄石市,湖北省,3.87,20200102
襄阳市,湖北省,3.8,20200102
随州市,湖北省,2.96,20200102
荆门市,湖北省,2.89,20200102
宜昌市,湖北省,2.8,20200102
仙桃市,湖北省,2.14,20200102
十堰市,湖北省,1.95,20200102
恩施土家族苗族自治州,湖北省,1.95,20200102
北京市,北京市,1.9,20200102
长沙市,湖南省,1.64,20200102
天门市,湖北省,1.51,20200102
上海市,上海市,1.35,20200102
广州市,广东省,1.2,20200102
潜江市,湖北省,1.19,20200102
重庆市,重庆市,1.15,20200102
信阳市,河南省,1.15,20200102
深圳市,广东省,1.08,20200102
郑州市,河南省,0.85,20200102
南昌市,江西省,0.72,20200102
成都市,四川省,0.71,20200102
杭州市,浙江省,0.66,20200102
合肥市,安徽省,0.66,20200102
南京市,江苏省,0.6,20200102
驻马店市,河南省,0.58,20200102
西安市,陕西省,0.55,20200102
九江市,江西省,0.53,20200102
岳阳市,湖南省,0.51,20200102
苏州市,江苏省,0.47,20200102
南阳市,河南省,0.47,20200102
厦门市,福建省,0.36,20200102
安庆市,安徽省,0.35,20200102
阜阳市,安徽省,0.35,20200102
东莞市,广东省,0.33,20200102
昆明市,云南省,0.31,20200102
贵阳市,贵州省,0.29,20200102
周口市,河南省,0.27,20200102
三亚市,海南省,0.27,20200102
佛山市,广东省,0.27,20200102
六安市,安徽省,0.26,20200102
南宁市,广西壮族自治区,0.26,20200102
天津市,天津市,0.25,20200102
温州市,浙江省,0.25,20200102
