city_name,province_name,value,date
长沙市,湖南省,12.44,20200101
东莞市,广东省,9.84,20200101
衡阳市,湖南省,9.67,20200101
广州市,广东省,7.88,20200101
郴州市,湖南省,7.29,20200101
桂林市,广西壮族自治区,6.14,20200101
深圳市,广东省,5.0,20200101
佛山市,广东省,4.21,20200101
邵阳市,湖南省,4.13,20200101
贺州市,广西壮族自治区,4.08,20200101
清远市,广东省,2.34,20200101
中山市,广东省,1.75,20200101
惠州市,广东省,1.53,20200101
株洲市,湖南省,1.44,20200101
江门市,广东省,0.84,20200101
湘潭市,湖南省,0.83,20200101
嘉兴市,浙江省,0.82,20200101
娄底市,湖南省,0.82,20200101
南宁市,广西壮族自治区,0.75,20200101
岳阳市,湖南省,0.72,20200101
怀化市,湖南省,0.66,20200101
柳州市,广西壮族自治区,0.61,20200101
常德市,湖南省,0.58,20200101
肇庆市,广东省,0.57,20200101
珠海市,广东省,0.48,20200101
益阳市,湖南省,0.48,20200101
武汉市,湖北省,0.46,20200101
上海市,上海市,0.46,20200101
重庆市,重庆市,0.45,20200101
绍兴市,浙江省,0.43,20200101
韶关市,广东省,0.43,20200101
杭州市,浙江省,0.41,20200101
宁波市,浙江省,0.35,20200101
北京市,北京市,0.33,20200101
梧州市,广西壮族自治区,0.31,20200101
温州市,浙江省,0.28,20200101
金华市,浙江省,0.28,20200101
湛江市,广东省,0.27,20200101
阳江市,广东省,0.25,20200101
湘西土家族苗族自治州,湖南省,0.24,20200101
苏州市,江苏省,0.24,20200101
泉州市,福建省,0.24,20200101
海口市,海南省,0.21,20200101
昆明市,云南省,0.21,20200101
茂名市,广东省,0.2,20200101
福州市,福建省,0.19,20200101
赣州市,江西省,0.19,20200101
南昌市,江西省,0.19,20200101
汕头市,广东省,0.17,20200101
宜春市,江西省,0.16,20200101
长沙市,湖南省,16.02,20200102
东莞市,广东省,11.48,20200102
广州市,广东省,9.16,20200102
深圳市,广东省,6.54,20200102
衡阳市,湖南省,5.92,20200102
郴州市,湖南省,4.57,20200102
佛山市,广东省,4.43,20200102
桂林市,广西壮族自治区,4.19,20200102
邵阳市,湖南省,2.98,20200102
中山市,广东省,2.62,20200102
嘉兴市,浙江省,1.59,20200102
贺州市,广西壮族自治区,1.58,20200102
惠州市,广东省,1.47,20200102
株洲市,湖南省,1.46,20200102
清远市,广东省,1.35,20200102
江门市,广东省,0.88,20200102
湘潭市,湖南省,0.86,20200102
娄底市,湖南省,0.85,20200102
上海市,上海市,0.83,20200102
南宁市,广西壮族自治区,0.69,20200102
柳州市,广西壮族自治区,0.68,20200102
常德市,湖南省,0.68,20200102
珠海市,广东省,0.67,20200102
益阳市,湖南省,0.65,20200102
岳阳市,湖南省,0.59,20200102
肇庆市,广东省,0.55,20200102
温州市,浙江省,0.53,20200102
怀化市,湖南省,0.52,20200102
绍兴市,浙江省,0.5,20200102
宁波市,浙江省,0.47,20200102
杭州市,浙江省,0.45,20200102
金华市,浙江省,0.45,20200102
北京市,北京市,0.41,20200102
武汉市,湖北省,0.41,20200102
韶关市,广东省,0.41,20200102
梧州市,广西壮族自治区,0.37,20200102
苏州市,江苏省,0.35,20200102
重庆市,重庆市,0.34,20200102
成都市,四川省,0.27,20200102
福州市,福建省,0.26,20200102
泉州市,福建省,0.26,20200102
湛江市,广东省,0.26,20200102
汕头市,广东省,0.25,20200102
湘西土家族苗族自治州,湖南省,0.24,20200102
阳江市,广东省,0.23,20200102
宜春市,江西省,0.22,20200102
海口市,海南省,0.21,20200102
赣州市,江西省,0.2,20200102
昆明市,云南省,0.19,20200102
南昌市,江西省,0.19,20200102
长沙市,湖南省,16.44,20200103
东莞市,广东省,10.35,20200103
广州市,广东省,8.27,20200103
衡阳市,湖南省,7.39,20200103
郴州市,湖南省,5.73,20200103
深圳市,广东省,5.72,20200103
桂林市,广西壮族自治区,4.83,20200103
佛山市,广东省,3.96,20200103
邵阳市,湖南省,3.7,20200103
贺州市,广西壮族自治区,2.33,20200103
中山市,广东省,1.99,20200103
清远市,广东省,1.89,20200103
株洲市,湖南省,1.78,20200103
惠州市,广东省,1.54,20200103
嘉兴市,浙江省,1.06,20200103
岳阳市,湖南省,0.91,20200103
娄底市,湖南省,0.91,20200103
湘潭市,湖南省,0.86,20200103
江门市,广东省,0.8,20200103
南宁市,广西壮族自治区,0.72,20200103
肇庆市,广东省,0.68,20200103
常德市,湖南省,0.68,20200103
珠海市,广东省,0.62,20200103
柳州市,广西壮族自治区,0.62,20200103
上海市,上海市,0.62,20200103
温州市,浙江省,0.6,20200103
怀化市,湖南省,0.54,20200103
杭州市,浙江省,0.51,20200103
益阳市,湖南省,0.48,20200103
金华市,浙江省,0.44,20200103
武汉市,湖北省,0.43,20200103
绍兴市,浙江省,0.39,20200103
宁波市,浙江省,0.37,20200103
重庆市,重庆市,0.34,20200103
韶关市,广东省,0.32,20200103
北京市,北京市,0.32,20200103
阳江市,广东省,0.3,20200103
苏州市,江苏省,0.29,20200103
梧州市,广西壮族自治区,0.26,20200103
南昌市,江西省,0.24,20200103
汕头市,广东省,0.23,20200103
湛江市,广东省,0.21,20200103
福州市,福建省,0.2,20200103
海口市,海南省,0.2,20200103
玉林市,广西壮族自治区,0.17,20200103
成都市,四川省,0.17,20200103
宜春市,江西省,0.16,20200103
郑州市,河南省,0.16,20200103
泉州市,福建省,0.16,20200103
湘西土家族苗族自治州,湖南省,0.16,20200103
长沙市,湖南省,16.84,20200104
衡阳市,湖南省,8.9,20200104
东莞市,广东省,8.75,20200104
广州市,广东省,8.22,20200104
郴州市,湖南省,6.25,20200104
深圳市,广东省,4.87,20200104
桂林市,广西壮族自治区,4.79,20200104
佛山市,广东省,3.69,20200104
邵阳市,湖南省,3.54,20200104
贺州市,广西壮族自治区,3.1,20200104
清远市,广东省,1.97,20200104
株洲市,湖南省,1.83,20200104
中山市,广东省,1.8,20200104
惠州市,广东省,1.55,20200104
湘潭市,湖南省,1.09,20200104
嘉兴市,浙江省,1.01,20200104
常德市,湖南省,0.77,20200104
江门市,广东省,0.75,20200104
娄底市,湖南省,0.75,20200104
岳阳市,湖南省,0.73,20200104
肇庆市,广东省,0.67,20200104
南宁市,广西壮族自治区,0.64,20200104
柳州市,广西壮族自治区,0.58,20200104
珠海市,广东省,0.58,20200104
温州市,浙江省,0.53,20200104
上海市,上海市,0.49,20200104
宁波市,浙江省,0.49,20200104
益阳市,湖南省,0.48,20200104
武汉市,湖北省,0.43,20200104
杭州市,浙江省,0.41,20200104
金华市,浙江省,0.41,20200104
怀化市,湖南省,0.37,20200104
绍兴市,浙江省,0.37,20200104
重庆市,重庆市,0.36,20200104
北京市,北京市,0.35,20200104
苏州市,江苏省,0.33,20200104
韶关市,广东省,0.31,20200104
梧州市,广西壮族自治区,0.26,20200104
汕头市,广东省,0.24,20200104
泉州市,福建省,0.24,20200104
台州市,浙江省,0.24,20200104
海口市,海南省,0.23,20200104
福州市,福建省,0.22,20200104
玉林市,广西壮族自治区,0.2,20200104
昆明市,云南省,0.19,20200104
湛江市,广东省,0.19,20200104
阳江市,广东省,0.19,20200104
赣州市,江西省,0.19,20200104
厦门市,福建省,0.18,20200104
西安市,陕西省,0.17,20200104
长沙市,湖南省,18.14,20200105
衡阳市,湖南省,9.32,20200105
东莞市,广东省,9.09,20200105
广州市,广东省,7.78,20200105
郴州市,湖南省,5.56,20200105
深圳市,广东省,4.94,20200105
桂林市,广西壮族自治区,4.56,20200105
佛山市,广东省,3.48,20200105
邵阳市,湖南省,3.39,20200105
贺州市,广西壮族自治区,2.58,20200105
中山市,广东省,1.88,20200105
株洲市,湖南省,1.84,20200105
惠州市,广东省,1.6,20200105
湘潭市,湖南省,1.46,20200105
清远市,广东省,1.46,20200105
常德市,湖南省,1.15,20200105
嘉兴市,浙江省,1.05,20200105
江门市,广东省,0.81,20200105
娄底市,湖南省,0.78,20200105
岳阳市,湖南省,0.78,20200105
温州市,浙江省,0.71,20200105
肇庆市,广东省,0.63,20200105
珠海市,广东省,0.62,20200105
益阳市,湖南省,0.6,20200105
南宁市,广西壮族自治区,0.59,20200105
柳州市,广西壮族自治区,0.54,20200105
上海市,上海市,0.5,20200105
