city_name,province_name,value,date
揭阳市,广东省,28.64,20200101
潮州市,广东省,21.42,20200101
广州市,广东省,6.53,20200101
深圳市,广东省,5.56,20200101
漳州市,福建省,3.88,20200101
梅州市,广东省,2.26,20200101
南阳市,河南省,2.09,20200101
东莞市,广东省,1.62,20200101
惠州市,广东省,1.61,20200101
赣州市,江西省,1.55,20200101
汕尾市,广东省,1.49,20200101
佛山市,广东省,1.19,20200101
文山壮族苗族自治州,云南省,0.82,20200101
厦门市,福建省,0.63,20200101
重庆市,重庆市,0.62,20200101
百色市,广西壮族自治区,0.6,20200101
巴中市,四川省,0.59,20200101
襄阳市,湖北省,0.57,20200101
黔西南布依族苗族自治州,贵州省,0.56,20200101
九江市,江西省,0.54,20200101
黔东南苗族侗族自治州,贵州省,0.52,20200101
泸州市,四川省,0.52,20200101
泉州市,福建省,0.51,20200101
中山市,广东省,0.49,20200101
上海市,上海市,0.46,20200101
珠海市,广东省,0.43,20200101
南宁市,广西壮族自治区,0.43,20200101
达州市,四川省,0.42,20200101
河源市,广东省,0.39,20200101
红河哈尼族彝族自治州,云南省,0.31,20200101
香港,香港,0.3,20200101
毕节市,贵州省,0.29,20200101
武汉市,湖北省,0.26,20200101
黔南布依族苗族自治州,贵州省,0.26,20200101
黄冈市,湖北省,0.24,20200101
抚州市,江西省,0.24,20200101
遵义市,贵州省,0.24,20200101
福州市,福建省,0.24,20200101
北京市,北京市,0.21,20200101
上饶市,江西省,0.2,20200101
江门市,广东省,0.2,20200101
恩施土家族苗族自治州,湖北省,0.19,20200101
长沙市,湖南省,0.18,20200101
曲靖市,云南省,0.17,20200101
肇庆市,广东省,0.17,20200101
崇左市,广西壮族自治区,0.17,20200101
湛江市,广东省,0.16,20200101
驻马店市,河南省,0.16,20200101
桂林市,广西壮族自治区,0.16,20200101
成都市,四川省,0.16,20200101
揭阳市,广东省,15.62,20200102
潮州市,广东省,10.5,20200102
广州市,广东省,8.93,20200102
深圳市,广东省,7.54,20200102
南阳市,河南省,4.23,20200102
漳州市,福建省,3.01,20200102
东莞市,广东省,2.43,20200102
赣州市,江西省,2.43,20200102
惠州市,广东省,1.94,20200102
梅州市,广东省,1.66,20200102
佛山市,广东省,1.59,20200102
九江市,江西省,1.44,20200102
汕尾市,广东省,1.43,20200102
巴中市,四川省,1.33,20200102
文山壮族苗族自治州,云南省,1.22,20200102
襄阳市,湖北省,1.12,20200102
黔东南苗族侗族自治州,贵州省,1.11,20200102
重庆市,重庆市,1.09,20200102
泸州市,四川省,1.03,20200102
黔西南布依族苗族自治州,贵州省,1.0,20200102
百色市,广西壮族自治区,0.96,20200102
达州市,四川省,0.87,20200102
泉州市,福建省,0.74,20200102
厦门市,福建省,0.67,20200102
中山市,广东省,0.62,20200102
香港,香港,0.57,20200102
上海市,上海市,0.56,20200102
珠海市,广东省,0.53,20200102
毕节市,贵州省,0.48,20200102
上饶市,江西省,0.48,20200102
河源市,广东省,0.45,20200102
遵义市,贵州省,0.45,20200102
抚州市,江西省,0.44,20200102
驻马店市,河南省,0.43,20200102
周口市,河南省,0.43,20200102
南宁市,广西壮族自治区,0.42,20200102
红河哈尼族彝族自治州,云南省,0.41,20200102
黔南布依族苗族自治州,贵州省,0.41,20200102
福州市,福建省,0.41,20200102
荆州市,湖北省,0.4,20200102
长沙市,湖南省,0.33,20200102
恩施土家族苗族自治州,湖北省,0.32,20200102
金华市,浙江省,0.32,20200102
曲靖市,云南省,0.31,20200102
武汉市,湖北省,0.31,20200102
崇左市,广西壮族自治区,0.3,20200102
湘西土家族苗族自治州,湖南省,0.3,20200102
宜宾市,四川省,0.3,20200102
南充市,四川省,0.3,20200102
北京市,北京市,0.3,20200102
揭阳市,广东省,24.02,20200103
潮州市,广东省,17.82,20200103
广州市,广东省,8.04,20200103
深圳市,广东省,6.48,20200103
漳州市,福建省,3.05,20200103
南阳市,河南省,2.59,20200103
梅州市,广东省,2.34,20200103
东莞市,广东省,1.91,20200103
惠州市,广东省,1.68,20200103
赣州市,江西省,1.54,20200103
汕尾市,广东省,1.39,20200103
佛山市,广东省,1.13,20200103
九江市,江西省,0.99,20200103
泸州市,四川省,0.92,20200103
重庆市,重庆市,0.92,20200103
厦门市,福建省,0.84,20200103
巴中市,四川省,0.79,20200103
黔东南苗族侗族自治州,贵州省,0.77,20200103
香港,香港,0.67,20200103
襄阳市,湖北省,0.65,20200103
泉州市,福建省,0.6,20200103
文山壮族苗族自治州,云南省,0.58,20200103
达州市,四川省,0.58,20200103
珠海市,广东省,0.52,20200103
遵义市,贵州省,0.5,20200103
中山市,广东省,0.5,20200103
河源市,广东省,0.46,20200103
南宁市,广西壮族自治区,0.46,20200103
百色市,广西壮族自治区,0.45,20200103
黔西南布依族苗族自治州,贵州省,0.38,20200103
上海市,上海市,0.36,20200103
抚州市,江西省,0.34,20200103
南充市,四川省,0.33,20200103
毕节市,贵州省,0.31,20200103
福州市,福建省,0.3,20200103
金华市,浙江省,0.29,20200103
桂林市,广西壮族自治区,0.28,20200103
黄冈市,湖北省,0.27,20200103
上饶市,江西省,0.26,20200103
黔南布依族苗族自治州,贵州省,0.25,20200103
长沙市,湖南省,0.25,20200103
铜仁市,贵州省,0.24,20200103
宜宾市,四川省,0.24,20200103
阜阳市,安徽省,0.23,20200103
红河哈尼族彝族自治州,云南省,0.22,20200103
江门市,广东省,0.22,20200103
株洲市,湖南省,0.22,20200103
张家界市,湖南省,0.22,20200103
驻马店市,河南省,0.22,20200103
武汉市,湖北省,0.21,20200103
揭阳市,广东省,25.67,20200104
潮州市,广东省,19.6,20200104
广州市,广东省,6.44,20200104
深圳市,广东省,5.49,20200104
漳州市,福建省,3.61,20200104
梅州市,广东省,1.92,20200104
南阳市,河南省,1.81,20200104
赣州市,江西省,1.65,20200104
香港,香港,1.58,20200104
东莞市,广东省,1.57,20200104
惠州市,广东省,1.55,20200104
汕尾市,广东省,1.51,20200104
九江市,江西省,1.1,20200104
佛山市,广东省,1.05,20200104
厦门市,福建省,0.99,20200104
泸州市,四川省,0.89,20200104
重庆市,重庆市,0.87,20200104
巴中市,四川省,0.75,20200104
黔东南苗族侗族自治州,贵州省,0.57,20200104
