city_name,province_name,value,date
深圳市,广东省,31.05,20200101
惠州市,广东省,18.46,20200101
广州市,广东省,13.8,20200101
东莞市,广东省,7.81,20200101
揭阳市,广东省,7.54,20200101
汕头市,广东省,3.11,20200101
佛山市,广东省,3.02,20200101
珠海市,广东省,1.47,20200101
中山市,广东省,1.39,20200101
梅州市,广东省,1.39,20200101
香港,香港,1.31,20200101
河源市,广东省,0.93,20200101
潮州市,广东省,0.69,20200101
漳州市,福建省,0.61,20200101
江门市,广东省,0.4,20200101
泉州市,福建省,0.4,20200101
清远市,广东省,0.37,20200101
韶关市,广东省,0.35,20200101
肇庆市,广东省,0.33,20200101
湛江市,广东省,0.27,20200101
阳江市,广东省,0.24,20200101
茂名市,广东省,0.24,20200101
重庆市,重庆市,0.22,20200101
龙岩市,福建省,0.22,20200101
厦门市,福建省,0.2,20200101
福州市,福建省,0.2,20200101
赣州市,江西省,0.19,20200101
上海市,上海市,0.16,20200101
云浮市,广东省,0.15,20200101
长沙市,湖南省,0.14,20200101
北京市,北京市,0.13,20200101
南宁市,广西壮族自治区,0.12,20200101
郴州市,湖南省,0.12,20200101
武汉市,湖北省,0.09,20200101
海口市,海南省,0.08,20200101
来宾市,广西壮族自治区,0.08,20200101
衡阳市,湖南省,0.07,20200101
桂林市,广西壮族自治区,0.07,20200101
抚州市,江西省,0.06,20200101
莆田市,福建省,0.05,20200101
杭州市,浙江省,0.05,20200101
玉林市,广西壮族自治区,0.05,20200101
温州市,浙江省,0.05,20200101
邵阳市,湖南省,0.04,20200101
百色市,广西壮族自治区,0.04,20200101
防城港市,广西壮族自治区,0.04,20200101
株洲市,湖南省,0.04,20200101
吉安市,江西省,0.04,20200101
无锡市,江苏省,0.04,20200101
成都市,四川省,0.04,20200101
深圳市,广东省,30.9,20200102
广州市,广东省,19.28,20200102
惠州市,广东省,12.89,20200102
东莞市,广东省,7.87,20200102
揭阳市,广东省,4.75,20200102
佛山市,广东省,3.0,20200102
汕头市,广东省,2.9,20200102
香港,香港,1.48,20200102
中山市,广东省,1.38,20200102
珠海市,广东省,1.24,20200102
梅州市,广东省,1.15,20200102
河源市,广东省,0.96,20200102
漳州市,福建省,0.67,20200102
潮州市,广东省,0.59,20200102
湛江市,广东省,0.54,20200102
泉州市,福建省,0.45,20200102
江门市,广东省,0.44,20200102
肇庆市,广东省,0.43,20200102
阳江市,广东省,0.42,20200102
福州市,福建省,0.4,20200102
厦门市,福建省,0.34,20200102
清远市,广东省,0.31,20200102
上海市,上海市,0.31,20200102
韶关市,广东省,0.3,20200102
重庆市,重庆市,0.28,20200102
郴州市,湖南省,0.21,20200102
茂名市,广东省,0.2,20200102
北京市,北京市,0.17,20200102
南宁市,广西壮族自治区,0.17,20200102
云浮市,广东省,0.16,20200102
赣州市,江西省,0.15,20200102
长沙市,湖南省,0.15,20200102
海口市,海南省,0.14,20200102
龙岩市,福建省,0.14,20200102
吉安市,江西省,0.12,20200102
南通市,江苏省,0.1,20200102
武汉市,湖北省,0.1,20200102
永州市,湖南省,0.1,20200102
大庆市,黑龙江省,0.1,20200102
莆田市,福建省,0.1,20200102
杭州市,浙江省,0.09,20200102
台州市,浙江省,0.09,20200102
成都市,四川省,0.09,20200102
石家庄市,河北省,0.09,20200102
马鞍山市,安徽省,0.09,20200102
玉林市,广西壮族自治区,0.09,20200102
株洲市,湖南省,0.08,20200102
驻马店市,河南省,0.08,20200102
桂林市,广西壮族自治区,0.07,20200102
达州市,四川省,0.07,20200102
深圳市,广东省,31.56,20200103
广州市,广东省,19.58,20200103
惠州市,广东省,13.75,20200103
东莞市,广东省,7.09,20200103
揭阳市,广东省,6.87,20200103
佛山市,广东省,2.98,20200103
汕头市,广东省,2.74,20200103
中山市,广东省,1.35,20200103
梅州市,广东省,1.19,20200103
香港,香港,1.09,20200103
珠海市,广东省,0.97,20200103
潮州市,广东省,0.71,20200103
漳州市,福建省,0.61,20200103
河源市,广东省,0.56,20200103
湛江市,广东省,0.48,20200103
泉州市,福建省,0.44,20200103
肇庆市,广东省,0.42,20200103
茂名市,广东省,0.39,20200103
江门市,广东省,0.38,20200103
厦门市,福建省,0.35,20200103
福州市,福建省,0.33,20200103
清远市,广东省,0.32,20200103
郴州市,湖南省,0.27,20200103
韶关市,广东省,0.26,20200103
阳江市,广东省,0.22,20200103
长沙市,湖南省,0.14,20200103
上海市,上海市,0.14,20200103
郑州市,河南省,0.14,20200103
莆田市,福建省,0.13,20200103
云浮市,广东省,0.13,20200103
重庆市,重庆市,0.13,20200103
龙岩市,福建省,0.12,20200103
成都市,四川省,0.11,20200103
北京市,北京市,0.11,20200103
贵港市,广西壮族自治区,0.1,20200103
南宁市,广西壮族自治区,0.1,20200103
赣州市,江西省,0.1,20200103
台州市,浙江省,0.08,20200103
温州市,浙江省,0.08,20200103
宜春市,江西省,0.08,20200103
海口市,海南省,0.07,20200103
南昌市,江西省,0.07,20200103
玉林市,广西壮族自治区,0.07,20200103
桂林市,广西壮族自治区,0.07,20200103
达州市,四川省,0.06,20200103
武汉市,湖北省,0.06,20200103
南京市,江苏省,0.06,20200103
昆明市,云南省,0.06,20200103
三明市,福建省,0.06,20200103
贺州市,广西壮族自治区,0.06,20200103
深圳市,广东省,30.96,20200104
广州市,广东省,17.73,20200104
惠州市,广东省,13.89,20200104
东莞市,广东省,7.78,20200104
揭阳市,广东省,7.39,20200104
佛山市,广东省,3.35,20200104
汕头市,广东省,2.95,20200104
梅州市,广东省,1.57,20200104
中山市,广东省,1.36,20200104
香港,香港,1.24,20200104
珠海市,广东省,1.01,20200104
潮州市,广东省,0.94,20200104
河源市,广东省,0.73,20200104
肇庆市,广东省,0.52,20200104
湛江市,广东省,0.45,20200104
漳州市,福建省,0.43,20200104
江门市,广东省,0.38,20200104
泉州市,福建省,0.38,20200104
清远市,广东省,0.37,20200104
赣州市,江西省,0.3,20200104
韶关市,广东省,0.28,20200104
厦门市,福建省,0.25,20200104
茂名市,广东省,0.22,20200104
阳江市,广东省,0.2,20200104
重庆市,重庆市,0.19,20200104
福州市,福建省,0.18,20200104
北京市,北京市,0.17,20200104
长沙市,湖南省,0.17,20200104
上海市,上海市,0.15,20200104
云浮市,广东省,0.15,20200104
郴州市,湖南省,0.12,20200104
桂林市,广西壮族自治区,0.11,20200104
宁波市,浙江省,0.1,20200104
南宁市,广西壮族自治区,0.1,20200104
莆田市,福建省,0.09,20200104
海口市,海南省,0.08,20200104
温州市,浙江省,0.08,20200104
龙岩市,福建省,0.08,20200104
邵阳市,湖南省,0.07,20200104
常德市,湖南省,0.07,20200104
贵阳市,贵州省,0.07,20200104
台州市,浙江省,0.07,20200104
永州市,湖南省,0.07,20200104
达州市,四川省,0.06,20200104
南昌市,江西省,0.06,20200104
郑州市,河南省,0.06,20200104
成都市,四川省,0.06,20200104
苏州市,江苏省,0.05,20200104
杭州市,浙江省,0.05,20200104
三明市,福建省,0.05,20200104
深圳市,广东省,29.56,20200105
广州市,广东省,17.02,20200105
惠州市,广东省,15.7,20200105
揭阳市,广东省,7.94,20200105
东莞市,广东省,6.51,20200105
佛山市,广东省,3.56,20200105
汕头市,广东省,3.24,20200105
梅州市,广东省,1.72,20200105
中山市,广东省,1.48,20200105
香港,香港,1.21,20200105
珠海市,广东省,1.13,20200105
河源市,广东省,0.91,20200105
潮州市,广东省,0.8,20200105
清远市,广东省,0.54,20200105
肇庆市,广东省,0.5,20200105
江门市,广东省,0.46,20200105
厦门市,福建省,0.42,20200105
漳州市,福建省,0.38,20200105
湛江市,广东省,0.37,20200105
泉州市,福建省,0.36,20200105
韶关市,广东省,0.33,20200105
上海市,上海市,0.25,20200105
重庆市,重庆市,0.24,20200105
茂名市,广东省,0.21,20200105
南宁市,广西壮族自治区,0.18,20200105
阳江市,广东省,0.17,20200105
长沙市,湖南省,0.17,20200105
郴州市,湖南省,0.15,20200105
福州市,福建省,0.13,20200105
武汉市,湖北省,0.12,20200105
赣州市,江西省,0.12,20200105
成都市,四川省,0.11,20200105
温州市,浙江省,0.11,20200105
海口市,海南省,0.1,20200105
桂林市,广西壮族自治区,0.09,20200105
永州市,湖南省,0.08,20200105
莆田市,福建省,0.08,20200105
宁波市,浙江省,0.08,20200105
云浮市,广东省,0.08,20200105
贺州市,广西壮族自治区,0.08,20200105
玉林市,广西壮族自治区,0.08,20200105
杭州市,浙江省,0.07,20200105
抚州市,江西省,0.07,20200105
百色市,广西壮族自治区,0.07,20200105
常德市,湖南省,0.07,20200105
北京市,北京市,0.07,20200105
青岛市,山东省,0.05,20200105
吉安市,江西省,0.05,20200105
澳门,澳门,0.05,20200105
北海市,广西壮族自治区,0.05,20200105
深圳市,广东省,30.36,20200106
广州市,广东省,18.12,20200106
惠州市,广东省,15.05,20200106
揭阳市,广东省,7.04,20200106
东莞市,广东省,6.78,20200106
佛山市,广东省,3.8,20200106
汕头市,广东省,3.23,20200106
中山市,广东省,1.6,20200106
香港,香港,1.14,20200106
珠海市,广东省,1.08,20200106
梅州市,广东省,1.05,20200106
河源市,广东省,0.76,20200106
潮州市,广东省,0.65,20200106
肇庆市,广东省,0.62,20200106
清远市,广东省,0.59,20200106
江门市,广东省,0.46,20200106
泉州市,福建省,0.37,20200106
漳州市,福建省,0.3,20200106
湛江市,广东省,0.28,20200106
厦门市,福建省,0.27,20200106
茂名市,广东省,0.26,20200106
重庆市,重庆市,0.25,20200106
韶关市,广东省,0.24,20200106
福州市,福建省,0.21,20200106
阳江市,广东省,0.2,20200106
长沙市,湖南省,0.19,20200106
上海市,上海市,0.18,20200106
武汉市,湖北省,0.17,20200106
北京市,北京市,0.15,20200106
南宁市,广西壮族自治区,0.15,20200106
云浮市,广东省,0.14,20200106
郴州市,湖南省,0.13,20200106
赣州市,江西省,0.12,20200106
玉林市,广西壮族自治区,0.11,20200106
温州市,浙江省,0.11,20200106
南昌市,江西省,0.1,20200106
海口市,海南省,0.09,20200106
台州市,浙江省,0.08,20200106
永州市,湖南省,0.08,20200106
达州市,四川省,0.08,20200106
三亚市,海南省,0.07,20200106
苏州市,江苏省,0.07,20200106
百色市,广西壮族自治区,0.07,20200106
莆田市,福建省,0.06,20200106
桂林市,广西壮族自治区,0.06,20200106
昆明市,云南省,0.06,20200106
新乡市,河南省,0.06,20200106
杭州市,浙江省,0.06,20200106
贵港市,广西壮族自治区,0.06,20200106
龙岩市,福建省,0.06,20200106
深圳市,广东省,26.11,20200107
广州市,广东省,21.26,20200107
惠州市,广东省,15.31,20200107
揭阳市,广东省,7.15,20200107
东莞市,广东省,6.59,20200107
佛山市,广东省,4.1,20200107
汕头市,广东省,3.01,20200107
中山市,广东省,1.64,20200107
香港,香港,1.32,20200107
珠海市,广东省,1.23,20200107
梅州市,广东省,1.12,20200107
清远市,广东省,0.85,20200107
河源市,广东省,0.8,20200107
潮州市,广东省,0.69,20200107
肇庆市,广东省,0.65,20200107
茂名市,广东省,0.53,20200107
江门市,广东省,0.5,20200107
漳州市,福建省,0.48,20200107
韶关市,广东省,0.46,20200107
厦门市,福建省,0.34,20200107
湛江市,广东省,0.31,20200107
泉州市,福建省,0.28,20200107
福州市,福建省,0.22,20200107
上海市,上海市,0.2,20200107
重庆市,重庆市,0.18,20200107
郴州市,湖南省,0.15,20200107
云浮市,广东省,0.13,20200107
阳江市,广东省,0.13,20200107
长沙市,湖南省,0.13,20200107
杭州市,浙江省,0.12,20200107
苏州市,江苏省,0.11,20200107
赣州市,江西省,0.11,20200107
