city_name,province_name,value,date
深圳市,广东省,26.52,20200101
惠州市,广东省,17.05,20200101
广州市,广东省,12.97,20200101
揭阳市,广东省,10.24,20200101
东莞市,广东省,6.11,20200101
香港,香港,3.59,20200101
汕头市,广东省,2.94,20200101
佛山市,广东省,2.72,20200101
梅州市,广东省,1.32,20200101
潮州市,广东省,1.12,20200101
珠海市,广东省,1.04,20200101
河源市,广东省,0.97,20200101
重庆市,重庆市,0.93,20200101
中山市,广东省,0.93,20200101
漳州市,福建省,0.52,20200101
达州市,四川省,0.36,20200101
清远市,广东省,0.36,20200101
江门市,广东省,0.34,20200101
厦门市,福建省,0.34,20200101
肇庆市,广东省,0.31,20200101
郴州市,湖南省,0.31,20200101
泉州市,福建省,0.31,20200101
南阳市,河南省,0.23,20200101
广安市,四川省,0.21,20200101
阳江市,广东省,0.21,20200101
韶关市,广东省,0.21,20200101
湛江市,广东省,0.2,20200101
福州市,福建省,0.19,20200101
云浮市,广东省,0.19,20200101
赣州市,江西省,0.17,20200101
长沙市,湖南省,0.16,20200101
文山壮族苗族自治州,云南省,0.15,20200101
常德市,湖南省,0.14,20200101
永州市,湖南省,0.14,20200101
怀化市,湖南省,0.14,20200101
成都市,四川省,0.13,20200101
茂名市,广东省,0.13,20200101
荆州市,湖北省,0.13,20200101
百色市,广西壮族自治区,0.12,20200101
黔东南苗族侗族自治州,贵州省,0.12,20200101
河池市,广西壮族自治区,0.11,20200101
吉安市,江西省,0.11,20200101
玉林市,广西壮族自治区,0.11,20200101
衡阳市,湖南省,0.11,20200101
铜仁市,贵州省,0.1,20200101
黄冈市,湖北省,0.1,20200101
湘西土家族苗族自治州,湖南省,0.09,20200101
黔南布依族苗族自治州,贵州省,0.09,20200101
海口市,海南省,0.09,20200101
信阳市,河南省,0.09,20200101
深圳市,广东省,28.28,20200102
广州市,广东省,13.91,20200102
惠州市,广东省,13.01,20200102
东莞市,广东省,6.72,20200102
揭阳市,广东省,5.25,20200102
佛山市,广东省,3.08,20200102
香港,香港,2.85,20200102
汕头市,广东省,2.55,20200102
重庆市,重庆市,1.75,20200102
中山市,广东省,1.39,20200102
珠海市,广东省,1.26,20200102
梅州市,广东省,1.18,20200102
河源市,广东省,0.87,20200102
达州市,四川省,0.71,20200102
潮州市,广东省,0.67,20200102
郴州市,湖南省,0.6,20200102
清远市,广东省,0.57,20200102
江门市,广东省,0.46,20200102
漳州市,福建省,0.44,20200102
肇庆市,广东省,0.42,20200102
广安市,四川省,0.38,20200102
怀化市,湖南省,0.38,20200102
茂名市,广东省,0.33,20200102
赣州市,江西省,0.33,20200102
湛江市,广东省,0.31,20200102
龙岩市,福建省,0.29,20200102
泉州市,福建省,0.26,20200102
成都市,四川省,0.23,20200102
厦门市,福建省,0.23,20200102
南阳市,河南省,0.23,20200102
黄冈市,湖北省,0.22,20200102
桂林市,广西壮族自治区,0.22,20200102
上海市,上海市,0.21,20200102
常德市,湖南省,0.21,20200102
铜仁市,贵州省,0.21,20200102
长沙市,湖南省,0.21,20200102
百色市,广西壮族自治区,0.2,20200102
永州市,湖南省,0.2,20200102
遵义市,贵州省,0.2,20200102
