city_name,province_name,value,date
中山市,广东省,21.54,20200101
佛山市,广东省,20.8,20200101
广州市,广东省,15.73,20200101
珠海市,广东省,6.35,20200101
深圳市,广东省,4.07,20200101
东莞市,广东省,3.9,20200101
阳江市,广东省,3.76,20200101
云浮市,广东省,2.07,20200101
肇庆市,广东省,2.02,20200101
茂名市,广东省,1.53,20200101
湛江市,广东省,1.53,20200101
清远市,广东省,0.84,20200101
澳门,澳门,0.81,20200101
惠州市,广东省,0.79,20200101
贵港市,广西壮族自治区,0.68,20200101
梧州市,广西壮族自治区,0.67,20200101
香港,香港,0.6,20200101
玉林市,广西壮族自治区,0.49,20200101
韶关市,广东省,0.42,20200101
南宁市,广西壮族自治区,0.41,20200101
贺州市,广西壮族自治区,0.35,20200101
哈尔滨市,黑龙江省,0.31,20200101
重庆市,重庆市,0.26,20200101
桂林市,广西壮族自治区,0.24,20200101
百色市,广西壮族自治区,0.21,20200101
长沙市,湖南省,0.21,20200101
北京市,北京市,0.2,20200101
沈阳市,辽宁省,0.19,20200101
衡阳市,湖南省,0.19,20200101
河源市,广东省,0.19,20200101
梅州市,广东省,0.18,20200101
揭阳市,广东省,0.18,20200101
西安市,陕西省,0.16,20200101
北海市,广西壮族自治区,0.15,20200101
柳州市,广西壮族自治区,0.15,20200101
河池市,广西壮族自治区,0.14,20200101
汕头市,广东省,0.14,20200101
钦州市,广西壮族自治区,0.14,20200101
上海市,上海市,0.14,20200101
赣州市,江西省,0.14,20200101
成都市,四川省,0.13,20200101
永州市,湖南省,0.12,20200101
武汉市,湖北省,0.12,20200101
郴州市,湖南省,0.11,20200101
铜仁市,贵州省,0.1,20200101
天津市,天津市,0.1,20200101
青岛市,山东省,0.1,20200101
邵阳市,湖南省,0.09,20200101
岳阳市,湖南省,0.09,20200101
汕尾市,广东省,0.09,20200101
广州市,广东省,17.91,20200102
佛山市,广东省,14.65,20200102
中山市,广东省,11.37,20200102
深圳市,广东省,5.67,20200102
东莞市,广东省,4.82,20200102
珠海市,广东省,4.65,20200102
阳江市,广东省,3.39,20200102
肇庆市,广东省,2.08,20200102
湛江市,广东省,1.85,20200102
茂名市,广东省,1.74,20200102
云浮市,广东省,1.69,20200102
香港,香港,1.02,20200102
惠州市,广东省,1.01,20200102
清远市,广东省,0.94,20200102
贵港市,广西壮族自治区,0.85,20200102
梧州市,广西壮族自治区,0.8,20200102
澳门,澳门,0.76,20200102
北京市,北京市,0.75,20200102
上海市,上海市,0.6,20200102
玉林市,广西壮族自治区,0.58,20200102
南宁市,广西壮族自治区,0.57,20200102
韶关市,广东省,0.46,20200102
郑州市,河南省,0.44,20200102
成都市,四川省,0.43,20200102
长沙市,湖南省,0.42,20200102
石家庄市,河北省,0.4,20200102
武汉市,湖北省,0.39,20200102
贺州市,广西壮族自治区,0.38,20200102
桂林市,广西壮族自治区,0.38,20200102
青岛市,山东省,0.37,20200102
重庆市,重庆市,0.33,20200102
苏州市,江苏省,0.32,20200102
河源市,广东省,0.3,20200102
衡阳市,湖南省,0.28,20200102
百色市,广西壮族自治区,0.27,20200102
赣州市,江西省,0.27,20200102
西安市,陕西省,0.27,20200102
杭州市,浙江省,0.23,20200102
焦作市,河南省,0.23,20200102
柳州市,广西壮族自治区,0.23,20200102
钦州市,广西壮族自治区,0.23,20200102
铜仁市,贵州省,0.23,20200102
沈阳市,辽宁省,0.23,20200102
河池市,广西壮族自治区,0.22,20200102
天津市,天津市,0.22,20200102
常德市,湖南省,0.22,20200102
梅州市,广东省,0.22,20200102
宁波市,浙江省,0.21,20200102
南昌市,江西省,0.21,20200102
泉州市,福建省,0.21,20200102
广州市,广东省,22.61,20200103
佛山市,广东省,17.27,20200103
中山市,广东省,16.4,20200103
深圳市,广东省,5.98,20200103
珠海市,广东省,5.82,20200103
东莞市,广东省,4.53,20200103
阳江市,广东省,2.97,20200103
肇庆市,广东省,1.99,20200103
湛江市,广东省,1.89,20200103
云浮市,广东省,1.61,20200103
茂名市,广东省,1.47,20200103
惠州市,广东省,1.16,20200103
澳门,澳门,1.14,20200103
香港,香港,0.84,20200103
清远市,广东省,0.8,20200103
梧州市,广西壮族自治区,0.71,20200103
贵港市,广西壮族自治区,0.67,20200103
南宁市,广西壮族自治区,0.57,20200103
玉林市,广西壮族自治区,0.46,20200103
韶关市,广东省,0.44,20200103
成都市,四川省,0.44,20200103
贺州市,广西壮族自治区,0.37,20200103
桂林市,广西壮族自治区,0.35,20200103
重庆市,重庆市,0.31,20200103
长沙市,湖南省,0.27,20200103
赣州市,江西省,0.23,20200103
北京市,北京市,0.23,20200103
揭阳市,广东省,0.19,20200103
河源市,广东省,0.19,20200103
郴州市,湖南省,0.18,20200103
百色市,广西壮族自治区,0.18,20200103
贵阳市,贵州省,0.18,20200103
柳州市,广西壮族自治区,0.18,20200103
北海市,广西壮族自治区,0.17,20200103
汕头市,广东省,0.16,20200103
衡阳市,湖南省,0.16,20200103
梅州市,广东省,0.15,20200103
钦州市,广西壮族自治区,0.15,20200103
杭州市,浙江省,0.15,20200103
汕尾市,广东省,0.15,20200103
上海市,上海市,0.15,20200103
武汉市,湖北省,0.14,20200103
来宾市,广西壮族自治区,0.13,20200103
青岛市,山东省,0.12,20200103
昆明市,云南省,0.12,20200103
潮州市,广东省,0.11,20200103
河池市,广西壮族自治区,0.11,20200103
海口市,海南省,0.11,20200103
永州市,湖南省,0.11,20200103
温州市,浙江省,0.1,20200103
广州市,广东省,21.07,20200104
佛山市,广东省,20.65,20200104
中山市,广东省,17.11,20200104
珠海市,广东省,6.95,20200104
深圳市,广东省,5.08,20200104
东莞市,广东省,4.59,20200104
阳江市,广东省,3.11,20200104
肇庆市,广东省,2.0,20200104
云浮市,广东省,1.84,20200104
澳门,澳门,1.67,20200104
湛江市,广东省,1.46,20200104
茂名市,广东省,1.21,20200104
清远市,广东省,0.92,20200104
惠州市,广东省,0.87,20200104
香港,香港,0.85,20200104
梧州市,广西壮族自治区,0.49,20200104
贵港市,广西壮族自治区,0.44,20200104
韶关市,广东省,0.41,20200104
南宁市,广西壮族自治区,0.4,20200104
玉林市,广西壮族自治区,0.29,20200104
桂林市,广西壮族自治区,0.26,20200104
长沙市,湖南省,0.25,20200104
贺州市,广西壮族自治区,0.25,20200104
上海市,上海市,0.24,20200104
重庆市,重庆市,0.24,20200104
北京市,北京市,0.19,20200104
河源市,广东省,0.18,20200104
成都市,四川省,0.17,20200104
柳州市,广西壮族自治区,0.16,20200104
赣州市,江西省,0.16,20200104
揭阳市,广东省,0.16,20200104
汕头市,广东省,0.16,20200104
武汉市,湖北省,0.15,20200104
北海市,广西壮族自治区,0.15,20200104
衡阳市,湖南省,0.14,20200104
梅州市,广东省,0.13,20200104
钦州市,广西壮族自治区,0.12,20200104
永州市,湖南省,0.11,20200104
郑州市,河南省,0.1,20200104
潮州市,广东省,0.1,20200104
贵阳市,贵州省,0.1,20200104
泉州市,福建省,0.1,20200104
郴州市,湖南省,0.1,20200104
厦门市,福建省,0.09,20200104
河池市,广西壮族自治区,0.09,20200104
百色市,广西壮族自治区,0.08,20200104
