city_name,province_name,value,date
中山市,广东省,19.83,20200101
佛山市,广东省,18.5,20200101
广州市,广东省,14.43,20200101
珠海市,广东省,6.89,20200101
东莞市,广东省,3.76,20200101
深圳市,广东省,3.48,20200101
阳江市,广东省,3.38,20200101
云浮市,广东省,2.36,20200101
肇庆市,广东省,2.14,20200101
澳门,澳门,2.01,20200101
香港,香港,1.41,20200101
茂名市,广东省,1.13,20200101
湛江市,广东省,1.07,20200101
梧州市,广西壮族自治区,0.93,20200101
惠州市,广东省,0.92,20200101
文山壮族苗族自治州,云南省,0.89,20200101
贵港市,广西壮族自治区,0.87,20200101
清远市,广东省,0.86,20200101
重庆市,重庆市,0.76,20200101
百色市,广西壮族自治区,0.73,20200101
铜仁市,贵州省,0.61,20200101
南宁市,广西壮族自治区,0.57,20200101
玉林市,广西壮族自治区,0.48,20200101
桂林市,广西壮族自治区,0.44,20200101
贺州市,广西壮族自治区,0.42,20200101
韶关市,广东省,0.4,20200101
永州市,湖南省,0.38,20200101
河池市,广西壮族自治区,0.34,20200101
衡阳市,湖南省,0.31,20200101
柳州市,广西壮族自治区,0.29,20200101
钦州市,广西壮族自治区,0.29,20200101
南阳市,河南省,0.27,20200101
赣州市,江西省,0.25,20200101
来宾市,广西壮族自治区,0.25,20200101
郴州市,湖南省,0.25,20200101
河源市,广东省,0.22,20200101
遵义市,贵州省,0.19,20200101
常德市,湖南省,0.18,20200101
长沙市,湖南省,0.18,20200101
梅州市,广东省,0.18,20200101
株洲市,湖南省,0.17,20200101
岳阳市,湖南省,0.17,20200101
黔东南苗族侗族自治州,贵州省,0.17,20200101
揭阳市,广东省,0.15,20200101
邵阳市,湖南省,0.15,20200101
驻马店市,河南省,0.15,20200101
荆州市,湖北省,0.15,20200101
汕尾市,广东省,0.14,20200101
崇左市,广西壮族自治区,0.13,20200101
红河哈尼族彝族自治州,云南省,0.12,20200101
广州市,广东省,15.27,20200102
佛山市,广东省,12.41,20200102
中山市,广东省,11.47,20200102
珠海市,广东省,5.16,20200102
深圳市,广东省,4.25,20200102
东莞市,广东省,4.15,20200102
阳江市,广东省,2.64,20200102
肇庆市,广东省,1.95,20200102
铜仁市,贵州省,1.63,20200102
云浮市,广东省,1.5,20200102
香港,香港,1.44,20200102
重庆市,重庆市,1.42,20200102
文山壮族苗族自治州,云南省,1.41,20200102
澳门,澳门,1.36,20200102
贵港市,广西壮族自治区,1.29,20200102
湛江市,广东省,1.26,20200102
百色市,广西壮族自治区,1.24,20200102
茂名市,广东省,1.23,20200102
梧州市,广西壮族自治区,1.18,20200102
惠州市,广东省,1.03,20200102
清远市,广东省,1.0,20200102
河池市,广西壮族自治区,0.89,20200102
南宁市,广西壮族自治区,0.86,20200102
桂林市,广西壮族自治区,0.71,20200102
韶关市,广东省,0.67,20200102
玉林市,广西壮族自治区,0.63,20200102
永州市,湖南省,0.63,20200102
衡阳市,湖南省,0.6,20200102
遵义市,贵州省,0.55,20200102
柳州市,广西壮族自治区,0.55,20200102
南阳市,河南省,0.54,20200102
贺州市,广西壮族自治区,0.52,20200102
黔东南苗族侗族自治州,贵州省,0.46,20200102
钦州市,广西壮族自治区,0.46,20200102
郴州市,湖南省,0.44,20200102
驻马店市,河南省,0.37,20200102
泸州市,四川省,0.34,20200102
赣州市,江西省,0.33,20200102
荆州市,湖北省,0.33,20200102
邵阳市,湖南省,0.33,20200102
常德市,湖南省,0.32,20200102
来宾市,广西壮族自治区,0.32,20200102
长沙市,湖南省,0.31,20200102
崇左市,广西壮族自治区,0.29,20200102
岳阳市,湖南省,0.29,20200102
株洲市,湖南省,0.27,20200102
吉安市,江西省,0.27,20200102
广安市,四川省,0.26,20200102
宜宾市,四川省,0.26,20200102
黄冈市,湖北省,0.25,20200102
广州市,广东省,16.09,20200103
中山市,广东省,15.11,20200103
佛山市,广东省,14.5,20200103
珠海市,广东省,6.29,20200103
深圳市,广东省,4.03,20200103
东莞市,广东省,3.52,20200103
阳江市,广东省,3.0,20200103
云浮市,广东省,2.24,20200103
肇庆市,广东省,1.87,20200103
茂名市,广东省,1.28,20200103
重庆市,重庆市,1.27,20200103
澳门,澳门,1.25,20200103
湛江市,广东省,1.23,20200103
铜仁市,贵州省,1.13,20200103
香港,香港,1.11,20200103
贵港市,广西壮族自治区,1.09,20200103
清远市,广东省,1.09,20200103
文山壮族苗族自治州,云南省,1.07,20200103
惠州市,广东省,1.05,20200103
百色市,广西壮族自治区,0.92,20200103
梧州市,广西壮族自治区,0.73,20200103
河池市,广西壮族自治区,0.65,20200103
桂林市,广西壮族自治区,0.62,20200103
南宁市,广西壮族自治区,0.62,20200103
韶关市,广东省,0.55,20200103
永州市,湖南省,0.51,20200103
衡阳市,湖南省,0.49,20200103
玉林市,广西壮族自治区,0.47,20200103
贺州市,广西壮族自治区,0.43,20200103
赣州市,江西省,0.41,20200103
遵义市,贵州省,0.36,20200103
钦州市,广西壮族自治区,0.34,20200103
长沙市,湖南省,0.34,20200103
南阳市,河南省,0.33,20200103
常德市,湖南省,0.32,20200103
柳州市,广西壮族自治区,0.31,20200103
来宾市,广西壮族自治区,0.31,20200103
郴州市,湖南省,0.3,20200103
黔东南苗族侗族自治州,贵州省,0.29,20200103
岳阳市,湖南省,0.28,20200103
梅州市,广东省,0.28,20200103
崇左市,广西壮族自治区,0.28,20200103
邵阳市,湖南省,0.27,20200103
驻马店市,河南省,0.27,20200103
娄底市,湖南省,0.25,20200103
揭阳市,广东省,0.25,20200103
泸州市,四川省,0.24,20200103
黄冈市,湖北省,0.23,20200103
株洲市,湖南省,0.23,20200103
广安市,四川省,0.22,20200103
佛山市,广东省,16.55,20200104
广州市,广东省,16.14,20200104
中山市,广东省,15.92,20200104
珠海市,广东省,5.67,20200104
深圳市,广东省,3.69,20200104
东莞市,广东省,3.42,20200104
阳江市,广东省,3.2,20200104
云浮市,广东省,2.2,20200104
肇庆市,广东省,1.96,20200104
茂名市,广东省,1.32,20200104
澳门,澳门,1.27,20200104
重庆市,重庆市,1.15,20200104
湛江市,广东省,1.01,20200104
香港,香港,1.0,20200104
铜仁市,贵州省,0.98,20200104
贵港市,广西壮族自治区,0.94,20200104
清远市,广东省,0.88,20200104
文山壮族苗族自治州,云南省,0.85,20200104
惠州市,广东省,0.84,20200104
梧州市,广西壮族自治区,0.72,20200104
百色市,广西壮族自治区,0.68,20200104
南宁市,广西壮族自治区,0.67,20200104
玉林市,广西壮族自治区,0.56,20200104
衡阳市,湖南省,0.49,20200104
永州市,湖南省,0.47,20200104
韶关市,广东省,0.46,20200104
河池市,广西壮族自治区,0.45,20200104
桂林市,广西壮族自治区,0.42,20200104
贺州市,广西壮族自治区,0.4,20200104
崇左市,广西壮族自治区,0.38,20200104
柳州市,广西壮族自治区,0.35,20200104
长沙市,湖南省,0.34,20200104
常德市,湖南省,0.31,20200104
遵义市,贵州省,0.31,20200104
赣州市,江西省,0.28,20200104
郴州市,湖南省,0.27,20200104
黔东南苗族侗族自治州,贵州省,0.26,20200104
钦州市,广西壮族自治区,0.26,20200104
南阳市,河南省,0.25,20200104
北京市,北京市,0.25,20200104
荆州市,湖北省,0.24,20200104
株洲市,湖南省,0.24,20200104
黄冈市,湖北省,0.24,20200104
邵阳市,湖南省,0.23,20200104
岳阳市,湖南省,0.23,20200104
