city_name,province_name,value,date
铁岭市,辽宁省,12.05,20200101
抚顺市,辽宁省,9.23,20200101
辽阳市,辽宁省,8.58,20200101
鞍山市,辽宁省,6.67,20200101
锦州市,辽宁省,5.9,20200101
本溪市,辽宁省,5.16,20200101
大连市,辽宁省,4.23,20200101
阜新市,辽宁省,3.81,20200101
朝阳市,辽宁省,3.29,20200101
营口市,辽宁省,3.03,20200101
丹东市,辽宁省,2.9,20200101
北京市,北京市,2.87,20200101
葫芦岛市,辽宁省,2.66,20200101
盘锦市,辽宁省,2.24,20200101
通辽市,内蒙古自治区,2.22,20200101
长春市,吉林省,2.15,20200101
哈尔滨市,黑龙江省,1.79,20200101
四平市,吉林省,1.18,20200101
赤峰市,内蒙古自治区,0.93,20200101
天津市,天津市,0.79,20200101
上海市,上海市,0.75,20200101
通化市,吉林省,0.71,20200101
吉林市,吉林省,0.6,20200101
齐齐哈尔市,黑龙江省,0.53,20200101
松原市,吉林省,0.47,20200101
广州市,广东省,0.46,20200101
绥化市,黑龙江省,0.42,20200101
秦皇岛市,河北省,0.38,20200101
唐山市,河北省,0.37,20200101
辽源市,吉林省,0.34,20200101
白城市,吉林省,0.32,20200101
大庆市,黑龙江省,0.31,20200101
三亚市,海南省,0.3,20200101
成都市,四川省,0.27,20200101
兴安盟,内蒙古自治区,0.27,20200101
深圳市,广东省,0.25,20200101
西安市,陕西省,0.25,20200101
济南市,山东省,0.24,20200101
延边朝鲜族自治州,吉林省,0.23,20200101
呼伦贝尔市,内蒙古自治区,0.23,20200101
白山市,吉林省,0.22,20200101
保定市,河北省,0.22,20200101
廊坊市,河北省,0.2,20200101
青岛市,山东省,0.2,20200101
安庆市,安徽省,0.2,20200101
杭州市,浙江省,0.2,20200101
郑州市,河南省,0.19,20200101
南京市,江苏省,0.19,20200101
石家庄市,河北省,0.19,20200101
厦门市,福建省,0.18,20200101
铁岭市,辽宁省,8.69,20200102
抚顺市,辽宁省,5.75,20200102
大连市,辽宁省,5.62,20200102
鞍山市,辽宁省,5.1,20200102
锦州市,辽宁省,4.79,20200102
辽阳市,辽宁省,4.17,20200102
朝阳市,辽宁省,4.0,20200102
北京市,北京市,3.91,20200102
本溪市,辽宁省,3.66,20200102
营口市,辽宁省,3.56,20200102
葫芦岛市,辽宁省,3.43,20200102
阜新市,辽宁省,3.37,20200102
丹东市,辽宁省,2.99,20200102
长春市,吉林省,2.85,20200102
哈尔滨市,黑龙江省,2.48,20200102
盘锦市,辽宁省,2.35,20200102
通辽市,内蒙古自治区,2.06,20200102
赤峰市,内蒙古自治区,1.26,20200102
天津市,天津市,1.15,20200102
上海市,上海市,1.08,20200102
四平市,吉林省,1.05,20200102
吉林市,吉林省,0.87,20200102
通化市,吉林省,0.8,20200102
齐齐哈尔市,黑龙江省,0.71,20200102
绥化市,黑龙江省,0.59,20200102
广州市,广东省,0.56,20200102
唐山市,河北省,0.56,20200102
松原市,吉林省,0.51,20200102
秦皇岛市,河北省,0.5,20200102
深圳市,广东省,0.48,20200102
安庆市,安徽省,0.47,20200102
成都市,四川省,0.46,20200102
西安市,陕西省,0.45,20200102
济南市,山东省,0.45,20200102
青岛市,山东省,0.42,20200102
大庆市,黑龙江省,0.42,20200102
白城市,吉林省,0.4,20200102
三亚市,海南省,0.4,20200102
石家庄市,河北省,0.37,20200102
郑州市,河南省,0.35,20200102
兴安盟,内蒙古自治区,0.34,20200102
辽源市,吉林省,0.34,20200102
厦门市,福建省,0.34,20200102
廊坊市,河北省,0.33,20200102
延边朝鲜族自治州,吉林省,0.32,20200102
南京市,江苏省,0.32,20200102
沧州市,河北省,0.31,20200102
呼伦贝尔市,内蒙古自治区,0.31,20200102
重庆市,重庆市,0.3,20200102
白山市,吉林省,0.29,20200102
铁岭市,辽宁省,10.06,20200103
抚顺市,辽宁省,8.72,20200103
鞍山市,辽宁省,6.06,20200103
辽阳市,辽宁省,5.69,20200103
锦州市,辽宁省,5.16,20200103
大连市,辽宁省,5.15,20200103
本溪市,辽宁省,4.53,20200103
营口市,辽宁省,4.08,20200103
阜新市,辽宁省,3.53,20200103
朝阳市,辽宁省,3.35,20200103
丹东市,辽宁省,3.32,20200103
葫芦岛市,辽宁省,3.12,20200103
北京市,北京市,3.01,20200103
盘锦市,辽宁省,2.49,20200103
哈尔滨市,黑龙江省,2.48,20200103
长春市,吉林省,2.45,20200103
通辽市,内蒙古自治区,1.95,20200103
四平市,吉林省,1.15,20200103
上海市,上海市,1.03,20200103
赤峰市,内蒙古自治区,0.97,20200103
吉林市,吉林省,0.94,20200103
天津市,天津市,0.88,20200103
通化市,吉林省,0.72,20200103
唐山市,河北省,0.47,20200103
齐齐哈尔市,黑龙江省,0.47,20200103
松原市,吉林省,0.45,20200103
秦皇岛市,河北省,0.44,20200103
兴安盟,内蒙古自治区,0.42,20200103
绥化市,黑龙江省,0.4,20200103
成都市,四川省,0.4,20200103
广州市,广东省,0.36,20200103
大庆市,黑龙江省,0.34,20200103
青岛市,山东省,0.33,20200103
郑州市,河南省,0.32,20200103
白城市,吉林省,0.31,20200103
深圳市,广东省,0.31,20200103
辽源市,吉林省,0.3,20200103
三亚市,海南省,0.3,20200103
南京市,江苏省,0.3,20200103
石家庄市,河北省,0.29,20200103
安庆市,安徽省,0.29,20200103
济南市,山东省,0.29,20200103
西安市,陕西省,0.29,20200103
重庆市,重庆市,0.26,20200103
延边朝鲜族自治州,吉林省,0.26,20200103
廊坊市,河北省,0.25,20200103
保定市,河北省,0.24,20200103
杭州市,浙江省,0.23,20200103
厦门市,福建省,0.22,20200103
白山市,吉林省,0.22,20200103
铁岭市,辽宁省,10.2,20200104
抚顺市,辽宁省,8.37,20200104
