city_name,province_name,value,date
惠州市,广东省,26.85,20200101
深圳市,广东省,21.3,20200101
东莞市,广东省,12.07,20200101
广州市,广东省,11.95,20200101
梅州市,广东省,5.29,20200101
赣州市,江西省,4.27,20200101
佛山市,广东省,3.94,20200101
韶关市,广东省,2.32,20200101
中山市,广东省,1.24,20200101
珠海市,广东省,0.79,20200101
揭阳市,广东省,0.78,20200101
清远市,广东省,0.71,20200101
汕头市,广东省,0.63,20200101
汕尾市,广东省,0.6,20200101
江门市,广东省,0.48,20200101
湛江市,广东省,0.3,20200101
肇庆市,广东省,0.3,20200101
云浮市,广东省,0.25,20200101
香港,香港,0.21,20200101
潮州市,广东省,0.21,20200101
茂名市,广东省,0.18,20200101
吉安市,江西省,0.18,20200101
泉州市,福建省,0.16,20200101
阳江市,广东省,0.15,20200101
贺州市,广西壮族自治区,0.14,20200101
梧州市,广西壮族自治区,0.14,20200101
龙岩市,福建省,0.14,20200101
长沙市,湖南省,0.13,20200101
宜春市,江西省,0.12,20200101
贵港市,广西壮族自治区,0.12,20200101
衡阳市,湖南省,0.11,20200101
桂林市,广西壮族自治区,0.11,20200101
郴州市,湖南省,0.11,20200101
南宁市,广西壮族自治区,0.09,20200101
南昌市,江西省,0.09,20200101
武汉市,湖北省,0.09,20200101
上海市,上海市,0.09,20200101
厦门市,福建省,0.08,20200101
漳州市,福建省,0.08,20200101
玉林市,广西壮族自治区,0.07,20200101
抚州市,江西省,0.07,20200101
九江市,江西省,0.07,20200101
重庆市,重庆市,0.07,20200101
澳门,澳门,0.06,20200101
北京市,北京市,0.06,20200101
河池市,广西壮族自治区,0.06,20200101
黄冈市,湖北省,0.05,20200101
岳阳市,湖南省,0.05,20200101
株洲市,湖南省,0.05,20200101
温州市,浙江省,0.05,20200101
深圳市,广东省,23.41,20200102
惠州市,广东省,20.77,20200102
广州市,广东省,15.41,20200102
东莞市,广东省,12.37,20200102
梅州市,广东省,4.3,20200102
佛山市,广东省,3.67,20200102
赣州市,江西省,3.09,20200102
韶关市,广东省,1.66,20200102
中山市,广东省,1.28,20200102
揭阳市,广东省,0.98,20200102
清远市,广东省,0.79,20200102
珠海市,广东省,0.76,20200102
汕头市,广东省,0.67,20200102
汕尾市,广东省,0.57,20200102
江门市,广东省,0.47,20200102
肇庆市,广东省,0.45,20200102
湛江市,广东省,0.37,20200102
潮州市,广东省,0.33,20200102
茂名市,广东省,0.32,20200102
长沙市,湖南省,0.28,20200102
云浮市,广东省,0.26,20200102
香港,香港,0.25,20200102
龙岩市,福建省,0.23,20200102
南宁市,广西壮族自治区,0.23,20200102
吉安市,江西省,0.22,20200102
北京市,北京市,0.2,20200102
宜春市,江西省,0.19,20200102
南昌市,江西省,0.19,20200102
阳江市,广东省,0.19,20200102
郴州市,湖南省,0.17,20200102
玉林市,广西壮族自治区,0.16,20200102
漳州市,福建省,0.16,20200102
重庆市,重庆市,0.15,20200102
泉州市,福建省,0.14,20200102
黄冈市,湖北省,0.14,20200102
武汉市,湖北省,0.13,20200102
成都市,四川省,0.12,20200102
衡阳市,湖南省,0.12,20200102
福州市,福建省,0.11,20200102
梧州市,广西壮族自治区,0.1,20200102
厦门市,福建省,0.1,20200102
宁波市,浙江省,0.1,20200102
上海市,上海市,0.1,20200102
九江市,江西省,0.09,20200102
永州市,湖南省,0.08,20200102
杭州市,浙江省,0.08,20200102
澳门,澳门,0.08,20200102
娄底市,湖南省,0.08,20200102
达州市,四川省,0.08,20200102
新余市,江西省,0.07,20200102
深圳市,广东省,27.68,20200103
惠州市,广东省,20.48,20200103
广州市,广东省,15.91,20200103
东莞市,广东省,10.79,20200103
梅州市,广东省,3.84,20200103
佛山市,广东省,3.36,20200103
赣州市,江西省,2.91,20200103
韶关市,广东省,2.03,20200103
