city_name,province_name,value,date
厦门市,福建省,28.61,20200101
福州市,福建省,9.02,20200101
莆田市,福建省,8.65,20200101
漳州市,福建省,7.7,20200101
三明市,福建省,4.21,20200101
重庆市,重庆市,2.78,20200101
龙岩市,福建省,2.16,20200101
宁德市,福建省,1.6,20200101
赣州市,江西省,1.49,20200101
南平市,福建省,1.38,20200101
深圳市,广东省,1.03,20200101
毕节市,贵州省,1.02,20200101
温州市,浙江省,0.97,20200101
抚州市,江西省,0.78,20200101
广州市,广东省,0.78,20200101
遵义市,贵州省,0.75,20200101
上饶市,江西省,0.75,20200101
东莞市,广东省,0.58,20200101
上海市,上海市,0.58,20200101
香港,香港,0.55,20200101
九江市,江西省,0.55,20200101
吉安市,江西省,0.54,20200101
铜仁市,贵州省,0.51,20200101
黔西南布依族苗族自治州,贵州省,0.5,20200101
怀化市,湖南省,0.46,20200101
杭州市,浙江省,0.46,20200101
宜春市,江西省,0.44,20200101
广安市,四川省,0.43,20200101
南昌市,江西省,0.42,20200101
黄冈市,湖北省,0.41,20200101
贵阳市,贵州省,0.4,20200101
成都市,四川省,0.4,20200101
达州市,四川省,0.38,20200101
揭阳市,广东省,0.37,20200101
汕头市,广东省,0.37,20200101
佛山市,广东省,0.36,20200101
邵阳市,湖南省,0.34,20200101
长沙市,湖南省,0.32,20200101
昭通市,云南省,0.32,20200101
南阳市,河南省,0.31,20200101
安顺市,贵州省,0.31,20200101
湘西土家族苗族自治州,湖南省,0.3,20200101
武汉市,湖北省,0.29,20200101
恩施土家族苗族自治州,湖北省,0.28,20200101
昆明市,云南省,0.28,20200101
金华市,浙江省,0.27,20200101
黔东南苗族侗族自治州,贵州省,0.27,20200101
北京市,北京市,0.26,20200101
黔南布依族苗族自治州,贵州省,0.26,20200101
南宁市,广西壮族自治区,0.25,20200101
厦门市,福建省,19.25,20200102
福州市,福建省,8.54,20200102
漳州市,福建省,5.97,20200102
莆田市,福建省,5.66,20200102
重庆市,重庆市,4.69,20200102
三明市,福建省,3.4,20200102
龙岩市,福建省,2.01,20200102
赣州市,江西省,1.85,20200102
毕节市,贵州省,1.64,20200102
宁德市,福建省,1.59,20200102
南平市,福建省,1.42,20200102
遵义市,贵州省,1.26,20200102
深圳市,广东省,1.24,20200102
上饶市,江西省,1.23,20200102
铜仁市,贵州省,1.08,20200102
广州市,广东省,1.0,20200102
温州市,浙江省,0.96,20200102
抚州市,江西省,0.9,20200102
黔西南布依族苗族自治州,贵州省,0.84,20200102
上海市,上海市,0.81,20200102
广安市,四川省,0.81,20200102
达州市,四川省,0.78,20200102
九江市,江西省,0.78,20200102
吉安市,江西省,0.69,20200102
宜春市,江西省,0.68,20200102
东莞市,广东省,0.64,20200102
怀化市,湖南省,0.58,20200102
恩施土家族苗族自治州,湖北省,0.55,20200102
黔东南苗族侗族自治州,贵州省,0.54,20200102
南阳市,河南省,0.53,20200102
安顺市,贵州省,0.52,20200102
杭州市,浙江省,0.52,20200102
南昌市,江西省,0.51,20200102
香港,香港,0.48,20200102
昭通市,云南省,0.46,20200102
贵阳市,贵州省,0.45,20200102
驻马店市,河南省,0.43,20200102
安庆市,安徽省,0.43,20200102
北京市,北京市,0.43,20200102
湘西土家族苗族自治州,湖南省,0.43,20200102
黔南布依族苗族自治州,贵州省,0.4,20200102
汕头市,广东省,0.4,20200102
佛山市,广东省,0.39,20200102
黄冈市,湖北省,0.38,20200102
泸州市,四川省,0.38,20200102
巴中市,四川省,0.36,20200102
武汉市,湖北省,0.36,20200102
周口市,河南省,0.36,20200102
成都市,四川省,0.35,20200102
惠州市,广东省,0.34,20200102
厦门市,福建省,24.29,20200103
福州市,福建省,9.33,20200103
漳州市,福建省,6.83,20200103
莆田市,福建省,6.51,20200103
三明市,福建省,3.8,20200103
重庆市,重庆市,3.58,20200103
龙岩市,福建省,2.21,20200103
赣州市,江西省,1.47,20200103
南平市,福建省,1.36,20200103
深圳市,广东省,1.33,20200103
宁德市,福建省,1.27,20200103
毕节市,贵州省,1.07,20200103
遵义市,贵州省,1.05,20200103
上饶市,江西省,1.03,20200103
广州市,广东省,1.01,20200103
铜仁市,贵州省,0.79,20200103
抚州市,江西省,0.75,20200103
温州市,浙江省,0.73,20200103
东莞市,广东省,0.71,20200103
上海市,上海市,0.69,20200103
广安市,四川省,0.69,20200103
达州市,四川省,0.69,20200103
九江市,江西省,0.67,20200103
吉安市,江西省,0.6,20200103
宜春市,江西省,0.52,20200103
黄冈市,湖北省,0.51,20200103
怀化市,湖南省,0.5,20200103
杭州市,浙江省,0.49,20200103
汕头市,广东省,0.49,20200103
南昌市,江西省,0.47,20200103
安庆市,安徽省,0.46,20200103
贵阳市,贵州省,0.46,20200103
黔西南布依族苗族自治州,贵州省,0.46,20200103
邵阳市,湖南省,0.46,20200103
成都市,四川省,0.44,20200103
恩施土家族苗族自治州,湖北省,0.44,20200103
香港,香港,0.41,20200103
佛山市,广东省,0.41,20200103
南阳市,河南省,0.39,20200103
武汉市,湖北省,0.39,20200103
安顺市,贵州省,0.38,20200103
北京市,北京市,0.36,20200103
长沙市,湖南省,0.35,20200103
惠州市,广东省,0.34,20200103
黔东南苗族侗族自治州,贵州省,0.33,20200103
湘西土家族苗族自治州,湖南省,0.32,20200103
昭通市,云南省,0.32,20200103
昆明市,云南省,0.31,20200103
驻马店市,河南省,0.31,20200103
阜阳市,安徽省,0.31,20200103
厦门市,福建省,26.74,20200104
福州市,福建省,9.13,20200104
莆田市,福建省,7.2,20200104
漳州市,福建省,6.98,20200104
三明市,福建省,3.52,20200104
重庆市,重庆市,3.43,20200104
龙岩市,福建省,2.2,20200104
赣州市,江西省,1.44,20200104
宁德市,福建省,1.36,20200104
南平市,福建省,1.25,20200104
上饶市,江西省,1.08,20200104
深圳市,广东省,1.08,20200104
毕节市,贵州省,0.88,20200104
广州市,广东省,0.88,20200104
遵义市,贵州省,0.84,20200104
上海市,上海市,0.78,20200104
铜仁市,贵州省,0.75,20200104
温州市,浙江省,0.7,20200104
抚州市,江西省,0.7,20200104
九江市,江西省,0.69,20200104
东莞市,广东省,0.56,20200104
宜春市,江西省,0.56,20200104
广安市,四川省,0.55,20200104
