city_name,province_name,value,date
扬州市,江苏省,16.59,20200101
盐城市,江苏省,12.16,20200101
无锡市,江苏省,10.76,20200101
南通市,江苏省,10.22,20200101
苏州市,江苏省,8.75,20200101
上海市,上海市,7.27,20200101
南京市,江苏省,7.02,20200101
常州市,江苏省,5.19,20200101
镇江市,江苏省,3.41,20200101
淮安市,江苏省,1.33,20200101
徐州市,江苏省,0.92,20200101
宿迁市,江苏省,0.89,20200101
杭州市,浙江省,0.81,20200101
连云港市,江苏省,0.81,20200101
嘉兴市,浙江省,0.62,20200101
北京市,北京市,0.54,20200101
湖州市,浙江省,0.51,20200101
合肥市,安徽省,0.5,20200101
滁州市,安徽省,0.48,20200101
临沂市,山东省,0.39,20200101
宁波市,浙江省,0.36,20200101
郑州市,河南省,0.3,20200101
天津市,天津市,0.23,20200101
武汉市,湖北省,0.22,20200101
芜湖市,安徽省,0.22,20200101
青岛市,山东省,0.21,20200101
金华市,浙江省,0.2,20200101
重庆市,重庆市,0.2,20200101
宿州市,安徽省,0.19,20200101
广州市,广东省,0.18,20200101
温州市,浙江省,0.17,20200101
亳州市,安徽省,0.16,20200101
济南市,山东省,0.16,20200101
台州市,浙江省,0.16,20200101
成都市,四川省,0.16,20200101
舟山市,浙江省,0.15,20200101
潍坊市,山东省,0.15,20200101
绍兴市,浙江省,0.14,20200101
马鞍山市,安徽省,0.13,20200101
深圳市,广东省,0.13,20200101
蚌埠市,安徽省,0.13,20200101
西安市,陕西省,0.13,20200101
长沙市,湖南省,0.13,20200101
宣城市,安徽省,0.13,20200101
六安市,安徽省,0.12,20200101
枣庄市,山东省,0.11,20200101
沧州市,河北省,0.11,20200101
济宁市,山东省,0.11,20200101
南昌市,江西省,0.11,20200101
聊城市,山东省,0.11,20200101
扬州市,江苏省,10.53,20200102
苏州市,江苏省,10.42,20200102
无锡市,江苏省,9.35,20200102
上海市,上海市,8.79,20200102
南京市,江苏省,8.59,20200102
南通市,江苏省,7.64,20200102
盐城市,江苏省,7.63,20200102
常州市,江苏省,4.45,20200102
镇江市,江苏省,2.71,20200102
淮安市,江苏省,1.93,20200102
宿迁市,江苏省,1.54,20200102
徐州市,江苏省,1.5,20200102
连云港市,江苏省,1.2,20200102
杭州市,浙江省,1.14,20200102
北京市,北京市,1.06,20200102
临沂市,山东省,0.81,20200102
嘉兴市,浙江省,0.8,20200102
合肥市,安徽省,0.7,20200102
湖州市,浙江省,0.68,20200102
宁波市,浙江省,0.61,20200102
滁州市,安徽省,0.57,20200102
郑州市,河南省,0.45,20200102
重庆市,重庆市,0.4,20200102
武汉市,湖北省,0.35,20200102
潍坊市,山东省,0.34,20200102
天津市,天津市,0.34,20200102
商丘市,河南省,0.33,20200102
青岛市,山东省,0.33,20200102
宿州市,安徽省,0.31,20200102
芜湖市,安徽省,0.29,20200102
台州市,浙江省,0.28,20200102
西安市,陕西省,0.28,20200102
沈阳市,辽宁省,0.28,20200102
济宁市,山东省,0.28,20200102
绍兴市,浙江省,0.27,20200102
枣庄市,山东省,0.26,20200102
