city_name,province_name,value,date
扬州市,江苏省,14.0,20200101
无锡市,江苏省,12.43,20200101
盐城市,江苏省,11.31,20200101
南通市,江苏省,9.59,20200101
苏州市,江苏省,9.37,20200101
南京市,江苏省,7.76,20200101
上海市,上海市,7.05,20200101
常州市,江苏省,5.68,20200101
镇江市,江苏省,2.97,20200101
淮安市,江苏省,1.43,20200101
嘉兴市,浙江省,0.94,20200101
徐州市,江苏省,0.9,20200101
宿迁市,江苏省,0.78,20200101
杭州市,浙江省,0.77,20200101
连云港市,江苏省,0.61,20200101
北京市,北京市,0.53,20200101
合肥市,安徽省,0.5,20200101
宁波市,浙江省,0.43,20200101
滁州市,安徽省,0.37,20200101
湖州市,浙江省,0.35,20200101
临沂市,山东省,0.32,20200101
芜湖市,安徽省,0.25,20200101
重庆市,重庆市,0.23,20200101
商丘市,河南省,0.23,20200101
宿州市,安徽省,0.23,20200101
天津市,天津市,0.22,20200101
宣城市,安徽省,0.21,20200101
武汉市,湖北省,0.21,20200101
马鞍山市,安徽省,0.2,20200101
台州市,浙江省,0.18,20200101
西安市,陕西省,0.18,20200101
菏泽市,山东省,0.18,20200101
阜阳市,安徽省,0.18,20200101
广州市,广东省,0.18,20200101
绍兴市,浙江省,0.17,20200101
亳州市,安徽省,0.17,20200101
青岛市,山东省,0.17,20200101
金华市,浙江省,0.16,20200101
蚌埠市,安徽省,0.16,20200101
昆明市,云南省,0.16,20200101
温州市,浙江省,0.15,20200101
驻马店市,河南省,0.14,20200101
六安市,安徽省,0.13,20200101
成都市,四川省,0.13,20200101
周口市,河南省,0.13,20200101
郑州市,河南省,0.11,20200101
南阳市,河南省,0.11,20200101
潍坊市,山东省,0.11,20200101
舟山市,浙江省,0.11,20200101
济南市,山东省,0.11,20200101
苏州市,江苏省,9.33,20200102
上海市,上海市,9.29,20200102
扬州市,江苏省,9.19,20200102
无锡市,江苏省,9.13,20200102
南京市,江苏省,8.2,20200102
盐城市,江苏省,7.2,20200102
南通市,江苏省,6.83,20200102
常州市,江苏省,4.66,20200102
镇江市,江苏省,2.92,20200102
淮安市,江苏省,1.95,20200102
徐州市,江苏省,1.46,20200102
杭州市,浙江省,1.39,20200102
宿迁市,江苏省,1.04,20200102
嘉兴市,浙江省,0.95,20200102
连云港市,江苏省,0.85,20200102
北京市,北京市,0.83,20200102
合肥市,安徽省,0.78,20200102
宁波市,浙江省,0.68,20200102
