city_name,province_name,value,date
遵义市,贵州省,19.22,20200101
重庆市,重庆市,17.01,20200101
宜宾市,四川省,12.53,20200101
成都市,四川省,11.7,20200101
自贡市,四川省,4.96,20200101
内江市,四川省,3.85,20200101
毕节市,贵州省,3.54,20200101
昭通市,云南省,2.22,20200101
中山市,广东省,1.6,20200101
贵阳市,贵州省,1.23,20200101
佛山市,广东省,0.89,20200101
眉山市,四川省,0.83,20200101
乐山市,四川省,0.76,20200101
宁波市,浙江省,0.73,20200101
昆明市,云南省,0.72,20200101
广州市,广东省,0.67,20200101
汕头市,广东省,0.63,20200101
绵阳市,四川省,0.63,20200101
南充市,四川省,0.62,20200101
广安市,四川省,0.59,20200101
六盘水市,贵州省,0.55,20200101
东莞市,广东省,0.54,20200101
资阳市,四川省,0.51,20200101
德阳市,四川省,0.5,20200101
遂宁市,四川省,0.44,20200101
深圳市,广东省,0.41,20200101
上海市,上海市,0.37,20200101
厦门市,福建省,0.37,20200101
泉州市,福建省,0.34,20200101
黔南布依族苗族自治州,贵州省,0.31,20200101
南宁市,广西壮族自治区,0.31,20200101
西安市,陕西省,0.3,20200101
北京市,北京市,0.29,20200101
攀枝花市,四川省,0.27,20200101
安顺市,贵州省,0.26,20200101
嘉兴市,浙江省,0.25,20200101
达州市,四川省,0.24,20200101
广元市,四川省,0.23,20200101
江门市,广东省,0.21,20200101
凉山彝族自治州,四川省,0.21,20200101
惠州市,广东省,0.21,20200101
台州市,浙江省,0.2,20200101
温州市,浙江省,0.16,20200101
杭州市,浙江省,0.16,20200101
雅安市,四川省,0.15,20200101
莆田市,福建省,0.15,20200101
郑州市,河南省,0.14,20200101
金华市,浙江省,0.14,20200101
甘孜藏族自治州,四川省,0.14,20200101
曲靖市,云南省,0.14,20200101
成都市,四川省,18.46,20200102
重庆市,重庆市,12.5,20200102
遵义市,贵州省,9.06,20200102
宜宾市,四川省,8.61,20200102
自贡市,四川省,3.34,20200102
内江市,四川省,3.12,20200102
中山市,广东省,3.09,20200102
毕节市,贵州省,1.84,20200102
昭通市,云南省,1.74,20200102
佛山市,广东省,1.55,20200102
宁波市,浙江省,1.46,20200102
德阳市,四川省,1.41,20200102
广州市,广东省,1.41,20200102
贵阳市,贵州省,1.35,20200102
眉山市,四川省,1.24,20200102
广安市,四川省,1.16,20200102
汕头市,广东省,1.11,20200102
厦门市,福建省,1.05,20200102
绵阳市,四川省,0.98,20200102
昆明市,云南省,0.94,20200102
东莞市,广东省,0.88,20200102
乐山市,四川省,0.85,20200102
泉州市,福建省,0.79,20200102
上海市,上海市,0.74,20200102
南充市,四川省,0.68,20200102
深圳市,广东省,0.64,20200102
资阳市,四川省,0.6,20200102
广元市,四川省,0.57,20200102
六盘水市,贵州省,0.57,20200102
北京市,北京市,0.51,20200102
江门市,广东省,0.48,20200102
西安市,陕西省,0.48,20200102
惠州市,广东省,0.47,20200102
台州市,浙江省,0.43,20200102
遂宁市,四川省,0.43,20200102
达州市,四川省,0.41,20200102
温州市,浙江省,0.38,20200102
黔南布依族苗族自治州,贵州省,0.36,20200102
安顺市,贵州省,0.36,20200102
甘孜藏族自治州,四川省,0.35,20200102
嘉兴市,浙江省,0.35,20200102
绍兴市,浙江省,0.34,20200102
金华市,浙江省,0.31,20200102
凉山彝族自治州,四川省,0.31,20200102
莆田市,福建省,0.3,20200102
攀枝花市,四川省,0.29,20200102
杭州市,浙江省,0.29,20200102
黔西南布依族苗族自治州,贵州省,0.27,20200102
雅安市,四川省,0.27,20200102
苏州市,江苏省,0.25,20200102
成都市,四川省,17.58,20200103
重庆市,重庆市,14.33,20200103
遵义市,贵州省,13.43,20200103
宜宾市,四川省,9.44,20200103
自贡市,四川省,4.06,20200103
内江市,四川省,3.25,20200103
毕节市,贵州省,2.48,20200103
中山市,广东省,2.26,20200103
贵阳市,贵州省,1.6,20200103
昭通市,云南省,1.49,20200103
眉山市,四川省,1.34,20200103
佛山市,广东省,1.3,20200103
