city_name,province_name,value,date
遵义市,贵州省,21.7,20200101
重庆市,重庆市,20.24,20200101
宜宾市,四川省,14.22,20200101
成都市,四川省,13.13,20200101
自贡市,四川省,5.81,20200101
内江市,四川省,4.48,20200101
毕节市,贵州省,3.78,20200101
昭通市,云南省,2.27,20200101
贵阳市,贵州省,1.32,20200101
乐山市,四川省,0.72,20200101
眉山市,四川省,0.66,20200101
德阳市,四川省,0.63,20200101
绵阳市,四川省,0.6,20200101
南充市,四川省,0.56,20200101
资阳市,四川省,0.55,20200101
昆明市,云南省,0.47,20200101
遂宁市,四川省,0.42,20200101
达州市,四川省,0.4,20200101
六盘水市,贵州省,0.33,20200101
凉山彝族自治州,四川省,0.29,20200101
雅安市,四川省,0.28,20200101
中山市,广东省,0.27,20200101
安顺市,贵州省,0.26,20200101
北京市,北京市,0.25,20200101
深圳市,广东省,0.25,20200101
广州市,广东省,0.24,20200101
黔南布依族苗族自治州,贵州省,0.22,20200101
广安市,四川省,0.22,20200101
广元市,四川省,0.2,20200101
巴中市,四川省,0.19,20200101
佛山市,广东省,0.19,20200101
汕头市,广东省,0.14,20200101
黔西南布依族苗族自治州,贵州省,0.13,20200101
上海市,上海市,0.12,20200101
三亚市,海南省,0.12,20200101
攀枝花市,四川省,0.11,20200101
大理白族自治州,云南省,0.1,20200101
西安市,陕西省,0.1,20200101
东莞市,广东省,0.09,20200101
宁波市,浙江省,0.09,20200101
泉州市,福建省,0.09,20200101
武汉市,湖北省,0.08,20200101
阿坝藏族羌族自治州,四川省,0.08,20200101
南宁市,广西壮族自治区,0.08,20200101
铜仁市,贵州省,0.07,20200101
曲靖市,云南省,0.07,20200101
杭州市,浙江省,0.07,20200101
恩施土家族苗族自治州,湖北省,0.07,20200101
甘孜藏族自治州,四川省,0.06,20200101
厦门市,福建省,0.06,20200101
重庆市,重庆市,19.01,20200102
成都市,四川省,18.27,20200102
遵义市,贵州省,13.45,20200102
宜宾市,四川省,11.72,20200102
自贡市,四川省,4.21,20200102
毕节市,贵州省,3.51,20200102
内江市,四川省,3.33,20200102
昭通市,云南省,2.57,20200102
贵阳市,贵州省,1.77,20200102
乐山市,四川省,1.16,20200102
南充市,四川省,0.93,20200102
眉山市,四川省,0.87,20200102
绵阳市,四川省,0.87,20200102
德阳市,四川省,0.82,20200102
昆明市,云南省,0.8,20200102
凉山彝族自治州,四川省,0.72,20200102
资阳市,四川省,0.69,20200102
达州市,四川省,0.65,20200102
中山市,广东省,0.59,20200102
遂宁市,四川省,0.57,20200102
广安市,四川省,0.48,20200102
六盘水市,贵州省,0.46,20200102
黔南布依族苗族自治州,贵州省,0.44,20200102
深圳市,广东省,0.41,20200102
广州市,广东省,0.38,20200102
佛山市,广东省,0.37,20200102
北京市,北京市,0.35,20200102
安顺市,贵州省,0.35,20200102
广元市,四川省,0.35,20200102
厦门市,福建省,0.28,20200102
西安市,陕西省,0.27,20200102
上海市,上海市,0.25,20200102
巴中市,四川省,0.25,20200102
吉安市,江西省,0.24,20200102
攀枝花市,四川省,0.23,20200102
宁波市,浙江省,0.23,20200102
雅安市,四川省,0.23,20200102
三亚市,海南省,0.2,20200102
甘孜藏族自治州,四川省,0.2,20200102
黔东南苗族侗族自治州,贵州省,0.19,20200102
黔西南布依族苗族自治州,贵州省,0.19,20200102
东莞市,广东省,0.19,20200102
杭州市,浙江省,0.18,20200102
长沙市,湖南省,0.17,20200102
郑州市,河南省,0.15,20200102
汕头市,广东省,0.15,20200102
丽江市,云南省,0.14,20200102
泉州市,福建省,0.14,20200102
桂林市,广西壮族自治区,0.14,20200102
惠州市,广东省,0.13,20200102
成都市,四川省,18.67,20200103
重庆市,重庆市,16.43,20200103
遵义市,贵州省,15.75,20200103
宜宾市,四川省,15.58,20200103
自贡市,四川省,5.49,20200103
内江市,四川省,4.9,20200103
毕节市,贵州省,3.07,20200103
昭通市,云南省,2.72,20200103
乐山市,四川省,1.06,20200103
贵阳市,贵州省,1.03,20200103
南充市,四川省,0.93,20200103
眉山市,四川省,0.92,20200103
绵阳市,四川省,0.76,20200103
资阳市,四川省,0.75,20200103
凉山彝族自治州,四川省,0.59,20200103
德阳市,四川省,0.59,20200103
昆明市,云南省,0.56,20200103
遂宁市,四川省,0.48,20200103
达州市,四川省,0.44,20200103
广安市,四川省,0.36,20200103
六盘水市,贵州省,0.32,20200103
中山市,广东省,0.31,20200103
北京市,北京市,0.31,20200103
广州市,广东省,0.25,20200103
黔南布依族苗族自治州,贵州省,0.23,20200103
上海市,上海市,0.23,20200103
深圳市,广东省,0.23,20200103
广元市,四川省,0.22,20200103
阿坝藏族羌族自治州,四川省,0.21,20200103
巴中市,四川省,0.2,20200103
雅安市,四川省,0.2,20200103
东莞市,广东省,0.19,20200103
攀枝花市,四川省,0.19,20200103
黔西南布依族苗族自治州,贵州省,0.18,20200103
佛山市,广东省,0.16,20200103
西安市,陕西省,0.16,20200103
安顺市,贵州省,0.15,20200103
郑州市,河南省,0.13,20200103
宁波市,浙江省,0.12,20200103
黔东南苗族侗族自治州,贵州省,0.12,20200103
惠州市,广东省,0.1,20200103
厦门市,福建省,0.1,20200103
甘孜藏族自治州,四川省,0.1,20200103
汕头市,广东省,0.09,20200103
铜仁市,贵州省,0.09,20200103
三亚市,海南省,0.08,20200103
大理白族自治州,云南省,0.08,20200103
曲靖市,云南省,0.07,20200103
南宁市,广西壮族自治区,0.07,20200103
儋州市,海南省,0.07,20200103
遵义市,贵州省,19.13,20200104
重庆市,重庆市,17.86,20200104
宜宾市,四川省,14.41,20200104
成都市,四川省,14.13,20200104
自贡市,四川省,6.37,20200104
内江市,四川省,4.97,20200104
毕节市,贵州省,3.46,20200104
昭通市,云南省,2.3,20200104
乐山市,四川省,1.14,20200104
眉山市,四川省,1.09,20200104
贵阳市,贵州省,0.93,20200104
绵阳市,四川省,0.83,20200104
资阳市,四川省,0.68,20200104
凉山彝族自治州,四川省,0.62,20200104
南充市,四川省,0.61,20200104
昆明市,云南省,0.59,20200104
德阳市,四川省,0.57,20200104
达州市,四川省,0.5,20200104
遂宁市,四川省,0.49,20200104
广安市,四川省,0.44,20200104
六盘水市,贵州省,0.29,20200104
广州市,广东省,0.28,20200104
北京市,北京市,0.28,20200104
中山市,广东省,0.24,20200104
深圳市,广东省,0.23,20200104
郑州市,河南省,0.21,20200104
西安市,陕西省,0.2,20200104
阿坝藏族羌族自治州,四川省,0.19,20200104
广元市,四川省,0.19,20200104
黔南布依族苗族自治州,贵州省,0.18,20200104
巴中市,四川省,0.18,20200104
安顺市,贵州省,0.17,20200104
攀枝花市,四川省,0.16,20200104
雅安市,四川省,0.16,20200104
佛山市,广东省,0.16,20200104
上海市,上海市,0.15,20200104
东莞市,广东省,0.14,20200104
厦门市,福建省,0.13,20200104
甘孜藏族自治州,四川省,0.12,20200104
黔西南布依族苗族自治州,贵州省,0.11,20200104
黔东南苗族侗族自治州,贵州省,0.11,20200104
