city_name,province_name,value,date
枣庄市,山东省,16.73,20200101
菏泽市,山东省,15.86,20200101
济南市,山东省,10.15,20200101
泰安市,山东省,8.87,20200101
临沂市,山东省,6.42,20200101
徐州市,江苏省,5.94,20200101
青岛市,山东省,3.49,20200101
潍坊市,山东省,2.25,20200101
北京市,北京市,2.21,20200101
淄博市,山东省,1.83,20200101
聊城市,山东省,1.46,20200101
德州市,山东省,1.09,20200101
烟台市,山东省,0.94,20200101
天津市,天津市,0.93,20200101
上海市,上海市,0.92,20200101
日照市,山东省,0.78,20200101
威海市,山东省,0.75,20200101
濮阳市,河南省,0.73,20200101
滨州市,山东省,0.68,20200101
商丘市,河南省,0.66,20200101
东营市,山东省,0.62,20200101
邯郸市,河北省,0.58,20200101
郑州市,河南省,0.48,20200101
苏州市,江苏省,0.44,20200101
南京市,江苏省,0.43,20200101
鄂尔多斯市,内蒙古自治区,0.37,20200101
邢台市,河北省,0.34,20200101
石家庄市,河北省,0.33,20200101
沧州市,河北省,0.32,20200101
宿州市,安徽省,0.31,20200101
西安市,陕西省,0.31,20200101
嘉兴市,浙江省,0.28,20200101
廊坊市,河北省,0.26,20200101
新乡市,河南省,0.25,20200101
无锡市,江苏省,0.25,20200101
安阳市,河南省,0.25,20200101
连云港市,江苏省,0.24,20200101
唐山市,河北省,0.24,20200101
阜阳市,安徽省,0.23,20200101
宿迁市,江苏省,0.23,20200101
南通市,江苏省,0.23,20200101
合肥市,安徽省,0.22,20200101
武汉市,湖北省,0.21,20200101
杭州市,浙江省,0.21,20200101
常州市,江苏省,0.2,20200101
保定市,河北省,0.19,20200101
宁波市,浙江省,0.18,20200101
亳州市,安徽省,0.16,20200101
长治市,山西省,0.16,20200101
哈尔滨市,黑龙江省,0.15,20200101
济南市,山东省,13.62,20200102
菏泽市,山东省,10.56,20200102
枣庄市,山东省,8.77,20200102
临沂市,山东省,6.71,20200102
泰安市,山东省,5.99,20200102
青岛市,山东省,5.27,20200102
徐州市,江苏省,3.4,20200102
潍坊市,山东省,3.19,20200102
北京市,北京市,2.83,20200102
淄博市,山东省,2.09,20200102
聊城市,山东省,1.77,20200102
烟台市,山东省,1.66,20200102
德州市,山东省,1.52,20200102
上海市,上海市,1.35,20200102
日照市,山东省,1.35,20200102
天津市,天津市,1.24,20200102
威海市,山东省,1.24,20200102
东营市,山东省,0.97,20200102
苏州市,江苏省,0.9,20200102
滨州市,山东省,0.85,20200102
商丘市,河南省,0.77,20200102
邯郸市,河北省,0.66,20200102
西安市,陕西省,0.58,20200102
南京市,江苏省,0.57,20200102
郑州市,河南省,0.56,20200102
沧州市,河北省,0.54,20200102
濮阳市,河南省,0.54,20200102
杭州市,浙江省,0.54,20200102
石家庄市,河北省,0.48,20200102
嘉兴市,浙江省,0.43,20200102
廊坊市,河北省,0.43,20200102
鄂尔多斯市,内蒙古自治区,0.4,20200102
邢台市,河北省,0.37,20200102
宁波市,浙江省,0.36,20200102
无锡市,江苏省,0.36,20200102
新乡市,河南省,0.35,20200102
保定市,河北省,0.34,20200102
沈阳市,辽宁省,0.32,20200102
安阳市,河南省,0.31,20200102
宿州市,安徽省,0.3,20200102
唐山市,河北省,0.3,20200102
榆林市,陕西省,0.3,20200102
武汉市,湖北省,0.29,20200102
合肥市,安徽省,0.29,20200102
宿迁市,江苏省,0.29,20200102
广州市,广东省,0.25,20200102
常州市,江苏省,0.25,20200102
长春市,吉林省,0.25,20200102
连云港市,江苏省,0.25,20200102
哈尔滨市,黑龙江省,0.25,20200102
济南市,山东省,14.46,20200103
菏泽市,山东省,12.74,20200103
枣庄市,山东省,11.48,20200103
泰安市,山东省,7.26,20200103
临沂市,山东省,6.57,20200103
徐州市,江苏省,5.37,20200103
青岛市,山东省,4.26,20200103
潍坊市,山东省,2.51,20200103
北京市,北京市,2.42,20200103
聊城市,山东省,1.6,20200103
淄博市,山东省,1.58,20200103
烟台市,山东省,1.45,20200103
