city_name,province_name,value,date
澄迈县,海南省,16.27,20200101
文昌市,海南省,10.81,20200101
三亚市,海南省,8.72,20200101
定安县,海南省,7.18,20200101
儋州市,海南省,7.11,20200101
临高县,海南省,6.79,20200101
万宁市,海南省,4.92,20200101
琼海市,海南省,4.66,20200101
屯昌县,海南省,3.26,20200101
东方市,海南省,2.29,20200101
乐东黎族自治县,海南省,2.17,20200101
湛江市,广东省,2.04,20200101
陵水黎族自治县,海南省,1.77,20200101
琼中黎族苗族自治县,海南省,1.44,20200101
昌江黎族自治县,海南省,1.44,20200101
广州市,广东省,0.98,20200101
北京市,北京市,0.97,20200101
深圳市,广东省,0.9,20200101
白沙黎族自治县,海南省,0.9,20200101
五指山市,海南省,0.72,20200101
保亭黎族苗族自治县,海南省,0.59,20200101
武汉市,湖北省,0.53,20200101
上海市,上海市,0.51,20200101
重庆市,重庆市,0.44,20200101
西安市,陕西省,0.39,20200101
南昌市,江西省,0.37,20200101
南宁市,广西壮族自治区,0.37,20200101
长沙市,湖南省,0.36,20200101
郑州市,河南省,0.34,20200101
成都市,四川省,0.33,20200101
杭州市,浙江省,0.27,20200101
天津市,天津市,0.26,20200101
佛山市,广东省,0.25,20200101
厦门市,福建省,0.21,20200101
茂名市,广东省,0.21,20200101
长春市,吉林省,0.2,20200101
东莞市,广东省,0.2,20200101
北海市,广西壮族自治区,0.2,20200101
昆明市,云南省,0.2,20200101
哈尔滨市,黑龙江省,0.18,20200101
太原市,山西省,0.18,20200101
南京市,江苏省,0.16,20200101
沈阳市,辽宁省,0.14,20200101
桂林市,广西壮族自治区,0.14,20200101
济南市,山东省,0.14,20200101
贵阳市,贵州省,0.13,20200101
石家庄市,河北省,0.13,20200101
宁波市,浙江省,0.12,20200101
珠海市,广东省,0.11,20200101
呼和浩特市,内蒙古自治区,0.11,20200101
澄迈县,海南省,9.68,20200102
儋州市,海南省,8.39,20200102
三亚市,海南省,7.58,20200102
文昌市,海南省,6.99,20200102
临高县,海南省,6.19,20200102
万宁市,海南省,5.19,20200102
定安县,海南省,4.5,20200102
琼海市,海南省,3.83,20200102
乐东黎族自治县,海南省,3.51,20200102
东方市,海南省,3.23,20200102
屯昌县,海南省,2.84,20200102
陵水黎族自治县,海南省,2.13,20200102
北京市,北京市,1.86,20200102
湛江市,广东省,1.81,20200102
广州市,广东省,1.76,20200102
昌江黎族自治县,海南省,1.72,20200102
琼中黎族苗族自治县,海南省,1.65,20200102
白沙黎族自治县,海南省,1.63,20200102
深圳市,广东省,1.31,20200102
五指山市,海南省,1.16,20200102
上海市,上海市,1.16,20200102
保亭黎族苗族自治县,海南省,0.76,20200102
长沙市,湖南省,0.71,20200102
成都市,四川省,0.63,20200102
郑州市,河南省,0.6,20200102
武汉市,湖北省,0.6,20200102
重庆市,重庆市,0.59,20200102
西安市,陕西省,0.59,20200102
天津市,天津市,0.51,20200102
南昌市,江西省,0.43,20200102
南宁市,广西壮族自治区,0.41,20200102
哈尔滨市,黑龙江省,0.41,20200102
佛山市,广东省,0.39,20200102
杭州市,浙江省,0.38,20200102
贵阳市,贵州省,0.34,20200102
长春市,吉林省,0.33,20200102
东莞市,广东省,0.32,20200102
厦门市,福建省,0.32,20200102
南京市,江苏省,0.31,20200102
太原市,山西省,0.31,20200102
合肥市,安徽省,0.27,20200102
济南市,山东省,0.26,20200102
茂名市,广东省,0.25,20200102
昆明市,云南省,0.24,20200102
桂林市,广西壮族自治区,0.24,20200102
石家庄市,河北省,0.23,20200102
北海市,广西壮族自治区,0.22,20200102
沈阳市,辽宁省,0.21,20200102
廊坊市,河北省,0.18,20200102
兰州市,甘肃省,0.18,20200102
澄迈县,海南省,12.96,20200103
三亚市,海南省,9.04,20200103
儋州市,海南省,8.52,20200103
文昌市,海南省,7.89,20200103
临高县,海南省,5.08,20200103
定安县,海南省,5.0,20200103
万宁市,海南省,4.52,20200103
琼海市,海南省,4.22,20200103
东方市,海南省,3.5,20200103
屯昌县,海南省,2.68,20200103
乐东黎族自治县,海南省,2.51,20200103
陵水黎族自治县,海南省,2.46,20200103
昌江黎族自治县,海南省,2.41,20200103
琼中黎族苗族自治县,海南省,2.08,20200103
湛江市,广东省,1.95,20200103
白沙黎族自治县,海南省,1.68,20200103
广州市,广东省,1.43,20200103
北京市,北京市,1.22,20200103
五指山市,海南省,1.1,20200103
深圳市,广东省,0.98,20200103
保亭黎族苗族自治县,海南省,0.81,20200103
上海市,上海市,0.75,20200103
郑州市,河南省,0.51,20200103
长沙市,湖南省,0.5,20200103
南昌市,江西省,0.49,20200103
重庆市,重庆市,0.49,20200103
天津市,天津市,0.49,20200103
西安市,陕西省,0.47,20200103
武汉市,湖北省,0.47,20200103
南宁市,广西壮族自治区,0.45,20200103
成都市,四川省,0.42,20200103
太原市,山西省,0.34,20200103
佛山市,广东省,0.31,20200103
贵阳市,贵州省,0.3,20200103
杭州市,浙江省,0.29,20200103
东莞市,广东省,0.28,20200103
南京市,江苏省,0.28,20200103
沈阳市,辽宁省,0.25,20200103
茂名市,广东省,0.25,20200103
长春市,吉林省,0.25,20200103
哈尔滨市,黑龙江省,0.24,20200103
昆明市,云南省,0.24,20200103
玉林市,广西壮族自治区,0.2,20200103
兰州市,甘肃省,0.19,20200103
石家庄市,河北省,0.18,20200103
珠海市,广东省,0.16,20200103
北海市,广西壮族自治区,0.16,20200103
桂林市,广西壮族自治区,0.15,20200103
青岛市,山东省,0.15,20200103
福州市,福建省,0.14,20200103
澄迈县,海南省,13.67,20200104
文昌市,海南省,9.4,20200104
三亚市,海南省,9.04,20200104
儋州市,海南省,7.26,20200104
定安县,海南省,5.58,20200104
临高县,海南省,5.11,20200104
万宁市,海南省,4.56,20200104
琼海市,海南省,4.43,20200104
屯昌县,海南省,3.09,20200104
东方市,海南省,2.73,20200104
陵水黎族自治县,海南省,2.17,20200104
湛江市,广东省,2.02,20200104
琼中黎族苗族自治县,海南省,1.9,20200104
昌江黎族自治县,海南省,1.89,20200104
乐东黎族自治县,海南省,1.84,20200104
广州市,广东省,1.36,20200104
北京市,北京市,1.25,20200104
白沙黎族自治县,海南省,1.04,20200104
上海市,上海市,0.99,20200104
深圳市,广东省,0.91,20200104
五指山市,海南省,0.88,20200104
长沙市,湖南省,0.7,20200104
保亭黎族苗族自治县,海南省,0.7,20200104
武汉市,湖北省,0.62,20200104
郑州市,河南省,0.52,20200104
西安市,陕西省,0.5,20200104
重庆市,重庆市,0.49,20200104
成都市,四川省,0.47,20200104
天津市,天津市,0.43,20200104
东莞市,广东省,0.37,20200104
佛山市,广东省,0.37,20200104
杭州市,浙江省,0.35,20200104
长春市,吉林省,0.32,20200104
南宁市,广西壮族自治区,0.31,20200104
南昌市,江西省,0.29,20200104
哈尔滨市,黑龙江省,0.28,20200104
太原市,山西省,0.26,20200104
济南市,山东省,0.26,20200104
茂名市,广东省,0.25,20200104
沈阳市,辽宁省,0.23,20200104
厦门市,福建省,0.23,20200104
南京市,江苏省,0.23,20200104
贵阳市,贵州省,0.21,20200104
兰州市,甘肃省,0.21,20200104
桂林市,广西壮族自治区,0.21,20200104
北海市,广西壮族自治区,0.18,20200104
宁波市,浙江省,0.17,20200104
石家庄市,河北省,0.16,20200104
大连市,辽宁省,0.16,20200104
珠海市,广东省,0.16,20200104
澄迈县,海南省,14.45,20200105
文昌市,海南省,12.29,20200105
三亚市,海南省,7.71,20200105
儋州市,海南省,6.72,20200105
定安县,海南省,6.27,20200105
临高县,海南省,5.85,20200105
万宁市,海南省,5.2,20200105
琼海市,海南省,5.03,20200105
屯昌县,海南省,3.05,20200105
东方市,海南省,2.81,20200105
乐东黎族自治县,海南省,2.22,20200105
陵水黎族自治县,海南省,1.78,20200105
湛江市,广东省,1.5,20200105
昌江黎族自治县,海南省,1.49,20200105
琼中黎族苗族自治县,海南省,1.48,20200105
广州市,广东省,1.45,20200105
北京市,北京市,1.38,20200105
深圳市,广东省,0.83,20200105
上海市,上海市,0.79,20200105
白沙黎族自治县,海南省,0.74,20200105
保亭黎族苗族自治县,海南省,0.71,20200105
五指山市,海南省,0.66,20200105
成都市,四川省,0.54,20200105
长沙市,湖南省,0.52,20200105
郑州市,河南省,0.5,20200105
武汉市,湖北省,0.46,20200105
重庆市,重庆市,0.44,20200105
南宁市,广西壮族自治区,0.41,20200105
南昌市,江西省,0.4,20200105
天津市,天津市,0.4,20200105
西安市,陕西省,0.38,20200105
南京市,江苏省,0.33,20200105
佛山市,广东省,0.31,20200105
东莞市,广东省,0.31,20200105
杭州市,浙江省,0.29,20200105
太原市,山西省,0.27,20200105
厦门市,福建省,0.21,20200105
贵阳市,贵州省,0.2,20200105
长春市,吉林省,0.2,20200105
昆明市,云南省,0.19,20200105
茂名市,广东省,0.19,20200105
哈尔滨市,黑龙江省,0.18,20200105
珠海市,广东省,0.16,20200105
兰州市,甘肃省,0.15,20200105
呼和浩特市,内蒙古自治区,0.15,20200105
济南市,山东省,0.15,20200105
桂林市,广西壮族自治区,0.15,20200105
沈阳市,辽宁省,0.15,20200105
北海市,广西壮族自治区,0.14,20200105
石家庄市,河北省,0.13,20200105
澄迈县,海南省,13.24,20200106
文昌市,海南省,10.11,20200106
三亚市,海南省,8.66,20200106
儋州市,海南省,6.5,20200106
定安县,海南省,5.19,20200106
临高县,海南省,5.03,20200106
琼海市,海南省,4.74,20200106
万宁市,海南省,4.61,20200106
东方市,海南省,2.96,20200106
屯昌县,海南省,2.71,20200106
陵水黎族自治县,海南省,2.07,20200106
乐东黎族自治县,海南省,1.93,20200106
北京市,北京市,1.73,20200106
广州市,广东省,1.65,20200106
昌江黎族自治县,海南省,1.57,20200106
湛江市,广东省,1.49,20200106
琼中黎族苗族自治县,海南省,1.48,20200106
深圳市,广东省,0.92,20200106
上海市,上海市,0.85,20200106
五指山市,海南省,0.85,20200106
白沙黎族自治县,海南省,0.81,20200106
长沙市,湖南省,0.8,20200106
武汉市,湖北省,0.73,20200106
南昌市,江西省,0.64,20200106
郑州市,河南省,0.63,20200106
重庆市,重庆市,0.54,20200106
保亭黎族苗族自治县,海南省,0.54,20200106
成都市,四川省,0.54,20200106
天津市,天津市,0.5,20200106
太原市,山西省,0.49,20200106
南宁市,广西壮族自治区,0.47,20200106
西安市,陕西省,0.45,20200106
南京市,江苏省,0.38,20200106
佛山市,广东省,0.36,20200106
东莞市,广东省,0.36,20200106
杭州市,浙江省,0.34,20200106
长春市,吉林省,0.33,20200106
昆明市,云南省,0.32,20200106
哈尔滨市,黑龙江省,0.3,20200106
石家庄市,河北省,0.27,20200106
贵阳市,贵州省,0.24,20200106
青岛市,山东省,0.21,20200106
厦门市,福建省,0.21,20200106
北海市,广西壮族自治区,0.2,20200106
沈阳市,辽宁省,0.19,20200106
珠海市,广东省,0.19,20200106
合肥市,安徽省,0.18,20200106
兰州市,甘肃省,0.18,20200106
桂林市,广西壮族自治区,0.17,20200106
葫芦岛市,辽宁省,0.17,20200106
澄迈县,海南省,13.03,20200107
三亚市,海南省,9.14,20200107
文昌市,海南省,8.89,20200107
儋州市,海南省,6.12,20200107
定安县,海南省,5.08,20200107
琼海市,海南省,4.64,20200107
万宁市,海南省,4.33,20200107
临高县,海南省,4.15,20200107
东方市,海南省,2.56,20200107
屯昌县,海南省,2.47,20200107
陵水黎族自治县,海南省,2.05,20200107
北京市,北京市,2.01,20200107
广州市,广东省,1.93,20200107
乐东黎族自治县,海南省,1.92,20200107
湛江市,广东省,1.59,20200107
昌江黎族自治县,海南省,1.49,20200107
琼中黎族苗族自治县,海南省,1.37,20200107
上海市,上海市,1.12,20200107
深圳市,广东省,1.02,20200107
武汉市,湖北省,0.93,20200107
五指山市,海南省,0.93,20200107
白沙黎族自治县,海南省,0.91,20200107
长沙市,湖南省,0.87,20200107
重庆市,重庆市,0.78,20200107
郑州市,河南省,0.76,20200107
西安市,陕西省,0.65,20200107
保亭黎族苗族自治县,海南省,0.62,20200107
成都市,四川省,0.59,20200107
南宁市,广西壮族自治区,0.53,20200107
天津市,天津市,0.49,20200107
南昌市,江西省,0.46,20200107
杭州市,浙江省,0.42,20200107
厦门市,福建省,0.4,20200107
南京市,江苏省,0.35,20200107
佛山市,广东省,0.34,20200107
东莞市,广东省,0.34,20200107
长春市,吉林省,0.33,20200107
济南市,山东省,0.32,20200107
太原市,山西省,0.31,20200107
贵阳市,贵州省,0.3,20200107
哈尔滨市,黑龙江省,0.28,20200107
沈阳市,辽宁省,0.27,20200107
珠海市,广东省,0.26,20200107
昆明市,云南省,0.26,20200107
桂林市,广西壮族自治区,0.24,20200107
北海市,广西壮族自治区,0.23,20200107
泉州市,福建省,0.22,20200107
衡阳市,湖南省,0.21,20200107
茂名市,广东省,0.19,20200107
兰州市,甘肃省,0.18,20200107
澄迈县,海南省,12.19,20200108
三亚市,海南省,9.63,20200108
文昌市,海南省,8.21,20200108
儋州市,海南省,6.73,20200108
定安县,海南省,4.72,20200108
临高县,海南省,4.61,20200108
琼海市,海南省,4.17,20200108
万宁市,海南省,4.03,20200108
东方市,海南省,2.7,20200108
屯昌县,海南省,2.39,20200108
北京市,北京市,2.07,20200108
广州市,广东省,2.05,20200108
乐东黎族自治县,海南省,1.99,20200108
陵水黎族自治县,海南省,1.95,20200108
昌江黎族自治县,海南省,1.63,20200108
湛江市,广东省,1.59,20200108
琼中黎族苗族自治县,海南省,1.42,20200108
深圳市,广东省,1.06,20200108
上海市,上海市,0.99,20200108
五指山市,海南省,0.9,20200108
白沙黎族自治县,海南省,0.82,20200108
长沙市,湖南省,0.79,20200108
武汉市,湖北省,0.78,20200108
郑州市,河南省,0.77,20200108
重庆市,重庆市,0.73,20200108
保亭黎族苗族自治县,海南省,0.68,20200108
天津市,天津市,0.66,20200108
成都市,四川省,0.65,20200108
西安市,陕西省,0.63,20200108
南昌市,江西省,0.62,20200108
南宁市,广西壮族自治区,0.58,20200108
昆明市,云南省,0.58,20200108
太原市,山西省,0.55,20200108
长春市,吉林省,0.41,20200108
南京市,江苏省,0.4,20200108
佛山市,广东省,0.4,20200108
杭州市,浙江省,0.39,20200108
哈尔滨市,黑龙江省,0.29,20200108
沈阳市,辽宁省,0.27,20200108
贵阳市,贵州省,0.27,20200108
厦门市,福建省,0.26,20200108
兰州市,甘肃省,0.25,20200108
东莞市,广东省,0.24,20200108
济南市,山东省,0.23,20200108
青岛市,山东省,0.23,20200108
北海市,广西壮族自治区,0.22,20200108
湘潭市,湖南省,0.22,20200108
呼和浩特市,内蒙古自治区,0.22,20200108
宁波市,浙江省,0.21,20200108
茂名市,广东省,0.2,20200108
澄迈县,海南省,12.02,20200109
三亚市,海南省,9.45,20200109
文昌市,海南省,8.03,20200109
儋州市,海南省,6.93,20200109
定安县,海南省,4.8,20200109
临高县,海南省,4.8,20200109
琼海市,海南省,4.03,20200109
万宁市,海南省,3.98,20200109
东方市,海南省,2.7,20200109
北京市,北京市,2.3,20200109
屯昌县,海南省,2.3,20200109
乐东黎族自治县,海南省,2.19,20200109
陵水黎族自治县,海南省,2.12,20200109
广州市,广东省,2.04,20200109
昌江黎族自治县,海南省,1.8,20200109
湛江市,广东省,1.55,20200109
琼中黎族苗族自治县,海南省,1.34,20200109
上海市,上海市,1.09,20200109
深圳市,广东省,1.04,20200109
白沙黎族自治县,海南省,0.99,20200109
武汉市,湖北省,0.85,20200109
五指山市,海南省,0.82,20200109
郑州市,河南省,0.81,20200109
保亭黎族苗族自治县,海南省,0.76,20200109
长沙市,湖南省,0.7,20200109
重庆市,重庆市,0.69,20200109
成都市,四川省,0.63,20200109
天津市,天津市,0.6,20200109
西安市,陕西省,0.59,20200109
南京市,江苏省,0.52,20200109
南昌市,江西省,0.45,20200109
杭州市,浙江省,0.44,20200109
哈尔滨市,黑龙江省,0.4,20200109
南宁市,广西壮族自治区,0.38,20200109
兰州市,甘肃省,0.36,20200109
长春市,吉林省,0.35,20200109
佛山市,广东省,0.33,20200109
厦门市,福建省,0.33,20200109
太原市,山西省,0.32,20200109
昆明市,云南省,0.3,20200109
贵阳市,贵州省,0.3,20200109
东莞市,广东省,0.27,20200109
北海市,广西壮族自治区,0.27,20200109
桂林市,广西壮族自治区,0.25,20200109
合肥市,安徽省,0.25,20200109
沈阳市,辽宁省,0.23,20200109
商丘市,河南省,0.22,20200109
石家庄市,河北省,0.22,20200109
茂名市,广东省,0.22,20200109
大连市,辽宁省,0.21,20200109
澄迈县,海南省,12.72,20200110
三亚市,海南省,9.43,20200110
文昌市,海南省,8.58,20200110
儋州市,海南省,7.58,20200110
定安县,海南省,5.52,20200110
临高县,海南省,4.55,20200110
琼海市,海南省,4.52,20200110
万宁市,海南省,4.14,20200110
东方市,海南省,2.83,20200110
屯昌县,海南省,2.71,20200110
陵水黎族自治县,海南省,2.42,20200110
乐东黎族自治县,海南省,2.4,20200110
湛江市,广东省,2.03,20200110
昌江黎族自治县,海南省,1.87,20200110
广州市,广东省,1.77,20200110
北京市,北京市,1.74,20200110
琼中黎族苗族自治县,海南省,1.44,20200110
白沙黎族自治县,海南省,1.03,20200110
深圳市,广东省,0.97,20200110
五指山市,海南省,0.83,20200110
上海市,上海市,0.8,20200110
保亭黎族苗族自治县,海南省,0.68,20200110
武汉市,湖北省,0.65,20200110
重庆市,重庆市,0.63,20200110
郑州市,河南省,0.57,20200110
长沙市,湖南省,0.55,20200110
成都市,四川省,0.54,20200110
天津市,天津市,0.48,20200110
西安市,陕西省,0.48,20200110
南宁市,广西壮族自治区,0.43,20200110
杭州市,浙江省,0.42,20200110
南京市,江苏省,0.41,20200110
南昌市,江西省,0.32,20200110
佛山市,广东省,0.32,20200110
厦门市,福建省,0.31,20200110
哈尔滨市,黑龙江省,0.29,20200110
太原市,山西省,0.28,20200110
贵阳市,贵州省,0.27,20200110
北海市,广西壮族自治区,0.26,20200110
长春市,吉林省,0.26,20200110
兰州市,甘肃省,0.25,20200110
福州市,福建省,0.25,20200110
昆明市,云南省,0.24,20200110
沈阳市,辽宁省,0.22,20200110
商丘市,河南省,0.2,20200110
东莞市,广东省,0.2,20200110
合肥市,安徽省,0.19,20200110
泉州市,福建省,0.19,20200110
烟台市,山东省,0.19,20200110
青岛市,山东省,0.18,20200110
澄迈县,海南省,12.77,20200111
三亚市,海南省,10.15,20200111
文昌市,海南省,9.23,20200111
儋州市,海南省,8.94,20200111
定安县,海南省,5.54,20200111
琼海市,海南省,4.89,20200111
临高县,海南省,4.4,20200111
万宁市,海南省,4.24,20200111
东方市,海南省,2.89,20200111
屯昌县,海南省,2.74,20200111
陵水黎族自治县,海南省,2.59,20200111
昌江黎族自治县,海南省,2.24,20200111
琼中黎族苗族自治县,海南省,2.02,20200111
乐东黎族自治县,海南省,2.01,20200111
湛江市,广东省,1.67,20200111
白沙黎族自治县,海南省,1.66,20200111
广州市,广东省,1.31,20200111
北京市,北京市,1.2,20200111
五指山市,海南省,0.99,20200111
深圳市,广东省,0.97,20200111
保亭黎族苗族自治县,海南省,0.86,20200111
上海市,上海市,0.7,20200111
武汉市,湖北省,0.62,20200111
郑州市,河南省,0.57,20200111
长沙市,湖南省,0.57,20200111
南昌市,江西省,0.48,20200111
重庆市,重庆市,0.45,20200111
西安市,陕西省,0.42,20200111
南宁市,广西壮族自治区,0.42,20200111
成都市,四川省,0.42,20200111
天津市,天津市,0.38,20200111
哈尔滨市,黑龙江省,0.28,20200111
南京市,江苏省,0.27,20200111
太原市,山西省,0.26,20200111
昆明市,云南省,0.26,20200111
杭州市,浙江省,0.25,20200111
北海市,广西壮族自治区,0.24,20200111
长春市,吉林省,0.24,20200111
佛山市,广东省,0.23,20200111
沈阳市,辽宁省,0.22,20200111
石家庄市,河北省,0.22,20200111
厦门市,福建省,0.21,20200111
东莞市,广东省,0.19,20200111
三沙市,海南省,0.18,20200111
贵阳市,贵州省,0.17,20200111
珠海市,广东省,0.17,20200111
