city_name,province_name,value,date
澄迈县,海南省,15.94,20200101
文昌市,海南省,12.1,20200101
定安县,海南省,7.6,20200101
儋州市,海南省,6.95,20200101
三亚市,海南省,6.8,20200101
临高县,海南省,6.3,20200101
万宁市,海南省,5.42,20200101
琼海市,海南省,4.78,20200101
屯昌县,海南省,3.44,20200101
乐东黎族自治县,海南省,2.83,20200101
湛江市,广东省,2.38,20200101
东方市,海南省,2.24,20200101
陵水黎族自治县,海南省,1.94,20200101
昌江黎族自治县,海南省,1.56,20200101
琼中黎族苗族自治县,海南省,1.34,20200101
广州市,广东省,1.07,20200101
北京市,北京市,0.9,20200101
白沙黎族自治县,海南省,0.75,20200101
长沙市,湖南省,0.65,20200101
保亭黎族苗族自治县,海南省,0.61,20200101
深圳市,广东省,0.59,20200101
五指山市,海南省,0.57,20200101
重庆市,重庆市,0.53,20200101
上海市,上海市,0.43,20200101
成都市,四川省,0.35,20200101
南宁市,广西壮族自治区,0.33,20200101
武汉市,湖北省,0.32,20200101
佛山市,广东省,0.3,20200101
郑州市,河南省,0.26,20200101
南昌市,江西省,0.24,20200101
西安市,陕西省,0.23,20200101
昆明市,云南省,0.21,20200101
杭州市,浙江省,0.2,20200101
厦门市,福建省,0.19,20200101
巴中市,四川省,0.17,20200101
茂名市,广东省,0.17,20200101
北海市,广西壮族自治区,0.16,20200101
南京市,江苏省,0.16,20200101
贵阳市,贵州省,0.15,20200101
桂林市,广西壮族自治区,0.15,20200101
珠海市,广东省,0.15,20200101
天津市,天津市,0.14,20200101
东莞市,广东省,0.13,20200101
沈阳市,辽宁省,0.13,20200101
石家庄市,河北省,0.13,20200101
太原市,山西省,0.12,20200101
哈尔滨市,黑龙江省,0.11,20200101
呼和浩特市,内蒙古自治区,0.11,20200101
长春市,吉林省,0.1,20200101
福州市,福建省,0.1,20200101
澄迈县,海南省,9.95,20200102
三亚市,海南省,8.91,20200102
文昌市,海南省,8.18,20200102
儋州市,海南省,6.36,20200102
临高县,海南省,5.25,20200102
万宁市,海南省,4.88,20200102
琼海市,海南省,4.58,20200102
定安县,海南省,4.49,20200102
屯昌县,海南省,2.8,20200102
东方市,海南省,2.65,20200102
乐东黎族自治县,海南省,2.5,20200102
陵水黎族自治县,海南省,2.29,20200102
湛江市,广东省,2.17,20200102
昌江黎族自治县,海南省,1.91,20200102
广州市,广东省,1.62,20200102
琼中黎族苗族自治县,海南省,1.48,20200102
北京市,北京市,1.31,20200102
重庆市,重庆市,1.23,20200102
白沙黎族自治县,海南省,0.92,20200102
保亭黎族苗族自治县,海南省,0.87,20200102
五指山市,海南省,0.8,20200102
深圳市,广东省,0.79,20200102
长沙市,湖南省,0.77,20200102
上海市,上海市,0.65,20200102
巴中市,四川省,0.46,20200102
西安市,陕西省,0.42,20200102
成都市,四川省,0.42,20200102
佛山市,广东省,0.41,20200102
杭州市,浙江省,0.39,20200102
武汉市,湖北省,0.37,20200102
南宁市,广西壮族自治区,0.37,20200102
郑州市,河南省,0.37,20200102
厦门市,福建省,0.36,20200102
黄冈市,湖北省,0.28,20200102
常德市,湖南省,0.27,20200102
昆明市,云南省,0.26,20200102
达州市,四川省,0.26,20200102
茂名市,广东省,0.25,20200102
荆州市,湖北省,0.24,20200102
宜春市,江西省,0.24,20200102
贵阳市,贵州省,0.23,20200102
北海市,广西壮族自治区,0.23,20200102
南京市,江苏省,0.22,20200102
东莞市,广东省,0.22,20200102
泉州市,福建省,0.21,20200102
南昌市,江西省,0.2,20200102
广安市,四川省,0.2,20200102
玉林市,广西壮族自治区,0.19,20200102
邵阳市,湖南省,0.19,20200102
天津市,天津市,0.18,20200102
澄迈县,海南省,12.29,20200103
文昌市,海南省,11.35,20200103
三亚市,海南省,7.67,20200103
儋州市,海南省,6.7,20200103
临高县,海南省,5.85,20200103
定安县,海南省,5.68,20200103
万宁市,海南省,5.48,20200103
琼海市,海南省,5.39,20200103
屯昌县,海南省,3.33,20200103
东方市,海南省,2.94,20200103
乐东黎族自治县,海南省,2.58,20200103
湛江市,广东省,2.25,20200103
陵水黎族自治县,海南省,2.12,20200103
昌江黎族自治县,海南省,1.7,20200103
琼中黎族苗族自治县,海南省,1.47,20200103
广州市,广东省,1.31,20200103
保亭黎族苗族自治县,海南省,0.9,20200103
重庆市,重庆市,0.89,20200103
北京市,北京市,0.87,20200103
白沙黎族自治县,海南省,0.78,20200103
深圳市,广东省,0.74,20200103
五指山市,海南省,0.7,20200103
长沙市,湖南省,0.41,20200103
南宁市,广西壮族自治区,0.39,20200103
上海市,上海市,0.38,20200103
巴中市,四川省,0.38,20200103
成都市,四川省,0.34,20200103
郑州市,河南省,0.32,20200103
贵阳市,贵州省,0.29,20200103
佛山市,广东省,0.28,20200103
西安市,陕西省,0.28,20200103
武汉市,湖北省,0.28,20200103
昆明市,云南省,0.25,20200103
杭州市,浙江省,0.23,20200103
天津市,天津市,0.2,20200103
黄冈市,湖北省,0.2,20200103
太原市,山西省,0.2,20200103
南昌市,江西省,0.19,20200103
珠海市,广东省,0.17,20200103
北海市,广西壮族自治区,0.17,20200103
哈尔滨市,黑龙江省,0.17,20200103
安庆市,安徽省,0.16,20200103
常德市,湖南省,0.16,20200103
南京市,江苏省,0.15,20200103
荆州市,湖北省,0.15,20200103
东莞市,广东省,0.15,20200103
桂林市,广西壮族自治区,0.15,20200103
泉州市,福建省,0.14,20200103
遵义市,贵州省,0.14,20200103
南阳市,河南省,0.14,20200103
澄迈县,海南省,13.62,20200104
文昌市,海南省,12.63,20200104
儋州市,海南省,7.0,20200104
三亚市,海南省,6.89,20200104
定安县,海南省,5.68,20200104
临高县,海南省,5.43,20200104
琼海市,海南省,5.42,20200104
万宁市,海南省,5.06,20200104
屯昌县,海南省,2.98,20200104
东方市,海南省,2.53,20200104
乐东黎族自治县,海南省,2.53,20200104
湛江市,广东省,2.16,20200104
陵水黎族自治县,海南省,2.12,20200104
昌江黎族自治县,海南省,1.78,20200104
琼中黎族苗族自治县,海南省,1.47,20200104
广州市,广东省,1.11,20200104
白沙黎族自治县,海南省,0.96,20200104
保亭黎族苗族自治县,海南省,0.88,20200104
五指山市,海南省,0.83,20200104
北京市,北京市,0.79,20200104
重庆市,重庆市,0.73,20200104
深圳市,广东省,0.72,20200104
长沙市,湖南省,0.43,20200104
上海市,上海市,0.39,20200104
武汉市,湖北省,0.33,20200104
南宁市,广西壮族自治区,0.31,20200104
郑州市,河南省,0.29,20200104
成都市,四川省,0.27,20200104
巴中市,四川省,0.27,20200104
昆明市,云南省,0.26,20200104
贵阳市,贵州省,0.26,20200104
杭州市,浙江省,0.26,20200104
西安市,陕西省,0.22,20200104
黄冈市,湖北省,0.21,20200104
常德市,湖南省,0.21,20200104
佛山市,广东省,0.2,20200104
厦门市,福建省,0.2,20200104
茂名市,广东省,0.19,20200104
荆州市,湖北省,0.19,20200104
邵阳市,湖南省,0.17,20200104
合肥市,安徽省,0.16,20200104
南昌市,江西省,0.15,20200104
衡阳市,湖南省,0.15,20200104
北海市,广西壮族自治区,0.15,20200104
桂林市,广西壮族自治区,0.14,20200104
哈尔滨市,黑龙江省,0.14,20200104
兰州市,甘肃省,0.14,20200104
南京市,江苏省,0.14,20200104
泉州市,福建省,0.14,20200104
东莞市,广东省,0.13,20200104
澄迈县,海南省,13.68,20200105
文昌市,海南省,9.71,20200105
儋州市,海南省,8.3,20200105
三亚市,海南省,7.9,20200105
定安县,海南省,5.74,20200105
临高县,海南省,5.1,20200105
万宁市,海南省,4.87,20200105
琼海市,海南省,4.73,20200105
东方市,海南省,2.97,20200105
屯昌县,海南省,2.95,20200105
陵水黎族自治县,海南省,2.43,20200105
昌江黎族自治县,海南省,2.15,20200105
乐东黎族自治县,海南省,1.97,20200105
湛江市,广东省,1.75,20200105
琼中黎族苗族自治县,海南省,1.72,20200105
白沙黎族自治县,海南省,1.52,20200105
广州市,广东省,1.12,20200105
五指山市,海南省,1.1,20200105
北京市,北京市,0.91,20200105
保亭黎族苗族自治县,海南省,0.88,20200105
深圳市,广东省,0.82,20200105
重庆市,重庆市,0.77,20200105
南宁市,广西壮族自治区,0.48,20200105
上海市,上海市,0.44,20200105
长沙市,湖南省,0.4,20200105
昆明市,云南省,0.37,20200105
成都市,四川省,0.36,20200105
郑州市,河南省,0.36,20200105
巴中市,四川省,0.34,20200105
贵阳市,贵州省,0.29,20200105
武汉市,湖北省,0.28,20200105
佛山市,广东省,0.28,20200105
西安市,陕西省,0.26,20200105
黄冈市,湖北省,0.24,20200105
杭州市,浙江省,0.22,20200105
茂名市,广东省,0.21,20200105
南昌市,江西省,0.2,20200105
天津市,天津市,0.19,20200105
宜春市,江西省,0.18,20200105
东莞市,广东省,0.18,20200105
南京市,江苏省,0.17,20200105
厦门市,福建省,0.17,20200105
太原市,山西省,0.17,20200105
荆州市,湖北省,0.17,20200105
玉林市,广西壮族自治区,0.16,20200105
广安市,四川省,0.15,20200105
黔南布依族苗族自治州,贵州省,0.15,20200105
赣州市,江西省,0.14,20200105
常德市,湖南省,0.14,20200105
石家庄市,河北省,0.14,20200105
澄迈县,海南省,13.59,20200106
文昌市,海南省,8.33,20200106
三亚市,海南省,7.9,20200106
儋州市,海南省,7.24,20200106
定安县,海南省,5.63,20200106
临高县,海南省,4.56,20200106
琼海市,海南省,4.48,20200106
万宁市,海南省,4.36,20200106
屯昌县,海南省,2.83,20200106
东方市,海南省,2.67,20200106
乐东黎族自治县,海南省,2.34,20200106
陵水黎族自治县,海南省,2.23,20200106
湛江市,广东省,2.12,20200106
昌江黎族自治县,海南省,1.99,20200106
琼中黎族苗族自治县,海南省,1.82,20200106
广州市,广东省,1.26,20200106
北京市,北京市,1.04,20200106
重庆市,重庆市,1.04,20200106
白沙黎族自治县,海南省,0.9,20200106
保亭黎族苗族自治县,海南省,0.85,20200106
五指山市,海南省,0.84,20200106
深圳市,广东省,0.8,20200106
上海市,上海市,0.61,20200106
巴中市,四川省,0.56,20200106
南宁市,广西壮族自治区,0.46,20200106
长沙市,湖南省,0.43,20200106
成都市,四川省,0.4,20200106
武汉市,湖北省,0.38,20200106
郑州市,河南省,0.35,20200106
昆明市,云南省,0.34,20200106
西安市,陕西省,0.33,20200106
茂名市,广东省,0.31,20200106
佛山市,广东省,0.31,20200106
黄冈市,湖北省,0.28,20200106
贵阳市,贵州省,0.28,20200106
杭州市,浙江省,0.27,20200106
宜春市,江西省,0.26,20200106
南京市,江苏省,0.25,20200106
南昌市,江西省,0.24,20200106
东莞市,广东省,0.23,20200106
天津市,天津市,0.22,20200106
哈尔滨市,黑龙江省,0.22,20200106
广安市,四川省,0.22,20200106
荆州市,湖北省,0.21,20200106
常德市,湖南省,0.2,20200106
九江市,江西省,0.2,20200106
泉州市,福建省,0.2,20200106
安庆市,安徽省,0.19,20200106
厦门市,福建省,0.19,20200106
岳阳市,湖南省,0.18,20200106
澄迈县,海南省,13.54,20200107
文昌市,海南省,8.47,20200107
三亚市,海南省,7.58,20200107
儋州市,海南省,7.53,20200107
临高县,海南省,5.74,20200107
定安县,海南省,5.14,20200107
万宁市,海南省,4.08,20200107
琼海市,海南省,3.86,20200107
屯昌县,海南省,2.81,20200107
东方市,海南省,2.51,20200107
乐东黎族自治县,海南省,2.21,20200107
湛江市,广东省,2.2,20200107
陵水黎族自治县,海南省,1.95,20200107
琼中黎族苗族自治县,海南省,1.68,20200107
昌江黎族自治县,海南省,1.68,20200107
广州市,广东省,1.38,20200107
北京市,北京市,1.15,20200107
重庆市,重庆市,1.02,20200107
白沙黎族自治县,海南省,0.97,20200107
五指山市,海南省,0.8,20200107
深圳市,广东省,0.73,20200107
保亭黎族苗族自治县,海南省,0.66,20200107
上海市,上海市,0.62,20200107
巴中市,四川省,0.53,20200107
南宁市,广西壮族自治区,0.45,20200107
成都市,四川省,0.44,20200107
武汉市,湖北省,0.42,20200107
长沙市,湖南省,0.41,20200107
西安市,陕西省,0.39,20200107
郑州市,河南省,0.38,20200107
黄冈市,湖北省,0.34,20200107
杭州市,浙江省,0.34,20200107
常德市,湖南省,0.33,20200107
茂名市,广东省,0.29,20200107
三沙市,海南省,0.28,20200107
昆明市,云南省,0.25,20200107
南京市,江苏省,0.25,20200107
泉州市,福建省,0.24,20200107
宜春市,江西省,0.24,20200107
贵阳市,贵州省,0.23,20200107
佛山市,广东省,0.22,20200107
荆州市,湖北省,0.22,20200107
桂林市,广西壮族自治区,0.22,20200107
东莞市,广东省,0.22,20200107
哈尔滨市,黑龙江省,0.21,20200107
广安市,四川省,0.21,20200107
太原市,山西省,0.2,20200107
安庆市,安徽省,0.2,20200107
兰州市,甘肃省,0.2,20200107
遵义市,贵州省,0.2,20200107
澄迈县,海南省,13.5,20200108
文昌市,海南省,8.13,20200108
三亚市,海南省,7.45,20200108
儋州市,海南省,5.84,20200108
定安县,海南省,5.24,20200108
临高县,海南省,4.83,20200108
琼海市,海南省,4.18,20200108
万宁市,海南省,4.1,20200108
屯昌县,海南省,3.01,20200108
东方市,海南省,2.45,20200108
湛江市,广东省,2.35,20200108
乐东黎族自治县,海南省,2.34,20200108
陵水黎族自治县,海南省,2.12,20200108
昌江黎族自治县,海南省,1.76,20200108
广州市,广东省,1.39,20200108
琼中黎族苗族自治县,海南省,1.37,20200108
北京市,北京市,1.16,20200108
重庆市,重庆市,1.16,20200108
白沙黎族自治县,海南省,0.96,20200108
深圳市,广东省,0.79,20200108
上海市,上海市,0.74,20200108
保亭黎族苗族自治县,海南省,0.71,20200108
南宁市,广西壮族自治区,0.67,20200108
巴中市,四川省,0.67,20200108
五指山市,海南省,0.63,20200108
郑州市,河南省,0.54,20200108
成都市,四川省,0.51,20200108
武汉市,湖北省,0.44,20200108
长沙市,湖南省,0.42,20200108
西安市,陕西省,0.34,20200108
宜春市,江西省,0.33,20200108
昆明市,云南省,0.33,20200108
贵阳市,贵州省,0.33,20200108
南京市,江苏省,0.31,20200108
黄冈市,湖北省,0.31,20200108
佛山市,广东省,0.29,20200108
杭州市,浙江省,0.28,20200108
南昌市,江西省,0.28,20200108
九江市,江西省,0.27,20200108
桂林市,广西壮族自治区,0.26,20200108
太原市,山西省,0.25,20200108
天津市,天津市,0.23,20200108
达州市,四川省,0.22,20200108
哈尔滨市,黑龙江省,0.22,20200108
安庆市,安徽省,0.22,20200108
东莞市,广东省,0.21,20200108
茂名市,广东省,0.21,20200108
荆州市,湖北省,0.21,20200108
玉林市,广西壮族自治区,0.21,20200108
铜仁市,贵州省,0.21,20200108
澄迈县,海南省,11.84,20200109
文昌市,海南省,8.17,20200109
三亚市,海南省,6.96,20200109
儋州市,海南省,6.05,20200109
万宁市,海南省,4.64,20200109
定安县,海南省,4.48,20200109
琼海市,海南省,4.3,20200109
临高县,海南省,3.99,20200109
乐东黎族自治县,海南省,2.63,20200109
湛江市,广东省,2.58,20200109
屯昌县,海南省,2.46,20200109
东方市,海南省,2.39,20200109
陵水黎族自治县,海南省,1.99,20200109
昌江黎族自治县,海南省,1.65,20200109
重庆市,重庆市,1.39,20200109
广州市,广东省,1.34,20200109
琼中黎族苗族自治县,海南省,1.27,20200109
北京市,北京市,1.16,20200109
巴中市,四川省,0.98,20200109
白沙黎族自治县,海南省,0.97,20200109
深圳市,广东省,0.86,20200109
保亭黎族苗族自治县,海南省,0.76,20200109
上海市,上海市,0.65,20200109
五指山市,海南省,0.61,20200109
长沙市,湖南省,0.61,20200109
南宁市,广西壮族自治区,0.55,20200109
成都市,四川省,0.53,20200109
西安市,陕西省,0.5,20200109
武汉市,湖北省,0.49,20200109
郑州市,河南省,0.48,20200109
黄冈市,湖北省,0.39,20200109
贵阳市,贵州省,0.38,20200109
常德市,湖南省,0.38,20200109
宜春市,江西省,0.37,20200109
广安市,四川省,0.34,20200109
玉林市,广西壮族自治区,0.33,20200109
泉州市,福建省,0.31,20200109
佛山市,广东省,0.31,20200109
厦门市,福建省,0.29,20200109
达州市,四川省,0.29,20200109
南京市,江苏省,0.29,20200109
杭州市,浙江省,0.29,20200109
昆明市,云南省,0.28,20200109
茂名市,广东省,0.28,20200109
荆州市,湖北省,0.28,20200109
桂林市,广西壮族自治区,0.25,20200109
天津市,天津市,0.25,20200109
东莞市,广东省,0.25,20200109
遵义市,贵州省,0.24,20200109
永州市,湖南省,0.24,20200109
澄迈县,海南省,13.46,20200110
文昌市,海南省,9.04,20200110
三亚市,海南省,6.64,20200110
儋州市,海南省,6.23,20200110
定安县,海南省,5.16,20200110
临高县,海南省,5.06,20200110
万宁市,海南省,4.87,20200110
琼海市,海南省,4.56,20200110
湛江市,广东省,4.13,20200110
屯昌县,海南省,2.73,20200110
乐东黎族自治县,海南省,2.59,20200110
东方市,海南省,2.34,20200110
陵水黎族自治县,海南省,2.12,20200110
昌江黎族自治县,海南省,1.54,20200110
广州市,广东省,1.35,20200110
琼中黎族苗族自治县,海南省,1.2,20200110
重庆市,重庆市,1.18,20200110
北京市,北京市,1.04,20200110
深圳市,广东省,0.84,20200110
白沙黎族自治县,海南省,0.81,20200110
保亭黎族苗族自治县,海南省,0.72,20200110
南宁市,广西壮族自治区,0.71,20200110
五指山市,海南省,0.63,20200110
上海市,上海市,0.57,20200110
巴中市,四川省,0.56,20200110
长沙市,湖南省,0.55,20200110
成都市,四川省,0.42,20200110
西安市,陕西省,0.41,20200110
郑州市,河南省,0.41,20200110
武汉市,湖北省,0.38,20200110
贵阳市,贵州省,0.36,20200110
佛山市,广东省,0.29,20200110
杭州市,浙江省,0.29,20200110
常德市,湖南省,0.27,20200110
昆明市,云南省,0.27,20200110
南京市,江苏省,0.25,20200110
黄冈市,湖北省,0.24,20200110
厦门市,福建省,0.23,20200110
桂林市,广西壮族自治区,0.22,20200110
天津市,天津市,0.22,20200110
宜春市,江西省,0.22,20200110
泉州市,福建省,0.21,20200110
玉林市,广西壮族自治区,0.21,20200110
茂名市,广东省,0.21,20200110
东莞市,广东省,0.21,20200110
北海市,广西壮族自治区,0.21,20200110
南昌市,江西省,0.2,20200110
遵义市,贵州省,0.2,20200110
咸阳市,陕西省,0.2,20200110
荆州市,湖北省,0.19,20200110
澄迈县,海南省,12.33,20200111
文昌市,海南省,11.75,20200111
万宁市,海南省,7.1,20200111
儋州市,海南省,6.77,20200111
三亚市,海南省,5.96,20200111
定安县,海南省,5.63,20200111
临高县,海南省,5.31,20200111
琼海市,海南省,5.23,20200111
湛江市,广东省,3.37,20200111
乐东黎族自治县,海南省,2.94,20200111
屯昌县,海南省,2.89,20200111
东方市,海南省,2.74,20200111
陵水黎族自治县,海南省,1.99,20200111
昌江黎族自治县,海南省,1.65,20200111
