city_name,province_name,value,date
宿州市,安徽省,42.6,20200101
亳州市,安徽省,8.77,20200101
徐州市,江苏省,7.92,20200101
合肥市,安徽省,6.35,20200101
商丘市,河南省,5.32,20200101
阜阳市,安徽省,2.75,20200101
蚌埠市,安徽省,2.63,20200101
上海市,上海市,2.39,20200101
南京市,江苏省,2.24,20200101
淮南市,安徽省,1.44,20200101
苏州市,江苏省,1.43,20200101
滁州市,安徽省,1.12,20200101
杭州市,浙江省,0.8,20200101
芜湖市,安徽省,0.69,20200101
北京市,北京市,0.66,20200101
六安市,安徽省,0.53,20200101
无锡市,江苏省,0.5,20200101
常州市,江苏省,0.47,20200101
临沂市,山东省,0.4,20200101
宁波市,浙江省,0.38,20200101
宿迁市,江苏省,0.38,20200101
济宁市,山东省,0.35,20200101
菏泽市,山东省,0.32,20200101
郑州市,河南省,0.31,20200101
南通市,江苏省,0.31,20200101
安庆市,安徽省,0.29,20200101
宣城市,安徽省,0.28,20200101
枣庄市,山东省,0.28,20200101
武汉市,湖北省,0.24,20200101
马鞍山市,安徽省,0.22,20200101
连云港市,江苏省,0.21,20200101
济南市,山东省,0.2,20200101
淮安市,江苏省,0.2,20200101
金华市,浙江省,0.17,20200101
深圳市,广东省,0.17,20200101
泰州市,江苏省,0.16,20200101
周口市,河南省,0.15,20200101
盐城市,江苏省,0.15,20200101
西安市,陕西省,0.14,20200101
湖州市,浙江省,0.14,20200101
天津市,天津市,0.14,20200101
扬州市,江苏省,0.14,20200101
池州市,安徽省,0.13,20200101
镇江市,江苏省,0.13,20200101
嘉兴市,浙江省,0.13,20200101
重庆市,重庆市,0.12,20200101
绍兴市,浙江省,0.12,20200101
铜陵市,安徽省,0.11,20200101
青岛市,山东省,0.11,20200101
哈尔滨市,黑龙江省,0.1,20200101
宿州市,安徽省,29.88,20200102
合肥市,安徽省,9.77,20200102
亳州市,安徽省,8.28,20200102
徐州市,江苏省,6.64,20200102
阜阳市,安徽省,3.65,20200102
商丘市,河南省,3.51,20200102
上海市,上海市,3.28,20200102
蚌埠市,安徽省,2.72,20200102
南京市,江苏省,2.69,20200102
淮南市,安徽省,2.06,20200102
滁州市,安徽省,2.0,20200102
苏州市,江苏省,1.7,20200102
北京市,北京市,0.96,20200102
六安市,安徽省,0.92,20200102
杭州市,浙江省,0.91,20200102
芜湖市,安徽省,0.82,20200102
无锡市,江苏省,0.74,20200102
宁波市,浙江省,0.73,20200102
安庆市,安徽省,0.7,20200102
枣庄市,山东省,0.57,20200102
临沂市,山东省,0.57,20200102
连云港市,江苏省,0.53,20200102
南通市,江苏省,0.49,20200102
济宁市,山东省,0.48,20200102
常州市,江苏省,0.44,20200102
郑州市,河南省,0.44,20200102
宿迁市,江苏省,0.39,20200102
淮安市,江苏省,0.37,20200102
菏泽市,山东省,0.36,20200102
成都市,四川省,0.35,20200102
宣城市,安徽省,0.34,20200102
济南市,山东省,0.34,20200102
武汉市,湖北省,0.32,20200102
镇江市,江苏省,0.3,20200102
马鞍山市,安徽省,0.29,20200102
盐城市,江苏省,0.29,20200102
天津市,天津市,0.28,20200102
池州市,安徽省,0.26,20200102
嘉兴市,浙江省,0.26,20200102
周口市,河南省,0.24,20200102
铜陵市,安徽省,0.22,20200102
泰州市,江苏省,0.22,20200102
青岛市,山东省,0.21,20200102
西安市,陕西省,0.21,20200102
新乡市,河南省,0.2,20200102
扬州市,江苏省,0.2,20200102
金华市,浙江省,0.2,20200102
广州市,广东省,0.18,20200102
信阳市,河南省,0.17,20200102
深圳市,广东省,0.16,20200102
宿州市,安徽省,39.49,20200103
合肥市,安徽省,8.34,20200103
亳州市,安徽省,7.78,20200103
徐州市,江苏省,7.06,20200103
商丘市,河南省,4.82,20200103
蚌埠市,安徽省,2.94,20200103
阜阳市,安徽省,2.81,20200103
南京市,江苏省,2.15,20200103
上海市,上海市,1.94,20200103
淮南市,安徽省,1.75,20200103
滁州市,安徽省,1.21,20200103
苏州市,江苏省,1.21,20200103
杭州市,浙江省,1.0,20200103
芜湖市,安徽省,0.92,20200103
六安市,安徽省,0.7,20200103
北京市,北京市,0.65,20200103
枣庄市,山东省,0.55,20200103
安庆市,安徽省,0.52,20200103
无锡市,江苏省,0.47,20200103
临沂市,山东省,0.46,20200103
济宁市,山东省,0.43,20200103
郑州市,河南省,0.4,20200103
常州市,江苏省,0.36,20200103
盐城市,江苏省,0.35,20200103
宁波市,浙江省,0.33,20200103
南通市,江苏省,0.32,20200103
马鞍山市,安徽省,0.31,20200103
宣城市,安徽省,0.3,20200103
菏泽市,山东省,0.29,20200103
连云港市,江苏省,0.28,20200103
青岛市,山东省,0.25,20200103
宿迁市,江苏省,0.24,20200103
周口市,河南省,0.24,20200103
武汉市,湖北省,0.24,20200103
黄山市,安徽省,0.22,20200103
镇江市,江苏省,0.21,20200103
扬州市,江苏省,0.21,20200103
济南市,山东省,0.2,20200103
重庆市,重庆市,0.19,20200103
成都市,四川省,0.18,20200103
温州市,浙江省,0.18,20200103
潍坊市,山东省,0.18,20200103
湖州市,浙江省,0.18,20200103
池州市,安徽省,0.18,20200103
金华市,浙江省,0.17,20200103
西安市,陕西省,0.17,20200103
泰州市,江苏省,0.16,20200103
绍兴市,浙江省,0.16,20200103
淮安市,江苏省,0.15,20200103
铜陵市,安徽省,0.14,20200103
宿州市,安徽省,42.63,20200104
亳州市,安徽省,8.92,20200104
徐州市,江苏省,7.7,20200104
合肥市,安徽省,6.93,20200104
商丘市,河南省,5.25,20200104
蚌埠市,安徽省,2.83,20200104
阜阳市,安徽省,2.3,20200104
南京市,江苏省,1.97,20200104
上海市,上海市,1.71,20200104
淮南市,安徽省,1.58,20200104
滁州市,安徽省,0.98,20200104
苏州市,江苏省,0.93,20200104
六安市,安徽省,0.76,20200104
芜湖市,安徽省,0.7,20200104
临沂市,山东省,0.63,20200104
枣庄市,山东省,0.57,20200104
北京市,北京市,0.5,20200104
杭州市,浙江省,0.45,20200104
济宁市,山东省,0.38,20200104
安庆市,安徽省,0.38,20200104
无锡市,江苏省,0.37,20200104
郑州市,河南省,0.35,20200104
宿迁市,江苏省,0.35,20200104
常州市,江苏省,0.32,20200104
宁波市,浙江省,0.32,20200104
周口市,河南省,0.31,20200104
菏泽市,山东省,0.29,20200104
池州市,安徽省,0.28,20200104
南通市,江苏省,0.27,20200104
连云港市,江苏省,0.25,20200104
马鞍山市,安徽省,0.24,20200104
泰州市,江苏省,0.21,20200104
宣城市,安徽省,0.2,20200104
扬州市,江苏省,0.19,20200104
济南市,山东省,0.19,20200104
