city_name,province_name,value,date
东莞市,广东省,34.63,20200101
惠州市,广东省,17.0,20200101
广州市,广东省,8.7,20200101
香港,香港,2.42,20200101
佛山市,广东省,2.28,20200101
河源市,广东省,1.73,20200101
中山市,广东省,1.61,20200101
汕尾市,广东省,1.6,20200101
茂名市,广东省,1.53,20200101
梅州市,广东省,1.39,20200101
揭阳市,广东省,1.2,20200101
湛江市,广东省,1.19,20200101
珠海市,广东省,1.12,20200101
北京市,北京市,0.87,20200101
汕头市,广东省,0.84,20200101
上海市,上海市,0.76,20200101
江门市,广东省,0.73,20200101
长沙市,湖南省,0.68,20200101
韶关市,广东省,0.62,20200101
赣州市,江西省,0.61,20200101
清远市,广东省,0.58,20200101
武汉市,湖北省,0.52,20200101
肇庆市,广东省,0.47,20200101
玉林市,广西壮族自治区,0.44,20200101
南宁市,广西壮族自治区,0.43,20200101
阳江市,广东省,0.43,20200101
成都市,四川省,0.42,20200101
重庆市,重庆市,0.41,20200101
衡阳市,湖南省,0.41,20200101
厦门市,福建省,0.4,20200101
云浮市,广东省,0.39,20200101
邵阳市,湖南省,0.34,20200101
桂林市,广西壮族自治区,0.33,20200101
杭州市,浙江省,0.31,20200101
郴州市,湖南省,0.31,20200101
吉安市,江西省,0.3,20200101
永州市,湖南省,0.29,20200101
西安市,陕西省,0.26,20200101
泉州市,福建省,0.24,20200101
潮州市,广东省,0.24,20200101
南昌市,江西省,0.24,20200101
怀化市,湖南省,0.22,20200101
梧州市,广西壮族自治区,0.22,20200101
贵港市,广西壮族自治区,0.21,20200101
苏州市,江苏省,0.2,20200101
澳门,澳门,0.2,20200101
南京市,江苏省,0.19,20200101
贵阳市,贵州省,0.19,20200101
郑州市,河南省,0.18,20200101
福州市,福建省,0.18,20200101
东莞市,广东省,20.56,20200102
惠州市,广东省,12.74,20200102
广州市,广东省,10.38,20200102
佛山市,广东省,2.9,20200102
香港,香港,2.37,20200102
河源市,广东省,2.21,20200102
汕尾市,广东省,2.09,20200102
北京市,北京市,1.83,20200102
中山市,广东省,1.78,20200102
揭阳市,广东省,1.77,20200102
茂名市,广东省,1.75,20200102
梅州市,广东省,1.65,20200102
湛江市,广东省,1.54,20200102
上海市,上海市,1.45,20200102
