city_name,province_name,value,date
东莞市,广东省,31.4,20200101
惠州市,广东省,14.87,20200101
广州市,广东省,7.86,20200101
香港,香港,4.01,20200101
佛山市,广东省,2.22,20200101
汕尾市,广东省,1.91,20200101
河源市,广东省,1.73,20200101
揭阳市,广东省,1.64,20200101
中山市,广东省,1.46,20200101
梅州市,广东省,1.19,20200101
珠海市,广东省,1.03,20200101
茂名市,广东省,0.92,20200101
汕头市,广东省,0.88,20200101
湛江市,广东省,0.86,20200101
重庆市,重庆市,0.84,20200101
北京市,北京市,0.74,20200101
江门市,广东省,0.73,20200101
清远市,广东省,0.62,20200101
赣州市,江西省,0.57,20200101
长沙市,湖南省,0.57,20200101
上海市,上海市,0.56,20200101
邵阳市,湖南省,0.55,20200101
韶关市,广东省,0.53,20200101
衡阳市,湖南省,0.49,20200101
南宁市,广西壮族自治区,0.48,20200101
玉林市,广西壮族自治区,0.46,20200101
武汉市,湖北省,0.45,20200101
肇庆市,广东省,0.44,20200101
吉安市,江西省,0.43,20200101
郴州市,湖南省,0.43,20200101
永州市,湖南省,0.4,20200101
澳门,澳门,0.4,20200101
成都市,四川省,0.37,20200101
桂林市,广西壮族自治区,0.34,20200101
厦门市,福建省,0.34,20200101
黄冈市,湖北省,0.33,20200101
怀化市,湖南省,0.32,20200101
阳江市,广东省,0.3,20200101
云浮市,广东省,0.28,20200101
驻马店市,河南省,0.28,20200101
南阳市,河南省,0.28,20200101
荆州市,湖北省,0.26,20200101
株洲市,湖南省,0.25,20200101
杭州市,浙江省,0.25,20200101
潮州市,广东省,0.24,20200101
西安市,陕西省,0.24,20200101
达州市,四川省,0.24,20200101
百色市,广西壮族自治区,0.24,20200101
九江市,江西省,0.24,20200101
常德市,湖南省,0.24,20200101
东莞市,广东省,17.35,20200102
惠州市,广东省,9.98,20200102
广州市,广东省,7.94,20200102
香港,香港,2.99,20200102
佛山市,广东省,2.49,20200102
河源市,广东省,1.9,20200102
汕尾市,广东省,1.82,20200102
中山市,广东省,1.63,20200102
重庆市,重庆市,1.56,20200102
梅州市,广东省,1.53,20200102
揭阳市,广东省,1.5,20200102
北京市,北京市,1.24,20200102
珠海市,广东省,1.23,20200102
茂名市,广东省,1.16,20200102
湛江市,广东省,1.09,20200102
汕头市,广东省,1.08,20200102
邵阳市,湖南省,0.94,20200102
江门市,广东省,0.91,20200102
上海市,上海市,0.9,20200102
赣州市,江西省,0.88,20200102
衡阳市,湖南省,0.83,20200102
长沙市,湖南省,0.82,20200102
玉林市,广西壮族自治区,0.79,20200102
武汉市,湖北省,0.73,20200102
南宁市,广西壮族自治区,0.73,20200102
永州市,湖南省,0.72,20200102
吉安市,江西省,0.72,20200102
清远市,广东省,0.7,20200102
成都市,四川省,0.7,20200102
郴州市,湖南省,0.67,20200102
韶关市,广东省,0.66,20200102
驻马店市,河南省,0.62,20200102
黄冈市,湖北省,0.61,20200102
怀化市,湖南省,0.6,20200102
厦门市,福建省,0.56,20200102
