city_name,province_name,value,date
广州市,广东省,46.78,20200101
佛山市,广东省,16.51,20200101
韶关市,广东省,5.85,20200101
东莞市,广东省,5.6,20200101
深圳市,广东省,4.17,20200101
肇庆市,广东省,3.14,20200101
中山市,广东省,1.8,20200101
郴州市,湖南省,1.56,20200101
惠州市,广东省,1.38,20200101
永州市,湖南省,1.27,20200101
江门市,广东省,1.02,20200101
珠海市,广东省,0.78,20200101
贺州市,广西壮族自治区,0.59,20200101
云浮市,广东省,0.49,20200101
衡阳市,湖南省,0.43,20200101
湛江市,广东省,0.41,20200101
茂名市,广东省,0.39,20200101
长沙市,湖南省,0.36,20200101
赣州市,江西省,0.33,20200101
河源市,广东省,0.32,20200101
梅州市,广东省,0.32,20200101
阳江市,广东省,0.26,20200101
邵阳市,湖南省,0.26,20200101
重庆市,重庆市,0.24,20200101
贵港市,广西壮族自治区,0.2,20200101
南宁市,广西壮族自治区,0.17,20200101
揭阳市,广东省,0.17,20200101
玉林市,广西壮族自治区,0.16,20200101
香港,香港,0.16,20200101
梧州市,广西壮族自治区,0.14,20200101
汕头市,广东省,0.13,20200101
常德市,湖南省,0.13,20200101
北京市,北京市,0.12,20200101
武汉市,湖北省,0.12,20200101
汕尾市,广东省,0.12,20200101
桂林市,广西壮族自治区,0.11,20200101
杭州市,浙江省,0.1,20200101
株洲市,湖南省,0.09,20200101
岳阳市,湖南省,0.09,20200101
南阳市,河南省,0.08,20200101
益阳市,湖南省,0.08,20200101
澳门,澳门,0.08,20200101
泉州市,福建省,0.08,20200101
娄底市,湖南省,0.08,20200101
宜春市,江西省,0.07,20200101
上海市,上海市,0.07,20200101
吉安市,江西省,0.06,20200101
荆州市,湖北省,0.06,20200101
潮州市,广东省,0.06,20200101
铜仁市,贵州省,0.06,20200101
广州市,广东省,41.04,20200102
佛山市,广东省,15.45,20200102
东莞市,广东省,6.05,20200102
深圳市,广东省,5.46,20200102
韶关市,广东省,4.68,20200102
肇庆市,广东省,2.48,20200102
中山市,广东省,2.17,20200102
惠州市,广东省,1.76,20200102
郴州市,湖南省,1.61,20200102
江门市,广东省,1.2,20200102
永州市,湖南省,1.07,20200102
珠海市,广东省,1.07,20200102
湛江市,广东省,0.8,20200102
云浮市,广东省,0.69,20200102
衡阳市,湖南省,0.54,20200102
贺州市,广西壮族自治区,0.53,20200102
茂名市,广东省,0.5,20200102
长沙市,湖南省,0.49,20200102
梅州市,广东省,0.45,20200102
赣州市,江西省,0.43,20200102
河源市,广东省,0.43,20200102
阳江市,广东省,0.36,20200102
南宁市,广西壮族自治区,0.32,20200102
香港,香港,0.31,20200102
汕头市,广东省,0.27,20200102
揭阳市,广东省,0.27,20200102
邵阳市,湖南省,0.24,20200102
汕尾市,广东省,0.23,20200102
玉林市,广西壮族自治区,0.23,20200102
重庆市,重庆市,0.22,20200102
成都市,四川省,0.21,20200102
梧州市,广西壮族自治区,0.2,20200102
武汉市,湖北省,0.19,20200102
岳阳市,湖南省,0.19,20200102
株洲市,湖南省,0.18,20200102
贵阳市,贵州省,0.17,20200102
北京市,北京市,0.17,20200102
贵港市,广西壮族自治区,0.16,20200102
上海市,上海市,0.15,20200102
福州市,福建省,0.14,20200102
温州市,浙江省,0.12,20200102
吉安市,江西省,0.12,20200102
泉州市,福建省,0.12,20200102
益阳市,湖南省,0.12,20200102
钦州市,广西壮族自治区,0.11,20200102
桂林市,广西壮族自治区,0.1,20200102
郑州市,河南省,0.1,20200102
苏州市,江苏省,0.1,20200102
南昌市,江西省,0.1,20200102
驻马店市,河南省,0.1,20200102
广州市,广东省,48.55,20200103
佛山市,广东省,14.31,20200103
深圳市,广东省,5.58,20200103
东莞市,广东省,5.25,20200103
韶关市,广东省,4.58,20200103
肇庆市,广东省,2.42,20200103
中山市,广东省,1.82,20200103
惠州市,广东省,1.54,20200103
郴州市,湖南省,1.36,20200103
江门市,广东省,1.09,20200103
永州市,湖南省,0.9,20200103
珠海市,广东省,0.89,20200103
湛江市,广东省,0.69,20200103
云浮市,广东省,0.5,20200103
衡阳市,湖南省,0.49,20200103
贺州市,广西壮族自治区,0.42,20200103
茂名市,广东省,0.41,20200103
长沙市,湖南省,0.4,20200103
赣州市,江西省,0.35,20200103
梅州市,广东省,0.3,20200103
河源市,广东省,0.28,20200103
阳江市,广东省,0.25,20200103
邵阳市,湖南省,0.24,20200103
揭阳市,广东省,0.23,20200103
重庆市,重庆市,0.22,20200103
南宁市,广西壮族自治区,0.22,20200103
汕尾市,广东省,0.2,20200103
香港,香港,0.16,20200103
汕头市,广东省,0.16,20200103
梧州市,广西壮族自治区,0.16,20200103
北京市,北京市,0.16,20200103
武汉市,湖北省,0.15,20200103
贵港市,广西壮族自治区,0.15,20200103
常德市,湖南省,0.12,20200103
桂林市,广西壮族自治区,0.12,20200103
宜春市,江西省,0.12,20200103
玉林市,广西壮族自治区,0.11,20200103
泉州市,福建省,0.1,20200103
贵阳市,贵州省,0.1,20200103
株洲市,湖南省,0.1,20200103
益阳市,湖南省,0.1,20200103
潮州市,广东省,0.1,20200103
上海市,上海市,0.1,20200103
成都市,四川省,0.09,20200103
福州市,福建省,0.09,20200103
吉安市,江西省,0.08,20200103
岳阳市,湖南省,0.08,20200103
南昌市,江西省,0.07,20200103
西安市,陕西省,0.07,20200103
杭州市,浙江省,0.07,20200103
广州市,广东省,48.09,20200104
佛山市,广东省,14.6,20200104
东莞市,广东省,5.98,20200104
深圳市,广东省,5.33,20200104
韶关市,广东省,4.88,20200104
肇庆市,广东省,2.85,20200104
中山市,广东省,1.52,20200104
惠州市,广东省,1.49,20200104
郴州市,湖南省,1.25,20200104
永州市,湖南省,1.15,20200104
珠海市,广东省,0.92,20200104
江门市,广东省,0.89,20200104
云浮市,广东省,0.48,20200104
贺州市,广西壮族自治区,0.47,20200104
湛江市,广东省,0.44,20200104
衡阳市,湖南省,0.38,20200104
河源市,广东省,0.33,20200104
茂名市,广东省,0.32,20200104
长沙市,湖南省,0.31,20200104
赣州市,江西省,0.31,20200104
邵阳市,湖南省,0.23,20200104
梅州市,广东省,0.22,20200104
揭阳市,广东省,0.22,20200104
阳江市,广东省,0.2,20200104
香港,香港,0.19,20200104
重庆市,重庆市,0.18,20200104
武汉市,湖北省,0.17,20200104
桂林市,广西壮族自治区,0.16,20200104
南宁市,广西壮族自治区,0.15,20200104
南昌市,江西省,0.14,20200104
上海市,上海市,0.14,20200104
玉林市,广西壮族自治区,0.13,20200104
汕头市,广东省,0.13,20200104
成都市,四川省,0.13,20200104
北京市,北京市,0.12,20200104
汕尾市,广东省,0.11,20200104
梧州市,广西壮族自治区,0.11,20200104
澳门,澳门,0.1,20200104
潮州市,广东省,0.1,20200104
益阳市,湖南省,0.1,20200104
贵港市,广西壮族自治区,0.09,20200104
株洲市,湖南省,0.09,20200104
吉安市,江西省,0.09,20200104
泉州市,福建省,0.08,20200104
娄底市,湖南省,0.08,20200104
福州市,福建省,0.08,20200104
岳阳市,湖南省,0.08,20200104
郑州市,河南省,0.08,20200104
杭州市,浙江省,0.07,20200104
湘潭市,湖南省,0.07,20200104
广州市,广东省,45.66,20200105
佛山市,广东省,15.16,20200105
东莞市,广东省,6.31,20200105
韶关市,广东省,5.9,20200105
深圳市,广东省,4.49,20200105
肇庆市,广东省,3.11,20200105
中山市,广东省,1.74,20200105
郴州市,湖南省,1.46,20200105
惠州市,广东省,1.36,20200105
永州市,湖南省,1.2,20200105
江门市,广东省,1.1,20200105
珠海市,广东省,0.84,20200105
云浮市,广东省,0.61,20200105
贺州市,广西壮族自治区,0.56,20200105
长沙市,湖南省,0.5,20200105
河源市,广东省,0.47,20200105
湛江市,广东省,0.46,20200105
衡阳市,湖南省,0.43,20200105
茂名市,广东省,0.4,20200105
赣州市,江西省,0.35,20200105
梅州市,广东省,0.32,20200105
北京市,北京市,0.26,20200105
阳江市,广东省,0.23,20200105
重庆市,重庆市,0.23,20200105
汕头市,广东省,0.2,20200105
邵阳市,湖南省,0.2,20200105
南宁市,广西壮族自治区,0.19,20200105
武汉市,湖北省,0.19,20200105
揭阳市,广东省,0.18,20200105
汕尾市,广东省,0.17,20200105
香港,香港,0.17,20200105
上海市,上海市,0.15,20200105
成都市,四川省,0.14,20200105
澳门,澳门,0.14,20200105
桂林市,广西壮族自治区,0.13,20200105
梧州市,广西壮族自治区,0.12,20200105
常德市,湖南省,0.12,20200105
郑州市,河南省,0.1,20200105
玉林市,广西壮族自治区,0.1,20200105
潮州市,广东省,0.1,20200105
株洲市,湖南省,0.1,20200105
吉安市,江西省,0.1,20200105
南昌市,江西省,0.08,20200105
娄底市,湖南省,0.07,20200105
泉州市,福建省,0.07,20200105
南阳市,河南省,0.07,20200105
益阳市,湖南省,0.07,20200105
厦门市,福建省,0.07,20200105
贵港市,广西壮族自治区,0.06,20200105
北海市,广西壮族自治区,0.06,20200105
广州市,广东省,44.83,20200106
佛山市,广东省,15.37,20200106
东莞市,广东省,5.97,20200106
韶关市,广东省,5.62,20200106
深圳市,广东省,4.72,20200106
肇庆市,广东省,3.37,20200106
中山市,广东省,1.88,20200106
惠州市,广东省,1.46,20200106
郴州市,湖南省,1.41,20200106
永州市,湖南省,1.2,20200106
江门市,广东省,1.18,20200106
珠海市,广东省,0.84,20200106
云浮市,广东省,0.57,20200106
湛江市,广东省,0.46,20200106
长沙市,湖南省,0.44,20200106
茂名市,广东省,0.44,20200106
衡阳市,湖南省,0.44,20200106
贺州市,广西壮族自治区,0.42,20200106
赣州市,江西省,0.34,20200106
河源市,广东省,0.33,20200106
阳江市,广东省,0.29,20200106
北京市,北京市,0.28,20200106
梅州市,广东省,0.27,20200106
南宁市,广西壮族自治区,0.25,20200106
汕头市,广东省,0.24,20200106
揭阳市,广东省,0.23,20200106
香港,香港,0.22,20200106
汕尾市,广东省,0.19,20200106
邵阳市,湖南省,0.19,20200106
武汉市,湖北省,0.19,20200106
重庆市,重庆市,0.19,20200106
桂林市,广西壮族自治区,0.17,20200106
贵港市,广西壮族自治区,0.15,20200106
上海市,上海市,0.14,20200106
澳门,澳门,0.14,20200106
梧州市,广西壮族自治区,0.13,20200106
株洲市,湖南省,0.12,20200106
潮州市,广东省,0.11,20200106
新余市,江西省,0.1,20200106
杭州市,浙江省,0.1,20200106
成都市,四川省,0.1,20200106
南昌市,江西省,0.09,20200106
常德市,湖南省,0.09,20200106
益阳市,湖南省,0.09,20200106
岳阳市,湖南省,0.09,20200106
郑州市,河南省,0.08,20200106
哈尔滨市,黑龙江省,0.08,20200106
吉安市,江西省,0.08,20200106
娄底市,湖南省,0.07,20200106
湘潭市,湖南省,0.07,20200106
广州市,广东省,44.18,20200107
佛山市,广东省,15.62,20200107
韶关市,广东省,5.82,20200107
东莞市,广东省,5.57,20200107
深圳市,广东省,4.53,20200107
肇庆市,广东省,3.05,20200107
中山市,广东省,1.87,20200107
郴州市,湖南省,1.59,20200107
惠州市,广东省,1.51,20200107
永州市,湖南省,1.23,20200107
江门市,广东省,1.14,20200107
珠海市,广东省,0.89,20200107
湛江市,广东省,0.63,20200107
茂名市,广东省,0.61,20200107
长沙市,湖南省,0.53,20200107
衡阳市,湖南省,0.52,20200107
贺州市,广西壮族自治区,0.5,20200107
云浮市,广东省,0.49,20200107
河源市,广东省,0.39,20200107
赣州市,江西省,0.39,20200107
梅州市,广东省,0.3,20200107
揭阳市,广东省,0.3,20200107
阳江市,广东省,0.27,20200107
汕头市,广东省,0.26,20200107
汕尾市,广东省,0.24,20200107
重庆市,重庆市,0.22,20200107
南宁市,广西壮族自治区,0.21,20200107
邵阳市,湖南省,0.2,20200107
桂林市,广西壮族自治区,0.16,20200107
玉林市,广西壮族自治区,0.15,20200107
武汉市,湖北省,0.15,20200107
北京市,北京市,0.15,20200107
香港,香港,0.14,20200107
上海市,上海市,0.14,20200107
株洲市,湖南省,0.14,20200107
成都市,四川省,0.13,20200107
梧州市,广西壮族自治区,0.13,20200107
南昌市,江西省,0.13,20200107
澳门,澳门,0.12,20200107
潮州市,广东省,0.12,20200107
宜春市,江西省,0.11,20200107
娄底市,湖南省,0.1,20200107
岳阳市,湖南省,0.1,20200107
厦门市,福建省,0.1,20200107
青岛市,山东省,0.09,20200107
贵港市,广西壮族自治区,0.09,20200107
常德市,湖南省,0.09,20200107
湘潭市,湖南省,0.09,20200107
益阳市,湖南省,0.08,20200107
苏州市,江苏省,0.08,20200107
广州市,广东省,44.46,20200108
佛山市,广东省,15.23,20200108
韶关市,广东省,5.6,20200108
东莞市,广东省,5.53,20200108
深圳市,广东省,4.52,20200108
肇庆市,广东省,3.18,20200108
中山市,广东省,2.05,20200108
惠州市,广东省,1.61,20200108
郴州市,湖南省,1.42,20200108
永州市,湖南省,1.17,20200108
江门市,广东省,1.15,20200108
珠海市,广东省,1.0,20200108
茂名市,广东省,0.64,20200108
湛江市,广东省,0.63,20200108
云浮市,广东省,0.5,20200108
贺州市,广西壮族自治区,0.45,20200108
衡阳市,湖南省,0.42,20200108
长沙市,湖南省,0.42,20200108
河源市,广东省,0.37,20200108
阳江市,广东省,0.36,20200108
赣州市,江西省,0.3,20200108
揭阳市,广东省,0.29,20200108
南宁市,广西壮族自治区,0.26,20200108
邵阳市,湖南省,0.26,20200108
汕头市,广东省,0.26,20200108
重庆市,重庆市,0.25,20200108
梅州市,广东省,0.25,20200108
上海市,上海市,0.22,20200108
汕尾市,广东省,0.22,20200108
武汉市,湖北省,0.21,20200108
桂林市,广西壮族自治区,0.2,20200108
香港,香港,0.19,20200108
澳门,澳门,0.13,20200108
株洲市,湖南省,0.13,20200108
信阳市,河南省,0.13,20200108
杭州市,浙江省,0.12,20200108
北京市,北京市,0.12,20200108
玉林市,广西壮族自治区,0.12,20200108
郑州市,河南省,0.12,20200108
岳阳市,湖南省,0.11,20200108
贵港市,广西壮族自治区,0.11,20200108
贵阳市,贵州省,0.1,20200108
南昌市,江西省,0.1,20200108
吉安市,江西省,0.1,20200108
梧州市,广西壮族自治区,0.1,20200108
湘潭市,湖南省,0.09,20200108
福州市,福建省,0.09,20200108
成都市,四川省,0.08,20200108
潮州市,广东省,0.08,20200108
益阳市,湖南省,0.08,20200108
广州市,广东省,44.77,20200109
佛山市,广东省,15.83,20200109
东莞市,广东省,6.03,20200109
深圳市,广东省,5.11,20200109
韶关市,广东省,5.03,20200109
肇庆市,广东省,2.95,20200109
中山市,广东省,2.18,20200109
惠州市,广东省,1.74,20200109
江门市,广东省,1.27,20200109
郴州市,湖南省,1.19,20200109
永州市,湖南省,1.07,20200109
珠海市,广东省,0.97,20200109
湛江市,广东省,0.64,20200109
茂名市,广东省,0.51,20200109
贺州市,广西壮族自治区,0.42,20200109
衡阳市,湖南省,0.4,20200109
河源市,广东省,0.39,20200109
长沙市,湖南省,0.39,20200109
云浮市,广东省,0.35,20200109
阳江市,广东省,0.34,20200109
汕头市,广东省,0.31,20200109
汕尾市,广东省,0.28,20200109
邵阳市,湖南省,0.28,20200109
赣州市,江西省,0.26,20200109
揭阳市,广东省,0.25,20200109
梅州市,广东省,0.21,20200109
重庆市,重庆市,0.2,20200109
武汉市,湖北省,0.2,20200109
香港,香港,0.2,20200109
桂林市,广西壮族自治区,0.17,20200109
