city_name,province_name,value,date
广州市,广东省,42.03,20200101
佛山市,广东省,16.44,20200101
韶关市,广东省,6.45,20200101
东莞市,广东省,5.46,20200101
深圳市,广东省,3.83,20200101
肇庆市,广东省,3.54,20200101
郴州市,湖南省,1.78,20200101
中山市,广东省,1.68,20200101
永州市,湖南省,1.47,20200101
惠州市,广东省,1.35,20200101
江门市,广东省,1.16,20200101
珠海市,广东省,0.76,20200101
云浮市,广东省,0.69,20200101
贺州市,广西壮族自治区,0.69,20200101
衡阳市,湖南省,0.54,20200101
河源市,广东省,0.45,20200101
赣州市,江西省,0.42,20200101
茂名市,广东省,0.38,20200101
梅州市,广东省,0.38,20200101
长沙市,湖南省,0.33,20200101
湛江市,广东省,0.32,20200101
重庆市,重庆市,0.31,20200101
香港,香港,0.3,20200101
邵阳市,湖南省,0.29,20200101
阳江市,广东省,0.29,20200101
常德市,湖南省,0.27,20200101
桂林市,广西壮族自治区,0.24,20200101
贵港市,广西壮族自治区,0.24,20200101
岳阳市,湖南省,0.22,20200101
南宁市,广西壮族自治区,0.21,20200101
揭阳市,广东省,0.2,20200101
荆州市,湖北省,0.19,20200101
梧州市,广西壮族自治区,0.18,20200101
汕尾市,广东省,0.17,20200101
益阳市,湖南省,0.17,20200101
玉林市,广西壮族自治区,0.16,20200101
黔东南苗族侗族自治州,贵州省,0.16,20200101
铜仁市,贵州省,0.16,20200101
汕头市,广东省,0.15,20200101
娄底市,湖南省,0.15,20200101
南阳市,河南省,0.15,20200101
文山壮族苗族自治州,云南省,0.15,20200101
澳门,澳门,0.14,20200101
株洲市,湖南省,0.12,20200101
武汉市,湖北省,0.12,20200101
吉安市,江西省,0.12,20200101
湘潭市,湖南省,0.11,20200101
遵义市,贵州省,0.11,20200101
成都市,四川省,0.1,20200101
昆明市,云南省,0.1,20200101
广州市,广东省,39.96,20200102
佛山市,广东省,15.8,20200102
东莞市,广东省,5.27,20200102
韶关市,广东省,4.42,20200102
深圳市,广东省,3.83,20200102
肇庆市,广东省,2.46,20200102
中山市,广东省,2.03,20200102
惠州市,广东省,1.49,20200102
郴州市,湖南省,1.47,20200102
江门市,广东省,1.19,20200102
永州市,湖南省,1.17,20200102
珠海市,广东省,1.07,20200102
衡阳市,湖南省,0.85,20200102
重庆市,重庆市,0.77,20200102
贺州市,广西壮族自治区,0.59,20200102
云浮市,广东省,0.58,20200102
长沙市,湖南省,0.5,20200102
河源市,广东省,0.5,20200102
邵阳市,湖南省,0.45,20200102
铜仁市,贵州省,0.44,20200102
茂名市,广东省,0.44,20200102
湛江市,广东省,0.44,20200102
赣州市,江西省,0.41,20200102
梅州市,广东省,0.4,20200102
荆州市,湖北省,0.37,20200102
揭阳市,广东省,0.31,20200102
娄底市,湖南省,0.3,20200102
南阳市,河南省,0.3,20200102
南宁市,广西壮族自治区,0.29,20200102
阳江市,广东省,0.28,20200102
香港,香港,0.27,20200102
桂林市,广西壮族自治区,0.27,20200102
澳门,澳门,0.25,20200102
玉林市,广西壮族自治区,0.23,20200102
梧州市,广西壮族自治区,0.23,20200102
汕头市,广东省,0.23,20200102
驻马店市,河南省,0.22,20200102
岳阳市,湖南省,0.22,20200102
益阳市,湖南省,0.22,20200102
怀化市,湖南省,0.2,20200102
信阳市,河南省,0.2,20200102
常德市,湖南省,0.2,20200102
黄冈市,湖北省,0.2,20200102
九江市,江西省,0.18,20200102
百色市,广西壮族自治区,0.17,20200102
广安市,四川省,0.17,20200102
湘潭市,湖南省,0.16,20200102
遵义市,贵州省,0.15,20200102
宜春市,江西省,0.15,20200102
贵港市,广西壮族自治区,0.15,20200102
广州市,广东省,41.74,20200103
佛山市,广东省,13.65,20200103
韶关市,广东省,6.0,20200103
东莞市,广东省,5.22,20200103
深圳市,广东省,3.94,20200103
肇庆市,广东省,3.16,20200103
中山市,广东省,1.7,20200103
郴州市,湖南省,1.67,20200103
惠州市,广东省,1.58,20200103
永州市,湖南省,1.54,20200103
江门市,广东省,1.09,20200103
珠海市,广东省,0.84,20200103
衡阳市,湖南省,0.76,20200103
贺州市,广西壮族自治区,0.74,20200103
重庆市,重庆市,0.66,20200103
长沙市,湖南省,0.62,20200103
云浮市,广东省,0.54,20200103
河源市,广东省,0.49,20200103
赣州市,江西省,0.47,20200103
