city_name,province_name,value,date
台州市,浙江省,15.93,20200101
杭州市,浙江省,10.63,20200101
丽水市,浙江省,8.56,20200101
宁德市,福建省,7.38,20200101
金华市,浙江省,6.77,20200101
宁波市,浙江省,5.31,20200101
上海市,上海市,4.73,20200101
绍兴市,浙江省,2.13,20200101
嘉兴市,浙江省,2.1,20200101
福州市,福建省,1.5,20200101
苏州市,江苏省,1.48,20200101
泉州市,福建省,1.36,20200101
上饶市,江西省,1.22,20200101
衢州市,浙江省,1.05,20200101
广州市,广东省,1.03,20200101
北京市,北京市,0.98,20200101
重庆市,重庆市,0.74,20200101
深圳市,广东省,0.72,20200101
湖州市,浙江省,0.71,20200101
无锡市,江苏省,0.67,20200101
南京市,江苏省,0.61,20200101
厦门市,福建省,0.61,20200101
舟山市,浙江省,0.59,20200101
武汉市,湖北省,0.53,20200101
成都市,四川省,0.47,20200101
南通市,江苏省,0.47,20200101
南平市,福建省,0.47,20200101
九江市,江西省,0.47,20200101
合肥市,安徽省,0.42,20200101
东莞市,广东省,0.41,20200101
常州市,江苏省,0.4,20200101
宜春市,江西省,0.38,20200101
南昌市,江西省,0.37,20200101
西安市,陕西省,0.37,20200101
阜阳市,安徽省,0.37,20200101
抚州市,江西省,0.36,20200101
天津市,天津市,0.36,20200101
漳州市,福建省,0.32,20200101
黄冈市,湖北省,0.32,20200101
郑州市,河南省,0.32,20200101
长沙市,湖南省,0.31,20200101
宿州市,安徽省,0.3,20200101
昆明市,云南省,0.28,20200101
佛山市,广东省,0.28,20200101
周口市,河南省,0.26,20200101
亳州市,安徽省,0.25,20200101
贵阳市,贵州省,0.25,20200101
遵义市,贵州省,0.25,20200101
盐城市,江苏省,0.24,20200101
徐州市,江苏省,0.24,20200101
杭州市,浙江省,12.76,20200102
台州市,浙江省,7.8,20200102
金华市,浙江省,5.94,20200102
上海市,上海市,5.59,20200102
宁波市,浙江省,5.48,20200102
丽水市,浙江省,5.35,20200102
宁德市,福建省,4.5,20200102
嘉兴市,浙江省,2.62,20200102
绍兴市,浙江省,2.44,20200102
苏州市,江苏省,2.21,20200102
福州市,福建省,1.84,20200102
泉州市,福建省,1.34,20200102
广州市,广东省,1.29,20200102
上饶市,江西省,1.28,20200102
衢州市,浙江省,1.2,20200102
湖州市,浙江省,1.2,20200102
北京市,北京市,1.17,20200102
无锡市,江苏省,0.97,20200102
武汉市,湖北省,0.9,20200102
深圳市,广东省,0.9,20200102
南京市,江苏省,0.87,20200102
厦门市,福建省,0.69,20200102
重庆市,重庆市,0.62,20200102
西安市,陕西省,0.62,20200102
常州市,江苏省,0.6,20200102
合肥市,安徽省,0.58,20200102
南昌市,江西省,0.58,20200102
舟山市,浙江省,0.57,20200102
佛山市,广东省,0.56,20200102
南平市,福建省,0.54,20200102
南通市,江苏省,0.51,20200102
九江市,江西省,0.51,20200102
郑州市,河南省,0.48,20200102
成都市,四川省,0.44,20200102
黄冈市,湖北省,0.42,20200102
阜阳市,安徽省,0.42,20200102
宜春市,江西省,0.42,20200102
贵阳市,贵州省,0.41,20200102
长沙市,湖南省,0.38,20200102
东莞市,广东省,0.38,20200102
抚州市,江西省,0.37,20200102
徐州市,江苏省,0.35,20200102
周口市,河南省,0.35,20200102
天津市,天津市,0.35,20200102
遵义市,贵州省,0.34,20200102
石家庄市,河北省,0.34,20200102
宿州市,安徽省,0.33,20200102
盐城市,江苏省,0.32,20200102
昆明市,云南省,0.31,20200102
沧州市,河北省,0.31,20200102
杭州市,浙江省,13.14,20200103
台州市,浙江省,10.68,20200103
丽水市,浙江省,6.83,20200103
金华市,浙江省,5.96,20200103
宁波市,浙江省,5.78,20200103
宁德市,福建省,5.54,20200103
上海市,上海市,5.18,20200103
绍兴市,浙江省,2.79,20200103
嘉兴市,浙江省,2.22,20200103
苏州市,江苏省,1.85,20200103
福州市,福建省,1.6,20200103
广州市,广东省,1.17,20200103
衢州市,浙江省,1.16,20200103
泉州市,福建省,1.09,20200103
湖州市,浙江省,1.08,20200103
上饶市,江西省,0.98,20200103
北京市,北京市,0.86,20200103
南京市,江苏省,0.86,20200103
厦门市,福建省,0.79,20200103
武汉市,湖北省,0.78,20200103
无锡市,江苏省,0.76,20200103
深圳市,广东省,0.71,20200103
重庆市,重庆市,0.7,20200103
南昌市,江西省,0.64,20200103
成都市,四川省,0.61,20200103
舟山市,浙江省,0.6,20200103
南通市,江苏省,0.58,20200103
九江市,江西省,0.55,20200103
合肥市,安徽省,0.51,20200103
西安市,陕西省,0.51,20200103
郑州市,河南省,0.47,20200103
常州市,江苏省,0.47,20200103
天津市,天津市,0.46,20200103
南平市,福建省,0.42,20200103
徐州市,江苏省,0.39,20200103
东莞市,广东省,0.39,20200103
贵阳市,贵州省,0.38,20200103
长沙市,湖南省,0.38,20200103
宜春市,江西省,0.36,20200103
昆明市,云南省,0.33,20200103
阜阳市,安徽省,0.31,20200103
莆田市,福建省,0.31,20200103
佛山市,广东省,0.31,20200103
漳州市,福建省,0.31,20200103
镇江市,江苏省,0.29,20200103
泰州市,江苏省,0.28,20200103
亳州市,安徽省,0.26,20200103
沧州市,河北省,0.26,20200103
黄冈市,湖北省,0.26,20200103
临沂市,山东省,0.24,20200103
台州市,浙江省,12.49,20200104
杭州市,浙江省,12.19,20200104
丽水市,浙江省,7.89,20200104
宁德市,福建省,6.49,20200104
金华市,浙江省,5.75,20200104
宁波市,浙江省,5.38,20200104
上海市,上海市,4.37,20200104
绍兴市,浙江省,2.6,20200104
嘉兴市,浙江省,2.24,20200104
苏州市,江苏省,1.67,20200104
福州市,福建省,1.41,20200104
湖州市,浙江省,1.22,20200104
广州市,广东省,1.12,20200104
衢州市,浙江省,1.05,20200104
泉州市,福建省,1.02,20200104
上饶市,江西省,0.92,20200104
北京市,北京市,0.89,20200104
南京市,江苏省,0.76,20200104
南昌市,江西省,0.73,20200104
无锡市,江苏省,0.7,20200104
舟山市,浙江省,0.69,20200104
深圳市,广东省,0.68,20200104
重庆市,重庆市,0.68,20200104
武汉市,湖北省,0.65,20200104
厦门市,福建省,0.6,20200104
合肥市,安徽省,0.53,20200104
西安市,陕西省,0.52,20200104
成都市,四川省,0.51,20200104
九江市,江西省,0.46,20200104
郑州市,河南省,0.45,20200104
南平市,福建省,0.43,20200104
南通市,江苏省,0.42,20200104
常州市,江苏省,0.41,20200104
长沙市,湖南省,0.39,20200104
佛山市,广东省,0.39,20200104
昆明市,云南省,0.39,20200104
东莞市,广东省,0.37,20200104
阜阳市,安徽省,0.36,20200104
天津市,天津市,0.34,20200104
贵阳市,贵州省,0.32,20200104
周口市,河南省,0.31,20200104
沈阳市,辽宁省,0.29,20200104
黄冈市,湖北省,0.29,20200104
徐州市,江苏省,0.28,20200104
济南市,山东省,0.28,20200104
泰州市,江苏省,0.28,20200104
遵义市,贵州省,0.27,20200104
沧州市,河北省,0.26,20200104
宿州市,安徽省,0.25,20200104
临沂市,山东省,0.25,20200104
杭州市,浙江省,12.31,20200105
台州市,浙江省,11.32,20200105
丽水市,浙江省,7.46,20200105
金华市,浙江省,6.16,20200105
宁德市,福建省,6.07,20200105
宁波市,浙江省,5.66,20200105
上海市,上海市,4.66,20200105
嘉兴市,浙江省,2.58,20200105
绍兴市,浙江省,2.47,20200105
苏州市,江苏省,1.88,20200105
福州市,福建省,1.46,20200105
湖州市,浙江省,1.46,20200105
广州市,广东省,1.19,20200105
泉州市,福建省,1.1,20200105
北京市,北京市,1.02,20200105
衢州市,浙江省,0.99,20200105
南京市,江苏省,0.94,20200105
厦门市,福建省,0.89,20200105
上饶市,江西省,0.84,20200105
无锡市,江苏省,0.84,20200105
深圳市,广东省,0.77,20200105
武汉市,湖北省,0.71,20200105
南昌市,江西省,0.68,20200105
重庆市,重庆市,0.67,20200105
舟山市,浙江省,0.64,20200105
南通市,江苏省,0.55,20200105
成都市,四川省,0.54,20200105
西安市,陕西省,0.48,20200105
佛山市,广东省,0.47,20200105
长沙市,湖南省,0.46,20200105
天津市,天津市,0.45,20200105
合肥市,安徽省,0.44,20200105
常州市,江苏省,0.44,20200105
东莞市,广东省,0.43,20200105
昆明市,云南省,0.42,20200105
九江市,江西省,0.41,20200105
郑州市,河南省,0.4,20200105
南平市,福建省,0.39,20200105
济南市,山东省,0.37,20200105
贵阳市,贵州省,0.29,20200105
抚州市,江西省,0.28,20200105
镇江市,江苏省,0.28,20200105
阜阳市,安徽省,0.28,20200105
徐州市,江苏省,0.28,20200105
青岛市,山东省,0.27,20200105
漳州市,福建省,0.27,20200105
宿州市,安徽省,0.25,20200105
盐城市,江苏省,0.24,20200105
沧州市,河北省,0.23,20200105
芜湖市,安徽省,0.23,20200105
杭州市,浙江省,12.19,20200106
台州市,浙江省,11.74,20200106
丽水市,浙江省,7.01,20200106
宁波市,浙江省,6.06,20200106
金华市,浙江省,6.02,20200106
宁德市,福建省,5.8,20200106
上海市,上海市,5.28,20200106
绍兴市,浙江省,2.79,20200106
嘉兴市,浙江省,2.6,20200106
苏州市,江苏省,1.87,20200106
福州市,福建省,1.38,20200106
湖州市,浙江省,1.24,20200106
北京市,北京市,1.19,20200106
南京市,江苏省,1.15,20200106
广州市,广东省,1.14,20200106
泉州市,福建省,1.01,20200106
衢州市,浙江省,0.99,20200106
上饶市,江西省,0.86,20200106
无锡市,江苏省,0.86,20200106
武汉市,湖北省,0.73,20200106
南昌市,江西省,0.68,20200106
厦门市,福建省,0.68,20200106
舟山市,浙江省,0.6,20200106
重庆市,重庆市,0.58,20200106
深圳市,广东省,0.56,20200106
南通市,江苏省,0.55,20200106
常州市,江苏省,0.49,20200106
西安市,陕西省,0.49,20200106
合肥市,安徽省,0.48,20200106
昆明市,云南省,0.46,20200106
成都市,四川省,0.46,20200106
九江市,江西省,0.41,20200106
郑州市,河南省,0.41,20200106
长沙市,湖南省,0.4,20200106
佛山市,广东省,0.4,20200106
天津市,天津市,0.4,20200106
东莞市,广东省,0.38,20200106
阜阳市,安徽省,0.33,20200106
石家庄市,河北省,0.32,20200106
南平市,福建省,0.31,20200106
临沂市,山东省,0.3,20200106
济南市,山东省,0.28,20200106
宜春市,江西省,0.28,20200106
芜湖市,安徽省,0.28,20200106
沧州市,河北省,0.27,20200106
黄冈市,湖北省,0.27,20200106
宣城市,安徽省,0.27,20200106
抚州市,江西省,0.27,20200106
青岛市,山东省,0.27,20200106
沈阳市,辽宁省,0.26,20200106
杭州市,浙江省,12.9,20200107
台州市,浙江省,10.86,20200107
丽水市,浙江省,6.64,20200107
宁波市,浙江省,6.08,20200107
金华市,浙江省,5.5,20200107
上海市,上海市,5.38,20200107
宁德市,福建省,5.35,20200107
绍兴市,浙江省,3.32,20200107
嘉兴市,浙江省,2.71,20200107
苏州市,江苏省,1.83,20200107
湖州市,浙江省,1.61,20200107
广州市,广东省,1.53,20200107
福州市,福建省,1.47,20200107
北京市,北京市,1.1,20200107
泉州市,福建省,1.0,20200107
衢州市,浙江省,0.94,20200107
南京市,江苏省,0.88,20200107
武汉市,湖北省,0.83,20200107
无锡市,江苏省,0.81,20200107
上饶市,江西省,0.79,20200107
南昌市,江西省,0.7,20200107
舟山市,浙江省,0.69,20200107
深圳市,广东省,0.63,20200107
重庆市,重庆市,0.62,20200107
厦门市,福建省,0.62,20200107
昆明市,云南省,0.57,20200107
西安市,陕西省,0.54,20200107
合肥市,安徽省,0.53,20200107
长沙市,湖南省,0.52,20200107
郑州市,河南省,0.52,20200107
佛山市,广东省,0.49,20200107
常州市,江苏省,0.46,20200107
东莞市,广东省,0.44,20200107
九江市,江西省,0.41,20200107
天津市,天津市,0.41,20200107
南通市,江苏省,0.4,20200107
南平市,福建省,0.39,20200107
成都市,四川省,0.36,20200107
阜阳市,安徽省,0.34,20200107
贵阳市,贵州省,0.33,20200107
